# _root_ خَصَّصَت الحُكُومَةُ المِصْرِيَّةُ 5,2 بِلْيُونِ جُنَيْهٍ ( 585 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ شَرِكَةِ الحَدِيدِ وَ الصُلْبِ وَ 5,1 بِلْيُونٍ ( 153 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ قِطاعِ الغَزْلِ وَ النَسِيجِ فِي الوَقْتِ الَّذِي سَ تَمْتَنِعُ عَن بَيْعِ 115 شَرِكَةً تابِعَةً سابِقاً لِ وِزارَةِ الاِقْتِصادِ قَبْلَ إِلْغائِ ها .
#goldHeads=18,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,32,21,19,18,21,22,23,21,18,26,27,30,28,30,0,32,32,36,32,36,37,38,39,40,41,41,43,44,41,46,47,0,
#predictedHeads=0,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,14,21,19,18,21,22,23,21,1,26,27,30,28,30,31,32,33,36,33,36,37,38,39,40,41,42,43,44,36,46,47,0,
(0,1),1.21505 # DEPENDENCYPART_ARC
(0,2),-1.40418 # DEPENDENCYPART_ARC
(0,3),-1.23526 # DEPENDENCYPART_ARC
(0,4),-0.355116 # DEPENDENCYPART_ARC
(0,5),-1.87221 # DEPENDENCYPART_ARC
(0,6),-1.62211 # DEPENDENCYPART_ARC
(0,7),0.0712522 # DEPENDENCYPART_ARC
(0,8),-0.510789 # DEPENDENCYPART_ARC
(0,9),-1.31766 # DEPENDENCYPART_ARC
(0,10),-1.64153 # DEPENDENCYPART_ARC
(0,11),0.0084843 # DEPENDENCYPART_ARC
(0,12),-1.44904 # DEPENDENCYPART_ARC
(0,13),-1.65859 # DEPENDENCYPART_ARC
(0,14),-1.55384 # DEPENDENCYPART_ARC
(0,15),-2.1629 # DEPENDENCYPART_ARC
(0,16),-1.04906 # DEPENDENCYPART_ARC
(0,17),-2.23854 # DEPENDENCYPART_ARC
(0,18),-0.30618 # DEPENDENCYPART_ARC
(0,19),-1.56117 # DEPENDENCYPART_ARC
(0,20),-2.12147 # DEPENDENCYPART_ARC
(0,21),-0.58843 # DEPENDENCYPART_ARC
(0,22),-1.6397 # DEPENDENCYPART_ARC
(0,23),-1.97572 # DEPENDENCYPART_ARC
(0,24),-2.41114 # DEPENDENCYPART_ARC
(0,25),-0.819053 # DEPENDENCYPART_ARC
(0,26),-2.63619 # DEPENDENCYPART_ARC
(0,27),-2.46642 # DEPENDENCYPART_ARC
(0,28),-2.58067 # DEPENDENCYPART_ARC
(0,29),-2.95874 # DEPENDENCYPART_ARC
(0,30),-1.27978 # DEPENDENCYPART_ARC
(0,31),-3.09251 # DEPENDENCYPART_ARC
(0,32),-2.49347 # DEPENDENCYPART_ARC
(0,33),-3.35414 # DEPENDENCYPART_ARC
(0,34),-2.27081 # DEPENDENCYPART_ARC
(0,35),-3.83595 # DEPENDENCYPART_ARC
(0,36),0.0446301 # DEPENDENCYPART_ARC
(0,37),-2.13302 # DEPENDENCYPART_ARC
(0,38),-3.38718 # DEPENDENCYPART_ARC
(0,39),-3.31926 # DEPENDENCYPART_ARC
(0,40),-2.23782 # DEPENDENCYPART_ARC
(0,41),-2.80617 # DEPENDENCYPART_ARC
(0,42),-3.04874 # DEPENDENCYPART_ARC
(0,43),-5.0181 # DEPENDENCYPART_ARC
(0,44),-3.74908 # DEPENDENCYPART_ARC
(0,45),-4.372 # DEPENDENCYPART_ARC
(0,46),-3.55029 # DEPENDENCYPART_ARC
(0,47),-4.04744 # DEPENDENCYPART_ARC
(0,48),-4.95304 # DEPENDENCYPART_ARC
(0,49),7.48404 # DEPENDENCYPART_ARC
(1,2),3.07088 # DEPENDENCYPART_ARC
(1,3),-0.436574 # DEPENDENCYPART_ARC
(1,4),1.15011 # DEPENDENCYPART_ARC
(1,5),-0.383248 # DEPENDENCYPART_ARC
(1,6),-0.335611 # DEPENDENCYPART_ARC
(1,7),0.322703 # DEPENDENCYPART_ARC
(1,8),0.119478 # DEPENDENCYPART_ARC
(1,9),0.538708 # DEPENDENCYPART_ARC
(1,10),-0.923064 # DEPENDENCYPART_ARC
(1,11),-0.405656 # DEPENDENCYPART_ARC
(1,12),1.60807 # DEPENDENCYPART_ARC
(1,13),-1.42145 # DEPENDENCYPART_ARC
(1,14),-1.68845 # DEPENDENCYPART_ARC
(1,15),-1.1727 # DEPENDENCYPART_ARC
(1,16),0.0738532 # DEPENDENCYPART_ARC
(1,17),-3.06078 # DEPENDENCYPART_ARC
(1,18),-0.702808 # DEPENDENCYPART_ARC
(1,19),-1.27109 # DEPENDENCYPART_ARC
(1,20),-3.38648 # DEPENDENCYPART_ARC
(1,21),-0.836947 # DEPENDENCYPART_ARC
(1,22),-1.14278 # DEPENDENCYPART_ARC
(1,23),-1.90743 # DEPENDENCYPART_ARC
(1,24),-3.11061 # DEPENDENCYPART_ARC
(1,25),-2.2422 # DEPENDENCYPART_ARC
(1,26),0.637181 # DEPENDENCYPART_ARC
(1,27),-3.56188 # DEPENDENCYPART_ARC
(1,28),-2.98611 # DEPENDENCYPART_ARC
(1,29),-3.36666 # DEPENDENCYPART_ARC
(1,30),-2.08607 # DEPENDENCYPART_ARC
(1,31),-5.1318 # DEPENDENCYPART_ARC
(1,32),-1.36055 # DEPENDENCYPART_ARC
(1,33),-4.86456 # DEPENDENCYPART_ARC
(1,34),-3.37444 # DEPENDENCYPART_ARC
(1,35),-1.86873 # DEPENDENCYPART_ARC
(1,36),-3.55675 # DEPENDENCYPART_ARC
(1,37),-2.39107 # DEPENDENCYPART_ARC
(1,38),-5.75661 # DEPENDENCYPART_ARC
(1,39),-2.88294 # DEPENDENCYPART_ARC
(1,40),-4.10312 # DEPENDENCYPART_ARC
(1,41),-3.23247 # DEPENDENCYPART_ARC
(1,42),-3.4139 # DEPENDENCYPART_ARC
(1,43),-2.62658 # DEPENDENCYPART_ARC
(1,44),-7.70981 # DEPENDENCYPART_ARC
(1,45),-6.44484 # DEPENDENCYPART_ARC
(1,46),-1.24949 # DEPENDENCYPART_ARC
(1,47),-6.85616 # DEPENDENCYPART_ARC
(1,48),-8.28032 # DEPENDENCYPART_ARC
(1,49),-4.48807 # DEPENDENCYPART_ARC
(2,1),-0.943412 # DEPENDENCYPART_ARC
(2,3),2.78784 # DEPENDENCYPART_ARC
(2,4),-0.703823 # DEPENDENCYPART_ARC
(2,5),-1.0843 # DEPENDENCYPART_ARC
(2,6),-1.73706 # DEPENDENCYPART_ARC
(2,7),-1.17214 # DEPENDENCYPART_ARC
(2,8),-1.60383 # DEPENDENCYPART_ARC
(2,9),-2.52228 # DEPENDENCYPART_ARC
(2,10),-2.2414 # DEPENDENCYPART_ARC
(2,11),-1.75545 # DEPENDENCYPART_ARC
(2,12),-0.949233 # DEPENDENCYPART_ARC
(2,13),-2.82083 # DEPENDENCYPART_ARC
(2,14),-3.43728 # DEPENDENCYPART_ARC
(2,15),-3.09572 # DEPENDENCYPART_ARC
(2,16),-1.63636 # DEPENDENCYPART_ARC
(2,17),-4.0114 # DEPENDENCYPART_ARC
(2,18),-1.94704 # DEPENDENCYPART_ARC
(2,19),-2.76951 # DEPENDENCYPART_ARC
(2,20),-4.53525 # DEPENDENCYPART_ARC
(2,21),-2.50832 # DEPENDENCYPART_ARC
(2,22),-2.72088 # DEPENDENCYPART_ARC
(2,23),-5.09884 # DEPENDENCYPART_ARC
(2,24),-4.83078 # DEPENDENCYPART_ARC
(2,25),-3.10398 # DEPENDENCYPART_ARC
(2,26),-2.94797 # DEPENDENCYPART_ARC
(2,27),-5.42129 # DEPENDENCYPART_ARC
(2,28),-5.20023 # DEPENDENCYPART_ARC
