# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(0,1),2.97555 # DEPENDENCYPART_ARC
(0,2),0.942547 # DEPENDENCYPART_ARC
(0,3),-1.40241 # DEPENDENCYPART_ARC
(0,4),-2.83917 # DEPENDENCYPART_ARC
(0,5),-1.09651 # DEPENDENCYPART_ARC
(0,6),-1.78353 # DEPENDENCYPART_ARC
(0,7),-0.274817 # DEPENDENCYPART_ARC
(0,8),-1.40705 # DEPENDENCYPART_ARC
(0,10),-1.4513 # DEPENDENCYPART_ARC
(0,11),-1.65878 # DEPENDENCYPART_ARC
(0,12),-1.25652 # DEPENDENCYPART_ARC
(0,13),-0.789995 # DEPENDENCYPART_ARC
(0,14),-0.42761 # DEPENDENCYPART_ARC
(0,15),-1.74295 # DEPENDENCYPART_ARC
(0,17),-1.74763 # DEPENDENCYPART_ARC
(0,18),-1.44601 # DEPENDENCYPART_ARC
(0,19),-1.25158 # DEPENDENCYPART_ARC
(0,20),-2.08191 # DEPENDENCYPART_ARC
(0,21),-2.32213 # DEPENDENCYPART_ARC
(0,22),-1.99716 # DEPENDENCYPART_ARC
(0,23),-1.74981 # DEPENDENCYPART_ARC
(0,24),-1.34488 # DEPENDENCYPART_ARC
(0,25),-1.85547 # DEPENDENCYPART_ARC
(0,27),-1.8436 # DEPENDENCYPART_ARC
(0,28),-2.59612 # DEPENDENCYPART_ARC
(0,29),-3.2821 # DEPENDENCYPART_ARC
(0,30),-3.68411 # DEPENDENCYPART_ARC
(0,31),-2.91989 # DEPENDENCYPART_ARC
(0,32),-3.00242 # DEPENDENCYPART_ARC
(0,33),-3.14145 # DEPENDENCYPART_ARC
(0,34),5.5764 # DEPENDENCYPART_ARC
(1,2),-1.05244 # DEPENDENCYPART_ARC
(1,3),-1.64539 # DEPENDENCYPART_ARC
(1,4),-1.8439 # DEPENDENCYPART_ARC
(1,5),-2.55918 # DEPENDENCYPART_ARC
(1,6),-2.37854 # DEPENDENCYPART_ARC
