# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
(0,1),1.55088 # DEPENDENCYPART_ARC
(0,2),-0.65053 # DEPENDENCYPART_ARC
(0,3),-0.258658 # DEPENDENCYPART_ARC
(0,4),-0.702136 # DEPENDENCYPART_ARC
(0,5),-1.38427 # DEPENDENCYPART_ARC
(0,6),-0.413294 # DEPENDENCYPART_ARC
(0,7),-1.81564 # DEPENDENCYPART_ARC
(0,8),-0.642674 # DEPENDENCYPART_ARC
(0,9),-0.304252 # DEPENDENCYPART_ARC
(0,10),1.53935 # DEPENDENCYPART_ARC
(0,11),-0.21574 # DEPENDENCYPART_ARC
(0,12),-1.9313 # DEPENDENCYPART_ARC
(0,13),-0.681293 # DEPENDENCYPART_ARC
(0,14),0.440222 # DEPENDENCYPART_ARC
(0,15),-0.365479 # DEPENDENCYPART_ARC
(0,16),-1.66097 # DEPENDENCYPART_ARC
(0,17),-1.28066 # DEPENDENCYPART_ARC
(0,18),0.103439 # DEPENDENCYPART_ARC
(0,19),-0.667496 # DEPENDENCYPART_ARC
(0,20),-1.89974 # DEPENDENCYPART_ARC
(1,2),-1.61941 # DEPENDENCYPART_ARC
(1,3),-1.83072 # DEPENDENCYPART_ARC
(1,4),-2.27973 # DEPENDENCYPART_ARC
(1,5),-2.27277 # DEPENDENCYPART_ARC
(1,6),-2.20293 # DEPENDENCYPART_ARC
(1,7),-2.51548 # DEPENDENCYPART_ARC
(1,8),-1.75255 # DEPENDENCYPART_ARC
(1,9),-1.81979 # DEPENDENCYPART_ARC
(1,10),-2.49849 # DEPENDENCYPART_ARC
(1,11),-2.21187 # DEPENDENCYPART_ARC
(1,12),-2.68503 # DEPENDENCYPART_ARC
(1,13),-2.53604 # DEPENDENCYPART_ARC
(1,15),-2.87519 # DEPENDENCYPART_ARC
(1,16),-2.72248 # DEPENDENCYPART_ARC
(1,17),-2.72645 # DEPENDENCYPART_ARC
(1,18),-2.79693 # DEPENDENCYPART_ARC
(1,19),-2.19025 # DEPENDENCYPART_ARC
(1,20),-3.16064 # DEPENDENCYPART_ARC
(2,1),-0.0812471 # DEPENDENCYPART_ARC
(2,4),-1.14081 # DEPENDENCYPART_ARC
(2,5),-0.97894 # DEPENDENCYPART_ARC
(2,6),-0.94014 # DEPENDENCYPART_ARC
(2,7),-1.22414 # DEPENDENCYPART_ARC
(2,8),-0.363792 # DEPENDENCYPART_ARC
(2,9),-0.544452 # DEPENDENCYPART_ARC
(2,10),-1.23176 # DEPENDENCYPART_ARC
(2,12),-1.70804 # DEPENDENCYPART_ARC
(2,13),-0.706634 # DEPENDENCYPART_ARC
(2,14),-1.1597 # DEPENDENCYPART_ARC
(2,15),-1.92183 # DEPENDENCYPART_ARC
(2,16),-1.58039 # DEPENDENCYPART_ARC
(2,18),-1.44669 # DEPENDENCYPART_ARC
(2,20),-0.912001 # DEPENDENCYPART_ARC
(3,1),-1.20852 # DEPENDENCYPART_ARC
(3,2),-0.468096 # DEPENDENCYPART_ARC
(3,4),-1.14652 # DEPENDENCYPART_ARC
(3,5),-1.74932 # DEPENDENCYPART_ARC
(3,6),-0.691312 # DEPENDENCYPART_ARC
(3,7),-1.27587 # DEPENDENCYPART_ARC
(3,8),-0.74964 # DEPENDENCYPART_ARC
(3,9),-1.00929 # DEPENDENCYPART_ARC
(3,10),-1.85408 # DEPENDENCYPART_ARC
(3,11),-1.78818 # DEPENDENCYPART_ARC
(3,12),-1.94351 # DEPENDENCYPART_ARC
(3,13),-1.29626 # DEPENDENCYPART_ARC
(3,14),-1.25359 # DEPENDENCYPART_ARC
(3,15),-2.62681 # DEPENDENCYPART_ARC
(3,16),-1.71616 # DEPENDENCYPART_ARC
(3,17),-1.25342 # DEPENDENCYPART_ARC
(3,18),-2.00228 # DEPENDENCYPART_ARC
(3,19),-1.86376 # DEPENDENCYPART_ARC
(3,20),-1.60642 # DEPENDENCYPART_ARC
(4,1),-1.24544 # DEPENDENCYPART_ARC
(4,2),0.0183095 # DEPENDENCYPART_ARC
(4,3),-1.19531 # DEPENDENCYPART_ARC
(4,5),0.345183 # DEPENDENCYPART_ARC
(4,6),-1.59031 # DEPENDENCYPART_ARC
(4,7),-2.42168 # DEPENDENCYPART_ARC
(4,8),-1.06555 # DEPENDENCYPART_ARC
(4,9),-1.49241 # DEPENDENCYPART_ARC
(4,10),-2.93016 # DEPENDENCYPART_ARC
(4,11),-1.59905 # DEPENDENCYPART_ARC
(4,12),-1.44591 # DEPENDENCYPART_ARC
(4,13),-1.56572 # DEPENDENCYPART_ARC
(4,14),-1.56969 # DEPENDENCYPART_ARC
(4,15),-2.60818 # DEPENDENCYPART_ARC
(4,16),-2.35498 # DEPENDENCYPART_ARC
(4,17),-2.67617 # DEPENDENCYPART_ARC
(4,18),-3.38885 # DEPENDENCYPART_ARC
(4,19),-1.80718 # DEPENDENCYPART_ARC
(4,20),-1.85788 # DEPENDENCYPART_ARC
(5,1),-1.17184 # DEPENDENCYPART_ARC
(5,2),-0.45457 # DEPENDENCYPART_ARC
(5,3),-1.40818 # DEPENDENCYPART_ARC
(5,4),-0.000344986 # DEPENDENCYPART_ARC
