# _root_ enpresek , aldiz , bai .
#goldHeads=0,3,0,3,1,5,
#predictedHeads=4,3,0,3,3,5,
(0,1),-1.06324 # DEPENDENCYPART_ARC
(0,2),-1.13263 # DEPENDENCYPART_ARC
(0,3),1.783 # DEPENDENCYPART_ARC
(0,4),-1.21564 # DEPENDENCYPART_ARC
(0,5),-0.769517 # DEPENDENCYPART_ARC
(0,6),-0.703848 # DEPENDENCYPART_ARC
(1,2),-0.31265 # DEPENDENCYPART_ARC
(1,3),-0.791451 # DEPENDENCYPART_ARC
(1,4),-1.29069 # DEPENDENCYPART_ARC
(1,5),-2.18566 # DEPENDENCYPART_ARC
(1,6),-1.35977 # DEPENDENCYPART_ARC
(2,1),-0.920839 # DEPENDENCYPART_ARC
(3,1),-1.36023 # DEPENDENCYPART_ARC
(3,2),0.352605 # DEPENDENCYPART_ARC
(3,4),1.49455 # DEPENDENCYPART_ARC
(3,5),-0.0764688 # DEPENDENCYPART_ARC
(3,6),-0.523765 # DEPENDENCYPART_ARC
(4,1),-0.824157 # DEPENDENCYPART_ARC
(5,1),-1.31453 # DEPENDENCYPART_ARC
(5,2),-1.37939 # DEPENDENCYPART_ARC
(5,4),-0.534485 # DEPENDENCYPART_ARC
(5,6),1.90308 # DEPENDENCYPART_ARC
(6,1),-1.91245 # DEPENDENCYPART_ARC
(6,2),-1.52021 # DEPENDENCYPART_ARC
(6,4),-1.35885 # DEPENDENCYPART_ARC
