# _root_ " bizitzeko eskubidearen errespetuak du orain lehentasuna ; indarkeria desagertuta , edozertaz hitz_egin ahal_izango dugu " , dio .
#goldHeads=0,3,4,5,8,5,5,18,10,14,10,13,14,8,14,15,16,0,18,
#predictedHeads=0,3,4,5,0,5,5,7,10,14,10,10,14,5,14,15,16,0,18,
(0,1),1.43906 # DEPENDENCYPART_ARC
(0,2),-0.656921 # DEPENDENCYPART_ARC
(0,3),-0.566469 # DEPENDENCYPART_ARC
(0,4),-0.866378 # DEPENDENCYPART_ARC
(0,5),0.196961 # DEPENDENCYPART_ARC
(0,6),-1.15233 # DEPENDENCYPART_ARC
(0,7),-0.702711 # DEPENDENCYPART_ARC
(0,8),0.219483 # DEPENDENCYPART_ARC
(0,9),-0.667606 # DEPENDENCYPART_ARC
(0,10),-0.976848 # DEPENDENCYPART_ARC
(0,11),-0.654582 # DEPENDENCYPART_ARC
(0,13),-0.0270423 # DEPENDENCYPART_ARC
(0,14),-0.218696 # DEPENDENCYPART_ARC
(0,15),-1.22694 # DEPENDENCYPART_ARC
(0,16),-2.02074 # DEPENDENCYPART_ARC
(0,17),-0.639332 # DEPENDENCYPART_ARC
(0,18),0.583816 # DEPENDENCYPART_ARC
(0,19),-1.82395 # DEPENDENCYPART_ARC
(1,2),-1.61425 # DEPENDENCYPART_ARC
(1,3),-2.33506 # DEPENDENCYPART_ARC
(1,4),-2.06802 # DEPENDENCYPART_ARC
(1,5),-2.28121 # DEPENDENCYPART_ARC
(1,7),-2.37509 # DEPENDENCYPART_ARC
(1,8),-1.74357 # DEPENDENCYPART_ARC
(1,9),-2.62685 # DEPENDENCYPART_ARC
(1,10),-2.63286 # DEPENDENCYPART_ARC
(1,11),-2.05853 # DEPENDENCYPART_ARC
(1,13),-2.66691 # DEPENDENCYPART_ARC
(1,14),-2.97284 # DEPENDENCYPART_ARC
(1,15),-2.03555 # DEPENDENCYPART_ARC
(1,16),-2.5893 # DEPENDENCYPART_ARC
(1,17),-2.85647 # DEPENDENCYPART_ARC
(1,18),-2.15297 # DEPENDENCYPART_ARC
(1,19),-2.94189 # DEPENDENCYPART_ARC
(2,1),-0.285016 # DEPENDENCYPART_ARC
(2,3),-1.35458 # DEPENDENCYPART_ARC
(2,4),-1.382 # DEPENDENCYPART_ARC
(2,5),-1.57163 # DEPENDENCYPART_ARC
(2,6),-1.38103 # DEPENDENCYPART_ARC
(2,7),-1.44072 # DEPENDENCYPART_ARC
(2,8),-0.981761 # DEPENDENCYPART_ARC
(2,9),-2.68113 # DEPENDENCYPART_ARC
(2,10),-1.00439 # DEPENDENCYPART_ARC
(2,11),-0.838568 # DEPENDENCYPART_ARC
(2,12),-2.37533 # DEPENDENCYPART_ARC
(2,13),-1.3728 # DEPENDENCYPART_ARC
(2,14),-1.96275 # DEPENDENCYPART_ARC
(2,15),-2.25699 # DEPENDENCYPART_ARC
(2,16),-1.6055 # DEPENDENCYPART_ARC
(2,17),-1.39364 # DEPENDENCYPART_ARC
(2,18),-3.36072 # DEPENDENCYPART_ARC
(2,19),-1.76952 # DEPENDENCYPART_ARC
(3,1),-1.26052 # DEPENDENCYPART_ARC
(3,2),1.83474 # DEPENDENCYPART_ARC
(3,4),0.323565 # DEPENDENCYPART_ARC
(3,5),-2.17592 # DEPENDENCYPART_ARC
(3,6),-1.11404 # DEPENDENCYPART_ARC
(3,7),-1.69223 # DEPENDENCYPART_ARC
