# _root_ bestalde , iñaki_sanchez preso ohia basaurin espetxeratu zuten atzo , ezarritako zigorra osorik bete dezan .
#goldHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
#predictedHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
(0,1),1.56601 # DEPENDENCYPART_ARC
(0,2),-1.15927 # DEPENDENCYPART_ARC
(0,3),-0.775634 # DEPENDENCYPART_ARC
(0,4),-1.02782 # DEPENDENCYPART_ARC
(0,5),-1.52678 # DEPENDENCYPART_ARC
(0,6),-1.88969 # DEPENDENCYPART_ARC
(0,7),0.375226 # DEPENDENCYPART_ARC
(0,8),-0.979491 # DEPENDENCYPART_ARC
(0,9),-1.30835 # DEPENDENCYPART_ARC
(0,10),-1.06314 # DEPENDENCYPART_ARC
(0,11),-0.773754 # DEPENDENCYPART_ARC
(0,12),-1.50534 # DEPENDENCYPART_ARC
(0,13),-0.0293315 # DEPENDENCYPART_ARC
(0,14),-0.948362 # DEPENDENCYPART_ARC
(0,15),-0.678879 # DEPENDENCYPART_ARC
(0,16),-1.98356 # DEPENDENCYPART_ARC
(1,2),-0.922794 # DEPENDENCYPART_ARC
(1,4),-3.09187 # DEPENDENCYPART_ARC
(1,7),-3.33593 # DEPENDENCYPART_ARC
(1,10),-3.35771 # DEPENDENCYPART_ARC
(1,11),-4.11077 # DEPENDENCYPART_ARC
(1,12),-3.64821 # DEPENDENCYPART_ARC
(1,14),-4.73377 # DEPENDENCYPART_ARC
(1,16),-3.2738 # DEPENDENCYPART_ARC
(2,3),-1.01113 # DEPENDENCYPART_ARC
(2,4),-1.73725 # DEPENDENCYPART_ARC
(2,5),-1.19046 # DEPENDENCYPART_ARC
(2,7),-1.58348 # DEPENDENCYPART_ARC
(2,8),-1.32278 # DEPENDENCYPART_ARC
(2,11),-2.02551 # DEPENDENCYPART_ARC
(2,12),-2.18717 # DEPENDENCYPART_ARC
(2,14),-2.03276 # DEPENDENCYPART_ARC
(2,15),-1.65244 # DEPENDENCYPART_ARC
(3,1),-1.08086 # DEPENDENCYPART_ARC
(3,2),-0.0978039 # DEPENDENCYPART_ARC
(3,4),0.449055 # DEPENDENCYPART_ARC
(3,5),-1.535 # DEPENDENCYPART_ARC
(3,6),-2.01784 # DEPENDENCYPART_ARC
