# _root_ baliagarritasuna , bestalde , berebizikoa izan da gure gizartearen konfigurazioan .
#goldHeads=6,1,6,3,6,0,6,9,10,6,10,
#predictedHeads=6,3,0,3,6,0,6,9,10,6,10,
(0,1),-0.0777733 # DEPENDENCYPART_ARC
(0,2),-0.998985 # DEPENDENCYPART_ARC
(0,3),1.55551 # DEPENDENCYPART_ARC
(0,4),-1.06367 # DEPENDENCYPART_ARC
(0,5),-1.56554 # DEPENDENCYPART_ARC
(0,6),0.734683 # DEPENDENCYPART_ARC
(0,7),-0.414445 # DEPENDENCYPART_ARC
(0,8),-1.13118 # DEPENDENCYPART_ARC
(0,9),-1.53922 # DEPENDENCYPART_ARC
(0,10),-1.95145 # DEPENDENCYPART_ARC
(0,11),-1.16938 # DEPENDENCYPART_ARC
(1,2),-0.133378 # DEPENDENCYPART_ARC
(1,3),-0.719512 # DEPENDENCYPART_ARC
(1,4),-1.07977 # DEPENDENCYPART_ARC
(1,5),-2.03033 # DEPENDENCYPART_ARC
(1,6),-2.11302 # DEPENDENCYPART_ARC
(1,7),-1.89788 # DEPENDENCYPART_ARC
(1,8),-1.89318 # DEPENDENCYPART_ARC
(1,9),-2.0942 # DEPENDENCYPART_ARC
(1,10),-1.22345 # DEPENDENCYPART_ARC
(1,11),-1.22772 # DEPENDENCYPART_ARC
(2,1),-0.803647 # DEPENDENCYPART_ARC
(2,3),-0.554755 # DEPENDENCYPART_ARC
(2,4),-0.557663 # DEPENDENCYPART_ARC
(2,5),-1.32867 # DEPENDENCYPART_ARC
(2,6),-0.846813 # DEPENDENCYPART_ARC
(2,7),-1.02791 # DEPENDENCYPART_ARC
(2,8),-1.64314 # DEPENDENCYPART_ARC
(2,9),-1.53 # DEPENDENCYPART_ARC
(2,10),-1.43547 # DEPENDENCYPART_ARC
(2,11),-1.28855 # DEPENDENCYPART_ARC
(3,1),-0.607642 # DEPENDENCYPART_ARC
(3,2),0.0314153 # DEPENDENCYPART_ARC
(3,4),0.67823 # DEPENDENCYPART_ARC
(3,5),-0.914732 # DEPENDENCYPART_ARC
(3,6),-0.665061 # DEPENDENCYPART_ARC
(3,7),-1.42416 # DEPENDENCYPART_ARC
(3,8),-2.48346 # DEPENDENCYPART_ARC
(3,9),-2.37712 # DEPENDENCYPART_ARC
(3,10),-1.76281 # DEPENDENCYPART_ARC
(3,11),-1.62517 # DEPENDENCYPART_ARC
(4,1),-0.998621 # DEPENDENCYPART_ARC
(4,2),-1.14816 # DEPENDENCYPART_ARC
(4,3),-0.0916087 # DEPENDENCYPART_ARC
(4,5),-0.299132 # DEPENDENCYPART_ARC
(4,6),-0.873817 # DEPENDENCYPART_ARC
(4,7),-0.71665 # DEPENDENCYPART_ARC
(4,8),-1.384 # DEPENDENCYPART_ARC
(4,9),-1.42079 # DEPENDENCYPART_ARC
(4,10),-1.50339 # DEPENDENCYPART_ARC
(4,11),-0.823523 # DEPENDENCYPART_ARC
(5,1),-1.62658 # DEPENDENCYPART_ARC
(5,2),-0.86332 # DEPENDENCYPART_ARC
(5,3),-0.505926 # DEPENDENCYPART_ARC
(5,4),-0.0231622 # DEPENDENCYPART_ARC
(5,6),-0.519306 # DEPENDENCYPART_ARC
(5,7),-0.172715 # DEPENDENCYPART_ARC
(5,8),-1.41116 # DEPENDENCYPART_ARC
(5,9),-1.84149 # DEPENDENCYPART_ARC
(5,10),-0.868227 # DEPENDENCYPART_ARC
(5,11),-0.0832039 # DEPENDENCYPART_ARC
(6,1),0.918087 # DEPENDENCYPART_ARC
(6,2),-0.615528 # DEPENDENCYPART_ARC
(6,3),0.496763 # DEPENDENCYPART_ARC
(6,4),-0.358989 # DEPENDENCYPART_ARC
(6,5),1.31938 # DEPENDENCYPART_ARC
(6,7),1.73062 # DEPENDENCYPART_ARC
(6,8),0.100794 # DEPENDENCYPART_ARC
(6,9),0.0956614 # DEPENDENCYPART_ARC
(6,10),1.69458 # DEPENDENCYPART_ARC
(6,11),-0.11466 # DEPENDENCYPART_ARC
(7,1),-0.789931 # DEPENDENCYPART_ARC
(7,2),-1.03736 # DEPENDENCYPART_ARC
(7,3),-0.515541 # DEPENDENCYPART_ARC
(7,4),-0.651488 # DEPENDENCYPART_ARC
(7,5),0.0687532 # DEPENDENCYPART_ARC
(7,6),-0.150116 # DEPENDENCYPART_ARC
(7,8),-0.65156 # DEPENDENCYPART_ARC
(7,9),-1.39759 # DEPENDENCYPART_ARC
(7,10),-1.26657 # DEPENDENCYPART_ARC
(7,11),-0.913419 # DEPENDENCYPART_ARC
(8,1),-2.69706 # DEPENDENCYPART_ARC
(8,2),-1.39933 # DEPENDENCYPART_ARC
(8,3),-1.21934 # DEPENDENCYPART_ARC
(8,4),-1.23512 # DEPENDENCYPART_ARC
(8,5),-1.52771 # DEPENDENCYPART_ARC
(8,6),-1.16466 # DEPENDENCYPART_ARC
(8,7),-0.736685 # DEPENDENCYPART_ARC
(8,9),-0.479944 # DEPENDENCYPART_ARC
(8,10),-1.02694 # DEPENDENCYPART_ARC
(8,11),-0.365892 # DEPENDENCYPART_ARC
(9,1),-3.60444 # DEPENDENCYPART_ARC
(9,2),-1.51758 # DEPENDENCYPART_ARC
(9,3),-1.38042 # DEPENDENCYPART_ARC
(9,4),-1.46145 # DEPENDENCYPART_ARC
(9,5),-1.16019 # DEPENDENCYPART_ARC
(9,6),-0.968619 # DEPENDENCYPART_ARC
(9,7),-1.40731 # DEPENDENCYPART_ARC
(9,8),2.15861 # DEPENDENCYPART_ARC
(9,10),0.812159 # DEPENDENCYPART_ARC
(9,11),-0.10884 # DEPENDENCYPART_ARC
(10,1),-2.22962 # DEPENDENCYPART_ARC
(10,2),-1.62053 # DEPENDENCYPART_ARC
(10,3),-1.52366 # DEPENDENCYPART_ARC
(10,4),-1.68357 # DEPENDENCYPART_ARC
(10,5),-1.6453 # DEPENDENCYPART_ARC
(10,6),-0.880312 # DEPENDENCYPART_ARC
(10,7),-1.29162 # DEPENDENCYPART_ARC
(10,8),0.967761 # DEPENDENCYPART_ARC
(10,9),1.70704 # DEPENDENCYPART_ARC
(10,11),2.04595 # DEPENDENCYPART_ARC
(11,1),-2.11016 # DEPENDENCYPART_ARC
(11,2),-1.58897 # DEPENDENCYPART_ARC
(11,3),-1.13981 # DEPENDENCYPART_ARC
(11,4),-1.41945 # DEPENDENCYPART_ARC
(11,5),-1.63248 # DEPENDENCYPART_ARC
(11,6),-1.22139 # DEPENDENCYPART_ARC
(11,7),-1.09016 # DEPENDENCYPART_ARC
(11,8),-1.07844 # DEPENDENCYPART_ARC
(11,9),-0.812861 # DEPENDENCYPART_ARC
(11,10),-0.51396 # DEPENDENCYPART_ARC
