# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,11,8,11,5,13,11,13,14,18,18,11,18,19,
(0,1),0.0198037 # DEPENDENCYPART_ARC
(0,2),-1.25022 # DEPENDENCYPART_ARC
(0,3),-0.406183 # DEPENDENCYPART_ARC
(0,4),-0.915763 # DEPENDENCYPART_ARC
(0,5),0.511051 # DEPENDENCYPART_ARC
(0,6),-0.116487 # DEPENDENCYPART_ARC
(0,7),-1.4644 # DEPENDENCYPART_ARC
(0,8),-0.487884 # DEPENDENCYPART_ARC
(0,9),-0.841532 # DEPENDENCYPART_ARC
(0,10),-0.5645 # DEPENDENCYPART_ARC
(0,11),0.0873595 # DEPENDENCYPART_ARC
(0,12),-0.885181 # DEPENDENCYPART_ARC
(0,13),-1.32009 # DEPENDENCYPART_ARC
(0,14),-1.25888 # DEPENDENCYPART_ARC
(0,15),-1.08297 # DEPENDENCYPART_ARC
(0,16),-1.26065 # DEPENDENCYPART_ARC
(0,17),-1.5842 # DEPENDENCYPART_ARC
(0,18),-1.1057 # DEPENDENCYPART_ARC
(0,19),-1.22459 # DEPENDENCYPART_ARC
(0,20),-2.07335 # DEPENDENCYPART_ARC
(1,2),-0.411824 # DEPENDENCYPART_ARC
(1,3),-1.15396 # DEPENDENCYPART_ARC
(1,4),-1.76617 # DEPENDENCYPART_ARC
(1,5),-1.87209 # DEPENDENCYPART_ARC
(1,6),-1.58637 # DEPENDENCYPART_ARC
(1,7),-1.70687 # DEPENDENCYPART_ARC
(1,8),-1.45649 # DEPENDENCYPART_ARC
(1,9),-1.64246 # DEPENDENCYPART_ARC
(1,10),-1.59004 # DEPENDENCYPART_ARC
(1,11),-1.64722 # DEPENDENCYPART_ARC
(1,12),-1.81909 # DEPENDENCYPART_ARC
(1,13),-1.75527 # DEPENDENCYPART_ARC
(1,14),-2.07565 # DEPENDENCYPART_ARC
(1,15),-1.96592 # DEPENDENCYPART_ARC
(1,16),-1.9517 # DEPENDENCYPART_ARC
(1,17),-2.00092 # DEPENDENCYPART_ARC
(1,18),-2.32121 # DEPENDENCYPART_ARC
(1,19),-1.77799 # DEPENDENCYPART_ARC
(1,20),-2.01502 # DEPENDENCYPART_ARC
(2,1),-0.687681 # DEPENDENCYPART_ARC
(2,3),-0.707727 # DEPENDENCYPART_ARC
(2,4),-0.895342 # DEPENDENCYPART_ARC
(2,5),-0.835525 # DEPENDENCYPART_ARC
(2,6),-0.918123 # DEPENDENCYPART_ARC
(2,7),-1.51725 # DEPENDENCYPART_ARC
(2,8),-1.66502 # DEPENDENCYPART_ARC
(2,9),-0.743605 # DEPENDENCYPART_ARC
(2,10),-1.83961 # DEPENDENCYPART_ARC
(2,11),-0.975638 # DEPENDENCYPART_ARC
(2,12),-1.5103 # DEPENDENCYPART_ARC
(2,13),-1.34893 # DEPENDENCYPART_ARC
(2,14),-1.71902 # DEPENDENCYPART_ARC
(2,15),-1.63348 # DEPENDENCYPART_ARC
(2,16),-1.89877 # DEPENDENCYPART_ARC
(2,17),-1.57207 # DEPENDENCYPART_ARC
(2,18),-1.99864 # DEPENDENCYPART_ARC
(2,19),-1.45656 # DEPENDENCYPART_ARC
(2,20),-1.58154 # DEPENDENCYPART_ARC
(3,1),-0.501438 # DEPENDENCYPART_ARC
(3,2),0.251837 # DEPENDENCYPART_ARC
(3,4),-0.0656822 # DEPENDENCYPART_ARC
(3,5),-1.00173 # DEPENDENCYPART_ARC
(3,6),-0.74719 # DEPENDENCYPART_ARC
(3,7),-0.997006 # DEPENDENCYPART_ARC
(3,8),-0.711507 # DEPENDENCYPART_ARC
(3,9),-0.182454 # DEPENDENCYPART_ARC
(3,10),-0.776323 # DEPENDENCYPART_ARC
(3,11),-1.12875 # DEPENDENCYPART_ARC
(3,12),-1.13762 # DEPENDENCYPART_ARC
(3,13),-0.873623 # DEPENDENCYPART_ARC
(3,14),-1.21266 # DEPENDENCYPART_ARC
(3,15),-0.789956 # DEPENDENCYPART_ARC
(3,16),-1.52444 # DEPENDENCYPART_ARC
(3,17),-1.36267 # DEPENDENCYPART_ARC
(3,18),-1.54957 # DEPENDENCYPART_ARC
(3,19),-0.952541 # DEPENDENCYPART_ARC
(3,20),-0.974803 # DEPENDENCYPART_ARC
(4,1),-0.197444 # DEPENDENCYPART_ARC
(4,2),-0.697281 # DEPENDENCYPART_ARC
(4,3),0.914524 # DEPENDENCYPART_ARC
(4,5),-0.118602 # DEPENDENCYPART_ARC
(4,6),-0.271306 # DEPENDENCYPART_ARC
(4,7),-1.19134 # DEPENDENCYPART_ARC
(4,8),-0.956424 # DEPENDENCYPART_ARC
(4,9),-0.601944 # DEPENDENCYPART_ARC
(4,10),-1.03314 # DEPENDENCYPART_ARC
(4,11),-1.48657 # DEPENDENCYPART_ARC
(4,12),-1.76279 # DEPENDENCYPART_ARC
(4,13),-1.07703 # DEPENDENCYPART_ARC
(4,14),-1.73673 # DEPENDENCYPART_ARC
(4,15),-0.832268 # DEPENDENCYPART_ARC
(4,16),-1.05248 # DEPENDENCYPART_ARC
(4,17),-1.81985 # DEPENDENCYPART_ARC
(4,18),-1.46882 # DEPENDENCYPART_ARC
(4,19),-0.913241 # DEPENDENCYPART_ARC
(4,20),-1.15729 # DEPENDENCYPART_ARC
(5,1),0.559255 # DEPENDENCYPART_ARC
(5,2),-0.463365 # DEPENDENCYPART_ARC
(5,3),0.85742 # DEPENDENCYPART_ARC
(5,4),1.58916 # DEPENDENCYPART_ARC
(5,6),1.88632 # DEPENDENCYPART_ARC
(5,7),1.06804 # DEPENDENCYPART_ARC
(5,8),0.134113 # DEPENDENCYPART_ARC
(5,9),-0.384861 # DEPENDENCYPART_ARC
(5,10),-0.380824 # DEPENDENCYPART_ARC
(5,11),0.102136 # DEPENDENCYPART_ARC
(5,12),-0.183872 # DEPENDENCYPART_ARC
(5,13),-0.310173 # DEPENDENCYPART_ARC
(5,14),0.0772563 # DEPENDENCYPART_ARC
(5,15),-0.547298 # DEPENDENCYPART_ARC
(5,16),-0.995045 # DEPENDENCYPART_ARC
(5,17),-0.935905 # DEPENDENCYPART_ARC
(5,18),-0.34888 # DEPENDENCYPART_ARC
(5,19),-0.459925 # DEPENDENCYPART_ARC
(5,20),-1.04058 # DEPENDENCYPART_ARC
(6,1),-1.1306 # DEPENDENCYPART_ARC
(6,2),-1.3578 # DEPENDENCYPART_ARC
