# _root_ zuk galdua zenion beldurra itsasoari txiki-txikitatik ; nik , berriz , gero_eta begirune handiagoa .
#goldHeads=3,3,0,3,3,3,6,0,8,0,10,13,0,13,14,
#predictedHeads=3,3,10,3,3,5,6,3,8,0,10,0,12,13,14,
(0,1),0.0602988 # DEPENDENCYPART_ARC
(0,2),-0.809837 # DEPENDENCYPART_ARC
(0,3),0.175998 # DEPENDENCYPART_ARC
(0,4),-0.395302 # DEPENDENCYPART_ARC
(0,5),-1.00568 # DEPENDENCYPART_ARC
(0,6),-0.860024 # DEPENDENCYPART_ARC
(0,7),0.481865 # DEPENDENCYPART_ARC
(0,8),-0.745066 # DEPENDENCYPART_ARC
(0,9),-0.351655 # DEPENDENCYPART_ARC
(0,10),1.55871 # DEPENDENCYPART_ARC
(0,11),-0.306824 # DEPENDENCYPART_ARC
(0,12),0.364329 # DEPENDENCYPART_ARC
(0,13),-1.48325 # DEPENDENCYPART_ARC
(0,14),-0.929243 # DEPENDENCYPART_ARC
(0,15),-0.662037 # DEPENDENCYPART_ARC
(1,2),-0.208703 # DEPENDENCYPART_ARC
(1,3),-1.95257 # DEPENDENCYPART_ARC
(1,4),-2.53695 # DEPENDENCYPART_ARC
(1,5),-2.8298 # DEPENDENCYPART_ARC
(1,6),-1.38319 # DEPENDENCYPART_ARC
(1,7),-1.14562 # DEPENDENCYPART_ARC
(1,8),-0.446247 # DEPENDENCYPART_ARC
(1,9),-1.25454 # DEPENDENCYPART_ARC
(1,10),-1.63301 # DEPENDENCYPART_ARC
(1,11),-1.28094 # DEPENDENCYPART_ARC
(1,12),-1.7891 # DEPENDENCYPART_ARC
(1,13),-2.63858 # DEPENDENCYPART_ARC
(1,14),-1.81437 # DEPENDENCYPART_ARC
(1,15),-1.42961 # DEPENDENCYPART_ARC
(2,1),1.51734 # DEPENDENCYPART_ARC
(2,3),-0.387703 # DEPENDENCYPART_ARC
(2,4),-0.697862 # DEPENDENCYPART_ARC
(2,5),-0.215863 # DEPENDENCYPART_ARC
(2,6),-0.474424 # DEPENDENCYPART_ARC
(2,7),-0.516654 # DEPENDENCYPART_ARC
(2,8),-0.505515 # DEPENDENCYPART_ARC
(2,9),-0.691857 # DEPENDENCYPART_ARC
(2,10),-0.692308 # DEPENDENCYPART_ARC
(2,11),-1.00992 # DEPENDENCYPART_ARC
(2,12),-0.627066 # DEPENDENCYPART_ARC
(2,13),-2.33543 # DEPENDENCYPART_ARC
(2,14),-2.5425 # DEPENDENCYPART_ARC
(2,15),-1.28932 # DEPENDENCYPART_ARC
(3,1),2.38795 # DEPENDENCYPART_ARC
(3,2),3.09566 # DEPENDENCYPART_ARC
(3,4),2.23573 # DEPENDENCYPART_ARC
