# _root_ puuuh , dirkek airea kanporatzen du , lasaiturik eta pozik dago
#goldHeads=4,1,5,5,7,5,0,9,7,11,9,
#predictedHeads=5,3,5,5,9,5,6,9,0,11,9,
(0,1),-0.143395 # DEPENDENCYPART_ARC
(0,2),-0.994057 # DEPENDENCYPART_ARC
(0,3),-0.597676 # DEPENDENCYPART_ARC
(0,4),-0.688803 # DEPENDENCYPART_ARC
(0,5),-0.0533233 # DEPENDENCYPART_ARC
(0,6),-0.839879 # DEPENDENCYPART_ARC
(0,7),-0.735666 # DEPENDENCYPART_ARC
(0,8),-0.705919 # DEPENDENCYPART_ARC
(0,9),0.0517435 # DEPENDENCYPART_ARC
(0,10),-0.863646 # DEPENDENCYPART_ARC
(0,11),-0.2516 # DEPENDENCYPART_ARC
(1,2),-0.372812 # DEPENDENCYPART_ARC
(1,3),-0.0250799 # DEPENDENCYPART_ARC
(1,4),-0.649251 # DEPENDENCYPART_ARC
(1,5),-1.23822 # DEPENDENCYPART_ARC
(1,7),-1.15203 # DEPENDENCYPART_ARC
(1,8),-1.46954 # DEPENDENCYPART_ARC
(1,11),-0.197955 # DEPENDENCYPART_ARC
(2,1),-0.548535 # DEPENDENCYPART_ARC
(2,3),-0.360994 # DEPENDENCYPART_ARC
(2,4),-0.948198 # DEPENDENCYPART_ARC
(2,5),-0.773182 # DEPENDENCYPART_ARC
(2,6),-0.996078 # DEPENDENCYPART_ARC
(2,8),-1.33698 # DEPENDENCYPART_ARC
(2,9),-1.37904 # DEPENDENCYPART_ARC
(2,11),-1.28931 # DEPENDENCYPART_ARC
(3,1),-0.812066 # DEPENDENCYPART_ARC
(3,2),-0.202009 # DEPENDENCYPART_ARC
(3,4),-0.434235 # DEPENDENCYPART_ARC
(3,5),-1.9748 # DEPENDENCYPART_ARC
(3,7),-1.06679 # DEPENDENCYPART_ARC
(3,8),-2.6893 # DEPENDENCYPART_ARC
(3,11),-1.38609 # DEPENDENCYPART_ARC
(4,1),-0.715753 # DEPENDENCYPART_ARC
(4,2),-0.933241 # DEPENDENCYPART_ARC
(4,3),0.643922 # DEPENDENCYPART_ARC
(4,5),-0.701941 # DEPENDENCYPART_ARC
(4,6),-0.545522 # DEPENDENCYPART_ARC
(4,7),-0.409114 # DEPENDENCYPART_ARC
(4,8),-1.76606 # DEPENDENCYPART_ARC
(4,9),-0.905698 # DEPENDENCYPART_ARC
(4,10),-0.708455 # DEPENDENCYPART_ARC
(4,11),-0.574038 # DEPENDENCYPART_ARC
(5,1),0.912925 # DEPENDENCYPART_ARC
(5,2),-1.17181 # DEPENDENCYPART_ARC
(5,3),1.68767 # DEPENDENCYPART_ARC
(5,4),2.55104 # DEPENDENCYPART_ARC
(5,6),2.7015 # DEPENDENCYPART_ARC
(5,7),-0.299334 # DEPENDENCYPART_ARC
(5,8),-0.0922393 # DEPENDENCYPART_ARC
(5,9),-0.446832 # DEPENDENCYPART_ARC
(5,10),-0.742565 # DEPENDENCYPART_ARC
(5,11),0.178257 # DEPENDENCYPART_ARC
(6,1),-1.01955 # DEPENDENCYPART_ARC
(6,2),-1.50174 # DEPENDENCYPART_ARC
(6,3),-0.35057 # DEPENDENCYPART_ARC
(6,4),-0.446805 # DEPENDENCYPART_ARC
(6,5),-0.461607 # DEPENDENCYPART_ARC
(6,7),1.51436 # DEPENDENCYPART_ARC
(6,8),-1.46949 # DEPENDENCYPART_ARC
(6,9),-1.05009 # DEPENDENCYPART_ARC
(6,10),-1.10834 # DEPENDENCYPART_ARC
(6,11),-1.3256 # DEPENDENCYPART_ARC
(7,1),-0.955247 # DEPENDENCYPART_ARC
(7,3),-0.502493 # DEPENDENCYPART_ARC
(7,4),-0.23737 # DEPENDENCYPART_ARC
(7,5),-0.138636 # DEPENDENCYPART_ARC
(7,6),0.0262989 # DEPENDENCYPART_ARC
(7,8),0.0242143 # DEPENDENCYPART_ARC
(7,9),-0.758143 # DEPENDENCYPART_ARC
(7,11),-0.694955 # DEPENDENCYPART_ARC
(8,1),-1.27038 # DEPENDENCYPART_ARC
(8,2),-1.32256 # DEPENDENCYPART_ARC
(8,3),-0.528721 # DEPENDENCYPART_ARC
(8,4),-0.312922 # DEPENDENCYPART_ARC
(8,5),-0.515458 # DEPENDENCYPART_ARC
(8,6),0.328872 # DEPENDENCYPART_ARC
(8,7),-0.0330324 # DEPENDENCYPART_ARC
(8,9),-0.387179 # DEPENDENCYPART_ARC
(8,10),-0.590416 # DEPENDENCYPART_ARC
(8,11),-1.06528 # DEPENDENCYPART_ARC
(9,1),-0.848923 # DEPENDENCYPART_ARC
(9,2),-1.72327 # DEPENDENCYPART_ARC
(9,3),-1.46832 # DEPENDENCYPART_ARC
(9,4),-1.14329 # DEPENDENCYPART_ARC
(9,5),0.2322 # DEPENDENCYPART_ARC
(9,6),-0.859147 # DEPENDENCYPART_ARC
(9,7),-1.079 # DEPENDENCYPART_ARC
(9,8),2.07003 # DEPENDENCYPART_ARC
(9,10),-0.127278 # DEPENDENCYPART_ARC
(9,11),0.460756 # DEPENDENCYPART_ARC
(10,2),-2.10927 # DEPENDENCYPART_ARC
(10,4),-1.88172 # DEPENDENCYPART_ARC
(10,5),-1.83093 # DEPENDENCYPART_ARC
(10,7),-1.54935 # DEPENDENCYPART_ARC
(10,8),-1.31511 # DEPENDENCYPART_ARC
(10,11),0.421972 # DEPENDENCYPART_ARC
(11,1),-1.34979 # DEPENDENCYPART_ARC
(11,2),-1.68726 # DEPENDENCYPART_ARC
(11,3),-0.796816 # DEPENDENCYPART_ARC
(11,4),-1.29183 # DEPENDENCYPART_ARC
(11,5),-0.978766 # DEPENDENCYPART_ARC
(11,6),-0.79016 # DEPENDENCYPART_ARC
(11,7),-1.29552 # DEPENDENCYPART_ARC
(11,8),0.679105 # DEPENDENCYPART_ARC
(11,9),0.0562899 # DEPENDENCYPART_ARC
(11,10),1.1274 # DEPENDENCYPART_ARC
