# _root_ has nadin holako batzu , ez denak , aipatzen .
#goldHeads=0,1,4,5,9,9,5,7,1,9,
#predictedHeads=0,1,4,7,4,7,9,7,1,9,
(0,1),0.376049 # DEPENDENCYPART_ARC
(0,2),0.00440461 # DEPENDENCYPART_ARC
(0,3),-0.763642 # DEPENDENCYPART_ARC
(0,4),-1.05559 # DEPENDENCYPART_ARC
(0,5),-0.387791 # DEPENDENCYPART_ARC
(0,6),-0.301485 # DEPENDENCYPART_ARC
(0,7),-1.21802 # DEPENDENCYPART_ARC
(0,8),-0.0385885 # DEPENDENCYPART_ARC
(0,9),-0.270906 # DEPENDENCYPART_ARC
(0,10),-0.486118 # DEPENDENCYPART_ARC
(1,2),2.36382 # DEPENDENCYPART_ARC
(1,3),-0.448688 # DEPENDENCYPART_ARC
(1,4),-0.495006 # DEPENDENCYPART_ARC
(1,5),-0.868386 # DEPENDENCYPART_ARC
(1,6),-0.431757 # DEPENDENCYPART_ARC
(1,7),-0.932293 # DEPENDENCYPART_ARC
(1,8),-0.942397 # DEPENDENCYPART_ARC
(1,9),-0.213433 # DEPENDENCYPART_ARC
(1,10),-0.860965 # DEPENDENCYPART_ARC
(2,1),-0.554295 # DEPENDENCYPART_ARC
(2,3),-0.669815 # DEPENDENCYPART_ARC
(2,4),-1.10972 # DEPENDENCYPART_ARC
(2,5),-0.697708 # DEPENDENCYPART_ARC
(2,6),-0.876269 # DEPENDENCYPART_ARC
(2,7),-1.60427 # DEPENDENCYPART_ARC
(2,8),-0.857549 # DEPENDENCYPART_ARC
(2,9),-1.1788 # DEPENDENCYPART_ARC
(2,10),-1.08366 # DEPENDENCYPART_ARC
(3,1),0.212829 # DEPENDENCYPART_ARC
(3,2),-0.0392633 # DEPENDENCYPART_ARC
(3,4),-0.474963 # DEPENDENCYPART_ARC
(3,5),-0.229125 # DEPENDENCYPART_ARC
(3,6),-1.18606 # DEPENDENCYPART_ARC
(3,7),-1.87127 # DEPENDENCYPART_ARC
(3,8),-0.819867 # DEPENDENCYPART_ARC
(3,9),-1.3294 # DEPENDENCYPART_ARC
(3,10),-0.753284 # DEPENDENCYPART_ARC
(4,1),-0.603938 # DEPENDENCYPART_ARC
(4,2),-0.64647 # DEPENDENCYPART_ARC
(4,3),0.604934 # DEPENDENCYPART_ARC
(4,5),1.51432 # DEPENDENCYPART_ARC
(4,6),-0.505418 # DEPENDENCYPART_ARC
(4,7),-1.19169 # DEPENDENCYPART_ARC
(4,8),0.138781 # DEPENDENCYPART_ARC
(4,9),-0.962862 # DEPENDENCYPART_ARC
(4,10),-0.385993 # DEPENDENCYPART_ARC
(5,1),-0.429582 # DEPENDENCYPART_ARC
(5,2),-0.472028 # DEPENDENCYPART_ARC
(5,3),-0.578848 # DEPENDENCYPART_ARC
(5,4),-0.443146 # DEPENDENCYPART_ARC
(5,6),-0.599165 # DEPENDENCYPART_ARC
(5,7),-1.22049 # DEPENDENCYPART_ARC
(5,8),-0.346981 # DEPENDENCYPART_ARC
(5,9),-0.642355 # DEPENDENCYPART_ARC
(5,10),-0.673571 # DEPENDENCYPART_ARC
(6,1),-1.60182 # DEPENDENCYPART_ARC
(6,2),-1.35747 # DEPENDENCYPART_ARC
(6,3),-1.37025 # DEPENDENCYPART_ARC
(6,4),-1.38201 # DEPENDENCYPART_ARC
(6,5),-0.170528 # DEPENDENCYPART_ARC
(6,7),-0.0179705 # DEPENDENCYPART_ARC
(6,8),0.0583548 # DEPENDENCYPART_ARC
(6,9),-1.04622 # DEPENDENCYPART_ARC
(6,10),-0.31277 # DEPENDENCYPART_ARC
(7,1),-1.0358 # DEPENDENCYPART_ARC
(7,2),-1.28531 # DEPENDENCYPART_ARC
(7,3),-0.196746 # DEPENDENCYPART_ARC
(7,4),0.0252139 # DEPENDENCYPART_ARC
(7,5),-0.498836 # DEPENDENCYPART_ARC
(7,6),0.479988 # DEPENDENCYPART_ARC
(7,8),1.24265 # DEPENDENCYPART_ARC
(7,9),-0.955321 # DEPENDENCYPART_ARC
(7,10),-0.462079 # DEPENDENCYPART_ARC
(8,1),-0.509586 # DEPENDENCYPART_ARC
(8,2),-0.558096 # DEPENDENCYPART_ARC
(8,3),-0.823101 # DEPENDENCYPART_ARC
(8,4),-1.20553 # DEPENDENCYPART_ARC
(8,5),-0.590187 # DEPENDENCYPART_ARC
(8,6),-0.562891 # DEPENDENCYPART_ARC
(8,7),-0.22875 # DEPENDENCYPART_ARC
(8,9),-0.0737168 # DEPENDENCYPART_ARC
(8,10),-0.0779117 # DEPENDENCYPART_ARC
(9,1),-0.486016 # DEPENDENCYPART_ARC
(9,2),-0.761749 # DEPENDENCYPART_ARC
(9,3),-0.196499 # DEPENDENCYPART_ARC
(9,4),-0.544067 # DEPENDENCYPART_ARC
(9,5),-0.625332 # DEPENDENCYPART_ARC
(9,6),-0.152635 # DEPENDENCYPART_ARC
(9,7),0.191736 # DEPENDENCYPART_ARC
(9,8),-0.114493 # DEPENDENCYPART_ARC
(9,10),1.8605 # DEPENDENCYPART_ARC
(10,1),-1.7992 # DEPENDENCYPART_ARC
(10,2),-1.2783 # DEPENDENCYPART_ARC
(10,3),-1.73294 # DEPENDENCYPART_ARC
(10,4),-1.88891 # DEPENDENCYPART_ARC
(10,5),-1.62602 # DEPENDENCYPART_ARC
(10,6),-1.37064 # DEPENDENCYPART_ARC
(10,7),-1.51377 # DEPENDENCYPART_ARC
(10,8),-1.3977 # DEPENDENCYPART_ARC
(10,9),-0.491356 # DEPENDENCYPART_ARC
