# _root_ haren ustez , eaj eta eaeko gobernua dira askatasun faltaren arduradunak , " etak finkatutako ildoak jarraitzen dituztelako " .
#goldHeads=2,8,2,5,7,5,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
#predictedHeads=2,8,2,5,8,5,8,0,10,11,5,11,12,15,16,17,8,17,18,19,
(0,1),-0.616392 # DEPENDENCYPART_ARC
(0,2),-0.638334 # DEPENDENCYPART_ARC
(0,3),-0.902746 # DEPENDENCYPART_ARC
(0,4),-0.599918 # DEPENDENCYPART_ARC
(0,5),-0.570516 # DEPENDENCYPART_ARC
(0,6),-0.840301 # DEPENDENCYPART_ARC
(0,7),-0.724226 # DEPENDENCYPART_ARC
(0,8),0.670884 # DEPENDENCYPART_ARC
(0,9),-1.04432 # DEPENDENCYPART_ARC
(0,10),-0.730862 # DEPENDENCYPART_ARC
(0,11),-0.825629 # DEPENDENCYPART_ARC
(0,12),-1.35835 # DEPENDENCYPART_ARC
(0,13),-2.32301 # DEPENDENCYPART_ARC
(0,14),-1.18749 # DEPENDENCYPART_ARC
(0,15),-1.488 # DEPENDENCYPART_ARC
(0,16),-1.15973 # DEPENDENCYPART_ARC
(0,17),-0.433441 # DEPENDENCYPART_ARC
(0,18),-1.22899 # DEPENDENCYPART_ARC
(0,19),-3.61873 # DEPENDENCYPART_ARC
(0,20),-2.69798 # DEPENDENCYPART_ARC
(1,2),-0.544173 # DEPENDENCYPART_ARC
(1,3),-1.09689 # DEPENDENCYPART_ARC
(1,4),-1.21115 # DEPENDENCYPART_ARC
(1,5),-1.64629 # DEPENDENCYPART_ARC
(1,6),-0.940565 # DEPENDENCYPART_ARC
(1,7),-1.54599 # DEPENDENCYPART_ARC
(1,8),-1.71621 # DEPENDENCYPART_ARC
(1,9),-2.01178 # DEPENDENCYPART_ARC
(1,10),-1.97234 # DEPENDENCYPART_ARC
(1,11),-2.6305 # DEPENDENCYPART_ARC
(1,12),-2.01899 # DEPENDENCYPART_ARC
(1,13),-2.04689 # DEPENDENCYPART_ARC
(1,14),-2.0602 # DEPENDENCYPART_ARC
(1,15),-1.86861 # DEPENDENCYPART_ARC
(1,16),-2.26545 # DEPENDENCYPART_ARC
(1,17),-2.25618 # DEPENDENCYPART_ARC
(1,18),-2.52501 # DEPENDENCYPART_ARC
(1,19),-2.24458 # DEPENDENCYPART_ARC
(1,20),-2.65613 # DEPENDENCYPART_ARC
(2,1),0.803331 # DEPENDENCYPART_ARC
(2,3),1.5565 # DEPENDENCYPART_ARC
(2,4),-0.816728 # DEPENDENCYPART_ARC
(2,5),-0.573234 # DEPENDENCYPART_ARC
(2,6),-1.08138 # DEPENDENCYPART_ARC
(2,7),-1.09877 # DEPENDENCYPART_ARC
(2,8),-0.953677 # DEPENDENCYPART_ARC
(2,9),-1.15309 # DEPENDENCYPART_ARC
(2,10),-1.20994 # DEPENDENCYPART_ARC
(2,11),-1.187 # DEPENDENCYPART_ARC
(2,12),-0.199029 # DEPENDENCYPART_ARC
(2,13),-0.487369 # DEPENDENCYPART_ARC
(2,14),-1.43757 # DEPENDENCYPART_ARC
(2,15),-1.72599 # DEPENDENCYPART_ARC
(2,16),-1.44352 # DEPENDENCYPART_ARC
(2,17),-1.69238 # DEPENDENCYPART_ARC
(2,18),-1.25642 # DEPENDENCYPART_ARC
(2,19),-0.798131 # DEPENDENCYPART_ARC
(2,20),-1.01415 # DEPENDENCYPART_ARC
(3,1),-1.32987 # DEPENDENCYPART_ARC
(3,2),-0.616642 # DEPENDENCYPART_ARC
(3,4),-0.734093 # DEPENDENCYPART_ARC
(3,5),-1.32799 # DEPENDENCYPART_ARC
(3,6),-1.22047 # DEPENDENCYPART_ARC
(3,7),-1.2246 # DEPENDENCYPART_ARC
(3,8),-0.955623 # DEPENDENCYPART_ARC
(3,9),-1.44972 # DEPENDENCYPART_ARC
(3,10),-1.52355 # DEPENDENCYPART_ARC
(3,11),-1.477 # DEPENDENCYPART_ARC
(3,12),-1.25962 # DEPENDENCYPART_ARC
(3,13),-0.873435 # DEPENDENCYPART_ARC
(3,14),-1.65084 # DEPENDENCYPART_ARC
(3,15),-1.97162 # DEPENDENCYPART_ARC
(3,16),-1.79541 # DEPENDENCYPART_ARC
(3,17),-2.21851 # DEPENDENCYPART_ARC
(3,18),-1.03078 # DEPENDENCYPART_ARC
(3,19),-1.78144 # DEPENDENCYPART_ARC
(3,20),-1.74913 # DEPENDENCYPART_ARC
(4,1),-2.03002 # DEPENDENCYPART_ARC
(4,2),-0.97111 # DEPENDENCYPART_ARC
(4,3),0.0979674 # DEPENDENCYPART_ARC
(4,5),-0.47753 # DEPENDENCYPART_ARC
(4,6),-1.30122 # DEPENDENCYPART_ARC
(4,7),-1.69431 # DEPENDENCYPART_ARC
(4,8),-3.23442 # DEPENDENCYPART_ARC
(4,9),-2.05301 # DEPENDENCYPART_ARC
(4,10),-1.73085 # DEPENDENCYPART_ARC
(4,11),-1.59868 # DEPENDENCYPART_ARC
(4,12),-1.40014 # DEPENDENCYPART_ARC
