# _root_ belandiako eliza altua da , labore baten erlaizea bailitzan , ( )
#goldHeads=2,4,4,0,4,8,6,9,4,9,0,0,
#predictedHeads=2,4,4,0,4,9,6,9,0,9,0,0,
(0,1),-0.468048 # DEPENDENCYPART_ARC
(0,2),-0.196835 # DEPENDENCYPART_ARC
(0,3),-0.985723 # DEPENDENCYPART_ARC
(0,4),0.470204 # DEPENDENCYPART_ARC
(0,5),-0.751856 # DEPENDENCYPART_ARC
(0,6),-1.25998 # DEPENDENCYPART_ARC
(0,7),-1.39367 # DEPENDENCYPART_ARC
(0,8),-1.47669 # DEPENDENCYPART_ARC
(0,9),-0.157806 # DEPENDENCYPART_ARC
(0,10),-0.708358 # DEPENDENCYPART_ARC
(0,11),5.60819 # DEPENDENCYPART_ARC
(0,12),4.82515 # DEPENDENCYPART_ARC
(1,2),-2.2258 # DEPENDENCYPART_ARC
(1,3),-3.36642 # DEPENDENCYPART_ARC
(1,4),-1.92945 # DEPENDENCYPART_ARC
(1,5),-2.50649 # DEPENDENCYPART_ARC
(1,6),-1.77482 # DEPENDENCYPART_ARC
(1,7),-2.8959 # DEPENDENCYPART_ARC
(1,8),-3.24295 # DEPENDENCYPART_ARC
(1,9),-2.23018 # DEPENDENCYPART_ARC
(1,10),-2.68736 # DEPENDENCYPART_ARC
(1,11),-2.80187 # DEPENDENCYPART_ARC
(1,12),-2.6356 # DEPENDENCYPART_ARC
(2,1),2.30595 # DEPENDENCYPART_ARC
(2,3),0.443433 # DEPENDENCYPART_ARC
(2,4),-0.934187 # DEPENDENCYPART_ARC
(2,5),-1.01482 # DEPENDENCYPART_ARC
(2,6),-1.02648 # DEPENDENCYPART_ARC
(2,7),-1.5834 # DEPENDENCYPART_ARC
(2,8),-2.65198 # DEPENDENCYPART_ARC
(2,9),-1.53128 # DEPENDENCYPART_ARC
(2,10),-1.625 # DEPENDENCYPART_ARC
(2,11),-1.82094 # DEPENDENCYPART_ARC
(2,12),-1.65089 # DEPENDENCYPART_ARC
(3,1),0.103767 # DEPENDENCYPART_ARC
(3,2),0.148226 # DEPENDENCYPART_ARC
(3,4),-0.440015 # DEPENDENCYPART_ARC
(3,5),0.119571 # DEPENDENCYPART_ARC
(3,6),-0.827747 # DEPENDENCYPART_ARC
(3,7),-0.95027 # DEPENDENCYPART_ARC
(3,8),-1.57639 # DEPENDENCYPART_ARC
(3,9),-1.40816 # DEPENDENCYPART_ARC
(3,10),-0.454192 # DEPENDENCYPART_ARC
(3,11),-0.525731 # DEPENDENCYPART_ARC
(3,12),-0.525396 # DEPENDENCYPART_ARC
(4,1),0.397561 # DEPENDENCYPART_ARC
(4,2),2.52956 # DEPENDENCYPART_ARC
(4,3),1.54104 # DEPENDENCYPART_ARC
(4,5),1.80721 # DEPENDENCYPART_ARC
(4,6),-0.290204 # DEPENDENCYPART_ARC
(4,7),-1.26683 # DEPENDENCYPART_ARC
(4,8),0.231515 # DEPENDENCYPART_ARC
(4,9),-0.484287 # DEPENDENCYPART_ARC
(4,10),0.0469128 # DEPENDENCYPART_ARC
(4,11),-0.4495 # DEPENDENCYPART_ARC
(4,12),-0.579162 # DEPENDENCYPART_ARC
(5,1),-0.820645 # DEPENDENCYPART_ARC
(5,2),-0.692793 # DEPENDENCYPART_ARC
(5,3),-0.767314 # DEPENDENCYPART_ARC
(5,4),0.298238 # DEPENDENCYPART_ARC
(5,6),-0.426391 # DEPENDENCYPART_ARC
(5,7),-0.79601 # DEPENDENCYPART_ARC
(5,8),-0.495112 # DEPENDENCYPART_ARC
(5,9),-0.479159 # DEPENDENCYPART_ARC
(5,10),-0.45413 # DEPENDENCYPART_ARC
(5,11),-0.366656 # DEPENDENCYPART_ARC
(5,12),-0.639963 # DEPENDENCYPART_ARC
(6,1),-1.00741 # DEPENDENCYPART_ARC
(6,2),-0.838885 # DEPENDENCYPART_ARC
