# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,11,14,15,18,11,18,21,25,25,24,25,18,25,26,29,25,29,
(0,1),1.91978 # DEPENDENCYPART_ARC
(0,3),1.77968 # DEPENDENCYPART_ARC
(0,4),-0.810395 # DEPENDENCYPART_ARC
(0,6),-0.88237 # DEPENDENCYPART_ARC
(0,7),-0.0379824 # DEPENDENCYPART_ARC
(0,8),-0.549233 # DEPENDENCYPART_ARC
(0,9),0.44365 # DEPENDENCYPART_ARC
(0,10),-0.760823 # DEPENDENCYPART_ARC
(0,11),0.550902 # DEPENDENCYPART_ARC
(0,12),-1.05159 # DEPENDENCYPART_ARC
(0,13),-1.1134 # DEPENDENCYPART_ARC
(0,14),-1.35692 # DEPENDENCYPART_ARC
(0,15),-1.44937 # DEPENDENCYPART_ARC
(0,16),-1.46997 # DEPENDENCYPART_ARC
(0,17),-1.08177 # DEPENDENCYPART_ARC
(0,18),-1.04827 # DEPENDENCYPART_ARC
(0,19),-0.66398 # DEPENDENCYPART_ARC
(0,21),-2.3192 # DEPENDENCYPART_ARC
(0,22),-0.866976 # DEPENDENCYPART_ARC
(0,23),-1.92003 # DEPENDENCYPART_ARC
(0,24),-2.44112 # DEPENDENCYPART_ARC
(0,25),-2.02966 # DEPENDENCYPART_ARC
(0,26),-1.96538 # DEPENDENCYPART_ARC
(0,27),-1.33698 # DEPENDENCYPART_ARC
(0,28),-2.5685 # DEPENDENCYPART_ARC
(0,29),-2.55479 # DEPENDENCYPART_ARC
(0,30),-3.69581 # DEPENDENCYPART_ARC
(1,2),0.16461 # DEPENDENCYPART_ARC
(1,3),-1.17969 # DEPENDENCYPART_ARC
(1,4),-1.65481 # DEPENDENCYPART_ARC
(1,6),-1.60008 # DEPENDENCYPART_ARC
(1,7),-1.96628 # DEPENDENCYPART_ARC
(1,8),-1.74476 # DEPENDENCYPART_ARC
(1,9),-2.04018 # DEPENDENCYPART_ARC
(1,10),-1.83082 # DEPENDENCYPART_ARC
(1,12),-2.19401 # DEPENDENCYPART_ARC
(1,13),-2.30212 # DEPENDENCYPART_ARC
(1,14),-2.27611 # DEPENDENCYPART_ARC
(1,16),-2.07086 # DEPENDENCYPART_ARC
(1,17),-1.83409 # DEPENDENCYPART_ARC
(1,18),-2.49246 # DEPENDENCYPART_ARC
(1,19),-2.51314 # DEPENDENCYPART_ARC
(1,21),-2.52986 # DEPENDENCYPART_ARC
(1,23),-2.79486 # DEPENDENCYPART_ARC
(1,24),-2.83656 # DEPENDENCYPART_ARC
(1,25),-2.67813 # DEPENDENCYPART_ARC
(1,27),-1.96212 # DEPENDENCYPART_ARC
(1,28),-3.11954 # DEPENDENCYPART_ARC
(1,29),-3.10983 # DEPENDENCYPART_ARC
(1,30),-3.12459 # DEPENDENCYPART_ARC
(2,1),-0.610518 # DEPENDENCYPART_ARC
(2,3),0.709634 # DEPENDENCYPART_ARC
(2,30),-2.71903 # DEPENDENCYPART_ARC
(3,1),-1.14928 # DEPENDENCYPART_ARC
(3,2),-0.369602 # DEPENDENCYPART_ARC
(3,4),-0.971552 # DEPENDENCYPART_ARC
(3,6),-1.15185 # DEPENDENCYPART_ARC
(3,7),-1.00915 # DEPENDENCYPART_ARC
(3,8),-0.735548 # DEPENDENCYPART_ARC
(3,9),-1.03618 # DEPENDENCYPART_ARC
(3,10),-0.854385 # DEPENDENCYPART_ARC
(3,12),-1.84064 # DEPENDENCYPART_ARC
(3,13),-1.81339 # DEPENDENCYPART_ARC
(3,14),-1.03813 # DEPENDENCYPART_ARC
(3,16),-1.59753 # DEPENDENCYPART_ARC
(3,17),-0.743074 # DEPENDENCYPART_ARC
(3,18),-1.40901 # DEPENDENCYPART_ARC
(3,19),-1.77022 # DEPENDENCYPART_ARC
(3,21),-2.19883 # DEPENDENCYPART_ARC
(3,23),-2.12923 # DEPENDENCYPART_ARC
(3,24),-2.3948 # DEPENDENCYPART_ARC
(3,25),-1.55668 # DEPENDENCYPART_ARC
(3,27),-0.927426 # DEPENDENCYPART_ARC
(3,28),-2.58658 # DEPENDENCYPART_ARC
(3,29),-2.49583 # DEPENDENCYPART_ARC
(3,30),-2.48299 # DEPENDENCYPART_ARC
(4,1),-1.67515 # DEPENDENCYPART_ARC
(4,2),-1.23891 # DEPENDENCYPART_ARC
(4,3),-0.342783 # DEPENDENCYPART_ARC
(4,5),0.972336 # DEPENDENCYPART_ARC
(4,6),-2.13985 # DEPENDENCYPART_ARC
(4,7),-3.19107 # DEPENDENCYPART_ARC
(4,9),-2.97505 # DEPENDENCYPART_ARC
(4,10),-1.65383 # DEPENDENCYPART_ARC
(4,12),-3.50816 # DEPENDENCYPART_ARC
(4,13),-2.83297 # DEPENDENCYPART_ARC
(4,14),-2.45905 # DEPENDENCYPART_ARC
(4,18),-3.83852 # DEPENDENCYPART_ARC
(4,19),-2.25213 # DEPENDENCYPART_ARC
(4,20),-2.7663 # DEPENDENCYPART_ARC
(4,21),-3.2673 # DEPENDENCYPART_ARC
(4,22),-1.89923 # DEPENDENCYPART_ARC
(4,23),-4.12514 # DEPENDENCYPART_ARC
(4,24),-2.40426 # DEPENDENCYPART_ARC
(4,25),-2.96225 # DEPENDENCYPART_ARC
(4,28),-3.58344 # DEPENDENCYPART_ARC
(4,29),-3.69949 # DEPENDENCYPART_ARC
(4,30),-1.93845 # DEPENDENCYPART_ARC
(5,7),-0.901621 # DEPENDENCYPART_ARC
(5,10),-0.722241 # DEPENDENCYPART_ARC
(5,14),-1.09801 # DEPENDENCYPART_ARC
(5,18),-1.47635 # DEPENDENCYPART_ARC
(5,19),-1.41524 # DEPENDENCYPART_ARC
(5,25),-1.16336 # DEPENDENCYPART_ARC
(5,30),-2.08747 # DEPENDENCYPART_ARC
(6,1),-1.03615 # DEPENDENCYPART_ARC
(6,2),-0.855275 # DEPENDENCYPART_ARC
(6,3),-0.523958 # DEPENDENCYPART_ARC
(6,4),-0.226679 # DEPENDENCYPART_ARC
(6,5),1.82277 # DEPENDENCYPART_ARC
(6,7),-1.08667 # DEPENDENCYPART_ARC
(6,8),-1.21012 # DEPENDENCYPART_ARC
(6,9),-2.02337 # DEPENDENCYPART_ARC
(6,10),-1.14662 # DEPENDENCYPART_ARC
(6,11),-0.507611 # DEPENDENCYPART_ARC
(6,12),-1.75933 # DEPENDENCYPART_ARC
(6,13),-1.53905 # DEPENDENCYPART_ARC
(6,14),-1.96108 # DEPENDENCYPART_ARC
(6,15),-1.95939 # DEPENDENCYPART_ARC
(6,16),-2.06369 # DEPENDENCYPART_ARC
(6,17),-2.08544 # DEPENDENCYPART_ARC
(6,18),-2.51813 # DEPENDENCYPART_ARC
(6,19),-2.00538 # DEPENDENCYPART_ARC
(6,20),-2.42644 # DEPENDENCYPART_ARC
(6,21),-1.92161 # DEPENDENCYPART_ARC
(6,22),-1.60259 # DEPENDENCYPART_ARC
(6,23),-2.44853 # DEPENDENCYPART_ARC
(6,24),-1.69032 # DEPENDENCYPART_ARC
(6,25),-2.11813 # DEPENDENCYPART_ARC
(6,26),-2.47401 # DEPENDENCYPART_ARC
(6,27),-3.31698 # DEPENDENCYPART_ARC
(6,28),-2.405 # DEPENDENCYPART_ARC
(6,29),-2.53306 # DEPENDENCYPART_ARC
(6,30),-1.59671 # DEPENDENCYPART_ARC
(7,1),-0.566789 # DEPENDENCYPART_ARC
(7,2),-0.838015 # DEPENDENCYPART_ARC
(7,3),-0.670425 # DEPENDENCYPART_ARC
(7,4),2.02381 # DEPENDENCYPART_ARC
(7,5),0.506965 # DEPENDENCYPART_ARC
(7,6),2.71483 # DEPENDENCYPART_ARC
(7,8),2.06521 # DEPENDENCYPART_ARC
(7,9),-0.756293 # DEPENDENCYPART_ARC
(7,10),-0.453407 # DEPENDENCYPART_ARC
(7,11),-0.355603 # DEPENDENCYPART_ARC
(7,12),-1.61516 # DEPENDENCYPART_ARC
(7,13),-0.354231 # DEPENDENCYPART_ARC
(7,14),-0.457413 # DEPENDENCYPART_ARC
(7,15),-1.14183 # DEPENDENCYPART_ARC
(7,16),-0.769209 # DEPENDENCYPART_ARC
(7,17),-1.34384 # DEPENDENCYPART_ARC
(7,18),-0.899493 # DEPENDENCYPART_ARC
(7,19),-0.781544 # DEPENDENCYPART_ARC
(7,20),-1.91945 # DEPENDENCYPART_ARC
(7,21),-1.49312 # DEPENDENCYPART_ARC
(7,22),-1.45601 # DEPENDENCYPART_ARC
(7,23),-2.28982 # DEPENDENCYPART_ARC
(7,24),-1.26386 # DEPENDENCYPART_ARC
(7,25),-1.72294 # DEPENDENCYPART_ARC
(7,26),-1.04757 # DEPENDENCYPART_ARC
(7,27),-1.99828 # DEPENDENCYPART_ARC
(7,28),-3.15105 # DEPENDENCYPART_ARC
(7,29),-1.2369 # DEPENDENCYPART_ARC
(7,30),-1.80525 # DEPENDENCYPART_ARC
(8,1),-1.49866 # DEPENDENCYPART_ARC
(8,2),-1.46636 # DEPENDENCYPART_ARC
(8,3),-1.47152 # DEPENDENCYPART_ARC
(8,4),-1.2381 # DEPENDENCYPART_ARC
(8,6),-0.565097 # DEPENDENCYPART_ARC
(8,7),-1.20889 # DEPENDENCYPART_ARC
(8,9),-1.66998 # DEPENDENCYPART_ARC
(8,10),-0.416864 # DEPENDENCYPART_ARC
(8,11),-0.991327 # DEPENDENCYPART_ARC
(8,12),-2.10557 # DEPENDENCYPART_ARC
(8,13),-2.06168 # DEPENDENCYPART_ARC
(8,14),-1.94138 # DEPENDENCYPART_ARC
(8,16),-1.49847 # DEPENDENCYPART_ARC
(8,17),-2.0821 # DEPENDENCYPART_ARC
(8,18),-2.87777 # DEPENDENCYPART_ARC
(8,19),-1.50183 # DEPENDENCYPART_ARC
(8,21),-1.97789 # DEPENDENCYPART_ARC
(8,22),-1.53018 # DEPENDENCYPART_ARC
(8,23),-2.683 # DEPENDENCYPART_ARC
(8,24),-2.62511 # DEPENDENCYPART_ARC
(8,25),-2.7938 # DEPENDENCYPART_ARC
(8,26),-1.70598 # DEPENDENCYPART_ARC
(8,27),-2.03754 # DEPENDENCYPART_ARC
(8,28),-2.85674 # DEPENDENCYPART_ARC
(8,29),-3.1535 # DEPENDENCYPART_ARC
(8,30),-2.57715 # DEPENDENCYPART_ARC
(9,1),-0.24332 # DEPENDENCYPART_ARC
(9,2),-0.517379 # DEPENDENCYPART_ARC
(9,3),-0.442632 # DEPENDENCYPART_ARC
(9,4),1.43269 # DEPENDENCYPART_ARC
(9,6),0.764003 # DEPENDENCYPART_ARC
(9,7),1.92965 # DEPENDENCYPART_ARC
(9,8),0.017556 # DEPENDENCYPART_ARC
(9,10),1.65134 # DEPENDENCYPART_ARC
(9,11),-0.409309 # DEPENDENCYPART_ARC
(9,12),-1.68125 # DEPENDENCYPART_ARC
(9,13),0.427729 # DEPENDENCYPART_ARC
(9,14),-0.788741 # DEPENDENCYPART_ARC
(9,15),-0.948126 # DEPENDENCYPART_ARC
(9,16),-1.18874 # DEPENDENCYPART_ARC
(9,17),-1.07406 # DEPENDENCYPART_ARC
(9,18),-1.16931 # DEPENDENCYPART_ARC
(9,19),-0.0913445 # DEPENDENCYPART_ARC
(9,21),-0.886279 # DEPENDENCYPART_ARC
(9,22),-1.61024 # DEPENDENCYPART_ARC
(9,23),-2.82622 # DEPENDENCYPART_ARC
(9,24),-1.18163 # DEPENDENCYPART_ARC
(9,25),-1.60706 # DEPENDENCYPART_ARC
(9,26),-0.991334 # DEPENDENCYPART_ARC
(9,27),-1.58098 # DEPENDENCYPART_ARC
(9,28),-2.84663 # DEPENDENCYPART_ARC
(9,29),-1.72616 # DEPENDENCYPART_ARC
(9,30),-1.4069 # DEPENDENCYPART_ARC
(10,1),-1.65601 # DEPENDENCYPART_ARC
(10,3),-1.4968 # DEPENDENCYPART_ARC
(10,4),-1.34228 # DEPENDENCYPART_ARC
(10,6),-1.02903 # DEPENDENCYPART_ARC
(10,7),-0.819019 # DEPENDENCYPART_ARC
(10,8),-1.10565 # DEPENDENCYPART_ARC
(10,9),-0.0840074 # DEPENDENCYPART_ARC
(10,11),-0.3654 # DEPENDENCYPART_ARC
(10,12),-1.42349 # DEPENDENCYPART_ARC
(10,13),-1.24678 # DEPENDENCYPART_ARC
(10,14),-1.11574 # DEPENDENCYPART_ARC
(10,15),-1.56661 # DEPENDENCYPART_ARC
(10,17),-1.51281 # DEPENDENCYPART_ARC
(10,18),-1.56843 # DEPENDENCYPART_ARC
(10,21),-1.93514 # DEPENDENCYPART_ARC
(10,23),-2.12819 # DEPENDENCYPART_ARC
(10,24),-2.08066 # DEPENDENCYPART_ARC
(10,25),-1.7895 # DEPENDENCYPART_ARC
(10,27),-1.73809 # DEPENDENCYPART_ARC
(10,28),-2.45149 # DEPENDENCYPART_ARC
(10,29),-2.40738 # DEPENDENCYPART_ARC
(11,1),-1.07301 # DEPENDENCYPART_ARC
(11,2),-1.01893 # DEPENDENCYPART_ARC
(11,3),-0.946321 # DEPENDENCYPART_ARC
(11,4),-1.86732 # DEPENDENCYPART_ARC
(11,5),-0.737115 # DEPENDENCYPART_ARC
(11,6),-1.25468 # DEPENDENCYPART_ARC
(11,7),1.20856 # DEPENDENCYPART_ARC
(11,8),-0.46656 # DEPENDENCYPART_ARC
(11,9),0.771179 # DEPENDENCYPART_ARC
(11,10),-0.0195643 # DEPENDENCYPART_ARC
(11,12),-0.3176 # DEPENDENCYPART_ARC
(11,13),0.113429 # DEPENDENCYPART_ARC
(11,14),0.393187 # DEPENDENCYPART_ARC
(11,15),-0.836829 # DEPENDENCYPART_ARC
(11,16),0.02542 # DEPENDENCYPART_ARC
(11,17),-1.05633 # DEPENDENCYPART_ARC
(11,18),-0.00227504 # DEPENDENCYPART_ARC
(11,19),-0.118737 # DEPENDENCYPART_ARC
(11,20),-1.14064 # DEPENDENCYPART_ARC
(11,21),-0.887916 # DEPENDENCYPART_ARC
(11,22),-1.11077 # DEPENDENCYPART_ARC
(11,23),-1.6225 # DEPENDENCYPART_ARC
(11,24),-1.20259 # DEPENDENCYPART_ARC
(11,25),-1.04321 # DEPENDENCYPART_ARC
(11,26),-0.459907 # DEPENDENCYPART_ARC
(11,27),-0.170792 # DEPENDENCYPART_ARC
(11,28),-1.71228 # DEPENDENCYPART_ARC
(11,29),-1.21141 # DEPENDENCYPART_ARC
(11,30),-0.902762 # DEPENDENCYPART_ARC
(12,1),-2.69039 # DEPENDENCYPART_ARC
(12,2),-2.46648 # DEPENDENCYPART_ARC
(12,3),-2.32411 # DEPENDENCYPART_ARC
