# _root_ ene bizitzan , bilbora etorri aurrez , ez dut inoiz griperik harrapatu izan .
#goldHeads=2,12,2,5,12,5,6,12,12,12,12,0,12,13,
#predictedHeads=2,5,2,5,13,5,6,13,13,13,12,0,12,13,
(0,1),0.0736673 # DEPENDENCYPART_ARC
(0,2),-1.0524 # DEPENDENCYPART_ARC
(0,3),-0.507836 # DEPENDENCYPART_ARC
(0,4),-0.648459 # DEPENDENCYPART_ARC
(0,5),-0.879289 # DEPENDENCYPART_ARC
(0,6),-0.93118 # DEPENDENCYPART_ARC
(0,7),-0.626052 # DEPENDENCYPART_ARC
(0,8),-1.33332 # DEPENDENCYPART_ARC
(0,9),-0.706466 # DEPENDENCYPART_ARC
(0,10),-0.759554 # DEPENDENCYPART_ARC
(0,11),-1.04349 # DEPENDENCYPART_ARC
(0,12),-0.488373 # DEPENDENCYPART_ARC
(0,13),-0.758323 # DEPENDENCYPART_ARC
(0,14),-1.81705 # DEPENDENCYPART_ARC
(1,2),-1.07522 # DEPENDENCYPART_ARC
(1,3),-0.648343 # DEPENDENCYPART_ARC
(1,4),-1.84591 # DEPENDENCYPART_ARC
(1,5),-1.69699 # DEPENDENCYPART_ARC
(1,6),-1.90106 # DEPENDENCYPART_ARC
(1,7),-1.07502 # DEPENDENCYPART_ARC
(1,8),-2.01556 # DEPENDENCYPART_ARC
(1,9),-2.0965 # DEPENDENCYPART_ARC
(1,10),-1.51297 # DEPENDENCYPART_ARC
(1,11),-2.15441 # DEPENDENCYPART_ARC
(1,12),-1.96961 # DEPENDENCYPART_ARC
(1,13),-1.89057 # DEPENDENCYPART_ARC
(1,14),-1.45629 # DEPENDENCYPART_ARC
(2,1),2.63979 # DEPENDENCYPART_ARC
(2,3),1.55147 # DEPENDENCYPART_ARC
(2,4),-0.6518 # DEPENDENCYPART_ARC
(2,5),-0.97703 # DEPENDENCYPART_ARC
(2,6),-1.24457 # DEPENDENCYPART_ARC
(2,7),-0.407728 # DEPENDENCYPART_ARC
(2,8),-1.81758 # DEPENDENCYPART_ARC
(2,9),-2.24383 # DEPENDENCYPART_ARC
(2,10),-1.01684 # DEPENDENCYPART_ARC
(2,11),-1.50299 # DEPENDENCYPART_ARC
(2,12),-1.26728 # DEPENDENCYPART_ARC
(2,13),-2.3464 # DEPENDENCYPART_ARC
(2,14),-0.849206 # DEPENDENCYPART_ARC
(3,1),-0.528229 # DEPENDENCYPART_ARC
(3,2),-0.0342271 # DEPENDENCYPART_ARC
(3,4),-0.214132 # DEPENDENCYPART_ARC
(3,5),-0.462458 # DEPENDENCYPART_ARC
(3,6),-0.495106 # DEPENDENCYPART_ARC
(3,7),-0.43806 # DEPENDENCYPART_ARC
(3,8),-1.20225 # DEPENDENCYPART_ARC
(3,9),-0.707963 # DEPENDENCYPART_ARC
(3,10),-1.29679 # DEPENDENCYPART_ARC
(3,11),-1.03209 # DEPENDENCYPART_ARC
(3,12),-0.772101 # DEPENDENCYPART_ARC
(3,13),-1.14054 # DEPENDENCYPART_ARC
(3,14),-0.870582 # DEPENDENCYPART_ARC
(4,1),0.247033 # DEPENDENCYPART_ARC
(4,2),-4.24276 # DEPENDENCYPART_ARC
(4,3),-0.400233 # DEPENDENCYPART_ARC
(4,5),-0.460386 # DEPENDENCYPART_ARC
(4,6),-0.925887 # DEPENDENCYPART_ARC
(4,7),-0.804739 # DEPENDENCYPART_ARC
(4,8),-2.36905 # DEPENDENCYPART_ARC
(4,9),-2.69468 # DEPENDENCYPART_ARC
(4,10),-1.30545 # DEPENDENCYPART_ARC
(4,11),-2.32143 # DEPENDENCYPART_ARC
(4,12),-1.853 # DEPENDENCYPART_ARC
(4,13),-3.16014 # DEPENDENCYPART_ARC
(4,14),-1.3925 # DEPENDENCYPART_ARC
(5,1),-0.339832 # DEPENDENCYPART_ARC
(5,2),0.253435 # DEPENDENCYPART_ARC
(5,3),-1.12572 # DEPENDENCYPART_ARC
(5,4),2.71632 # DEPENDENCYPART_ARC
(5,6),1.73554 # DEPENDENCYPART_ARC
(5,7),-0.238098 # DEPENDENCYPART_ARC
(5,8),-0.163999 # DEPENDENCYPART_ARC
(5,9),-0.0402953 # DEPENDENCYPART_ARC
(5,10),-0.516233 # DEPENDENCYPART_ARC
(5,11),-1.13055 # DEPENDENCYPART_ARC
(5,12),-0.451406 # DEPENDENCYPART_ARC
(5,13),-0.115366 # DEPENDENCYPART_ARC
(5,14),-0.727389 # DEPENDENCYPART_ARC
(6,1),-0.208303 # DEPENDENCYPART_ARC
(6,2),-2.40548 # DEPENDENCYPART_ARC
(6,3),-0.963318 # DEPENDENCYPART_ARC
(6,4),-0.526408 # DEPENDENCYPART_ARC
(6,5),0.777994 # DEPENDENCYPART_ARC
(6,7),1.85095 # DEPENDENCYPART_ARC
(6,8),-0.475464 # DEPENDENCYPART_ARC
(6,9),-0.640854 # DEPENDENCYPART_ARC
(6,10),-0.520935 # DEPENDENCYPART_ARC
(6,11),-0.631132 # DEPENDENCYPART_ARC
