# _root_ galtza beltzak jantzi , alkandora zuria lotu eta txaleko gorria sartu nuen sorbaldetan_behera , ( )
#goldHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
#predictedHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
(0,1),-0.641294 # DEPENDENCYPART_ARC
(0,2),-1.29421 # DEPENDENCYPART_ARC
(0,3),-0.308729 # DEPENDENCYPART_ARC
(0,4),-0.545808 # DEPENDENCYPART_ARC
(0,5),-1.21562 # DEPENDENCYPART_ARC
(0,6),-1.47554 # DEPENDENCYPART_ARC
(0,7),-0.643102 # DEPENDENCYPART_ARC
(0,8),-0.174285 # DEPENDENCYPART_ARC
(0,9),-1.84411 # DEPENDENCYPART_ARC
(0,10),-1.60218 # DEPENDENCYPART_ARC
(0,11),0.35649 # DEPENDENCYPART_ARC
(0,12),-0.732157 # DEPENDENCYPART_ARC
(0,13),-2.74741 # DEPENDENCYPART_ARC
(0,14),-0.532874 # DEPENDENCYPART_ARC
(0,15),6.91682 # DEPENDENCYPART_ARC
(0,16),4.86214 # DEPENDENCYPART_ARC
(1,2),2.30705 # DEPENDENCYPART_ARC
(1,3),-0.497655 # DEPENDENCYPART_ARC
(1,4),-1.51356 # DEPENDENCYPART_ARC
(1,5),-0.79652 # DEPENDENCYPART_ARC
(1,6),0.257188 # DEPENDENCYPART_ARC
(1,7),-1.05501 # DEPENDENCYPART_ARC
(1,8),-0.788243 # DEPENDENCYPART_ARC
(1,9),-1.12476 # DEPENDENCYPART_ARC
(1,10),-0.407566 # DEPENDENCYPART_ARC
(1,11),-1.69019 # DEPENDENCYPART_ARC
(1,12),-1.77331 # DEPENDENCYPART_ARC
(1,13),-1.32178 # DEPENDENCYPART_ARC
(1,14),-2.28476 # DEPENDENCYPART_ARC
(1,15),-2.18614 # DEPENDENCYPART_ARC
(1,16),-1.88304 # DEPENDENCYPART_ARC
(2,1),0.138811 # DEPENDENCYPART_ARC
(2,3),-0.555178 # DEPENDENCYPART_ARC
(2,4),-0.338009 # DEPENDENCYPART_ARC
(2,5),-1.68593 # DEPENDENCYPART_ARC
(2,6),-1.30459 # DEPENDENCYPART_ARC
(2,7),-1.66727 # DEPENDENCYPART_ARC
(2,8),-1.26372 # DEPENDENCYPART_ARC
(2,9),-2.0403 # DEPENDENCYPART_ARC
(2,10),-1.64234 # DEPENDENCYPART_ARC
(2,11),-2.58608 # DEPENDENCYPART_ARC
(2,12),-1.51558 # DEPENDENCYPART_ARC
(2,13),-2.31778 # DEPENDENCYPART_ARC
(2,14),-1.34962 # DEPENDENCYPART_ARC
(2,15),-1.48861 # DEPENDENCYPART_ARC
(2,16),-1.40375 # DEPENDENCYPART_ARC
(3,1),1.53795 # DEPENDENCYPART_ARC
(3,2),0.826812 # DEPENDENCYPART_ARC
(3,4),1.77889 # DEPENDENCYPART_ARC
(3,5),-0.308674 # DEPENDENCYPART_ARC
(3,6),-0.461991 # DEPENDENCYPART_ARC
(3,7),0.137608 # DEPENDENCYPART_ARC
(3,8),-0.296887 # DEPENDENCYPART_ARC
(3,9),-1.22429 # DEPENDENCYPART_ARC
(3,10),-1.0494 # DEPENDENCYPART_ARC
