# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(0,1),0.23868 # DEPENDENCYPART_ARC
(0,2),-1.22122 # DEPENDENCYPART_ARC
(0,3),-0.630609 # DEPENDENCYPART_ARC
(0,4),-0.756275 # DEPENDENCYPART_ARC
(0,5),-0.840992 # DEPENDENCYPART_ARC
(0,6),0.38796 # DEPENDENCYPART_ARC
(0,7),0.170705 # DEPENDENCYPART_ARC
(0,8),-1.44227 # DEPENDENCYPART_ARC
(0,9),-1.10317 # DEPENDENCYPART_ARC
(0,10),-1.04882 # DEPENDENCYPART_ARC
(0,11),-0.983894 # DEPENDENCYPART_ARC
(0,12),-1.01836 # DEPENDENCYPART_ARC
(0,13),-1.17077 # DEPENDENCYPART_ARC
(0,14),-1.67454 # DEPENDENCYPART_ARC
(0,15),-1.58636 # DEPENDENCYPART_ARC
(0,16),-1.62366 # DEPENDENCYPART_ARC
(0,17),-0.434611 # DEPENDENCYPART_ARC
(0,18),-0.310774 # DEPENDENCYPART_ARC
(0,19),-2.30555 # DEPENDENCYPART_ARC
(0,20),-2.51863 # DEPENDENCYPART_ARC
(1,2),0.771862 # DEPENDENCYPART_ARC
(1,3),-0.625867 # DEPENDENCYPART_ARC
(1,4),-1.32181 # DEPENDENCYPART_ARC
(1,5),-0.96738 # DEPENDENCYPART_ARC
(1,6),-1.32032 # DEPENDENCYPART_ARC
(1,7),-1.19236 # DEPENDENCYPART_ARC
(1,8),-1.26733 # DEPENDENCYPART_ARC
(1,9),-0.76496 # DEPENDENCYPART_ARC
(1,10),-1.25627 # DEPENDENCYPART_ARC
(1,11),-0.993243 # DEPENDENCYPART_ARC
(1,12),-1.69638 # DEPENDENCYPART_ARC
(1,13),-1.45777 # DEPENDENCYPART_ARC
(1,14),-1.95714 # DEPENDENCYPART_ARC
(1,15),-1.94736 # DEPENDENCYPART_ARC
(1,16),-1.57601 # DEPENDENCYPART_ARC
(1,17),-1.77437 # DEPENDENCYPART_ARC
(1,18),-1.41097 # DEPENDENCYPART_ARC
(1,19),-1.74345 # DEPENDENCYPART_ARC
(1,20),-1.29704 # DEPENDENCYPART_ARC
(2,4),-1.1558 # DEPENDENCYPART_ARC
(2,6),-1.22812 # DEPENDENCYPART_ARC
(2,7),-1.19682 # DEPENDENCYPART_ARC
(2,8),-1.78378 # DEPENDENCYPART_ARC
(2,10),-1.96539 # DEPENDENCYPART_ARC
(2,11),-1.71427 # DEPENDENCYPART_ARC
(2,12),-1.89849 # DEPENDENCYPART_ARC
(2,13),-1.98659 # DEPENDENCYPART_ARC
(2,14),-2.19518 # DEPENDENCYPART_ARC
(2,15),-1.79884 # DEPENDENCYPART_ARC
(2,16),-2.17949 # DEPENDENCYPART_ARC
(2,17),-2.12542 # DEPENDENCYPART_ARC
(2,18),-1.86833 # DEPENDENCYPART_ARC
(2,19),-2.45142 # DEPENDENCYPART_ARC
(3,1),-0.680741 # DEPENDENCYPART_ARC
(3,2),0.110054 # DEPENDENCYPART_ARC
(3,4),-0.38553 # DEPENDENCYPART_ARC
(3,5),-0.675009 # DEPENDENCYPART_ARC
(3,6),-1.41531 # DEPENDENCYPART_ARC
(3,7),-1.10437 # DEPENDENCYPART_ARC
(3,8),-1.19365 # DEPENDENCYPART_ARC
(3,9),-0.7025 # DEPENDENCYPART_ARC
(3,10),-1.35959 # DEPENDENCYPART_ARC
(3,11),-1.26843 # DEPENDENCYPART_ARC
(3,12),-1.44774 # DEPENDENCYPART_ARC
(3,13),-1.36567 # DEPENDENCYPART_ARC
(3,14),-1.54154 # DEPENDENCYPART_ARC
(3,15),-1.9953 # DEPENDENCYPART_ARC
(3,16),-1.66535 # DEPENDENCYPART_ARC
(3,17),-1.93737 # DEPENDENCYPART_ARC
(3,18),-1.36648 # DEPENDENCYPART_ARC
(3,19),-1.64429 # DEPENDENCYPART_ARC
(3,20),-1.25691 # DEPENDENCYPART_ARC
(4,1),0.107741 # DEPENDENCYPART_ARC
(4,2),-0.923377 # DEPENDENCYPART_ARC
(4,3),1.17944 # DEPENDENCYPART_ARC
(4,5),0.268531 # DEPENDENCYPART_ARC
(4,6),-1.81033 # DEPENDENCYPART_ARC
(4,7),-2.29237 # DEPENDENCYPART_ARC
(4,8),-1.15207 # DEPENDENCYPART_ARC
(4,9),-1.39853 # DEPENDENCYPART_ARC
(4,10),-1.80576 # DEPENDENCYPART_ARC
(4,11),-0.889232 # DEPENDENCYPART_ARC
(4,12),-3.9876 # DEPENDENCYPART_ARC
(4,13),-2.50291 # DEPENDENCYPART_ARC
(4,14),-3.78614 # DEPENDENCYPART_ARC
(4,15),-2.78206 # DEPENDENCYPART_ARC
(4,16),-3.45183 # DEPENDENCYPART_ARC
(4,17),-2.8214 # DEPENDENCYPART_ARC
(4,18),-4.33373 # DEPENDENCYPART_ARC
(4,19),-1.90166 # DEPENDENCYPART_ARC
(4,20),-2.01747 # DEPENDENCYPART_ARC
(5,1),-0.829463 # DEPENDENCYPART_ARC
(5,2),-0.741534 # DEPENDENCYPART_ARC
(5,3),-0.449513 # DEPENDENCYPART_ARC
(5,4),-0.0201464 # DEPENDENCYPART_ARC
(5,6),-0.512724 # DEPENDENCYPART_ARC
(5,7),-0.491527 # DEPENDENCYPART_ARC
(5,8),-1.02974 # DEPENDENCYPART_ARC
(5,9),-0.543968 # DEPENDENCYPART_ARC
(5,10),-1.22065 # DEPENDENCYPART_ARC
(5,11),-1.03605 # DEPENDENCYPART_ARC
(5,12),-1.34924 # DEPENDENCYPART_ARC
(5,13),-1.38294 # DEPENDENCYPART_ARC
(5,14),-1.41913 # DEPENDENCYPART_ARC
(5,15),-1.79328 # DEPENDENCYPART_ARC
(5,16),-1.44518 # DEPENDENCYPART_ARC
(5,17),-1.8052 # DEPENDENCYPART_ARC
(5,18),-1.48149 # DEPENDENCYPART_ARC
(5,19),-1.60541 # DEPENDENCYPART_ARC
(5,20),-1.03523 # DEPENDENCYPART_ARC
(6,1),0.132797 # DEPENDENCYPART_ARC
(6,2),-0.951537 # DEPENDENCYPART_ARC
(6,3),0.425811 # DEPENDENCYPART_ARC
(6,4),1.76449 # DEPENDENCYPART_ARC
(6,5),1.13959 # DEPENDENCYPART_ARC
(6,7),2.70787 # DEPENDENCYPART_ARC
(6,8),0.712275 # DEPENDENCYPART_ARC
(6,9),-0.546981 # DEPENDENCYPART_ARC
(6,10),-0.74107 # DEPENDENCYPART_ARC
(6,11),0.0663302 # DEPENDENCYPART_ARC
(6,12),-2.35102 # DEPENDENCYPART_ARC
(6,13),-1.58602 # DEPENDENCYPART_ARC
(6,14),-2.15473 # DEPENDENCYPART_ARC
(6,15),-1.69938 # DEPENDENCYPART_ARC
(6,16),-1.64605 # DEPENDENCYPART_ARC
(6,17),-0.943031 # DEPENDENCYPART_ARC
(6,18),-1.6783 # DEPENDENCYPART_ARC
(6,19),-0.531134 # DEPENDENCYPART_ARC
(6,20),-1.20894 # DEPENDENCYPART_ARC
(7,1),-1.2762 # DEPENDENCYPART_ARC
(7,2),-1.65695 # DEPENDENCYPART_ARC
(7,3),-1.19144 # DEPENDENCYPART_ARC
(7,4),-1.2116 # DEPENDENCYPART_ARC
(7,5),-0.886392 # DEPENDENCYPART_ARC
(7,6),-1.20967 # DEPENDENCYPART_ARC
(7,8),-0.82922 # DEPENDENCYPART_ARC
(7,9),-0.338589 # DEPENDENCYPART_ARC
(7,10),-1.31243 # DEPENDENCYPART_ARC
(7,11),-0.786114 # DEPENDENCYPART_ARC
(7,12),-3.08297 # DEPENDENCYPART_ARC
(7,13),-2.42934 # DEPENDENCYPART_ARC
(7,14),-3.78577 # DEPENDENCYPART_ARC
(7,15),-1.80963 # DEPENDENCYPART_ARC
(7,16),-3.55461 # DEPENDENCYPART_ARC
(7,17),-2.18706 # DEPENDENCYPART_ARC
(7,18),-1.652 # DEPENDENCYPART_ARC
(7,19),-2.2444 # DEPENDENCYPART_ARC
(7,20),-1.87711 # DEPENDENCYPART_ARC
(8,1),-1.36301 # DEPENDENCYPART_ARC
(8,2),-1.30124 # DEPENDENCYPART_ARC
(8,3),-1.13977 # DEPENDENCYPART_ARC
(8,4),-1.69007 # DEPENDENCYPART_ARC
(8,5),-0.720901 # DEPENDENCYPART_ARC
(8,6),0.545844 # DEPENDENCYPART_ARC
(8,7),-0.251066 # DEPENDENCYPART_ARC
