# _root_ Paul_L._Ravelo , doctor en ciències filosòfiques per la Universitat_de_l'_Havana , impartirà a la Casa_de_Cultura de Girona el curs ' Els_mites_de_la_globalització_neoliberal ' .
#goldHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
#predictedHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
(0,1),-5.85561 # DEPENDENCYPART_ARC
(0,2),-7.8419 # DEPENDENCYPART_ARC
(0,3),-6.5916 # DEPENDENCYPART_ARC
(0,4),-7.75905 # DEPENDENCYPART_ARC
(0,5),-6.88184 # DEPENDENCYPART_ARC
(0,6),-7.66388 # DEPENDENCYPART_ARC
(0,7),-7.91045 # DEPENDENCYPART_ARC
(0,8),-9.64409 # DEPENDENCYPART_ARC
(0,9),-7.05449 # DEPENDENCYPART_ARC
(0,10),-8.1321 # DEPENDENCYPART_ARC
(0,11),-1.23085 # DEPENDENCYPART_ARC
(0,12),-8.57882 # DEPENDENCYPART_ARC
(0,13),-10.0787 # DEPENDENCYPART_ARC
(0,14),-7.69126 # DEPENDENCYPART_ARC
(0,15),-9.06699 # DEPENDENCYPART_ARC
(0,16),-7.47778 # DEPENDENCYPART_ARC
(0,17),-10.15 # DEPENDENCYPART_ARC
(0,18),-7.26771 # DEPENDENCYPART_ARC
(0,19),-8.68908 # DEPENDENCYPART_ARC
(0,20),-7.50528 # DEPENDENCYPART_ARC
(0,21),-8.85391 # DEPENDENCYPART_ARC
(0,22),-9.21954 # DEPENDENCYPART_ARC
(1,2),2.27523 # DEPENDENCYPART_ARC
(1,3),2.95644 # DEPENDENCYPART_ARC
(1,4),1.36213 # DEPENDENCYPART_ARC
(1,5),1.92703 # DEPENDENCYPART_ARC
(1,6),2.05581 # DEPENDENCYPART_ARC
(1,7),0.866743 # DEPENDENCYPART_ARC
(1,8),-0.394315 # DEPENDENCYPART_ARC
(1,9),1.63688 # DEPENDENCYPART_ARC
(1,10),0.975393 # DEPENDENCYPART_ARC
(1,11),1.30583 # DEPENDENCYPART_ARC
(1,12),-0.840637 # DEPENDENCYPART_ARC
(1,13),-1.3084 # DEPENDENCYPART_ARC
(1,14),0.457878 # DEPENDENCYPART_ARC
(1,15),-1.20037 # DEPENDENCYPART_ARC
(1,16),-0.291996 # DEPENDENCYPART_ARC
(1,17),-1.56689 # DEPENDENCYPART_ARC
(1,18),0.116369 # DEPENDENCYPART_ARC
(1,19),1.46705 # DEPENDENCYPART_ARC
(1,20),0.470953 # DEPENDENCYPART_ARC
(1,21),-0.0848687 # DEPENDENCYPART_ARC
(1,22),1.41674 # DEPENDENCYPART_ARC
(2,1),-1.4547 # DEPENDENCYPART_ARC
(2,3),-1.11058 # DEPENDENCYPART_ARC
(2,4),-1.86884 # DEPENDENCYPART_ARC
(2,5),-2.16273 # DEPENDENCYPART_ARC
(2,6),-2.16924 # DEPENDENCYPART_ARC
(2,7),-2.30101 # DEPENDENCYPART_ARC
(2,8),-2.80394 # DEPENDENCYPART_ARC
(2,9),-2.60942 # DEPENDENCYPART_ARC
(2,10),-2.04359 # DEPENDENCYPART_ARC
(2,11),-2.11457 # DEPENDENCYPART_ARC
(2,12),-2.74279 # DEPENDENCYPART_ARC
(2,13),-3.33074 # DEPENDENCYPART_ARC
(2,14),-3.00279 # DEPENDENCYPART_ARC
(2,15),-2.75183 # DEPENDENCYPART_ARC
(2,16),-3.08163 # DEPENDENCYPART_ARC
(2,17),-3.47794 # DEPENDENCYPART_ARC
(2,18),-3.16966 # DEPENDENCYPART_ARC
(2,19),-2.41663 # DEPENDENCYPART_ARC
(2,20),-3.34999 # DEPENDENCYPART_ARC
(2,21),-2.64421 # DEPENDENCYPART_ARC
(2,22),-2.8435 # DEPENDENCYPART_ARC
(3,1),0.0961392 # DEPENDENCYPART_ARC
(3,2),3.1289 # DEPENDENCYPART_ARC
(3,4),2.95646 # DEPENDENCYPART_ARC
(3,5),0.497563 # DEPENDENCYPART_ARC
(3,6),-0.978108 # DEPENDENCYPART_ARC
(3,7),1.55964 # DEPENDENCYPART_ARC
(3,8),-1.68082 # DEPENDENCYPART_ARC
(3,9),-0.0316017 # DEPENDENCYPART_ARC
(3,10),2.3543 # DEPENDENCYPART_ARC
(3,11),0.364297 # DEPENDENCYPART_ARC
(3,12),-0.654813 # DEPENDENCYPART_ARC
(3,13),-2.63202 # DEPENDENCYPART_ARC
(3,14),-1.31895 # DEPENDENCYPART_ARC
(3,15),-0.967819 # DEPENDENCYPART_ARC
(3,16),-1.74052 # DEPENDENCYPART_ARC
(3,17),-2.36171 # DEPENDENCYPART_ARC
(3,18),-1.61609 # DEPENDENCYPART_ARC
(3,19),1.36834 # DEPENDENCYPART_ARC
(3,20),-0.732463 # DEPENDENCYPART_ARC
(3,21),0.980487 # DEPENDENCYPART_ARC
(3,22),0.0361416 # DEPENDENCYPART_ARC
(4,1),-1.69821 # DEPENDENCYPART_ARC
(4,2),1.09971 # DEPENDENCYPART_ARC
(4,3),0.0174629 # DEPENDENCYPART_ARC
(4,5),5.26288 # DEPENDENCYPART_ARC
(4,6),0.90008 # DEPENDENCYPART_ARC
(4,7),-0.652156 # DEPENDENCYPART_ARC
(4,8),-2.14272 # DEPENDENCYPART_ARC
(4,9),0.109358 # DEPENDENCYPART_ARC
(4,10),0.136186 # DEPENDENCYPART_ARC
(4,11),-1.81707 # DEPENDENCYPART_ARC
(4,12),-1.31688 # DEPENDENCYPART_ARC
(4,13),-2.96152 # DEPENDENCYPART_ARC
(4,14),-4.78192 # DEPENDENCYPART_ARC
(4,15),-2.79094 # DEPENDENCYPART_ARC
(4,16),-5.72725 # DEPENDENCYPART_ARC
(4,17),-2.869 # DEPENDENCYPART_ARC
(4,18),-8.43397 # DEPENDENCYPART_ARC
(4,19),-1.98025 # DEPENDENCYPART_ARC
