# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,20,19,16,19,22,20,20,7,
(0,2),-6.4367 # DEPENDENCYPART_ARC
(0,4),-7.19115 # DEPENDENCYPART_ARC
(0,6),-2.02472 # DEPENDENCYPART_ARC
(0,7),-2.71904 # DEPENDENCYPART_ARC
(0,8),-7.32668 # DEPENDENCYPART_ARC
(0,10),-8.09887 # DEPENDENCYPART_ARC
(0,11),-8.23669 # DEPENDENCYPART_ARC
(0,12),-7.87269 # DEPENDENCYPART_ARC
(0,13),-8.87398 # DEPENDENCYPART_ARC
(0,14),-8.46602 # DEPENDENCYPART_ARC
(0,15),-3.15137 # DEPENDENCYPART_ARC
(0,16),-4.37436 # DEPENDENCYPART_ARC
(0,19),-7.4464 # DEPENDENCYPART_ARC
(0,20),-4.6186 # DEPENDENCYPART_ARC
(0,22),-7.38113 # DEPENDENCYPART_ARC
(1,2),-0.180579 # DEPENDENCYPART_ARC
(1,4),-1.4315 # DEPENDENCYPART_ARC
(1,9),-2.70728 # DEPENDENCYPART_ARC
(1,10),-3.37134 # DEPENDENCYPART_ARC
(1,11),-2.91606 # DEPENDENCYPART_ARC
(1,12),-4.12346 # DEPENDENCYPART_ARC
(1,13),-3.32162 # DEPENDENCYPART_ARC
(1,14),-3.04682 # DEPENDENCYPART_ARC
(1,17),-2.75148 # DEPENDENCYPART_ARC
(1,18),-5.56896 # DEPENDENCYPART_ARC
(1,19),-4.25047 # DEPENDENCYPART_ARC
(1,21),-5.87198 # DEPENDENCYPART_ARC
(1,22),-5.35794 # DEPENDENCYPART_ARC
(1,23),-3.24001 # DEPENDENCYPART_ARC
(2,1),4.33075 # DEPENDENCYPART_ARC
(2,3),1.0398 # DEPENDENCYPART_ARC
(2,4),0.40861 # DEPENDENCYPART_ARC
(2,5),0.976256 # DEPENDENCYPART_ARC
(2,6),0.431633 # DEPENDENCYPART_ARC
(2,7),0.367885 # DEPENDENCYPART_ARC
(2,8),-0.955374 # DEPENDENCYPART_ARC
(2,9),-1.46596 # DEPENDENCYPART_ARC
(2,10),-0.952345 # DEPENDENCYPART_ARC
(2,11),-0.899898 # DEPENDENCYPART_ARC
(2,12),-1.59113 # DEPENDENCYPART_ARC
(2,13),0.332091 # DEPENDENCYPART_ARC
(2,14),-1.29732 # DEPENDENCYPART_ARC
(2,15),-3.52031 # DEPENDENCYPART_ARC
(2,16),-4.12759 # DEPENDENCYPART_ARC
(2,17),-0.156113 # DEPENDENCYPART_ARC
(2,18),-1.96013 # DEPENDENCYPART_ARC
(2,19),-4.00601 # DEPENDENCYPART_ARC
(2,20),-5.17112 # DEPENDENCYPART_ARC
(2,21),-2.37365 # DEPENDENCYPART_ARC
(2,22),-2.07055 # DEPENDENCYPART_ARC
(2,23),-1.70569 # DEPENDENCYPART_ARC
(2,24),0.767078 # DEPENDENCYPART_ARC
(3,2),-1.2101 # DEPENDENCYPART_ARC
(3,5),-0.795409 # DEPENDENCYPART_ARC
(3,10),-1.9291 # DEPENDENCYPART_ARC
(3,12),-2.01308 # DEPENDENCYPART_ARC
(3,13),-1.98865 # DEPENDENCYPART_ARC
(4,1),-0.963311 # DEPENDENCYPART_ARC
(4,2),-1.08147 # DEPENDENCYPART_ARC
(4,3),2.37196 # DEPENDENCYPART_ARC
(4,5),2.938 # DEPENDENCYPART_ARC
(4,6),0.532441 # DEPENDENCYPART_ARC
(4,7),-0.387094 # DEPENDENCYPART_ARC
(4,8),-0.932501 # DEPENDENCYPART_ARC
(4,9),-1.67791 # DEPENDENCYPART_ARC
(4,10),-1.5151 # DEPENDENCYPART_ARC
(4,11),-1.10441 # DEPENDENCYPART_ARC
(4,12),-1.58511 # DEPENDENCYPART_ARC
(4,13),-1.55637 # DEPENDENCYPART_ARC
(4,14),-1.67476 # DEPENDENCYPART_ARC
(4,15),-1.54112 # DEPENDENCYPART_ARC
(4,16),-1.80184 # DEPENDENCYPART_ARC
(4,17),-0.297352 # DEPENDENCYPART_ARC
(4,18),-2.26879 # DEPENDENCYPART_ARC
(4,19),-2.60467 # DEPENDENCYPART_ARC
(4,20),-2.53055 # DEPENDENCYPART_ARC
(4,21),-2.27346 # DEPENDENCYPART_ARC
(4,22),-1.77758 # DEPENDENCYPART_ARC
(4,23),-0.897574 # DEPENDENCYPART_ARC
(4,24),0.502881 # DEPENDENCYPART_ARC
(5,2),-2.25057 # DEPENDENCYPART_ARC
(5,3),-0.512012 # DEPENDENCYPART_ARC
(5,10),-2.31431 # DEPENDENCYPART_ARC
(5,12),-2.41529 # DEPENDENCYPART_ARC
(5,13),-2.40413 # DEPENDENCYPART_ARC
(6,1),-2.67438 # DEPENDENCYPART_ARC
(6,2),-0.859053 # DEPENDENCYPART_ARC
(6,3),-1.47505 # DEPENDENCYPART_ARC
(6,4),-0.0677531 # DEPENDENCYPART_ARC
(6,5),-0.66746 # DEPENDENCYPART_ARC
