# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,15,27,20,29,27,29,30,15,
(0,2),-6.58279 # DEPENDENCYPART_ARC
(0,5),-3.19448 # DEPENDENCYPART_ARC
(0,6),-3.32353 # DEPENDENCYPART_ARC
(0,8),-8.41013 # DEPENDENCYPART_ARC
(0,9),-8.30535 # DEPENDENCYPART_ARC
(0,10),-8.01571 # DEPENDENCYPART_ARC
(0,12),-7.56645 # DEPENDENCYPART_ARC
(0,14),-2.05375 # DEPENDENCYPART_ARC
(0,15),-2.48067 # DEPENDENCYPART_ARC
(0,17),-7.39775 # DEPENDENCYPART_ARC
(0,19),-3.90285 # DEPENDENCYPART_ARC
(0,20),-4.61955 # DEPENDENCYPART_ARC
(0,21),-8.61048 # DEPENDENCYPART_ARC
(0,22),-7.99792 # DEPENDENCYPART_ARC
(0,24),-8.92309 # DEPENDENCYPART_ARC
(0,27),-4.3378 # DEPENDENCYPART_ARC
(0,29),-7.29279 # DEPENDENCYPART_ARC
(0,30),-9.97407 # DEPENDENCYPART_ARC
(0,31),-8.74928 # DEPENDENCYPART_ARC
(1,2),-0.170133 # DEPENDENCYPART_ARC
(1,4),-2.86817 # DEPENDENCYPART_ARC
(1,7),-3.01465 # DEPENDENCYPART_ARC
(1,8),-3.19181 # DEPENDENCYPART_ARC
(1,9),-3.2014 # DEPENDENCYPART_ARC
(1,10),-3.79858 # DEPENDENCYPART_ARC
(1,11),-2.90579 # DEPENDENCYPART_ARC
(1,12),-4.13619 # DEPENDENCYPART_ARC
(1,16),-5.86826 # DEPENDENCYPART_ARC
(1,17),-4.51546 # DEPENDENCYPART_ARC
(1,18),-4.58047 # DEPENDENCYPART_ARC
(1,21),-5.3832 # DEPENDENCYPART_ARC
