# _root_ La inflació acumulada a la demarcació de Barcelona és de l' 1,7% i la interanual se situa en el 3,5% .
#goldHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
#predictedHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
(0,2),-7.08243 # DEPENDENCYPART_ARC
(0,3),-8.39716 # DEPENDENCYPART_ARC
(0,4),-7.96317 # DEPENDENCYPART_ARC
(0,6),-8.03638 # DEPENDENCYPART_ARC
(0,7),-8.44699 # DEPENDENCYPART_ARC
(0,8),-7.98668 # DEPENDENCYPART_ARC
(0,9),-1.70728 # DEPENDENCYPART_ARC
(0,10),-8.6907 # DEPENDENCYPART_ARC
(0,15),-8.37667 # DEPENDENCYPART_ARC
(0,17),-6.32931 # DEPENDENCYPART_ARC
(0,18),-8.79489 # DEPENDENCYPART_ARC
(1,2),0.467292 # DEPENDENCYPART_ARC
(1,3),-1.83354 # DEPENDENCYPART_ARC
(1,4),-2.39611 # DEPENDENCYPART_ARC
(1,5),-0.26233 # DEPENDENCYPART_ARC
(1,6),-1.87025 # DEPENDENCYPART_ARC
(1,7),-1.81984 # DEPENDENCYPART_ARC
(1,8),-3.4091 # DEPENDENCYPART_ARC
(1,10),-3.5179 # DEPENDENCYPART_ARC
(1,11),-3.12063 # DEPENDENCYPART_ARC
(1,12),-3.08422 # DEPENDENCYPART_ARC
(1,13),-3.44758 # DEPENDENCYPART_ARC
(1,14),-3.94548 # DEPENDENCYPART_ARC
(1,15),-4.20218 # DEPENDENCYPART_ARC
(1,18),-5.75063 # DEPENDENCYPART_ARC
(1,19),-6.1637 # DEPENDENCYPART_ARC
(1,20),-3.80711 # DEPENDENCYPART_ARC
(2,1),4.56896 # DEPENDENCYPART_ARC
(2,3),4.60527 # DEPENDENCYPART_ARC
(2,4),1.63742 # DEPENDENCYPART_ARC
(2,5),-0.499542 # DEPENDENCYPART_ARC
(2,6),1.35324 # DEPENDENCYPART_ARC
(2,7),1.67511 # DEPENDENCYPART_ARC
(2,8),0.288221 # DEPENDENCYPART_ARC
(2,9),1.26957 # DEPENDENCYPART_ARC
(2,10),-1.03955 # DEPENDENCYPART_ARC
(2,11),-1.86664 # DEPENDENCYPART_ARC
(2,12),-0.642911 # DEPENDENCYPART_ARC
(2,13),0.0444759 # DEPENDENCYPART_ARC
(2,14),-1.83758 # DEPENDENCYPART_ARC
(2,15),-0.267717 # DEPENDENCYPART_ARC
(2,17),-1.85465 # DEPENDENCYPART_ARC
(2,18),-1.12148 # DEPENDENCYPART_ARC
(2,19),-2.80228 # DEPENDENCYPART_ARC
(2,20),-1.23961 # DEPENDENCYPART_ARC
(2,21),1.65128 # DEPENDENCYPART_ARC
(3,1),0.934341 # DEPENDENCYPART_ARC
(3,2),0.958498 # DEPENDENCYPART_ARC
(3,4),3.36541 # DEPENDENCYPART_ARC
(3,5),-1.18119 # DEPENDENCYPART_ARC
