# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(0,1),-2.72788 # DEPENDENCYPART_ARC
(0,2),-7.60218 # DEPENDENCYPART_ARC
(0,3),-7.64197 # DEPENDENCYPART_ARC
(0,5),-6.67664 # DEPENDENCYPART_ARC
(0,6),-5.98239 # DEPENDENCYPART_ARC
(0,10),-6.8515 # DEPENDENCYPART_ARC
(0,11),-8.81175 # DEPENDENCYPART_ARC
(0,12),-8.02697 # DEPENDENCYPART_ARC
(0,13),-3.19176 # DEPENDENCYPART_ARC
(0,14),-7.70498 # DEPENDENCYPART_ARC
(0,15),-8.32099 # DEPENDENCYPART_ARC
(0,16),-7.37419 # DEPENDENCYPART_ARC
(0,18),-6.59602 # DEPENDENCYPART_ARC
(0,19),-7.79556 # DEPENDENCYPART_ARC
(0,20),-6.90297 # DEPENDENCYPART_ARC
(0,21),-8.96574 # DEPENDENCYPART_ARC
(0,23),-6.6855 # DEPENDENCYPART_ARC
(0,24),-9.01238 # DEPENDENCYPART_ARC
(1,2),1.35113 # DEPENDENCYPART_ARC
(1,3),3.0121 # DEPENDENCYPART_ARC
(1,4),1.28249 # DEPENDENCYPART_ARC
(1,5),1.77946 # DEPENDENCYPART_ARC
(1,6),0.962896 # DEPENDENCYPART_ARC
(1,7),1.17689 # DEPENDENCYPART_ARC
(1,8),1.93255 # DEPENDENCYPART_ARC
(1,9),-2.83766 # DEPENDENCYPART_ARC
(1,10),0.117676 # DEPENDENCYPART_ARC
(1,11),-0.333014 # DEPENDENCYPART_ARC
(1,12),-0.395797 # DEPENDENCYPART_ARC
(1,13),1.24817 # DEPENDENCYPART_ARC
(1,14),-1.38514 # DEPENDENCYPART_ARC
(1,15),-1.38596 # DEPENDENCYPART_ARC
(1,16),0.0458164 # DEPENDENCYPART_ARC
(1,17),-3.22777 # DEPENDENCYPART_ARC
(1,18),-0.28575 # DEPENDENCYPART_ARC
(1,19),-1.23356 # DEPENDENCYPART_ARC
(1,20),0.00657829 # DEPENDENCYPART_ARC
(1,21),-2.14094 # DEPENDENCYPART_ARC
(1,22),-3.63297 # DEPENDENCYPART_ARC
(1,23),-0.970791 # DEPENDENCYPART_ARC
(1,24),-1.82492 # DEPENDENCYPART_ARC
(1,25),5.05296 # DEPENDENCYPART_ARC
(2,1),-0.292016 # DEPENDENCYPART_ARC
(2,3),1.32853 # DEPENDENCYPART_ARC
(2,4),0.114073 # DEPENDENCYPART_ARC
(2,5),-0.282027 # DEPENDENCYPART_ARC
(2,6),-0.313211 # DEPENDENCYPART_ARC
(2,7),-0.951366 # DEPENDENCYPART_ARC
(2,8),0.0819199 # DEPENDENCYPART_ARC
(2,9),-1.40269 # DEPENDENCYPART_ARC
(2,10),-1.12929 # DEPENDENCYPART_ARC
(2,11),-0.874229 # DEPENDENCYPART_ARC
(2,12),-0.899555 # DEPENDENCYPART_ARC
(2,13),-0.888007 # DEPENDENCYPART_ARC
(2,14),-1.61755 # DEPENDENCYPART_ARC
(2,15),-0.520955 # DEPENDENCYPART_ARC
(2,16),-2.19909 # DEPENDENCYPART_ARC
(2,18),-2.07906 # DEPENDENCYPART_ARC
(2,19),-2.05295 # DEPENDENCYPART_ARC
(2,20),-2.134 # DEPENDENCYPART_ARC
(2,21),-2.40966 # DEPENDENCYPART_ARC
(2,22),-2.19364 # DEPENDENCYPART_ARC
(2,23),-2.07044 # DEPENDENCYPART_ARC
(2,24),-1.64146 # DEPENDENCYPART_ARC
(2,25),-1.64093 # DEPENDENCYPART_ARC
(3,1),0.765079 # DEPENDENCYPART_ARC
(3,2),3.65868 # DEPENDENCYPART_ARC
