# _root_ A Tampere , l' octubre_del_1999 , el Consell_Europeu va intentar precisar el contingut d' aquest nou enfocament .
#goldHeads=10,1,1,5,10,5,8,10,10,0,10,13,11,13,17,17,14,10,
#predictedHeads=10,1,1,5,10,1,8,10,10,0,10,13,11,13,17,17,14,10,
(0,1),-7.10652 # DEPENDENCYPART_ARC
(0,2),-5.32468 # DEPENDENCYPART_ARC
(0,3),-6.98687 # DEPENDENCYPART_ARC
(0,4),-8.69693 # DEPENDENCYPART_ARC
(0,5),-7.08527 # DEPENDENCYPART_ARC
(0,6),-6.99838 # DEPENDENCYPART_ARC
(0,7),-8.97519 # DEPENDENCYPART_ARC
(0,8),-6.4959 # DEPENDENCYPART_ARC
(0,9),-1.88712 # DEPENDENCYPART_ARC
(0,10),-1.96327 # DEPENDENCYPART_ARC
(0,11),-0.796438 # DEPENDENCYPART_ARC
(0,12),-9.57876 # DEPENDENCYPART_ARC
(0,13),-7.09098 # DEPENDENCYPART_ARC
(0,14),-8.32952 # DEPENDENCYPART_ARC
(0,15),-9.63796 # DEPENDENCYPART_ARC
(0,16),-8.0454 # DEPENDENCYPART_ARC
(0,17),-6.91347 # DEPENDENCYPART_ARC
(0,18),-8.3393 # DEPENDENCYPART_ARC
(1,2),4.74605 # DEPENDENCYPART_ARC
(1,3),3.07412 # DEPENDENCYPART_ARC
(1,4),-1.02162 # DEPENDENCYPART_ARC
(1,5),-0.0975807 # DEPENDENCYPART_ARC
(1,6),2.2058 # DEPENDENCYPART_ARC
(1,7),-2.24202 # DEPENDENCYPART_ARC
(1,8),-3.43164 # DEPENDENCYPART_ARC
(1,9),-2.43479 # DEPENDENCYPART_ARC
(1,10),-1.64463 # DEPENDENCYPART_ARC
(1,11),-3.10997 # DEPENDENCYPART_ARC
(1,12),-2.88269 # DEPENDENCYPART_ARC
(1,13),-7.92342 # DEPENDENCYPART_ARC
(1,14),-3.78962 # DEPENDENCYPART_ARC
(1,15),-3.11139 # DEPENDENCYPART_ARC
(1,16),-3.53665 # DEPENDENCYPART_ARC
(1,17),-9.19702 # DEPENDENCYPART_ARC
(1,18),-0.52676 # DEPENDENCYPART_ARC
(2,1),0.430696 # DEPENDENCYPART_ARC
(2,3),0.552641 # DEPENDENCYPART_ARC
(2,4),-0.400114 # DEPENDENCYPART_ARC
(2,5),-0.466958 # DEPENDENCYPART_ARC
(2,6),0.664025 # DEPENDENCYPART_ARC
(2,7),-1.40067 # DEPENDENCYPART_ARC
(2,8),-0.15667 # DEPENDENCYPART_ARC
(2,9),-0.0998365 # DEPENDENCYPART_ARC
(2,10),-0.431018 # DEPENDENCYPART_ARC
(2,11),-1.14715 # DEPENDENCYPART_ARC
(2,12),-2.32392 # DEPENDENCYPART_ARC
(2,13),-1.56419 # DEPENDENCYPART_ARC
(2,14),-2.25089 # DEPENDENCYPART_ARC
(2,15),-2.50161 # DEPENDENCYPART_ARC
(2,16),-2.23237 # DEPENDENCYPART_ARC
(2,17),-1.40274 # DEPENDENCYPART_ARC
(2,18),-0.382145 # DEPENDENCYPART_ARC
(3,1),-1.42646 # DEPENDENCYPART_ARC
(3,2),-1.45526 # DEPENDENCYPART_ARC
(3,4),-1.0187 # DEPENDENCYPART_ARC
(3,5),-0.754347 # DEPENDENCYPART_ARC
(3,6),-0.670785 # DEPENDENCYPART_ARC
(3,7),-2.27767 # DEPENDENCYPART_ARC
(3,8),-1.70842 # DEPENDENCYPART_ARC
(3,9),-1.36068 # DEPENDENCYPART_ARC
(3,10),-1.83585 # DEPENDENCYPART_ARC
(3,11),-2.0011 # DEPENDENCYPART_ARC
(3,12),-2.95529 # DEPENDENCYPART_ARC
