# _root_ Manolo_Quijano , líder del grup Café_Quijano , ressalta que " la gent té pànic al desconegut " .
#goldHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,14,15,13,8,
#predictedHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,13,15,13,8,
(0,1),-6.0909 # DEPENDENCYPART_ARC
(0,3),-7.29334 # DEPENDENCYPART_ARC
(0,4),-8.46806 # DEPENDENCYPART_ARC
(0,5),-7.0835 # DEPENDENCYPART_ARC
(0,6),-7.11392 # DEPENDENCYPART_ARC
(0,8),-1.16161 # DEPENDENCYPART_ARC
(0,9),-7.68259 # DEPENDENCYPART_ARC
(0,12),-7.41288 # DEPENDENCYPART_ARC
(0,13),-1.99537 # DEPENDENCYPART_ARC
(0,14),-7.85975 # DEPENDENCYPART_ARC
(0,15),-9.72839 # DEPENDENCYPART_ARC
(0,16),-9.99035 # DEPENDENCYPART_ARC
(1,2),2.0093 # DEPENDENCYPART_ARC
(1,3),2.81506 # DEPENDENCYPART_ARC
(1,4),2.28147 # DEPENDENCYPART_ARC
(1,5),1.68875 # DEPENDENCYPART_ARC
(1,6),1.88817 # DEPENDENCYPART_ARC
(1,7),1.11668 # DEPENDENCYPART_ARC
(1,8),1.55592 # DEPENDENCYPART_ARC
(1,9),-1.01016 # DEPENDENCYPART_ARC
(1,10),0.134954 # DEPENDENCYPART_ARC
(1,11),-1.5924 # DEPENDENCYPART_ARC
(1,12),-0.515584 # DEPENDENCYPART_ARC
(1,13),-0.815316 # DEPENDENCYPART_ARC
(1,14),-0.31383 # DEPENDENCYPART_ARC
(1,15),-1.92131 # DEPENDENCYPART_ARC
(1,16),-0.794372 # DEPENDENCYPART_ARC
(1,17),-0.188581 # DEPENDENCYPART_ARC
(1,18),1.79206 # DEPENDENCYPART_ARC
(2,3),-0.519868 # DEPENDENCYPART_ARC
(2,5),-1.5635 # DEPENDENCYPART_ARC
(2,7),-1.28701 # DEPENDENCYPART_ARC
(2,12),-2.38958 # DEPENDENCYPART_ARC
(2,14),-2.53606 # DEPENDENCYPART_ARC
(2,16),-2.4205 # DEPENDENCYPART_ARC
(3,1),0.0712463 # DEPENDENCYPART_ARC
(3,2),2.97976 # DEPENDENCYPART_ARC
(3,4),4.18725 # DEPENDENCYPART_ARC
(3,5),0.928963 # DEPENDENCYPART_ARC
(3,6),1.84394 # DEPENDENCYPART_ARC
(3,7),2.18685 # DEPENDENCYPART_ARC
(3,8),0.688824 # DEPENDENCYPART_ARC
(3,9),-1.33478 # DEPENDENCYPART_ARC
(3,10),-0.100028 # DEPENDENCYPART_ARC
(3,11),-2.71654 # DEPENDENCYPART_ARC
(3,12),-1.44874 # DEPENDENCYPART_ARC
(3,13),-1.69075 # DEPENDENCYPART_ARC
(3,14),-1.0218 # DEPENDENCYPART_ARC
(3,15),-1.61916 # DEPENDENCYPART_ARC
(3,16),-1.23904 # DEPENDENCYPART_ARC
(3,17),0.394066 # DEPENDENCYPART_ARC
(3,18),-0.276693 # DEPENDENCYPART_ARC
(4,1),-1.82028 # DEPENDENCYPART_ARC
(4,2),0.155704 # DEPENDENCYPART_ARC
(4,3),-0.567604 # DEPENDENCYPART_ARC
(4,5),4.37703 # DEPENDENCYPART_ARC
(4,6),0.978083 # DEPENDENCYPART_ARC
(4,7),-0.510128 # DEPENDENCYPART_ARC
(4,8),-1.05282 # DEPENDENCYPART_ARC
