# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,12,15,18,16,18,21,19,21,24,21,24,25,25,24,5,
(0,1),-7.74816 # DEPENDENCYPART_ARC
(0,3),-6.19929 # DEPENDENCYPART_ARC
(0,5),-3.3672 # DEPENDENCYPART_ARC
(0,7),-7.05098 # DEPENDENCYPART_ARC
(0,9),-9.38212 # DEPENDENCYPART_ARC
(0,10),-8.57837 # DEPENDENCYPART_ARC
(0,12),-7.60848 # DEPENDENCYPART_ARC
(0,13),-8.84662 # DEPENDENCYPART_ARC
(0,14),-7.85064 # DEPENDENCYPART_ARC
(0,15),-9.44712 # DEPENDENCYPART_ARC
(0,16),-5.44793 # DEPENDENCYPART_ARC
(0,18),-8.81792 # DEPENDENCYPART_ARC
(0,19),-8.62979 # DEPENDENCYPART_ARC
(0,21),-7.42318 # DEPENDENCYPART_ARC
(0,24),-8.45107 # DEPENDENCYPART_ARC
(0,25),-8.33552 # DEPENDENCYPART_ARC
(0,27),-8.4452 # DEPENDENCYPART_ARC
(0,28),-8.40413 # DEPENDENCYPART_ARC
(1,3),4.02856 # DEPENDENCYPART_ARC
(1,4),-0.84824 # DEPENDENCYPART_ARC
(1,5),0.160816 # DEPENDENCYPART_ARC
(1,6),-2.21172 # DEPENDENCYPART_ARC
(1,7),-2.11358 # DEPENDENCYPART_ARC
(1,8),0.780072 # DEPENDENCYPART_ARC
(1,9),-1.31675 # DEPENDENCYPART_ARC
(1,10),-1.70861 # DEPENDENCYPART_ARC
(1,11),-2.98237 # DEPENDENCYPART_ARC
(1,12),-4.64154 # DEPENDENCYPART_ARC
(1,13),-2.15187 # DEPENDENCYPART_ARC
(1,14),-5.35624 # DEPENDENCYPART_ARC
(1,15),-1.66671 # DEPENDENCYPART_ARC
(1,16),-0.490415 # DEPENDENCYPART_ARC
(1,17),-0.0837811 # DEPENDENCYPART_ARC
(1,18),-1.70388 # DEPENDENCYPART_ARC
(1,19),-2.04946 # DEPENDENCYPART_ARC
(1,20),-3.20845 # DEPENDENCYPART_ARC
(1,21),-7.48015 # DEPENDENCYPART_ARC
(1,22),-0.927053 # DEPENDENCYPART_ARC
(1,23),-2.57611 # DEPENDENCYPART_ARC
(1,24),-9.55025 # DEPENDENCYPART_ARC
(1,25),-3.44609 # DEPENDENCYPART_ARC
(1,26),-1.2139 # DEPENDENCYPART_ARC
(1,27),-3.76197 # DEPENDENCYPART_ARC
(1,28),-3.19901 # DEPENDENCYPART_ARC
(1,29),1.29981 # DEPENDENCYPART_ARC
(2,9),-4.71665 # DEPENDENCYPART_ARC
(2,11),-3.01748 # DEPENDENCYPART_ARC
(2,18),-4.1859 # DEPENDENCYPART_ARC
(2,22),-2.95001 # DEPENDENCYPART_ARC
