# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=6,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(0,1),-6.27891 # DEPENDENCYPART_ARC
(0,6),-5.3927 # DEPENDENCYPART_ARC
(0,7),-8.59435 # DEPENDENCYPART_ARC
(0,8),-6.79097 # DEPENDENCYPART_ARC
(0,10),-6.57944 # DEPENDENCYPART_ARC
(0,12),-3.25931 # DEPENDENCYPART_ARC
(0,15),-7.85162 # DEPENDENCYPART_ARC
(0,18),-7.79906 # DEPENDENCYPART_ARC
(0,21),-6.79527 # DEPENDENCYPART_ARC
(0,22),-6.93947 # DEPENDENCYPART_ARC
(0,23),-8.25398 # DEPENDENCYPART_ARC
(0,24),-8.1755 # DEPENDENCYPART_ARC
(0,26),-8.65949 # DEPENDENCYPART_ARC
(0,27),-10.6441 # DEPENDENCYPART_ARC
(0,28),-6.81434 # DEPENDENCYPART_ARC
(0,29),-8.13464 # DEPENDENCYPART_ARC
(0,30),-8.00182 # DEPENDENCYPART_ARC
(0,31),-8.3927 # DEPENDENCYPART_ARC
(1,2),3.26295 # DEPENDENCYPART_ARC
(1,3),-0.149118 # DEPENDENCYPART_ARC
(1,6),0.208523 # DEPENDENCYPART_ARC
(1,7),-1.31363 # DEPENDENCYPART_ARC
(1,8),-2.02452 # DEPENDENCYPART_ARC
(1,10),-1.88541 # DEPENDENCYPART_ARC
(1,12),-0.906224 # DEPENDENCYPART_ARC
(1,13),-1.8673 # DEPENDENCYPART_ARC
(1,14),-1.97967 # DEPENDENCYPART_ARC
(1,15),-2.06071 # DEPENDENCYPART_ARC
(1,16),-0.665101 # DEPENDENCYPART_ARC
(1,17),-2.01377 # DEPENDENCYPART_ARC
(1,18),-1.74756 # DEPENDENCYPART_ARC
(1,19),-0.768049 # DEPENDENCYPART_ARC
(1,20),-0.73157 # DEPENDENCYPART_ARC
(1,21),-0.851501 # DEPENDENCYPART_ARC
(1,22),-1.38903 # DEPENDENCYPART_ARC
(1,23),-3.81091 # DEPENDENCYPART_ARC
(1,24),-1.79648 # DEPENDENCYPART_ARC
(1,25),-0.667625 # DEPENDENCYPART_ARC
(1,26),-2.46771 # DEPENDENCYPART_ARC
(1,27),-1.94251 # DEPENDENCYPART_ARC
(1,28),-1.17554 # DEPENDENCYPART_ARC
(1,29),-3.80671 # DEPENDENCYPART_ARC
(1,30),-2.22445 # DEPENDENCYPART_ARC
(1,31),-1.87877 # DEPENDENCYPART_ARC
(1,32),1.74407 # DEPENDENCYPART_ARC
(2,7),-1.89861 # DEPENDENCYPART_ARC
(2,10),-2.21883 # DEPENDENCYPART_ARC
(2,15),-2.35748 # DEPENDENCYPART_ARC
(2,18),-2.26584 # DEPENDENCYPART_ARC
(2,19),-1.63 # DEPENDENCYPART_ARC
(2,30),-2.25134 # DEPENDENCYPART_ARC
(2,31),-2.63622 # DEPENDENCYPART_ARC
(3,1),-0.476065 # DEPENDENCYPART_ARC
(3,4),1.03431 # DEPENDENCYPART_ARC
(3,7),-0.445424 # DEPENDENCYPART_ARC
(3,8),-0.962249 # DEPENDENCYPART_ARC
(3,9),-1.91844 # DEPENDENCYPART_ARC
(3,10),-2.57976 # DEPENDENCYPART_ARC
(3,13),-3.64392 # DEPENDENCYPART_ARC
(3,14),-3.21113 # DEPENDENCYPART_ARC
(3,15),-3.28866 # DEPENDENCYPART_ARC
(3,16),-0.805304 # DEPENDENCYPART_ARC
(3,17),-3.81018 # DEPENDENCYPART_ARC
(3,18),-3.62028 # DEPENDENCYPART_ARC
(3,20),-1.003 # DEPENDENCYPART_ARC
(3,23),-3.31999 # DEPENDENCYPART_ARC
(3,25),-1.28038 # DEPENDENCYPART_ARC
(3,29),-4.01183 # DEPENDENCYPART_ARC
(3,30),-3.70647 # DEPENDENCYPART_ARC
(3,31),-1.12493 # DEPENDENCYPART_ARC
(4,3),-0.424955 # DEPENDENCYPART_ARC
(4,6),1.66601 # DEPENDENCYPART_ARC
(4,7),-0.909403 # DEPENDENCYPART_ARC
(4,8),-1.51867 # DEPENDENCYPART_ARC
(4,10),-2.87248 # DEPENDENCYPART_ARC
(4,12),-0.0170942 # DEPENDENCYPART_ARC
(4,13),-3.37617 # DEPENDENCYPART_ARC
(4,14),-3.45515 # DEPENDENCYPART_ARC
(4,15),-3.69722 # DEPENDENCYPART_ARC
(4,17),-3.65755 # DEPENDENCYPART_ARC
(4,18),-3.99605 # DEPENDENCYPART_ARC
(4,23),-3.63246 # DEPENDENCYPART_ARC
(4,24),-2.64514 # DEPENDENCYPART_ARC
(4,27),-3.16981 # DEPENDENCYPART_ARC
(4,29),-5.08505 # DEPENDENCYPART_ARC
(4,30),-4.20104 # DEPENDENCYPART_ARC
(4,31),-2.95967 # DEPENDENCYPART_ARC
(6,1),1.24465 # DEPENDENCYPART_ARC
(6,2),1.13434 # DEPENDENCYPART_ARC
(6,3),2.22975 # DEPENDENCYPART_ARC
(6,4),3.83502 # DEPENDENCYPART_ARC
(6,5),4.25425 # DEPENDENCYPART_ARC
(6,7),4.23553 # DEPENDENCYPART_ARC
(6,8),2.63815 # DEPENDENCYPART_ARC
(6,9),-2.65527 # DEPENDENCYPART_ARC
(6,10),1.69522 # DEPENDENCYPART_ARC
(6,11),-0.423754 # DEPENDENCYPART_ARC
(6,12),1.95063 # DEPENDENCYPART_ARC
(6,14),-3.7528 # DEPENDENCYPART_ARC
(6,15),0.524762 # DEPENDENCYPART_ARC
(6,16),0.71811 # DEPENDENCYPART_ARC
(6,17),-3.5639 # DEPENDENCYPART_ARC
(6,18),-0.108996 # DEPENDENCYPART_ARC
(6,19),0.347628 # DEPENDENCYPART_ARC
(6,20),2.45712 # DEPENDENCYPART_ARC
(6,21),-1.73064 # DEPENDENCYPART_ARC
(6,22),0.148043 # DEPENDENCYPART_ARC
(6,23),-0.777727 # DEPENDENCYPART_ARC
(6,24),-0.0310981 # DEPENDENCYPART_ARC
(6,25),0.692121 # DEPENDENCYPART_ARC
(6,26),-2.55448 # DEPENDENCYPART_ARC
(6,27),-0.182467 # DEPENDENCYPART_ARC
(6,28),-0.494294 # DEPENDENCYPART_ARC
(6,29),-1.61795 # DEPENDENCYPART_ARC
(6,30),-3.07317 # DEPENDENCYPART_ARC
(6,31),-0.772025 # DEPENDENCYPART_ARC
(6,32),6.7255 # DEPENDENCYPART_ARC
(7,1),-1.69662 # DEPENDENCYPART_ARC
(7,2),-1.58865 # DEPENDENCYPART_ARC
(7,3),-0.632977 # DEPENDENCYPART_ARC
(7,4),-1.43845 # DEPENDENCYPART_ARC
(7,6),-0.735236 # DEPENDENCYPART_ARC
(7,8),3.6152 # DEPENDENCYPART_ARC
(7,9),-2.18457 # DEPENDENCYPART_ARC
(7,10),0.130297 # DEPENDENCYPART_ARC
(7,12),1.17773 # DEPENDENCYPART_ARC
(7,13),-3.57915 # DEPENDENCYPART_ARC
(7,14),-3.65736 # DEPENDENCYPART_ARC
(7,15),-0.977843 # DEPENDENCYPART_ARC
(7,16),-0.244651 # DEPENDENCYPART_ARC
(7,17),-3.2883 # DEPENDENCYPART_ARC
(7,18),-0.906625 # DEPENDENCYPART_ARC
(7,19),-0.304201 # DEPENDENCYPART_ARC
(7,20),-0.0369664 # DEPENDENCYPART_ARC
(7,21),-1.69561 # DEPENDENCYPART_ARC
(7,22),0.220335 # DEPENDENCYPART_ARC
(7,23),-1.83993 # DEPENDENCYPART_ARC
(7,24),-0.817029 # DEPENDENCYPART_ARC
(7,25),-1.38097 # DEPENDENCYPART_ARC
(7,26),-1.7887 # DEPENDENCYPART_ARC
(7,27),-1.03172 # DEPENDENCYPART_ARC
(7,28),-2.26483 # DEPENDENCYPART_ARC
(7,29),-1.62969 # DEPENDENCYPART_ARC
