# _root_ L' any_1998 , Manzanares va concedir més de 1.600 permisos , 600 dels quals van ser en el darrer trimestre .
#goldHeads=2,6,2,6,6,0,8,10,8,6,16,16,12,13,16,10,16,20,20,17,6,
#predictedHeads=2,6,2,6,6,0,8,10,8,6,6,16,12,13,16,6,16,20,20,17,6,
(0,2),-6.61798 # DEPENDENCYPART_ARC
(0,4),-7.09008 # DEPENDENCYPART_ARC
(0,5),-2.02049 # DEPENDENCYPART_ARC
(0,6),-2.37213 # DEPENDENCYPART_ARC
(0,7),-8.14267 # DEPENDENCYPART_ARC
(0,8),-7.67151 # DEPENDENCYPART_ARC
(0,9),-8.11203 # DEPENDENCYPART_ARC
(0,10),-6.87014 # DEPENDENCYPART_ARC
(0,12),-7.97659 # DEPENDENCYPART_ARC
(0,13),-8.13371 # DEPENDENCYPART_ARC
(0,15),-2.45879 # DEPENDENCYPART_ARC
(0,16),-2.8513 # DEPENDENCYPART_ARC
(0,17),-7.53493 # DEPENDENCYPART_ARC
(0,20),-6.78433 # DEPENDENCYPART_ARC
(1,2),0.869597 # DEPENDENCYPART_ARC
(1,4),-1.72959 # DEPENDENCYPART_ARC
(1,7),-2.28158 # DEPENDENCYPART_ARC
(1,8),-2.41678 # DEPENDENCYPART_ARC
(1,9),-1.77372 # DEPENDENCYPART_ARC
(1,10),-4.16376 # DEPENDENCYPART_ARC
(1,12),-3.26171 # DEPENDENCYPART_ARC
(1,13),-4.06338 # DEPENDENCYPART_ARC
(1,14),-2.87532 # DEPENDENCYPART_ARC
(1,17),-4.92405 # DEPENDENCYPART_ARC
(1,18),-5.45296 # DEPENDENCYPART_ARC
(1,19),-4.03686 # DEPENDENCYPART_ARC
(1,20),-4.63097 # DEPENDENCYPART_ARC
(2,1),3.79498 # DEPENDENCYPART_ARC
(2,3),1.79871 # DEPENDENCYPART_ARC
(2,4),1.14597 # DEPENDENCYPART_ARC
(2,5),0.896244 # DEPENDENCYPART_ARC
(2,6),0.207343 # DEPENDENCYPART_ARC
(2,7),-0.739169 # DEPENDENCYPART_ARC
(2,8),-0.617284 # DEPENDENCYPART_ARC
(2,10),-0.574327 # DEPENDENCYPART_ARC
(2,11),-0.178576 # DEPENDENCYPART_ARC
(2,13),-1.155 # DEPENDENCYPART_ARC
(2,14),-1.20308 # DEPENDENCYPART_ARC
(2,15),-0.135345 # DEPENDENCYPART_ARC
(2,16),-0.690372 # DEPENDENCYPART_ARC
(2,17),-1.34707 # DEPENDENCYPART_ARC
(2,18),-1.71463 # DEPENDENCYPART_ARC
(2,19),-0.607391 # DEPENDENCYPART_ARC
(2,20),-0.484575 # DEPENDENCYPART_ARC
(2,21),-0.50639 # DEPENDENCYPART_ARC
(3,10),-2.45064 # DEPENDENCYPART_ARC
(3,11),-1.77911 # DEPENDENCYPART_ARC
(3,20),-2.67784 # DEPENDENCYPART_ARC
(4,1),0.541214 # DEPENDENCYPART_ARC
(4,2),-0.375872 # DEPENDENCYPART_ARC
(4,3),0.529254 # DEPENDENCYPART_ARC
(4,5),0.241378 # DEPENDENCYPART_ARC
(4,6),-0.777624 # DEPENDENCYPART_ARC
(4,7),-0.222783 # DEPENDENCYPART_ARC
(4,8),-1.67431 # DEPENDENCYPART_ARC
(4,9),-1.37993 # DEPENDENCYPART_ARC
(4,10),-1.78399 # DEPENDENCYPART_ARC
(4,11),-0.61222 # DEPENDENCYPART_ARC
(4,12),-1.25759 # DEPENDENCYPART_ARC
(4,13),-2.73582 # DEPENDENCYPART_ARC
(4,14),-2.12214 # DEPENDENCYPART_ARC
(4,15),-2.92002 # DEPENDENCYPART_ARC
(4,16),-2.349 # DEPENDENCYPART_ARC
(4,17),-3.40422 # DEPENDENCYPART_ARC
(4,18),-3.26676 # DEPENDENCYPART_ARC
(4,19),-1.91555 # DEPENDENCYPART_ARC
(4,20),-2.89575 # DEPENDENCYPART_ARC
(4,21),0.0821153 # DEPENDENCYPART_ARC
(5,1),-2.53482 # DEPENDENCYPART_ARC
(5,2),-1.26663 # DEPENDENCYPART_ARC
(5,3),-1.56017 # DEPENDENCYPART_ARC
(5,4),0.0750244 # DEPENDENCYPART_ARC
(5,6),0.385721 # DEPENDENCYPART_ARC
(5,7),-1.24536 # DEPENDENCYPART_ARC
(5,8),-1.49687 # DEPENDENCYPART_ARC
(5,9),-2.07445 # DEPENDENCYPART_ARC
(5,10),-0.530599 # DEPENDENCYPART_ARC
(5,11),-0.387654 # DEPENDENCYPART_ARC
(5,12),-2.10845 # DEPENDENCYPART_ARC
(5,13),-2.65943 # DEPENDENCYPART_ARC
(5,14),-2.4028 # DEPENDENCYPART_ARC
(5,15),-2.21279 # DEPENDENCYPART_ARC
(5,16),-2.08268 # DEPENDENCYPART_ARC
(5,17),-0.776833 # DEPENDENCYPART_ARC
(5,18),-5.30785 # DEPENDENCYPART_ARC
(5,20),-1.9347 # DEPENDENCYPART_ARC
(5,21),1.96623 # DEPENDENCYPART_ARC
(6,1),0.534986 # DEPENDENCYPART_ARC
(6,2),1.35841 # DEPENDENCYPART_ARC
(6,3),0.437379 # DEPENDENCYPART_ARC
(6,4),2.42333 # DEPENDENCYPART_ARC
(6,5),5.6859 # DEPENDENCYPART_ARC
(6,7),2.10838 # DEPENDENCYPART_ARC
(6,8),1.09467 # DEPENDENCYPART_ARC
(6,9),0.97211 # DEPENDENCYPART_ARC
(6,10),3.1818 # DEPENDENCYPART_ARC
(6,11),1.40775 # DEPENDENCYPART_ARC
(6,12),0.845873 # DEPENDENCYPART_ARC
(6,13),-0.0737715 # DEPENDENCYPART_ARC
(6,14),0.122626 # DEPENDENCYPART_ARC
(6,15),1.62458 # DEPENDENCYPART_ARC
(6,16),1.44879 # DEPENDENCYPART_ARC
(6,17),2.02575 # DEPENDENCYPART_ARC
(6,18),-2.47047 # DEPENDENCYPART_ARC
(6,19),-0.357194 # DEPENDENCYPART_ARC
(6,20),1.28636 # DEPENDENCYPART_ARC
(6,21),4.69381 # DEPENDENCYPART_ARC
(7,1),-2.77648 # DEPENDENCYPART_ARC
(7,2),-2.47693 # DEPENDENCYPART_ARC
(7,3),-1.32666 # DEPENDENCYPART_ARC
(7,4),-2.1379 # DEPENDENCYPART_ARC
(7,5),-1.53176 # DEPENDENCYPART_ARC
(7,6),-0.634105 # DEPENDENCYPART_ARC
(7,8),0.637946 # DEPENDENCYPART_ARC
(7,9),0.87734 # DEPENDENCYPART_ARC
(7,10),0.292609 # DEPENDENCYPART_ARC
(7,11),-0.238242 # DEPENDENCYPART_ARC
(7,12),-0.318193 # DEPENDENCYPART_ARC
(7,13),-0.934848 # DEPENDENCYPART_ARC
(7,15),-0.910647 # DEPENDENCYPART_ARC
(7,16),-1.84736 # DEPENDENCYPART_ARC
(7,17),-2.75402 # DEPENDENCYPART_ARC
(7,18),-2.15171 # DEPENDENCYPART_ARC
(7,20),-1.26534 # DEPENDENCYPART_ARC
(7,21),-1.76551 # DEPENDENCYPART_ARC
(8,1),-1.16961 # DEPENDENCYPART_ARC
(8,2),-0.982456 # DEPENDENCYPART_ARC
(8,3),-0.96901 # DEPENDENCYPART_ARC
(8,4),-0.989644 # DEPENDENCYPART_ARC
(8,5),0.587803 # DEPENDENCYPART_ARC
(8,6),1.0842 # DEPENDENCYPART_ARC
(8,7),2.5785 # DEPENDENCYPART_ARC
(8,9),3.35012 # DEPENDENCYPART_ARC
(8,10),2.45735 # DEPENDENCYPART_ARC
(8,11),0.959347 # DEPENDENCYPART_ARC
(8,12),-0.271325 # DEPENDENCYPART_ARC
(8,13),-0.26712 # DEPENDENCYPART_ARC
(8,14),-0.393268 # DEPENDENCYPART_ARC
(8,15),0.0207618 # DEPENDENCYPART_ARC
(8,16),-0.215635 # DEPENDENCYPART_ARC
(8,17),-1.95226 # DEPENDENCYPART_ARC
(8,18),-3.35361 # DEPENDENCYPART_ARC
(8,19),-2.26318 # DEPENDENCYPART_ARC
(8,20),-3.3828 # DEPENDENCYPART_ARC
(8,21),-0.726641 # DEPENDENCYPART_ARC
(9,1),-1.16027 # DEPENDENCYPART_ARC
(9,2),-1.12337 # DEPENDENCYPART_ARC
(9,3),-1.36849 # DEPENDENCYPART_ARC
(9,4),-1.38526 # DEPENDENCYPART_ARC
(9,5),-1.17664 # DEPENDENCYPART_ARC
(9,6),-0.808992 # DEPENDENCYPART_ARC
(9,7),2.05545 # DEPENDENCYPART_ARC
(9,8),1.97409 # DEPENDENCYPART_ARC
(9,10),0.58787 # DEPENDENCYPART_ARC
(9,11),-1.11044 # DEPENDENCYPART_ARC
(9,12),-0.512373 # DEPENDENCYPART_ARC
(9,13),-0.803452 # DEPENDENCYPART_ARC
(9,15),-0.159132 # DEPENDENCYPART_ARC
(9,16),-1.10092 # DEPENDENCYPART_ARC
(9,17),-2.28623 # DEPENDENCYPART_ARC
(9,18),-3.09693 # DEPENDENCYPART_ARC
(9,19),-1.89821 # DEPENDENCYPART_ARC
(9,20),-2.24629 # DEPENDENCYPART_ARC
(9,21),-1.67481 # DEPENDENCYPART_ARC
(10,1),-2.68412 # DEPENDENCYPART_ARC
(10,2),-1.51062 # DEPENDENCYPART_ARC
(10,3),-0.466253 # DEPENDENCYPART_ARC
(10,4),-1.43433 # DEPENDENCYPART_ARC
(10,5),-0.486174 # DEPENDENCYPART_ARC
(10,6),-1.55298 # DEPENDENCYPART_ARC
(10,7),0.761487 # DEPENDENCYPART_ARC
(10,8),1.84075 # DEPENDENCYPART_ARC
(10,9),2.80771 # DEPENDENCYPART_ARC
(10,11),0.795651 # DEPENDENCYPART_ARC
(10,12),0.8208 # DEPENDENCYPART_ARC
(10,13),0.605115 # DEPENDENCYPART_ARC
(10,14),0.243224 # DEPENDENCYPART_ARC
(10,15),1.93086 # DEPENDENCYPART_ARC
(10,16),1.17822 # DEPENDENCYPART_ARC
(10,17),-1.3042 # DEPENDENCYPART_ARC
(10,18),-2.63599 # DEPENDENCYPART_ARC
(10,19),-1.82202 # DEPENDENCYPART_ARC
(10,20),-1.54504 # DEPENDENCYPART_ARC
(10,21),0.788172 # DEPENDENCYPART_ARC
(11,3),-1.70081 # DEPENDENCYPART_ARC
(11,10),-1.0367 # DEPENDENCYPART_ARC
(11,20),-2.31622 # DEPENDENCYPART_ARC
(12,1),-1.39282 # DEPENDENCYPART_ARC
(12,2),-1.49239 # DEPENDENCYPART_ARC
(12,3),-1.79271 # DEPENDENCYPART_ARC
(12,4),-1.9847 # DEPENDENCYPART_ARC
(12,5),-1.92085 # DEPENDENCYPART_ARC
(12,6),-1.72387 # DEPENDENCYPART_ARC
(12,7),0.0458223 # DEPENDENCYPART_ARC
(12,8),0.368352 # DEPENDENCYPART_ARC
(12,9),-0.0916999 # DEPENDENCYPART_ARC
(12,10),-0.316069 # DEPENDENCYPART_ARC
(12,11),1.35584 # DEPENDENCYPART_ARC
(12,13),2.3429 # DEPENDENCYPART_ARC
(12,15),1.87455 # DEPENDENCYPART_ARC
(12,16),0.902178 # DEPENDENCYPART_ARC
(12,17),-0.201377 # DEPENDENCYPART_ARC
(12,18),-1.40925 # DEPENDENCYPART_ARC
(12,19),-0.168472 # DEPENDENCYPART_ARC
(12,20),-0.33131 # DEPENDENCYPART_ARC
