# _root_ ' La societat la formem tots ' , ha insistit , i cal la responsabilitat de tots .
#goldHeads=5,3,5,5,10,5,5,5,10,0,10,10,10,15,13,15,16,10,
#predictedHeads=5,3,5,5,10,5,5,5,10,0,10,10,5,15,13,15,16,10,
(0,1),-6.53644 # DEPENDENCYPART_ARC
(0,2),-8.09557 # DEPENDENCYPART_ARC
(0,3),-5.49327 # DEPENDENCYPART_ARC
(0,4),-6.48179 # DEPENDENCYPART_ARC
(0,5),-2.91964 # DEPENDENCYPART_ARC
(0,6),-6.87594 # DEPENDENCYPART_ARC
(0,7),-7.17217 # DEPENDENCYPART_ARC
(0,8),-7.30699 # DEPENDENCYPART_ARC
(0,9),-0.482751 # DEPENDENCYPART_ARC
(0,10),-0.967786 # DEPENDENCYPART_ARC
(0,11),-7.38333 # DEPENDENCYPART_ARC
(0,12),-7.28162 # DEPENDENCYPART_ARC
(0,13),-3.52582 # DEPENDENCYPART_ARC
(0,14),-9.25286 # DEPENDENCYPART_ARC
(0,15),-6.26884 # DEPENDENCYPART_ARC
(0,16),-6.94333 # DEPENDENCYPART_ARC
(0,17),-6.70806 # DEPENDENCYPART_ARC
(0,18),-7.63134 # DEPENDENCYPART_ARC
(1,2),-0.956084 # DEPENDENCYPART_ARC
(1,3),-0.979399 # DEPENDENCYPART_ARC
(1,4),-1.56837 # DEPENDENCYPART_ARC
(1,5),-1.16052 # DEPENDENCYPART_ARC
(1,6),-2.23942 # DEPENDENCYPART_ARC
(1,7),-1.1482 # DEPENDENCYPART_ARC
(1,8),-1.37878 # DEPENDENCYPART_ARC
(1,9),-1.79136 # DEPENDENCYPART_ARC
(1,10),-1.84157 # DEPENDENCYPART_ARC
(1,11),-1.69003 # DEPENDENCYPART_ARC
(1,12),-1.44762 # DEPENDENCYPART_ARC
(1,13),-1.87341 # DEPENDENCYPART_ARC
(1,14),-2.67237 # DEPENDENCYPART_ARC
(1,15),-2.08993 # DEPENDENCYPART_ARC
(1,16),-2.23627 # DEPENDENCYPART_ARC
(1,17),-2.34094 # DEPENDENCYPART_ARC
(1,18),-1.57462 # DEPENDENCYPART_ARC
(2,1),0.511077 # DEPENDENCYPART_ARC
(2,3),0.361471 # DEPENDENCYPART_ARC
(2,4),-0.480874 # DEPENDENCYPART_ARC
(2,5),-1.9368 # DEPENDENCYPART_ARC
(2,6),-2.42987 # DEPENDENCYPART_ARC
(2,7),-1.89291 # DEPENDENCYPART_ARC
(2,8),-2.33212 # DEPENDENCYPART_ARC
(2,9),-3.24456 # DEPENDENCYPART_ARC
(2,10),-3.23178 # DEPENDENCYPART_ARC
(2,11),-2.55805 # DEPENDENCYPART_ARC
(2,12),-2.72162 # DEPENDENCYPART_ARC
(2,13),-3.53474 # DEPENDENCYPART_ARC
(2,14),-2.66648 # DEPENDENCYPART_ARC
(2,15),-2.90875 # DEPENDENCYPART_ARC
(2,16),-3.48768 # DEPENDENCYPART_ARC
(2,17),-3.42183 # DEPENDENCYPART_ARC
(2,18),-2.63929 # DEPENDENCYPART_ARC
(3,1),1.3728 # DEPENDENCYPART_ARC
(3,2),4.99255 # DEPENDENCYPART_ARC
(3,4),-0.4267 # DEPENDENCYPART_ARC
(3,5),2.00187 # DEPENDENCYPART_ARC
(3,6),-1.74622 # DEPENDENCYPART_ARC
(3,7),-0.403712 # DEPENDENCYPART_ARC
(3,8),-1.19007 # DEPENDENCYPART_ARC
(3,9),0.418595 # DEPENDENCYPART_ARC
(3,10),0.141171 # DEPENDENCYPART_ARC
(3,11),-1.26952 # DEPENDENCYPART_ARC
(3,12),-1.89517 # DEPENDENCYPART_ARC
(3,13),-2.38587 # DEPENDENCYPART_ARC
(3,14),-2.56076 # DEPENDENCYPART_ARC
(3,15),-1.59982 # DEPENDENCYPART_ARC
(3,16),-3.08459 # DEPENDENCYPART_ARC
(3,17),-3.18185 # DEPENDENCYPART_ARC
(3,18),0.963663 # DEPENDENCYPART_ARC
(4,1),0.172665 # DEPENDENCYPART_ARC
(4,2),0.440797 # DEPENDENCYPART_ARC
(4,3),-1.17017 # DEPENDENCYPART_ARC
(4,5),-1.01158 # DEPENDENCYPART_ARC
(4,6),-0.531793 # DEPENDENCYPART_ARC
(4,7),-0.660354 # DEPENDENCYPART_ARC
(4,8),-0.881141 # DEPENDENCYPART_ARC
(4,9),-2.51501 # DEPENDENCYPART_ARC
(4,10),-2.8889 # DEPENDENCYPART_ARC
(4,11),-1.88377 # DEPENDENCYPART_ARC
(4,12),-1.4948 # DEPENDENCYPART_ARC
(4,13),-4.20274 # DEPENDENCYPART_ARC
(4,14),-2.39683 # DEPENDENCYPART_ARC
(4,15),-3.35579 # DEPENDENCYPART_ARC
(4,16),-3.80906 # DEPENDENCYPART_ARC
(4,17),-1.86434 # DEPENDENCYPART_ARC
(4,18),-0.244965 # DEPENDENCYPART_ARC
(5,1),3.81413 # DEPENDENCYPART_ARC
(5,2),1.42077 # DEPENDENCYPART_ARC
(5,3),2.13549 # DEPENDENCYPART_ARC
(5,4),3.87582 # DEPENDENCYPART_ARC
(5,6),4.0679 # DEPENDENCYPART_ARC
(5,7),2.86047 # DEPENDENCYPART_ARC
(5,8),2.85677 # DEPENDENCYPART_ARC
(5,9),2.41075 # DEPENDENCYPART_ARC
(5,10),1.38712 # DEPENDENCYPART_ARC
(5,11),1.55636 # DEPENDENCYPART_ARC
(5,12),3.08853 # DEPENDENCYPART_ARC
(5,13),3.32004 # DEPENDENCYPART_ARC
(5,14),-2.7079 # DEPENDENCYPART_ARC
(5,15),-0.316348 # DEPENDENCYPART_ARC
(5,16),-1.10228 # DEPENDENCYPART_ARC
(5,17),0.739335 # DEPENDENCYPART_ARC
(5,18),4.04241 # DEPENDENCYPART_ARC
(6,1),-0.315267 # DEPENDENCYPART_ARC
(6,2),-0.363024 # DEPENDENCYPART_ARC
(6,3),-2.07375 # DEPENDENCYPART_ARC
(6,4),-1.33309 # DEPENDENCYPART_ARC
(6,5),0.342475 # DEPENDENCYPART_ARC
(6,7),0.767106 # DEPENDENCYPART_ARC
(6,8),0.328564 # DEPENDENCYPART_ARC
(6,9),1.01957 # DEPENDENCYPART_ARC
(6,10),0.581227 # DEPENDENCYPART_ARC
(6,11),-0.518063 # DEPENDENCYPART_ARC
(6,12),-0.121203 # DEPENDENCYPART_ARC
(6,13),-1.49238 # DEPENDENCYPART_ARC
(6,14),-2.36146 # DEPENDENCYPART_ARC
(6,15),-1.3767 # DEPENDENCYPART_ARC
(6,16),-1.3601 # DEPENDENCYPART_ARC
(6,17),-0.0535666 # DEPENDENCYPART_ARC
(6,18),1.01682 # DEPENDENCYPART_ARC
(7,1),-2.16836 # DEPENDENCYPART_ARC
(7,2),-2.30304 # DEPENDENCYPART_ARC
(7,3),-2.50829 # DEPENDENCYPART_ARC
(7,4),-1.81154 # DEPENDENCYPART_ARC
(7,5),-1.52546 # DEPENDENCYPART_ARC
(7,6),-0.35902 # DEPENDENCYPART_ARC
(7,8),-0.238435 # DEPENDENCYPART_ARC
(7,9),-0.777767 # DEPENDENCYPART_ARC
(7,10),-1.16618 # DEPENDENCYPART_ARC
(7,11),-1.29972 # DEPENDENCYPART_ARC
(7,12),-1.1148 # DEPENDENCYPART_ARC
(7,13),-1.36151 # DEPENDENCYPART_ARC
(7,14),-2.30864 # DEPENDENCYPART_ARC
(7,15),-1.77232 # DEPENDENCYPART_ARC
(7,16),-1.8309 # DEPENDENCYPART_ARC
(7,17),-2.11948 # DEPENDENCYPART_ARC
(7,18),-1.14484 # DEPENDENCYPART_ARC
(8,1),-2.16669 # DEPENDENCYPART_ARC
(8,2),-2.65287 # DEPENDENCYPART_ARC
(8,3),-2.64385 # DEPENDENCYPART_ARC
(8,4),-1.94684 # DEPENDENCYPART_ARC
(8,5),-1.93895 # DEPENDENCYPART_ARC
(8,6),-1.0834 # DEPENDENCYPART_ARC
(8,7),-0.129631 # DEPENDENCYPART_ARC
(8,9),-1.1803 # DEPENDENCYPART_ARC
(8,10),-2.22059 # DEPENDENCYPART_ARC
(8,11),-2.19463 # DEPENDENCYPART_ARC
(8,12),-2.16767 # DEPENDENCYPART_ARC
(8,13),-2.49336 # DEPENDENCYPART_ARC
(8,14),-3.28144 # DEPENDENCYPART_ARC
(8,15),-2.73871 # DEPENDENCYPART_ARC
(8,16),-2.9091 # DEPENDENCYPART_ARC
(8,17),-3.13802 # DEPENDENCYPART_ARC
(8,18),-2.34388 # DEPENDENCYPART_ARC
(9,1),-0.681745 # DEPENDENCYPART_ARC
(9,2),-2.6488 # DEPENDENCYPART_ARC
(9,3),-1.62076 # DEPENDENCYPART_ARC
(9,4),-2.16362 # DEPENDENCYPART_ARC
(9,5),-0.298276 # DEPENDENCYPART_ARC
(9,6),-1.01755 # DEPENDENCYPART_ARC
(9,7),-0.390322 # DEPENDENCYPART_ARC
(9,8),-1.42304 # DEPENDENCYPART_ARC
(9,10),1.22874 # DEPENDENCYPART_ARC
(9,11),0.475115 # DEPENDENCYPART_ARC
(9,12),1.69206 # DEPENDENCYPART_ARC
(9,13),0.709799 # DEPENDENCYPART_ARC
(9,14),-3.8519 # DEPENDENCYPART_ARC
(9,15),-1.10543 # DEPENDENCYPART_ARC
(9,16),-2.58414 # DEPENDENCYPART_ARC
(9,17),-1.75848 # DEPENDENCYPART_ARC
(9,18),3.0964 # DEPENDENCYPART_ARC
(10,1),0.465367 # DEPENDENCYPART_ARC
(10,2),-0.273927 # DEPENDENCYPART_ARC
(10,3),0.895617 # DEPENDENCYPART_ARC
(10,4),1.11945 # DEPENDENCYPART_ARC
(10,5),3.3424 # DEPENDENCYPART_ARC
(10,6),1.88728 # DEPENDENCYPART_ARC
(10,7),1.28676 # DEPENDENCYPART_ARC
(10,8),0.433338 # DEPENDENCYPART_ARC
(10,9),7.18969 # DEPENDENCYPART_ARC
(10,11),1.70418 # DEPENDENCYPART_ARC
(10,12),3.12546 # DEPENDENCYPART_ARC
(10,13),3.13769 # DEPENDENCYPART_ARC
(10,14),-2.25379 # DEPENDENCYPART_ARC
