# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,2,7,5,9,0,9,12,10,12,22,14,15,16,19,17,9,22,4,24,22,22,27,25,9,
(0,2),-7.43054 # DEPENDENCYPART_ARC
(0,3),-8.01256 # DEPENDENCYPART_ARC
(0,4),-7.83301 # DEPENDENCYPART_ARC
(0,5),-8.37997 # DEPENDENCYPART_ARC
(0,7),-7.20179 # DEPENDENCYPART_ARC
(0,9),-2.4041 # DEPENDENCYPART_ARC
(0,10),-8.71084 # DEPENDENCYPART_ARC
(0,12),-8.47879 # DEPENDENCYPART_ARC
(0,15),-9.00286 # DEPENDENCYPART_ARC
(0,16),-8.1103 # DEPENDENCYPART_ARC
(0,17),-9.5914 # DEPENDENCYPART_ARC
(0,19),-8.03077 # DEPENDENCYPART_ARC
(0,21),-3.17564 # DEPENDENCYPART_ARC
(0,22),-3.99823 # DEPENDENCYPART_ARC
(0,24),-8.94211 # DEPENDENCYPART_ARC
(0,25),-9.41169 # DEPENDENCYPART_ARC
(0,27),-8.53262 # DEPENDENCYPART_ARC
(1,2),1.6653 # DEPENDENCYPART_ARC
(1,3),0.870569 # DEPENDENCYPART_ARC
(1,4),-0.380704 # DEPENDENCYPART_ARC
(1,5),-0.824314 # DEPENDENCYPART_ARC
(1,6),-0.587965 # DEPENDENCYPART_ARC
(1,7),-2.0811 # DEPENDENCYPART_ARC
(1,10),-3.64599 # DEPENDENCYPART_ARC
(1,11),-3.88084 # DEPENDENCYPART_ARC
(1,12),-1.71404 # DEPENDENCYPART_ARC
(1,14),-2.27582 # DEPENDENCYPART_ARC
(1,15),-3.70474 # DEPENDENCYPART_ARC
(1,16),-3.4315 # DEPENDENCYPART_ARC
(1,17),-3.9598 # DEPENDENCYPART_ARC
(1,18),-5.04115 # DEPENDENCYPART_ARC
(1,19),-3.75908 # DEPENDENCYPART_ARC
(1,23),-6.80121 # DEPENDENCYPART_ARC
(1,24),-4.16518 # DEPENDENCYPART_ARC
(1,25),-5.62072 # DEPENDENCYPART_ARC
(1,26),-9.36023 # DEPENDENCYPART_ARC
(1,27),-4.81095 # DEPENDENCYPART_ARC
(2,1),4.5784 # DEPENDENCYPART_ARC
(2,3),3.83507 # DEPENDENCYPART_ARC
(2,4),1.23006 # DEPENDENCYPART_ARC
(2,5),2.45919 # DEPENDENCYPART_ARC
(2,6),-1.39742 # DEPENDENCYPART_ARC
(2,7),1.18217 # DEPENDENCYPART_ARC
(2,9),3.03297 # DEPENDENCYPART_ARC
(2,10),0.00905823 # DEPENDENCYPART_ARC
(2,11),-2.23109 # DEPENDENCYPART_ARC
(2,12),0.0288654 # DEPENDENCYPART_ARC
(2,13),-0.415203 # DEPENDENCYPART_ARC
(2,14),-1.01979 # DEPENDENCYPART_ARC
