# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(0,1),-0.390119 # DEPENDENCYPART_ARC
(0,2),-1.2878 # DEPENDENCYPART_ARC
(0,3),-1.49371 # DEPENDENCYPART_ARC
(0,4),0.113841 # DEPENDENCYPART_ARC
(0,5),0.244719 # DEPENDENCYPART_ARC
(0,6),-2.39271 # DEPENDENCYPART_ARC
(0,7),-1.74908 # DEPENDENCYPART_ARC
(0,8),-2.55221 # DEPENDENCYPART_ARC
(0,9),-0.528984 # DEPENDENCYPART_ARC
(0,10),-1.74621 # DEPENDENCYPART_ARC
(0,11),-2.38906 # DEPENDENCYPART_ARC
(0,12),-3.08509 # DEPENDENCYPART_ARC
(0,13),2.55365 # DEPENDENCYPART_ARC
(0,14),-0.771315 # DEPENDENCYPART_ARC
(0,15),-3.29676 # DEPENDENCYPART_ARC
(0,16),-0.733601 # DEPENDENCYPART_ARC
(0,17),-3.57196 # DEPENDENCYPART_ARC
(0,18),-2.42859 # DEPENDENCYPART_ARC
(0,19),-2.08572 # DEPENDENCYPART_ARC
(0,20),-3.22045 # DEPENDENCYPART_ARC
(0,21),-4.30962 # DEPENDENCYPART_ARC
(0,22),-1.4045 # DEPENDENCYPART_ARC
(0,23),3.9719 # DEPENDENCYPART_ARC
(1,2),1.37058 # DEPENDENCYPART_ARC
(1,3),3.40596 # DEPENDENCYPART_ARC
(1,4),-0.472129 # DEPENDENCYPART_ARC
(1,5),0.394472 # DEPENDENCYPART_ARC
(1,6),-3.54498 # DEPENDENCYPART_ARC
(1,7),-1.51621 # DEPENDENCYPART_ARC
(1,8),0.114623 # DEPENDENCYPART_ARC
(1,9),0.082081 # DEPENDENCYPART_ARC
(1,10),-0.334008 # DEPENDENCYPART_ARC
(1,11),-2.07784 # DEPENDENCYPART_ARC
