# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(0,1),0.185578 # DEPENDENCYPART_ARC
(0,2),-0.473908 # DEPENDENCYPART_ARC
(0,3),-0.579835 # DEPENDENCYPART_ARC
(0,4),-0.916668 # DEPENDENCYPART_ARC
(0,5),-0.678036 # DEPENDENCYPART_ARC
(0,6),-1.49723 # DEPENDENCYPART_ARC
(0,7),-2.41577 # DEPENDENCYPART_ARC
(0,8),-0.431351 # DEPENDENCYPART_ARC
(0,9),-0.262524 # DEPENDENCYPART_ARC
(0,10),-1.85895 # DEPENDENCYPART_ARC
(0,11),-3.81898 # DEPENDENCYPART_ARC
(0,12),-2.47119 # DEPENDENCYPART_ARC
(0,13),-2.68075 # DEPENDENCYPART_ARC
(0,14),-2.11464 # DEPENDENCYPART_ARC
(0,15),-5.68307 # DEPENDENCYPART_ARC
(0,16),-4.33476 # DEPENDENCYPART_ARC
(0,17),-1.08274 # DEPENDENCYPART_ARC
(0,18),-2.3698 # DEPENDENCYPART_ARC
(0,19),-2.15492 # DEPENDENCYPART_ARC
(0,20),-7.27711 # DEPENDENCYPART_ARC
(0,21),-4.14058 # DEPENDENCYPART_ARC
(0,22),-5.11374 # DEPENDENCYPART_ARC
(0,23),4.52285 # DEPENDENCYPART_ARC
(1,2),0.903168 # DEPENDENCYPART_ARC
(1,3),1.34795 # DEPENDENCYPART_ARC
(1,4),2.63728 # DEPENDENCYPART_ARC
(1,5),2.55262 # DEPENDENCYPART_ARC
(1,6),-0.0586484 # DEPENDENCYPART_ARC
(1,7),1.67824 # DEPENDENCYPART_ARC
(1,8),0.737223 # DEPENDENCYPART_ARC
(1,9),-1.13411 # DEPENDENCYPART_ARC
(1,10),-0.0732869 # DEPENDENCYPART_ARC
(1,11),0.206412 # DEPENDENCYPART_ARC
(1,12),-2.21915 # DEPENDENCYPART_ARC
(1,13),-1.83505 # DEPENDENCYPART_ARC
(1,14),0.503339 # DEPENDENCYPART_ARC
(1,15),-0.798038 # DEPENDENCYPART_ARC
(1,16),-3.81547 # DEPENDENCYPART_ARC
(1,17),-0.511347 # DEPENDENCYPART_ARC
(1,18),-2.38587 # DEPENDENCYPART_ARC
(1,19),-2.0626 # DEPENDENCYPART_ARC
(1,20),-1.48877 # DEPENDENCYPART_ARC
(1,21),-8.68228 # DEPENDENCYPART_ARC
(1,22),-4.2733 # DEPENDENCYPART_ARC
(1,23),-1.34109 # DEPENDENCYPART_ARC
(2,1),-0.0381502 # DEPENDENCYPART_ARC
(2,3),0.131601 # DEPENDENCYPART_ARC
(2,4),-0.287326 # DEPENDENCYPART_ARC
(2,5),0.296588 # DEPENDENCYPART_ARC
(2,6),-0.582613 # DEPENDENCYPART_ARC
(2,7),-0.644496 # DEPENDENCYPART_ARC
(2,8),-0.125668 # DEPENDENCYPART_ARC
(2,9),-0.665757 # DEPENDENCYPART_ARC
(2,10),-1.11168 # DEPENDENCYPART_ARC
(2,11),-1.69217 # DEPENDENCYPART_ARC
(2,12),-1.18305 # DEPENDENCYPART_ARC
(2,13),-1.70771 # DEPENDENCYPART_ARC
(2,14),-0.902859 # DEPENDENCYPART_ARC
(2,15),-2.3776 # DEPENDENCYPART_ARC
(2,16),-3.25786 # DEPENDENCYPART_ARC
(2,17),-0.87949 # DEPENDENCYPART_ARC
(2,18),-1.41884 # DEPENDENCYPART_ARC
(2,19),-1.78463 # DEPENDENCYPART_ARC
(2,20),-2.94736 # DEPENDENCYPART_ARC
(2,21),-2.66608 # DEPENDENCYPART_ARC
(2,22),-4.67948 # DEPENDENCYPART_ARC
(2,23),-1.23255 # DEPENDENCYPART_ARC
(3,1),3.40249 # DEPENDENCYPART_ARC
(3,2),2.77244 # DEPENDENCYPART_ARC
(3,4),0.796239 # DEPENDENCYPART_ARC
