# _root_ Významnou funkcionalistickou stavbu , která vyhořela v roce 1974 , rekonstruovala Národní galerie v letech 1987 až 1993 .
#goldHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,11,14,17,15,17,0,
#predictedHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,13,14,17,15,17,0,
(0,1),-0.762558 # DEPENDENCYPART_ARC
(0,2),-0.910194 # DEPENDENCYPART_ARC
(0,3),-0.879996 # DEPENDENCYPART_ARC
(0,4),-0.0539297 # DEPENDENCYPART_ARC
(0,5),-1.25945 # DEPENDENCYPART_ARC
(0,6),0.0800439 # DEPENDENCYPART_ARC
(0,7),-1.8888 # DEPENDENCYPART_ARC
(0,8),-2.91963 # DEPENDENCYPART_ARC
(0,9),-1.40535 # DEPENDENCYPART_ARC
(0,10),-0.461383 # DEPENDENCYPART_ARC
(0,11),0.772373 # DEPENDENCYPART_ARC
(0,12),-2.3933 # DEPENDENCYPART_ARC
(0,13),-2.95984 # DEPENDENCYPART_ARC
(0,14),-2.77857 # DEPENDENCYPART_ARC
(0,15),-4.0129 # DEPENDENCYPART_ARC
(0,16),-2.10147 # DEPENDENCYPART_ARC
(0,17),-2.60694 # DEPENDENCYPART_ARC
(0,18),-3.20494 # DEPENDENCYPART_ARC
(0,19),3.70689 # DEPENDENCYPART_ARC
(1,2),-0.722915 # DEPENDENCYPART_ARC
(1,3),-0.904525 # DEPENDENCYPART_ARC
(1,4),-0.456894 # DEPENDENCYPART_ARC
(1,5),-3.44646 # DEPENDENCYPART_ARC
(1,6),-1.20592 # DEPENDENCYPART_ARC
(1,7),-1.30209 # DEPENDENCYPART_ARC
(1,8),-1.75407 # DEPENDENCYPART_ARC
(1,9),-1.39933 # DEPENDENCYPART_ARC
(1,10),-0.90161 # DEPENDENCYPART_ARC
(1,11),-2.2454 # DEPENDENCYPART_ARC
(1,12),-3.90583 # DEPENDENCYPART_ARC
(1,13),-4.5377 # DEPENDENCYPART_ARC
(1,14),-2.189 # DEPENDENCYPART_ARC
(1,15),-4.22765 # DEPENDENCYPART_ARC
(1,16),-2.16895 # DEPENDENCYPART_ARC
(1,17),-1.53352 # DEPENDENCYPART_ARC
(1,18),-2.28916 # DEPENDENCYPART_ARC
(1,19),-3.3595 # DEPENDENCYPART_ARC
(2,1),0.117055 # DEPENDENCYPART_ARC
(2,3),-0.572501 # DEPENDENCYPART_ARC
(2,4),-0.3134 # DEPENDENCYPART_ARC
(2,5),-3.30105 # DEPENDENCYPART_ARC
(2,6),-1.05602 # DEPENDENCYPART_ARC
(2,7),-1.40767 # DEPENDENCYPART_ARC
(2,8),-1.64622 # DEPENDENCYPART_ARC
(2,9),-1.18885 # DEPENDENCYPART_ARC
(2,10),-0.865267 # DEPENDENCYPART_ARC
(2,11),-2.22853 # DEPENDENCYPART_ARC
(2,12),-3.48374 # DEPENDENCYPART_ARC
(2,13),-4.7466 # DEPENDENCYPART_ARC
(2,14),-2.2617 # DEPENDENCYPART_ARC
(2,15),-4.1974 # DEPENDENCYPART_ARC
(2,16),-1.99588 # DEPENDENCYPART_ARC
(2,17),-1.41038 # DEPENDENCYPART_ARC
(2,18),-2.02631 # DEPENDENCYPART_ARC
(2,19),-3.12743 # DEPENDENCYPART_ARC
(3,1),4.63595 # DEPENDENCYPART_ARC
(3,2),5.49273 # DEPENDENCYPART_ARC
(3,4),-0.0147439 # DEPENDENCYPART_ARC
(3,5),-1.41437 # DEPENDENCYPART_ARC
(3,6),1.87106 # DEPENDENCYPART_ARC
(3,7),-0.693029 # DEPENDENCYPART_ARC
(3,8),-0.98383 # DEPENDENCYPART_ARC
(3,9),-0.452698 # DEPENDENCYPART_ARC
(3,10),0.131934 # DEPENDENCYPART_ARC
(3,11),-0.235492 # DEPENDENCYPART_ARC
(3,12),-1.77421 # DEPENDENCYPART_ARC
(3,13),-3.31364 # DEPENDENCYPART_ARC
(3,14),-1.16472 # DEPENDENCYPART_ARC
(3,15),-3.23019 # DEPENDENCYPART_ARC
(3,16),-1.14357 # DEPENDENCYPART_ARC
(3,17),-1.00648 # DEPENDENCYPART_ARC
(3,18),-2.02613 # DEPENDENCYPART_ARC
(3,19),-5.13732 # DEPENDENCYPART_ARC
(4,1),-1.03522 # DEPENDENCYPART_ARC
(4,2),-1.11807 # DEPENDENCYPART_ARC
(4,3),-0.988233 # DEPENDENCYPART_ARC
(4,5),-0.696759 # DEPENDENCYPART_ARC
(4,6),0.047228 # DEPENDENCYPART_ARC
(4,7),-1.65898 # DEPENDENCYPART_ARC
(4,8),-1.91122 # DEPENDENCYPART_ARC
(4,9),-1.84796 # DEPENDENCYPART_ARC
(4,10),-0.98457 # DEPENDENCYPART_ARC
(4,11),-1.23217 # DEPENDENCYPART_ARC
(4,12),-2.56318 # DEPENDENCYPART_ARC
(4,13),-3.02116 # DEPENDENCYPART_ARC
(4,14),-2.4108 # DEPENDENCYPART_ARC
(4,15),-3.62826 # DEPENDENCYPART_ARC
(4,16),-2.64481 # DEPENDENCYPART_ARC
(4,17),-2.35168 # DEPENDENCYPART_ARC
(4,18),-3.31692 # DEPENDENCYPART_ARC
(4,19),-2.43855 # DEPENDENCYPART_ARC
(5,1),-2.61009 # DEPENDENCYPART_ARC
(5,2),-2.35401 # DEPENDENCYPART_ARC
(5,3),-2.31282 # DEPENDENCYPART_ARC
(5,4),-0.213907 # DEPENDENCYPART_ARC
(5,6),-0.401187 # DEPENDENCYPART_ARC
(5,7),-0.460948 # DEPENDENCYPART_ARC
(5,8),-0.997648 # DEPENDENCYPART_ARC
(5,9),-0.716987 # DEPENDENCYPART_ARC
(5,10),-0.808468 # DEPENDENCYPART_ARC
(5,11),-2.34716 # DEPENDENCYPART_ARC
(5,12),-1.08351 # DEPENDENCYPART_ARC
(5,13),-1.43156 # DEPENDENCYPART_ARC
(5,14),-1.08504 # DEPENDENCYPART_ARC
(5,15),-2.41722 # DEPENDENCYPART_ARC
(5,16),-1.512 # DEPENDENCYPART_ARC
(5,17),-2.03562 # DEPENDENCYPART_ARC
(5,18),-1.65177 # DEPENDENCYPART_ARC
(5,19),-1.55778 # DEPENDENCYPART_ARC
(6,1),-1.59807 # DEPENDENCYPART_ARC
(6,2),-2.16053 # DEPENDENCYPART_ARC
(6,3),-0.199257 # DEPENDENCYPART_ARC
(6,4),2.0375 # DEPENDENCYPART_ARC
(6,5),3.64284 # DEPENDENCYPART_ARC
(6,7),2.76405 # DEPENDENCYPART_ARC
(6,8),0.667129 # DEPENDENCYPART_ARC
(6,9),1.23467 # DEPENDENCYPART_ARC
(6,10),1.56382 # DEPENDENCYPART_ARC
(6,11),-2.03817 # DEPENDENCYPART_ARC
(6,12),-1.6277 # DEPENDENCYPART_ARC
(6,13),0.944921 # DEPENDENCYPART_ARC
(6,14),0.91738 # DEPENDENCYPART_ARC
(6,15),-2.7459 # DEPENDENCYPART_ARC
(6,16),0.143843 # DEPENDENCYPART_ARC
(6,17),-0.32203 # DEPENDENCYPART_ARC
(6,18),-0.923287 # DEPENDENCYPART_ARC
(6,19),-0.275267 # DEPENDENCYPART_ARC
(7,1),-3.07899 # DEPENDENCYPART_ARC
(7,2),-2.63616 # DEPENDENCYPART_ARC
(7,3),-3.06099 # DEPENDENCYPART_ARC
(7,4),-1.02878 # DEPENDENCYPART_ARC
(7,5),-1.30185 # DEPENDENCYPART_ARC
(7,6),-1.64201 # DEPENDENCYPART_ARC
(7,8),5.18248 # DEPENDENCYPART_ARC
(7,9),-0.306724 # DEPENDENCYPART_ARC
(7,10),-0.112525 # DEPENDENCYPART_ARC
(7,11),-1.67314 # DEPENDENCYPART_ARC
(7,12),-2.8403 # DEPENDENCYPART_ARC
(7,13),-4.00812 # DEPENDENCYPART_ARC
(7,14),-2.22325 # DEPENDENCYPART_ARC
(7,15),-0.742126 # DEPENDENCYPART_ARC
(7,16),-2.39835 # DEPENDENCYPART_ARC
(7,17),-1.9387 # DEPENDENCYPART_ARC
(7,18),-2.89656 # DEPENDENCYPART_ARC
(7,19),-2.2876 # DEPENDENCYPART_ARC
(8,1),-4.1475 # DEPENDENCYPART_ARC
(8,2),-3.88432 # DEPENDENCYPART_ARC
(8,3),-4.51843 # DEPENDENCYPART_ARC
(8,4),-1.5174 # DEPENDENCYPART_ARC
(8,5),-1.99609 # DEPENDENCYPART_ARC
(8,6),-4.42875 # DEPENDENCYPART_ARC
(8,7),1.01108 # DEPENDENCYPART_ARC
(8,9),2.44032 # DEPENDENCYPART_ARC
(8,10),-0.531419 # DEPENDENCYPART_ARC
(8,11),-0.835717 # DEPENDENCYPART_ARC
(8,12),-2.87941 # DEPENDENCYPART_ARC
(8,13),-1.60997 # DEPENDENCYPART_ARC
(8,14),-0.582081 # DEPENDENCYPART_ARC
(8,15),-2.82786 # DEPENDENCYPART_ARC
(8,16),0.493527 # DEPENDENCYPART_ARC
(8,17),-0.147639 # DEPENDENCYPART_ARC
(8,18),-0.476364 # DEPENDENCYPART_ARC
(8,19),-4.06528 # DEPENDENCYPART_ARC
(9,1),-0.641446 # DEPENDENCYPART_ARC
(9,2),-0.752299 # DEPENDENCYPART_ARC
(9,3),-1.21709 # DEPENDENCYPART_ARC
(9,4),-0.410362 # DEPENDENCYPART_ARC
(9,5),0.405229 # DEPENDENCYPART_ARC
(9,6),-1.05376 # DEPENDENCYPART_ARC
(9,7),0.0102256 # DEPENDENCYPART_ARC
(9,8),0.318006 # DEPENDENCYPART_ARC
(9,10),-0.278552 # DEPENDENCYPART_ARC
(9,11),-0.93878 # DEPENDENCYPART_ARC
(9,12),-1.06041 # DEPENDENCYPART_ARC
(9,13),-0.931456 # DEPENDENCYPART_ARC
(9,14),-1.31437 # DEPENDENCYPART_ARC
(9,15),-1.9546 # DEPENDENCYPART_ARC
(9,16),-1.65176 # DEPENDENCYPART_ARC
(9,17),-1.62472 # DEPENDENCYPART_ARC
(9,18),-1.79404 # DEPENDENCYPART_ARC
(9,19),-2.35042 # DEPENDENCYPART_ARC
