# _root_ Dají také jistotu , že člověk zaplatí jen tolik , kolik skutečně spotřeboval .
#goldHeads=0,1,1,5,3,7,5,9,7,13,13,13,7,0,
#predictedHeads=0,1,1,5,3,7,5,9,7,13,13,13,5,0,
(0,1),-0.0215212 # DEPENDENCYPART_ARC
(0,2),-0.988815 # DEPENDENCYPART_ARC
(0,3),-1.63309 # DEPENDENCYPART_ARC
(0,4),-0.570412 # DEPENDENCYPART_ARC
(0,5),-2.11977 # DEPENDENCYPART_ARC
(0,6),-3.30577 # DEPENDENCYPART_ARC
(0,7),-0.812467 # DEPENDENCYPART_ARC
(0,8),-2.03555 # DEPENDENCYPART_ARC
(0,9),-1.23051 # DEPENDENCYPART_ARC
(0,10),-1.50823 # DEPENDENCYPART_ARC
(0,11),-2.29217 # DEPENDENCYPART_ARC
(0,12),-2.23488 # DEPENDENCYPART_ARC
(0,13),-2.12314 # DEPENDENCYPART_ARC
(0,14),3.41831 # DEPENDENCYPART_ARC
(1,2),2.77919 # DEPENDENCYPART_ARC
(1,3),3.24411 # DEPENDENCYPART_ARC
(1,4),0.50612 # DEPENDENCYPART_ARC
(1,5),1.79276 # DEPENDENCYPART_ARC
(1,6),-0.925307 # DEPENDENCYPART_ARC
(1,7),-1.66256 # DEPENDENCYPART_ARC
(1,8),-0.754143 # DEPENDENCYPART_ARC
(1,9),0.57718 # DEPENDENCYPART_ARC
(1,10),0.187484 # DEPENDENCYPART_ARC
(1,11),-0.594788 # DEPENDENCYPART_ARC
(1,12),-0.296692 # DEPENDENCYPART_ARC
(1,13),-2.74934 # DEPENDENCYPART_ARC
(1,14),-0.0282034 # DEPENDENCYPART_ARC
(2,1),-1.5637 # DEPENDENCYPART_ARC
(2,3),-0.577324 # DEPENDENCYPART_ARC
(2,4),-1.35956 # DEPENDENCYPART_ARC
(2,5),-1.26972 # DEPENDENCYPART_ARC
(2,6),-2.17028 # DEPENDENCYPART_ARC
(2,7),-2.03887 # DEPENDENCYPART_ARC
(2,8),-1.81207 # DEPENDENCYPART_ARC
(2,9),-2.59323 # DEPENDENCYPART_ARC
(2,10),-1.77766 # DEPENDENCYPART_ARC
(2,12),-2.33486 # DEPENDENCYPART_ARC
(2,13),-2.92688 # DEPENDENCYPART_ARC
(2,14),-2.6643 # DEPENDENCYPART_ARC
(3,1),-1.13346 # DEPENDENCYPART_ARC
(3,2),1.87901 # DEPENDENCYPART_ARC
(3,4),0.17065 # DEPENDENCYPART_ARC
(3,5),1.79734 # DEPENDENCYPART_ARC
(3,6),-0.457169 # DEPENDENCYPART_ARC
(3,7),-0.537047 # DEPENDENCYPART_ARC
(3,8),-0.608588 # DEPENDENCYPART_ARC
(3,9),-2.0554 # DEPENDENCYPART_ARC
(3,10),-0.235772 # DEPENDENCYPART_ARC
(3,11),-2.03263 # DEPENDENCYPART_ARC
(3,12),-1.63636 # DEPENDENCYPART_ARC
(3,13),-2.51759 # DEPENDENCYPART_ARC
(3,14),-3.03649 # DEPENDENCYPART_ARC
(4,1),-0.250817 # DEPENDENCYPART_ARC
(4,2),-0.1964 # DEPENDENCYPART_ARC
(4,3),-0.245016 # DEPENDENCYPART_ARC
(4,5),-0.15709 # DEPENDENCYPART_ARC
(4,6),-1.11653 # DEPENDENCYPART_ARC
(4,7),-0.0520433 # DEPENDENCYPART_ARC
(4,8),-1.546 # DEPENDENCYPART_ARC
(4,9),-1.81551 # DEPENDENCYPART_ARC
(4,10),-0.93432 # DEPENDENCYPART_ARC
(4,11),-2.0724 # DEPENDENCYPART_ARC
(4,12),-1.48821 # DEPENDENCYPART_ARC
(4,13),-1.71277 # DEPENDENCYPART_ARC
(4,14),-1.35362 # DEPENDENCYPART_ARC
(5,1),-1.78145 # DEPENDENCYPART_ARC
(5,2),-0.32718 # DEPENDENCYPART_ARC
(5,3),0.108243 # DEPENDENCYPART_ARC
(5,4),2.61746 # DEPENDENCYPART_ARC
(5,6),-1.15896 # DEPENDENCYPART_ARC
(5,7),2.12181 # DEPENDENCYPART_ARC
(5,8),-0.856621 # DEPENDENCYPART_ARC
(5,9),-1.20189 # DEPENDENCYPART_ARC
(5,10),-0.299319 # DEPENDENCYPART_ARC
(5,12),-1.42605 # DEPENDENCYPART_ARC
(5,13),0.553289 # DEPENDENCYPART_ARC
(5,14),-0.895912 # DEPENDENCYPART_ARC
(6,1),-3.90167 # DEPENDENCYPART_ARC
(6,2),-1.25976 # DEPENDENCYPART_ARC
(6,3),-7.71006 # DEPENDENCYPART_ARC
(6,4),-1.45374 # DEPENDENCYPART_ARC
(6,5),-1.59337 # DEPENDENCYPART_ARC
(6,7),-0.665534 # DEPENDENCYPART_ARC
(6,8),-0.303015 # DEPENDENCYPART_ARC
(6,9),-1.39926 # DEPENDENCYPART_ARC
(6,10),-0.400868 # DEPENDENCYPART_ARC
(6,11),-1.59498 # DEPENDENCYPART_ARC
(6,12),-1.16874 # DEPENDENCYPART_ARC
(6,13),-2.62067 # DEPENDENCYPART_ARC
(6,14),-1.49448 # DEPENDENCYPART_ARC
(7,1),-2.15263 # DEPENDENCYPART_ARC
(7,2),-0.125789 # DEPENDENCYPART_ARC
(7,3),-0.946144 # DEPENDENCYPART_ARC
(7,4),0.0529091 # DEPENDENCYPART_ARC
(7,5),-0.348997 # DEPENDENCYPART_ARC
(7,6),3.07604 # DEPENDENCYPART_ARC
(7,8),-0.0133626 # DEPENDENCYPART_ARC
(7,9),1.7839 # DEPENDENCYPART_ARC
(7,10),0.754001 # DEPENDENCYPART_ARC
(7,11),0.555247 # DEPENDENCYPART_ARC
(7,12),0.238371 # DEPENDENCYPART_ARC
(7,13),-1.22759 # DEPENDENCYPART_ARC
(7,14),-0.372689 # DEPENDENCYPART_ARC
(8,1),-3.14013 # DEPENDENCYPART_ARC
(8,2),-2.51876 # DEPENDENCYPART_ARC
(8,3),-2.28432 # DEPENDENCYPART_ARC
(8,4),-2.12984 # DEPENDENCYPART_ARC
(8,5),-1.76636 # DEPENDENCYPART_ARC
(8,6),-1.25538 # DEPENDENCYPART_ARC
(8,7),-0.93194 # DEPENDENCYPART_ARC
(8,10),-0.11185 # DEPENDENCYPART_ARC
(8,12),-1.03662 # DEPENDENCYPART_ARC
(8,13),-0.852437 # DEPENDENCYPART_ARC
(8,14),-0.447528 # DEPENDENCYPART_ARC
(9,1),-2.30832 # DEPENDENCYPART_ARC
(9,2),-0.915397 # DEPENDENCYPART_ARC
(9,3),-1.66877 # DEPENDENCYPART_ARC
(9,4),-0.556876 # DEPENDENCYPART_ARC
(9,5),-0.203305 # DEPENDENCYPART_ARC
(9,6),-0.649628 # DEPENDENCYPART_ARC
(9,7),-0.99679 # DEPENDENCYPART_ARC
(9,8),2.33726 # DEPENDENCYPART_ARC
(9,10),0.950175 # DEPENDENCYPART_ARC
(9,12),0.0692481 # DEPENDENCYPART_ARC
(9,13),-0.254071 # DEPENDENCYPART_ARC
(9,14),-0.123729 # DEPENDENCYPART_ARC
(10,1),-0.611796 # DEPENDENCYPART_ARC
(10,2),-0.215087 # DEPENDENCYPART_ARC
(10,3),-0.365109 # DEPENDENCYPART_ARC
(10,4),0.0912864 # DEPENDENCYPART_ARC
(10,5),-0.175412 # DEPENDENCYPART_ARC
(10,6),-0.492748 # DEPENDENCYPART_ARC
(10,7),0.336197 # DEPENDENCYPART_ARC
(10,8),0.205828 # DEPENDENCYPART_ARC
(10,9),1.1861 # DEPENDENCYPART_ARC
(10,11),1.73093 # DEPENDENCYPART_ARC
(10,12),0.617464 # DEPENDENCYPART_ARC
(10,13),0.125013 # DEPENDENCYPART_ARC
(10,14),-0.0610153 # DEPENDENCYPART_ARC
(11,3),-1.61179 # DEPENDENCYPART_ARC
(11,6),-0.960407 # DEPENDENCYPART_ARC
(12,1),-2.47523 # DEPENDENCYPART_ARC
(12,2),-1.56925 # DEPENDENCYPART_ARC
(12,3),-2.77468 # DEPENDENCYPART_ARC
(12,4),-1.25994 # DEPENDENCYPART_ARC
(12,5),-1.22243 # DEPENDENCYPART_ARC
(12,6),-2.45329 # DEPENDENCYPART_ARC
(12,7),-1.31345 # DEPENDENCYPART_ARC
(12,8),-0.137823 # DEPENDENCYPART_ARC
(12,10),-0.380579 # DEPENDENCYPART_ARC
(12,13),-1.30014 # DEPENDENCYPART_ARC
(12,14),-0.39265 # DEPENDENCYPART_ARC
(13,1),-1.92682 # DEPENDENCYPART_ARC
(13,2),0.0934377 # DEPENDENCYPART_ARC
(13,3),-0.128137 # DEPENDENCYPART_ARC
(13,4),0.00351081 # DEPENDENCYPART_ARC
(13,5),-0.199003 # DEPENDENCYPART_ARC
(13,6),2.70301 # DEPENDENCYPART_ARC
(13,7),-0.187053 # DEPENDENCYPART_ARC
(13,8),0.794814 # DEPENDENCYPART_ARC
(13,9),0.908743 # DEPENDENCYPART_ARC
(13,10),1.16 # DEPENDENCYPART_ARC
(13,11),1.93732 # DEPENDENCYPART_ARC
(13,12),3.27573 # DEPENDENCYPART_ARC
(13,14),0.373328 # DEPENDENCYPART_ARC
(14,1),-4.98912 # DEPENDENCYPART_ARC
(14,2),-3.85378 # DEPENDENCYPART_ARC
(14,3),-4.87729 # DEPENDENCYPART_ARC
(14,4),-4.27405 # DEPENDENCYPART_ARC
(14,5),-3.95854 # DEPENDENCYPART_ARC
(14,6),-4.56872 # DEPENDENCYPART_ARC
(14,7),-4.02144 # DEPENDENCYPART_ARC
(14,8),-3.31094 # DEPENDENCYPART_ARC
(14,9),-3.8785 # DEPENDENCYPART_ARC
(14,10),-3.04979 # DEPENDENCYPART_ARC
(14,11),-2.86697 # DEPENDENCYPART_ARC
(14,12),-3.05598 # DEPENDENCYPART_ARC
(14,13),-3.68763 # DEPENDENCYPART_ARC
