# _root_ Najednou nebylo žádné místo mezi mým vozem a zdí , byla slova nešťastného Fittipaldiho , s nimiž však Mansell nesouhlasil :
#goldHeads=2,10,4,2,2,7,8,5,8,0,10,11,14,12,20,20,16,20,20,14,0,
#predictedHeads=2,18,4,2,4,7,8,5,8,2,0,11,14,12,20,20,16,20,20,14,0,
(0,1),-0.365681 # DEPENDENCYPART_ARC
(0,2),-0.281699 # DEPENDENCYPART_ARC
(0,3),-0.699657 # DEPENDENCYPART_ARC
(0,4),-1.3331 # DEPENDENCYPART_ARC
(0,5),-1.33109 # DEPENDENCYPART_ARC
(0,6),-1.76134 # DEPENDENCYPART_ARC
(0,7),-2.14351 # DEPENDENCYPART_ARC
(0,8),-1.07994 # DEPENDENCYPART_ARC
(0,9),-2.35193 # DEPENDENCYPART_ARC
(0,10),-0.830625 # DEPENDENCYPART_ARC
(0,11),0.230008 # DEPENDENCYPART_ARC
(0,12),-3.1511 # DEPENDENCYPART_ARC
(0,13),-3.62907 # DEPENDENCYPART_ARC
(0,14),-3.73369 # DEPENDENCYPART_ARC
(0,15),-1.05097 # DEPENDENCYPART_ARC
(0,16),-4.9303 # DEPENDENCYPART_ARC
(0,17),-2.53219 # DEPENDENCYPART_ARC
(0,18),0.303925 # DEPENDENCYPART_ARC
(0,19),-4.15652 # DEPENDENCYPART_ARC
(0,20),-1.41159 # DEPENDENCYPART_ARC
(0,21),1.73383 # DEPENDENCYPART_ARC
(1,2),-0.439408 # DEPENDENCYPART_ARC
(1,3),-0.882545 # DEPENDENCYPART_ARC
(1,4),-1.81731 # DEPENDENCYPART_ARC
(1,5),-1.4438 # DEPENDENCYPART_ARC
(1,6),-1.65828 # DEPENDENCYPART_ARC
(1,7),-2.82396 # DEPENDENCYPART_ARC
(1,8),-1.41407 # DEPENDENCYPART_ARC
(1,9),-3.20886 # DEPENDENCYPART_ARC
(1,10),-0.83155 # DEPENDENCYPART_ARC
(1,11),-1.57393 # DEPENDENCYPART_ARC
(1,12),-3.85157 # DEPENDENCYPART_ARC
(1,13),-2.11185 # DEPENDENCYPART_ARC
(1,14),-4.11139 # DEPENDENCYPART_ARC
(1,15),-1.43516 # DEPENDENCYPART_ARC
(1,16),-2.96607 # DEPENDENCYPART_ARC
(1,17),-2.63499 # DEPENDENCYPART_ARC
(1,18),-2.45757 # DEPENDENCYPART_ARC
(1,19),-4.86074 # DEPENDENCYPART_ARC
(1,20),-2.07648 # DEPENDENCYPART_ARC
(1,21),-2.33158 # DEPENDENCYPART_ARC
(2,1),2.65341 # DEPENDENCYPART_ARC
(2,3),2.67056 # DEPENDENCYPART_ARC
(2,4),3.29776 # DEPENDENCYPART_ARC
(2,5),1.14191 # DEPENDENCYPART_ARC
(2,6),-1.08604 # DEPENDENCYPART_ARC
(2,7),1.19696 # DEPENDENCYPART_ARC
(2,8),0.781959 # DEPENDENCYPART_ARC
(2,9),-0.401691 # DEPENDENCYPART_ARC
(2,10),0.802566 # DEPENDENCYPART_ARC
(2,11),-3.82554 # DEPENDENCYPART_ARC
(2,12),-1.05404 # DEPENDENCYPART_ARC
(2,13),-3.59554 # DEPENDENCYPART_ARC
(2,14),-3.3642 # DEPENDENCYPART_ARC
(2,15),-0.103589 # DEPENDENCYPART_ARC
(2,16),-0.853092 # DEPENDENCYPART_ARC
(2,17),-4.09186 # DEPENDENCYPART_ARC
(2,18),0.014152 # DEPENDENCYPART_ARC
(2,19),-4.26982 # DEPENDENCYPART_ARC
(2,20),-4.66479 # DEPENDENCYPART_ARC
(2,21),-0.352386 # DEPENDENCYPART_ARC
(3,1),-0.0844177 # DEPENDENCYPART_ARC
(3,2),-0.684875 # DEPENDENCYPART_ARC
(3,4),-0.0474273 # DEPENDENCYPART_ARC
(3,5),-1.14195 # DEPENDENCYPART_ARC
(3,6),-1.02836 # DEPENDENCYPART_ARC
(3,7),-1.60224 # DEPENDENCYPART_ARC
(3,8),-0.599441 # DEPENDENCYPART_ARC
(3,9),-1.62345 # DEPENDENCYPART_ARC
(3,10),-1.06141 # DEPENDENCYPART_ARC
(3,11),-3.02046 # DEPENDENCYPART_ARC
(3,12),-2.25756 # DEPENDENCYPART_ARC
(3,13),-2.77362 # DEPENDENCYPART_ARC
(3,14),-2.76883 # DEPENDENCYPART_ARC
(3,15),-1.56188 # DEPENDENCYPART_ARC
(3,16),-2.63208 # DEPENDENCYPART_ARC
