# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=8,3,1,8,8,8,8,0,8,12,12,9,8,17,13,17,13,19,17,0,
(0,1),-0.62703 # DEPENDENCYPART_ARC
(0,2),-1.29562 # DEPENDENCYPART_ARC
(0,3),-1.0082 # DEPENDENCYPART_ARC
(0,4),-0.243359 # DEPENDENCYPART_ARC
(0,5),-0.57728 # DEPENDENCYPART_ARC
(0,6),-1.5403 # DEPENDENCYPART_ARC
(0,7),-1.62836 # DEPENDENCYPART_ARC
(0,8),0.71196 # DEPENDENCYPART_ARC
(0,9),-2.63411 # DEPENDENCYPART_ARC
(0,10),-2.46506 # DEPENDENCYPART_ARC
(0,11),-2.51752 # DEPENDENCYPART_ARC
(0,12),-2.01886 # DEPENDENCYPART_ARC
(0,13),-0.590693 # DEPENDENCYPART_ARC
(0,14),-0.056927 # DEPENDENCYPART_ARC
(0,15),-2.55445 # DEPENDENCYPART_ARC
(0,16),-1.66571 # DEPENDENCYPART_ARC
(0,17),-1.23805 # DEPENDENCYPART_ARC
(0,18),-2.26244 # DEPENDENCYPART_ARC
(0,19),-3.75369 # DEPENDENCYPART_ARC
(0,20),4.38384 # DEPENDENCYPART_ARC
(1,2),1.84039 # DEPENDENCYPART_ARC
(1,3),3.42584 # DEPENDENCYPART_ARC
(1,4),-0.273083 # DEPENDENCYPART_ARC
(1,5),-0.196535 # DEPENDENCYPART_ARC
(1,6),-1.55115 # DEPENDENCYPART_ARC
(1,7),-2.65193 # DEPENDENCYPART_ARC
(1,8),-1.64177 # DEPENDENCYPART_ARC
(1,9),-1.61248 # DEPENDENCYPART_ARC
(1,10),-2.2018 # DEPENDENCYPART_ARC
(1,11),-2.42189 # DEPENDENCYPART_ARC
(1,12),-4.55091 # DEPENDENCYPART_ARC
(1,13),-1.1876 # DEPENDENCYPART_ARC
(1,14),-1.89157 # DEPENDENCYPART_ARC
(1,15),-1.21066 # DEPENDENCYPART_ARC
(1,16),-2.14501 # DEPENDENCYPART_ARC
(1,17),-2.57566 # DEPENDENCYPART_ARC
(1,18),-5.14191 # DEPENDENCYPART_ARC
(1,19),-9.42979 # DEPENDENCYPART_ARC
(1,20),-3.80304 # DEPENDENCYPART_ARC
(2,1),-0.808047 # DEPENDENCYPART_ARC
(2,3),-0.710787 # DEPENDENCYPART_ARC
(2,4),-1.00606 # DEPENDENCYPART_ARC
(2,5),-1.08154 # DEPENDENCYPART_ARC
(2,6),-1.7363 # DEPENDENCYPART_ARC
(2,7),-2.97992 # DEPENDENCYPART_ARC
(2,8),-3.06781 # DEPENDENCYPART_ARC
(2,9),-1.75145 # DEPENDENCYPART_ARC
(2,10),-5.62162 # DEPENDENCYPART_ARC
(2,11),-5.67941 # DEPENDENCYPART_ARC
(2,12),-2.93696 # DEPENDENCYPART_ARC
(2,13),-1.36542 # DEPENDENCYPART_ARC
(2,14),-2.35428 # DEPENDENCYPART_ARC
