# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,7,6,7,1,9,7,9,10,1,0,13,13,17,13,22,18,19,22,17,0,
(0,1),0.257437 # DEPENDENCYPART_ARC
(0,2),-0.307357 # DEPENDENCYPART_ARC
(0,3),-0.283665 # DEPENDENCYPART_ARC
(0,4),-0.30641 # DEPENDENCYPART_ARC
(0,5),-1.17984 # DEPENDENCYPART_ARC
(0,6),-2.53507 # DEPENDENCYPART_ARC
(0,7),-0.619369 # DEPENDENCYPART_ARC
(0,8),-2.6062 # DEPENDENCYPART_ARC
(0,9),-3.06742 # DEPENDENCYPART_ARC
(0,10),-2.61867 # DEPENDENCYPART_ARC
(0,11),-3.073 # DEPENDENCYPART_ARC
(0,12),-0.598255 # DEPENDENCYPART_ARC
(0,13),0.671687 # DEPENDENCYPART_ARC
(0,14),-2.17794 # DEPENDENCYPART_ARC
(0,15),-2.82516 # DEPENDENCYPART_ARC
(0,16),-0.953604 # DEPENDENCYPART_ARC
(0,17),-6.11778 # DEPENDENCYPART_ARC
(0,18),-4.63677 # DEPENDENCYPART_ARC
(0,19),-1.58476 # DEPENDENCYPART_ARC
(0,20),-4.00013 # DEPENDENCYPART_ARC
(0,21),-2.59222 # DEPENDENCYPART_ARC
(0,22),-1.1168 # DEPENDENCYPART_ARC
(0,23),4.62967 # DEPENDENCYPART_ARC
(1,2),2.40588 # DEPENDENCYPART_ARC
(1,3),0.156454 # DEPENDENCYPART_ARC
(1,4),0.042146 # DEPENDENCYPART_ARC
(1,5),-0.0188767 # DEPENDENCYPART_ARC
(1,6),-0.928412 # DEPENDENCYPART_ARC
(1,7),1.04364 # DEPENDENCYPART_ARC
(1,8),-1.30215 # DEPENDENCYPART_ARC
(1,9),-1.72815 # DEPENDENCYPART_ARC
(1,10),-1.22383 # DEPENDENCYPART_ARC
(1,11),-2.63172 # DEPENDENCYPART_ARC
(1,12),2.30929 # DEPENDENCYPART_ARC
(1,13),-0.897279 # DEPENDENCYPART_ARC
(1,14),-1.78983 # DEPENDENCYPART_ARC
(1,15),-2.9537 # DEPENDENCYPART_ARC
(1,16),0.144027 # DEPENDENCYPART_ARC
(1,17),-2.36788 # DEPENDENCYPART_ARC
(1,18),-3.00923 # DEPENDENCYPART_ARC
(1,19),-1.9825 # DEPENDENCYPART_ARC
(1,20),-4.10376 # DEPENDENCYPART_ARC
(1,21),-1.68736 # DEPENDENCYPART_ARC
(1,22),-2.76581 # DEPENDENCYPART_ARC
(1,23),-1.70772 # DEPENDENCYPART_ARC
(2,1),1.15122 # DEPENDENCYPART_ARC
(2,3),2.50761 # DEPENDENCYPART_ARC
(2,4),1.27189 # DEPENDENCYPART_ARC
(2,5),2.04091 # DEPENDENCYPART_ARC
(2,6),0.746228 # DEPENDENCYPART_ARC
(2,7),0.615609 # DEPENDENCYPART_ARC
(2,8),-1.38394 # DEPENDENCYPART_ARC
(2,9),-0.600655 # DEPENDENCYPART_ARC
(2,10),-0.307021 # DEPENDENCYPART_ARC
(2,11),-1.40062 # DEPENDENCYPART_ARC
(2,12),-0.0816696 # DEPENDENCYPART_ARC
(2,13),-1.92376 # DEPENDENCYPART_ARC
(2,14),-1.12901 # DEPENDENCYPART_ARC
(2,15),0.333016 # DEPENDENCYPART_ARC
(2,16),-0.58259 # DEPENDENCYPART_ARC
(2,17),-1.47945 # DEPENDENCYPART_ARC
(2,18),-1.42547 # DEPENDENCYPART_ARC
(2,19),-3.70336 # DEPENDENCYPART_ARC
(2,20),-4.21237 # DEPENDENCYPART_ARC
(2,21),-1.44945 # DEPENDENCYPART_ARC
(2,22),-3.50249 # DEPENDENCYPART_ARC
(2,23),-0.937883 # DEPENDENCYPART_ARC
(3,1),-0.449197 # DEPENDENCYPART_ARC
(3,2),0.199911 # DEPENDENCYPART_ARC
(3,4),-0.446574 # DEPENDENCYPART_ARC
(3,5),-0.161139 # DEPENDENCYPART_ARC
(3,6),-1.1875 # DEPENDENCYPART_ARC
(3,7),0.00884841 # DEPENDENCYPART_ARC
(3,8),-2.05862 # DEPENDENCYPART_ARC
(3,9),-1.73359 # DEPENDENCYPART_ARC
(3,10),-0.92434 # DEPENDENCYPART_ARC
(3,11),-2.08776 # DEPENDENCYPART_ARC
(3,12),-1.06297 # DEPENDENCYPART_ARC
(3,13),-4.41179 # DEPENDENCYPART_ARC
(3,14),-3.10717 # DEPENDENCYPART_ARC
(3,15),-1.90201 # DEPENDENCYPART_ARC
(3,16),-1.26554 # DEPENDENCYPART_ARC
