# _root_ Erica Cantonu , francouzského fotbalového reprezentanta a hráče Manchesteru United , čeká v tomto týdnu velmi nepříjemný program .
#goldHeads=2,3,12,6,6,7,3,7,8,9,3,0,12,15,13,17,18,12,0,
#predictedHeads=2,7,7,6,6,7,12,7,8,9,4,0,12,15,13,17,18,12,0,
(0,1),-0.815284 # DEPENDENCYPART_ARC
(0,2),0.0957604 # DEPENDENCYPART_ARC
(0,3),0.215271 # DEPENDENCYPART_ARC
(0,4),-1.39354 # DEPENDENCYPART_ARC
(0,5),-1.44669 # DEPENDENCYPART_ARC
(0,6),-1.56577 # DEPENDENCYPART_ARC
(0,7),-0.850644 # DEPENDENCYPART_ARC
(0,8),-2.12812 # DEPENDENCYPART_ARC
(0,9),-1.55664 # DEPENDENCYPART_ARC
(0,10),-1.76665 # DEPENDENCYPART_ARC
(0,11),-0.551617 # DEPENDENCYPART_ARC
(0,12),1.53691 # DEPENDENCYPART_ARC
(0,13),-2.55438 # DEPENDENCYPART_ARC
(0,14),-1.95659 # DEPENDENCYPART_ARC
(0,15),-3.46322 # DEPENDENCYPART_ARC
(0,16),-1.92059 # DEPENDENCYPART_ARC
(0,17),-2.50662 # DEPENDENCYPART_ARC
(0,18),-2.57233 # DEPENDENCYPART_ARC
(0,19),3.73992 # DEPENDENCYPART_ARC
(1,2),-0.614147 # DEPENDENCYPART_ARC
(1,3),-0.18052 # DEPENDENCYPART_ARC
(1,4),0.211533 # DEPENDENCYPART_ARC
(1,5),-0.265961 # DEPENDENCYPART_ARC
(1,6),-2.33926 # DEPENDENCYPART_ARC
(1,7),0.434526 # DEPENDENCYPART_ARC
(1,8),-3.44682 # DEPENDENCYPART_ARC
(1,9),-0.240179 # DEPENDENCYPART_ARC
(1,10),-1.30278 # DEPENDENCYPART_ARC
(1,11),-0.753114 # DEPENDENCYPART_ARC
(1,12),-3.05196 # DEPENDENCYPART_ARC
(1,13),-2.51669 # DEPENDENCYPART_ARC
(1,14),-3.13557 # DEPENDENCYPART_ARC
(1,15),-3.44207 # DEPENDENCYPART_ARC
(1,16),-0.979004 # DEPENDENCYPART_ARC
(1,17),-5.77504 # DEPENDENCYPART_ARC
(1,18),-5.32378 # DEPENDENCYPART_ARC
(1,19),-6.86701 # DEPENDENCYPART_ARC
(2,1),6.2496 # DEPENDENCYPART_ARC
(2,3),-0.146356 # DEPENDENCYPART_ARC
(2,4),1.90722 # DEPENDENCYPART_ARC
(2,5),0.992791 # DEPENDENCYPART_ARC
(2,6),-1.62501 # DEPENDENCYPART_ARC
(2,7),0.23598 # DEPENDENCYPART_ARC
(2,8),-3.33371 # DEPENDENCYPART_ARC
(2,9),-0.765563 # DEPENDENCYPART_ARC
(2,10),0.485263 # DEPENDENCYPART_ARC
(2,11),-0.222686 # DEPENDENCYPART_ARC
(2,12),-2.3326 # DEPENDENCYPART_ARC
(2,13),-3.59175 # DEPENDENCYPART_ARC
(2,14),-4.26829 # DEPENDENCYPART_ARC
(2,15),-4.38306 # DEPENDENCYPART_ARC
(2,16),-1.07182 # DEPENDENCYPART_ARC
(2,17),-4.51377 # DEPENDENCYPART_ARC
(2,18),-4.83236 # DEPENDENCYPART_ARC
(2,19),-7.04744 # DEPENDENCYPART_ARC
(3,1),0.785892 # DEPENDENCYPART_ARC
(3,2),1.535 # DEPENDENCYPART_ARC
(3,4),0.114995 # DEPENDENCYPART_ARC
(3,5),0.472569 # DEPENDENCYPART_ARC
(3,6),1.3976 # DEPENDENCYPART_ARC
(3,7),0.306686 # DEPENDENCYPART_ARC
(3,8),0.0493245 # DEPENDENCYPART_ARC
(3,9),-0.0790729 # DEPENDENCYPART_ARC
(3,10),-0.994806 # DEPENDENCYPART_ARC
(3,11),0.392491 # DEPENDENCYPART_ARC
