# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=6,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(0,1),-1.24049 # DEPENDENCYPART_ARC
(0,2),-1.2548 # DEPENDENCYPART_ARC
(0,3),-1.2228 # DEPENDENCYPART_ARC
(0,4),-1.70165 # DEPENDENCYPART_ARC
(0,5),-0.415017 # DEPENDENCYPART_ARC
(0,6),-0.221707 # DEPENDENCYPART_ARC
(0,7),-1.26567 # DEPENDENCYPART_ARC
(0,8),-0.322027 # DEPENDENCYPART_ARC
(0,9),-0.263424 # DEPENDENCYPART_ARC
(0,11),0.881655 # DEPENDENCYPART_ARC
(0,12),-4.22442 # DEPENDENCYPART_ARC
(0,13),-3.94942 # DEPENDENCYPART_ARC
(0,14),-3.9181 # DEPENDENCYPART_ARC
(0,15),-1.72076 # DEPENDENCYPART_ARC
(0,16),-4.74486 # DEPENDENCYPART_ARC
(0,17),-3.87226 # DEPENDENCYPART_ARC
(0,18),-4.80736 # DEPENDENCYPART_ARC
(0,19),-0.90127 # DEPENDENCYPART_ARC
(0,20),-0.329865 # DEPENDENCYPART_ARC
(0,21),-4.45016 # DEPENDENCYPART_ARC
(0,22),-5.31643 # DEPENDENCYPART_ARC
(0,23),-5.38557 # DEPENDENCYPART_ARC
(0,24),-6.3217 # DEPENDENCYPART_ARC
(0,25),-5.57437 # DEPENDENCYPART_ARC
(0,26),-5.26256 # DEPENDENCYPART_ARC
(0,27),-5.37478 # DEPENDENCYPART_ARC
(0,28),-5.73744 # DEPENDENCYPART_ARC
(0,29),4.91748 # DEPENDENCYPART_ARC
(1,2),2.42242 # DEPENDENCYPART_ARC
(1,3),0.877743 # DEPENDENCYPART_ARC
(1,4),3.62565 # DEPENDENCYPART_ARC
(1,5),-0.757751 # DEPENDENCYPART_ARC
(1,7),-1.4387 # DEPENDENCYPART_ARC
(1,8),-1.10909 # DEPENDENCYPART_ARC
(1,9),-1.35169 # DEPENDENCYPART_ARC
(1,11),-2.6517 # DEPENDENCYPART_ARC
(1,12),-1.64515 # DEPENDENCYPART_ARC
(1,13),-4.45804 # DEPENDENCYPART_ARC
(1,14),-8.07511 # DEPENDENCYPART_ARC
(1,15),-2.55747 # DEPENDENCYPART_ARC
(1,16),-9.17846 # DEPENDENCYPART_ARC
(1,17),-2.0565 # DEPENDENCYPART_ARC
(1,18),-10.197 # DEPENDENCYPART_ARC
(1,19),-2.8308 # DEPENDENCYPART_ARC
(1,20),-2.45785 # DEPENDENCYPART_ARC
(1,21),-12.4253 # DEPENDENCYPART_ARC
(1,22),-2.46094 # DEPENDENCYPART_ARC
(1,23),-11.0745 # DEPENDENCYPART_ARC
(1,24),-2.92716 # DEPENDENCYPART_ARC
(1,25),-12.2615 # DEPENDENCYPART_ARC
(1,26),-4.00216 # DEPENDENCYPART_ARC
(1,27),-4.04427 # DEPENDENCYPART_ARC
(1,28),-15.3141 # DEPENDENCYPART_ARC
(1,29),-5.35867 # DEPENDENCYPART_ARC
(2,1),0.0211824 # DEPENDENCYPART_ARC
(2,3),0.245522 # DEPENDENCYPART_ARC
(2,4),-0.322537 # DEPENDENCYPART_ARC
(2,5),-2.52714 # DEPENDENCYPART_ARC
(2,6),-0.783716 # DEPENDENCYPART_ARC
(2,8),-1.06465 # DEPENDENCYPART_ARC
(2,9),-4.43091 # DEPENDENCYPART_ARC
(2,11),-1.75477 # DEPENDENCYPART_ARC
(2,12),-1.14185 # DEPENDENCYPART_ARC
(2,13),-2.31164 # DEPENDENCYPART_ARC
(2,14),-2.2508 # DEPENDENCYPART_ARC
(2,15),-1.60968 # DEPENDENCYPART_ARC
(2,16),-2.63715 # DEPENDENCYPART_ARC
(2,17),-1.81023 # DEPENDENCYPART_ARC
(2,18),-2.78647 # DEPENDENCYPART_ARC
(2,19),-1.6851 # DEPENDENCYPART_ARC
(2,20),-6.56312 # DEPENDENCYPART_ARC
(2,21),-3.95542 # DEPENDENCYPART_ARC
(2,22),-2.29632 # DEPENDENCYPART_ARC
(2,23),-2.93208 # DEPENDENCYPART_ARC
(2,24),-2.47995 # DEPENDENCYPART_ARC
(2,25),-3.11667 # DEPENDENCYPART_ARC
(2,26),-5.01109 # DEPENDENCYPART_ARC
(2,27),-5.1539 # DEPENDENCYPART_ARC
(2,28),-3.58899 # DEPENDENCYPART_ARC
(2,29),-3.46926 # DEPENDENCYPART_ARC
(3,1),0.532933 # DEPENDENCYPART_ARC
(3,2),0.806306 # DEPENDENCYPART_ARC
(3,4),-1.03558 # DEPENDENCYPART_ARC
(3,5),-3.04475 # DEPENDENCYPART_ARC
(3,6),-2.29671 # DEPENDENCYPART_ARC
(3,7),-3.20867 # DEPENDENCYPART_ARC
(3,8),-2.09675 # DEPENDENCYPART_ARC
(3,9),-4.12683 # DEPENDENCYPART_ARC
