# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=5,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(0,1),0.11783 # DEPENDENCYPART_ARC
(0,2),-0.744552 # DEPENDENCYPART_ARC
(0,3),-1.02062 # DEPENDENCYPART_ARC
(0,4),1.38103 # DEPENDENCYPART_ARC
(0,5),-0.615265 # DEPENDENCYPART_ARC
(0,6),-1.05704 # DEPENDENCYPART_ARC
(0,7),-1.76123 # DEPENDENCYPART_ARC
(0,8),-2.14725 # DEPENDENCYPART_ARC
(0,9),-2.55063 # DEPENDENCYPART_ARC
(0,10),0.151427 # DEPENDENCYPART_ARC
(0,11),-0.974788 # DEPENDENCYPART_ARC
(0,12),-0.114455 # DEPENDENCYPART_ARC
(0,13),-3.03115 # DEPENDENCYPART_ARC
(0,14),-3.22842 # DEPENDENCYPART_ARC
(0,15),-3.38192 # DEPENDENCYPART_ARC
(0,16),-1.57915 # DEPENDENCYPART_ARC
(0,17),-3.40913 # DEPENDENCYPART_ARC
(0,18),-1.39245 # DEPENDENCYPART_ARC
(0,19),-3.89479 # DEPENDENCYPART_ARC
(0,20),-0.83533 # DEPENDENCYPART_ARC
(0,21),-2.31528 # DEPENDENCYPART_ARC
(0,22),-4.97213 # DEPENDENCYPART_ARC
(0,23),-5.22067 # DEPENDENCYPART_ARC
(0,24),-1.42819 # DEPENDENCYPART_ARC
(0,25),-5.10993 # DEPENDENCYPART_ARC
(0,26),4.42945 # DEPENDENCYPART_ARC
(1,2),1.81148 # DEPENDENCYPART_ARC
(1,3),-0.0446755 # DEPENDENCYPART_ARC
(1,4),-0.796878 # DEPENDENCYPART_ARC
(1,5),-1.27586 # DEPENDENCYPART_ARC
(1,6),-1.11844 # DEPENDENCYPART_ARC
(1,7),-2.8058 # DEPENDENCYPART_ARC
(1,8),-2.49381 # DEPENDENCYPART_ARC
(1,9),-2.65256 # DEPENDENCYPART_ARC
(1,10),-1.51297 # DEPENDENCYPART_ARC
(1,11),-2.03418 # DEPENDENCYPART_ARC
(1,12),-2.0791 # DEPENDENCYPART_ARC
(1,13),-1.98907 # DEPENDENCYPART_ARC
(1,14),-2.74093 # DEPENDENCYPART_ARC
(1,15),-2.44416 # DEPENDENCYPART_ARC
(1,16),-2.858 # DEPENDENCYPART_ARC
(1,17),-4.69284 # DEPENDENCYPART_ARC
(1,18),-2.35304 # DEPENDENCYPART_ARC
(1,19),-4.98478 # DEPENDENCYPART_ARC
(1,20),-2.79166 # DEPENDENCYPART_ARC
(1,21),-2.73833 # DEPENDENCYPART_ARC
(1,22),-2.5472 # DEPENDENCYPART_ARC
(1,23),-4.65106 # DEPENDENCYPART_ARC
(1,24),-2.78123 # DEPENDENCYPART_ARC
(1,25),-5.94284 # DEPENDENCYPART_ARC
(1,26),-5.32043 # DEPENDENCYPART_ARC
(2,1),-0.464596 # DEPENDENCYPART_ARC
(2,3),4.67503 # DEPENDENCYPART_ARC
(2,4),0.692452 # DEPENDENCYPART_ARC
(2,5),-1.30551 # DEPENDENCYPART_ARC
(2,6),-0.688951 # DEPENDENCYPART_ARC
(2,7),-4.33317 # DEPENDENCYPART_ARC
(2,8),-1.19383 # DEPENDENCYPART_ARC
(2,9),-0.26714 # DEPENDENCYPART_ARC
(2,10),-0.164858 # DEPENDENCYPART_ARC
(2,11),-3.5574 # DEPENDENCYPART_ARC
(2,12),-1.05481 # DEPENDENCYPART_ARC
(2,13),-1.09365 # DEPENDENCYPART_ARC
(2,14),-2.67255 # DEPENDENCYPART_ARC
(2,15),-2.96935 # DEPENDENCYPART_ARC
(2,16),-3.34939 # DEPENDENCYPART_ARC
(2,17),-6.51118 # DEPENDENCYPART_ARC
(2,18),-4.81844 # DEPENDENCYPART_ARC
(2,19),-6.79915 # DEPENDENCYPART_ARC
(2,20),-1.46942 # DEPENDENCYPART_ARC
(2,21),-4.5414 # DEPENDENCYPART_ARC
(2,22),-3.91119 # DEPENDENCYPART_ARC
(2,23),-5.00116 # DEPENDENCYPART_ARC
(2,24),-5.55134 # DEPENDENCYPART_ARC
(2,25),-9.90856 # DEPENDENCYPART_ARC
(2,26),-9.16532 # DEPENDENCYPART_ARC
(3,1),-0.698836 # DEPENDENCYPART_ARC
(3,2),1.95293 # DEPENDENCYPART_ARC
(3,4),0.0925589 # DEPENDENCYPART_ARC
(3,5),-1.81358 # DEPENDENCYPART_ARC
(3,6),-0.167077 # DEPENDENCYPART_ARC
(3,7),-4.34515 # DEPENDENCYPART_ARC
(3,8),-1.43535 # DEPENDENCYPART_ARC
(3,9),-1.08126 # DEPENDENCYPART_ARC
(3,10),-1.33452 # DEPENDENCYPART_ARC
(3,11),-3.83795 # DEPENDENCYPART_ARC
(3,12),-1.18715 # DEPENDENCYPART_ARC
(3,13),-2.0561 # DEPENDENCYPART_ARC
(3,14),-1.24709 # DEPENDENCYPART_ARC
(3,15),-2.45024 # DEPENDENCYPART_ARC
(3,16),-1.96171 # DEPENDENCYPART_ARC
(3,17),-6.25192 # DEPENDENCYPART_ARC
(3,18),-5.71573 # DEPENDENCYPART_ARC
(3,19),-6.65693 # DEPENDENCYPART_ARC
(3,20),-1.79396 # DEPENDENCYPART_ARC
(3,21),-4.44957 # DEPENDENCYPART_ARC
(3,22),-3.37561 # DEPENDENCYPART_ARC
(3,23),-6.18344 # DEPENDENCYPART_ARC
(3,24),-6.33733 # DEPENDENCYPART_ARC
(3,25),-9.7516 # DEPENDENCYPART_ARC
(3,26),-9.26636 # DEPENDENCYPART_ARC
(4,1),0.0879479 # DEPENDENCYPART_ARC
(4,2),0.368288 # DEPENDENCYPART_ARC
(4,3),0.151866 # DEPENDENCYPART_ARC
(4,5),1.76793 # DEPENDENCYPART_ARC
(4,6),-0.573072 # DEPENDENCYPART_ARC
(4,7),-1.01385 # DEPENDENCYPART_ARC
(4,8),-0.925432 # DEPENDENCYPART_ARC
(4,9),-0.679365 # DEPENDENCYPART_ARC
(4,10),0.245619 # DEPENDENCYPART_ARC
(4,11),-0.218812 # DEPENDENCYPART_ARC
(4,12),0.181368 # DEPENDENCYPART_ARC
(4,13),-1.28321 # DEPENDENCYPART_ARC
(4,14),-2.26593 # DEPENDENCYPART_ARC
(4,15),-2.8493 # DEPENDENCYPART_ARC
(4,16),-2.26082 # DEPENDENCYPART_ARC
(4,17),-3.27978 # DEPENDENCYPART_ARC
(4,18),-0.911252 # DEPENDENCYPART_ARC
(4,19),-4.58326 # DEPENDENCYPART_ARC
(4,20),0.0345305 # DEPENDENCYPART_ARC
(4,21),-2.86584 # DEPENDENCYPART_ARC
(4,22),-3.6547 # DEPENDENCYPART_ARC
(4,23),-5.30974 # DEPENDENCYPART_ARC
(4,24),-1.60445 # DEPENDENCYPART_ARC
(4,25),-5.84403 # DEPENDENCYPART_ARC
(4,26),-2.20008 # DEPENDENCYPART_ARC
(5,1),1.04211 # DEPENDENCYPART_ARC
(5,2),-1.67574 # DEPENDENCYPART_ARC
(5,3),-1.29244 # DEPENDENCYPART_ARC
(5,4),0.970625 # DEPENDENCYPART_ARC
(5,6),2.63305 # DEPENDENCYPART_ARC
(5,7),1.36234 # DEPENDENCYPART_ARC
(5,8),0.0583526 # DEPENDENCYPART_ARC
(5,9),0.137543 # DEPENDENCYPART_ARC
(5,10),0.474448 # DEPENDENCYPART_ARC
(5,11),-1.09144 # DEPENDENCYPART_ARC
(5,12),-0.0640687 # DEPENDENCYPART_ARC
(5,13),0.365085 # DEPENDENCYPART_ARC
(5,14),-1.72196 # DEPENDENCYPART_ARC
(5,15),-0.780393 # DEPENDENCYPART_ARC
(5,16),-6.91105 # DEPENDENCYPART_ARC
(5,17),-2.06041 # DEPENDENCYPART_ARC
(5,18),-3.20059 # DEPENDENCYPART_ARC
(5,19),-2.93394 # DEPENDENCYPART_ARC
(5,20),-0.443949 # DEPENDENCYPART_ARC
(5,21),-4.32093 # DEPENDENCYPART_ARC
(5,22),-1.71144 # DEPENDENCYPART_ARC
(5,23),-7.34667 # DEPENDENCYPART_ARC
(5,24),-4.10688 # DEPENDENCYPART_ARC
(5,25),-4.69727 # DEPENDENCYPART_ARC
(5,26),-1.63784 # DEPENDENCYPART_ARC
(6,1),-2.11183 # DEPENDENCYPART_ARC
(6,2),-2.97889 # DEPENDENCYPART_ARC
(6,3),-1.76741 # DEPENDENCYPART_ARC
(6,4),-1.05369 # DEPENDENCYPART_ARC
(6,5),-1.78155 # DEPENDENCYPART_ARC
(6,7),4.04916 # DEPENDENCYPART_ARC
(6,8),-1.26413 # DEPENDENCYPART_ARC
(6,9),-3.59714 # DEPENDENCYPART_ARC
(6,10),-0.817037 # DEPENDENCYPART_ARC
(6,11),-1.13986 # DEPENDENCYPART_ARC
(6,12),-1.20414 # DEPENDENCYPART_ARC
(6,13),-1.95507 # DEPENDENCYPART_ARC
(6,14),-2.45979 # DEPENDENCYPART_ARC
(6,15),-2.16076 # DEPENDENCYPART_ARC
(6,16),-4.1514 # DEPENDENCYPART_ARC
(6,17),-3.19887 # DEPENDENCYPART_ARC
(6,18),-2.75612 # DEPENDENCYPART_ARC
(6,19),-9.9575 # DEPENDENCYPART_ARC
(6,20),-2.73803 # DEPENDENCYPART_ARC
(6,21),-6.16306 # DEPENDENCYPART_ARC
(6,22),-2.83319 # DEPENDENCYPART_ARC
(6,23),-8.53979 # DEPENDENCYPART_ARC
(6,24),-2.86063 # DEPENDENCYPART_ARC
(6,25),-10.2716 # DEPENDENCYPART_ARC
(6,26),-3.45505 # DEPENDENCYPART_ARC
(7,1),-3.80936 # DEPENDENCYPART_ARC
(7,2),-4.35874 # DEPENDENCYPART_ARC
(7,3),-4.25643 # DEPENDENCYPART_ARC
(7,4),-1.85737 # DEPENDENCYPART_ARC
(7,5),-1.88115 # DEPENDENCYPART_ARC
(7,6),1.09419 # DEPENDENCYPART_ARC
(7,8),3.04304 # DEPENDENCYPART_ARC
(7,9),2.56849 # DEPENDENCYPART_ARC
(7,10),0.547854 # DEPENDENCYPART_ARC
(7,11),-1.13503 # DEPENDENCYPART_ARC
(7,12),-0.65006 # DEPENDENCYPART_ARC
(7,13),-0.303093 # DEPENDENCYPART_ARC
(7,14),-0.253251 # DEPENDENCYPART_ARC
(7,15),-0.797013 # DEPENDENCYPART_ARC
(7,16),-1.52555 # DEPENDENCYPART_ARC
(7,17),-2.164 # DEPENDENCYPART_ARC
(7,18),-2.73433 # DEPENDENCYPART_ARC
(7,19),-4.29919 # DEPENDENCYPART_ARC
(7,20),-1.05447 # DEPENDENCYPART_ARC
(7,21),-3.97177 # DEPENDENCYPART_ARC
(7,22),-1.8951 # DEPENDENCYPART_ARC
(7,23),-3.71899 # DEPENDENCYPART_ARC
(7,24),-3.34684 # DEPENDENCYPART_ARC
(7,25),-5.38754 # DEPENDENCYPART_ARC
(7,26),-7.09887 # DEPENDENCYPART_ARC
(8,1),-5.05514 # DEPENDENCYPART_ARC
(8,2),-2.06349 # DEPENDENCYPART_ARC
(8,3),-3.89568 # DEPENDENCYPART_ARC
(8,4),-2.11971 # DEPENDENCYPART_ARC
(8,5),-2.7112 # DEPENDENCYPART_ARC
(8,6),-0.808371 # DEPENDENCYPART_ARC
(8,7),-1.36786 # DEPENDENCYPART_ARC
(8,9),1.82164 # DEPENDENCYPART_ARC
(8,10),0.242174 # DEPENDENCYPART_ARC
(8,11),-2.41495 # DEPENDENCYPART_ARC
(8,12),-1.16306 # DEPENDENCYPART_ARC
(8,13),-1.32253 # DEPENDENCYPART_ARC
(8,14),-2.3763 # DEPENDENCYPART_ARC
(8,15),-3.21282 # DEPENDENCYPART_ARC
(8,16),-2.81676 # DEPENDENCYPART_ARC
(8,17),-6.05535 # DEPENDENCYPART_ARC
(8,18),-3.63205 # DEPENDENCYPART_ARC
(8,19),-5.85011 # DEPENDENCYPART_ARC
(8,20),-1.55409 # DEPENDENCYPART_ARC
(8,21),-3.89009 # DEPENDENCYPART_ARC
(8,22),-3.97236 # DEPENDENCYPART_ARC
(8,23),-4.5513 # DEPENDENCYPART_ARC
(8,24),-4.85848 # DEPENDENCYPART_ARC
