# _root_ Záplava objevů v infračerveném světle je prostě neuvěřitelná : poznali jsme , jak velká složka hmoty ve vesmíru je chladná , vlastně přímo mrazivá .
#goldHeads=6,1,2,5,3,9,6,6,0,9,10,21,14,15,19,15,16,17,21,19,10,21,24,21,0,
#predictedHeads=6,1,2,5,3,9,6,6,0,9,10,19,14,15,19,15,16,17,21,19,9,19,24,21,0,
(0,1),-0.00130221 # DEPENDENCYPART_ARC
(0,2),-0.762502 # DEPENDENCYPART_ARC
(0,3),0.498796 # DEPENDENCYPART_ARC
(0,4),-1.08988 # DEPENDENCYPART_ARC
(0,5),-2.14567 # DEPENDENCYPART_ARC
(0,6),0.743049 # DEPENDENCYPART_ARC
(0,7),-1.17312 # DEPENDENCYPART_ARC
(0,8),-0.983039 # DEPENDENCYPART_ARC
(0,9),0.759067 # DEPENDENCYPART_ARC
(0,10),0.752595 # DEPENDENCYPART_ARC
(0,11),-1.10122 # DEPENDENCYPART_ARC
(0,12),-0.186582 # DEPENDENCYPART_ARC
(0,13),-2.23692 # DEPENDENCYPART_ARC
(0,14),-1.95655 # DEPENDENCYPART_ARC
(0,15),-2.45204 # DEPENDENCYPART_ARC
(0,16),-3.45195 # DEPENDENCYPART_ARC
(0,17),-3.16922 # DEPENDENCYPART_ARC
(0,18),-4.79898 # DEPENDENCYPART_ARC
(0,19),-0.846849 # DEPENDENCYPART_ARC
(0,20),-2.77537 # DEPENDENCYPART_ARC
(0,21),-0.870444 # DEPENDENCYPART_ARC
(0,22),-1.94207 # DEPENDENCYPART_ARC
(0,23),-2.98091 # DEPENDENCYPART_ARC
(0,24),-2.48713 # DEPENDENCYPART_ARC
(0,25),4.21796 # DEPENDENCYPART_ARC
(1,2),3.64941 # DEPENDENCYPART_ARC
(1,3),1.60684 # DEPENDENCYPART_ARC
(1,4),-1.06425 # DEPENDENCYPART_ARC
(1,5),0.490428 # DEPENDENCYPART_ARC
(1,6),-0.272398 # DEPENDENCYPART_ARC
(1,7),-0.441572 # DEPENDENCYPART_ARC
(1,8),-0.893794 # DEPENDENCYPART_ARC
(1,9),-0.659382 # DEPENDENCYPART_ARC
(1,10),-2.48562 # DEPENDENCYPART_ARC
(1,11),-2.9354 # DEPENDENCYPART_ARC
(1,12),-1.03579 # DEPENDENCYPART_ARC
(1,13),-0.848581 # DEPENDENCYPART_ARC
(1,14),-1.70245 # DEPENDENCYPART_ARC
(1,15),-3.43542 # DEPENDENCYPART_ARC
(1,16),-1.97692 # DEPENDENCYPART_ARC
(1,17),-1.31544 # DEPENDENCYPART_ARC
(1,18),-3.87031 # DEPENDENCYPART_ARC
(1,19),-5.10736 # DEPENDENCYPART_ARC
(1,20),-2.60386 # DEPENDENCYPART_ARC
(1,21),-1.34476 # DEPENDENCYPART_ARC
(1,22),-1.84153 # DEPENDENCYPART_ARC
(1,23),-2.17828 # DEPENDENCYPART_ARC
(1,24),-3.07131 # DEPENDENCYPART_ARC
(1,25),-8.60624 # DEPENDENCYPART_ARC
(2,1),-0.687585 # DEPENDENCYPART_ARC
(2,3),1.89031 # DEPENDENCYPART_ARC
(2,4),-2.38842 # DEPENDENCYPART_ARC
(2,5),-0.245393 # DEPENDENCYPART_ARC
(2,6),-1.37406 # DEPENDENCYPART_ARC
(2,7),-0.13884 # DEPENDENCYPART_ARC
(2,8),-5.40408 # DEPENDENCYPART_ARC
(2,9),-0.634797 # DEPENDENCYPART_ARC
(2,10),-2.21672 # DEPENDENCYPART_ARC
(2,11),-2.45459 # DEPENDENCYPART_ARC
(2,12),-0.862891 # DEPENDENCYPART_ARC
(2,13),-0.838645 # DEPENDENCYPART_ARC
(2,14),-6.50823 # DEPENDENCYPART_ARC
(2,15),-4.40521 # DEPENDENCYPART_ARC
(2,16),-2.24127 # DEPENDENCYPART_ARC
(2,17),-1.53188 # DEPENDENCYPART_ARC
(2,18),-5.06097 # DEPENDENCYPART_ARC
(2,19),-6.05481 # DEPENDENCYPART_ARC
(2,20),-7.34601 # DEPENDENCYPART_ARC
(2,21),-1.38853 # DEPENDENCYPART_ARC
(2,22),-1.69872 # DEPENDENCYPART_ARC
(2,23),-1.8623 # DEPENDENCYPART_ARC
(2,24),-7.40049 # DEPENDENCYPART_ARC
(2,25),-8.63513 # DEPENDENCYPART_ARC
(3,1),-2.64823 # DEPENDENCYPART_ARC
(3,2),-1.66734 # DEPENDENCYPART_ARC
(3,4),1.05016 # DEPENDENCYPART_ARC
(3,5),5.5203 # DEPENDENCYPART_ARC
(3,6),-1.07382 # DEPENDENCYPART_ARC
(3,7),-1.22309 # DEPENDENCYPART_ARC
(3,8),-2.67611 # DEPENDENCYPART_ARC
(3,9),-1.31682 # DEPENDENCYPART_ARC
(3,10),-2.65051 # DEPENDENCYPART_ARC
(3,11),-1.88254 # DEPENDENCYPART_ARC
(3,12),-2.45719 # DEPENDENCYPART_ARC
(3,13),-1.35663 # DEPENDENCYPART_ARC
(3,14),-3.67564 # DEPENDENCYPART_ARC
(3,15),-4.84968 # DEPENDENCYPART_ARC
(3,16),-5.82126 # DEPENDENCYPART_ARC
(3,17),-2.60047 # DEPENDENCYPART_ARC
(3,18),-3.3013 # DEPENDENCYPART_ARC
(3,19),-2.31132 # DEPENDENCYPART_ARC
(3,20),-3.91312 # DEPENDENCYPART_ARC
(3,21),-3.86873 # DEPENDENCYPART_ARC
(3,22),-2.19092 # DEPENDENCYPART_ARC
(3,23),-2.85671 # DEPENDENCYPART_ARC
(3,24),-4.00761 # DEPENDENCYPART_ARC
(3,25),-5.1072 # DEPENDENCYPART_ARC
(4,1),-3.70326 # DEPENDENCYPART_ARC
(4,2),-3.32528 # DEPENDENCYPART_ARC
(4,3),-1.22512 # DEPENDENCYPART_ARC
(4,5),-0.371699 # DEPENDENCYPART_ARC
(4,6),-2.5425 # DEPENDENCYPART_ARC
(4,7),-1.22375 # DEPENDENCYPART_ARC
(4,8),-2.98966 # DEPENDENCYPART_ARC
(4,9),-1.03855 # DEPENDENCYPART_ARC
(4,10),-3.55213 # DEPENDENCYPART_ARC
(4,11),-4.29385 # DEPENDENCYPART_ARC
(4,12),-2.10774 # DEPENDENCYPART_ARC
(4,13),-1.93377 # DEPENDENCYPART_ARC
(4,14),-4.64424 # DEPENDENCYPART_ARC
(4,15),-5.02871 # DEPENDENCYPART_ARC
(4,16),-4.9713 # DEPENDENCYPART_ARC
(4,17),-2.97662 # DEPENDENCYPART_ARC
(4,18),-5.68892 # DEPENDENCYPART_ARC
(4,19),-5.22029 # DEPENDENCYPART_ARC
(4,20),-5.56609 # DEPENDENCYPART_ARC
(4,21),-2.62668 # DEPENDENCYPART_ARC
(4,22),-2.67316 # DEPENDENCYPART_ARC
(4,23),-2.75232 # DEPENDENCYPART_ARC
(4,24),-5.78323 # DEPENDENCYPART_ARC
(4,25),-4.5316 # DEPENDENCYPART_ARC
(5,1),-2.13144 # DEPENDENCYPART_ARC
(5,2),-2.75864 # DEPENDENCYPART_ARC
(5,3),0.118057 # DEPENDENCYPART_ARC
(5,4),5.48391 # DEPENDENCYPART_ARC
(5,6),-1.47216 # DEPENDENCYPART_ARC
(5,7),-1.09375 # DEPENDENCYPART_ARC
(5,8),-3.3394 # DEPENDENCYPART_ARC
(5,9),-0.982903 # DEPENDENCYPART_ARC
(5,10),-3.4869 # DEPENDENCYPART_ARC
(5,11),-4.07213 # DEPENDENCYPART_ARC
(5,12),-1.60459 # DEPENDENCYPART_ARC
(5,13),-1.32614 # DEPENDENCYPART_ARC
(5,14),-4.62746 # DEPENDENCYPART_ARC
(5,15),-4.4896 # DEPENDENCYPART_ARC
(5,16),-2.26648 # DEPENDENCYPART_ARC
(5,17),-2.07388 # DEPENDENCYPART_ARC
(5,18),-4.1916 # DEPENDENCYPART_ARC
(5,19),-6.34764 # DEPENDENCYPART_ARC
(5,20),-5.84775 # DEPENDENCYPART_ARC
(5,21),-2.06329 # DEPENDENCYPART_ARC
(5,22),-2.30374 # DEPENDENCYPART_ARC
