# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(0,1),0.455616 # DEPENDENCYPART_ARC
(0,2),-1.78637 # DEPENDENCYPART_ARC
(0,3),-0.935857 # DEPENDENCYPART_ARC
(0,4),-1.85408 # DEPENDENCYPART_ARC
(0,5),-0.590278 # DEPENDENCYPART_ARC
(0,6),-2.21248 # DEPENDENCYPART_ARC
(0,7),-2.22471 # DEPENDENCYPART_ARC
(0,8),-2.80287 # DEPENDENCYPART_ARC
(0,9),-0.0623922 # DEPENDENCYPART_ARC
(0,10),-1.87614 # DEPENDENCYPART_ARC
(0,11),-3.23289 # DEPENDENCYPART_ARC
(0,12),-3.00577 # DEPENDENCYPART_ARC
(0,13),-0.764168 # DEPENDENCYPART_ARC
(0,14),2.13676 # DEPENDENCYPART_ARC
(0,15),-3.81844 # DEPENDENCYPART_ARC
(0,16),-0.938715 # DEPENDENCYPART_ARC
(0,17),-2.14579 # DEPENDENCYPART_ARC
(0,18),-4.60153 # DEPENDENCYPART_ARC
(0,19),-2.13091 # DEPENDENCYPART_ARC
(0,20),-5.45958 # DEPENDENCYPART_ARC
(0,21),-1.02317 # DEPENDENCYPART_ARC
(0,22),-4.00496 # DEPENDENCYPART_ARC
(0,23),-4.02615 # DEPENDENCYPART_ARC
(0,24),-3.80037 # DEPENDENCYPART_ARC
(0,25),-5.0501 # DEPENDENCYPART_ARC
(0,26),4.25979 # DEPENDENCYPART_ARC
(1,2),0.49424 # DEPENDENCYPART_ARC
(1,3),0.179213 # DEPENDENCYPART_ARC
(1,4),-0.527258 # DEPENDENCYPART_ARC
(1,5),-0.835187 # DEPENDENCYPART_ARC
(1,6),-0.776058 # DEPENDENCYPART_ARC
(1,7),-1.12957 # DEPENDENCYPART_ARC
(1,8),-1.63128 # DEPENDENCYPART_ARC
(1,9),1.4132 # DEPENDENCYPART_ARC
(1,10),-1.81793 # DEPENDENCYPART_ARC
(1,11),-2.10593 # DEPENDENCYPART_ARC
(1,12),-2.24621 # DEPENDENCYPART_ARC
(1,13),2.76171 # DEPENDENCYPART_ARC
(1,14),0.372797 # DEPENDENCYPART_ARC
(1,15),-2.86823 # DEPENDENCYPART_ARC
(1,16),1.35113 # DEPENDENCYPART_ARC
(1,17),-2.17485 # DEPENDENCYPART_ARC
(1,18),-2.78722 # DEPENDENCYPART_ARC
(1,19),-2.23774 # DEPENDENCYPART_ARC
(1,20),-4.35105 # DEPENDENCYPART_ARC
(1,21),-0.180124 # DEPENDENCYPART_ARC
(1,22),-4.1491 # DEPENDENCYPART_ARC
(1,23),-4.17456 # DEPENDENCYPART_ARC
(1,24),-5.1812 # DEPENDENCYPART_ARC
(1,25),-4.87178 # DEPENDENCYPART_ARC
(1,26),-2.10503 # DEPENDENCYPART_ARC
(2,1),0.865268 # DEPENDENCYPART_ARC
(2,3),0.142093 # DEPENDENCYPART_ARC
(2,4),-1.05446 # DEPENDENCYPART_ARC
(2,5),-1.43119 # DEPENDENCYPART_ARC
(2,6),-3.07179 # DEPENDENCYPART_ARC
(2,7),-3.02374 # DEPENDENCYPART_ARC
(2,8),-2.09628 # DEPENDENCYPART_ARC
(2,9),-0.870534 # DEPENDENCYPART_ARC
(2,10),-0.875761 # DEPENDENCYPART_ARC
(2,11),-3.01134 # DEPENDENCYPART_ARC
(2,12),-1.4504 # DEPENDENCYPART_ARC
(2,13),-0.416012 # DEPENDENCYPART_ARC
(2,14),-3.20163 # DEPENDENCYPART_ARC
(2,15),-3.42005 # DEPENDENCYPART_ARC
(2,16),-0.574023 # DEPENDENCYPART_ARC
(2,17),-3.66152 # DEPENDENCYPART_ARC
(2,18),-4.14725 # DEPENDENCYPART_ARC
(2,19),-3.28637 # DEPENDENCYPART_ARC
(2,20),-6.7908 # DEPENDENCYPART_ARC
(2,21),-3.06175 # DEPENDENCYPART_ARC
(2,22),-3.92209 # DEPENDENCYPART_ARC
(2,23),-3.91689 # DEPENDENCYPART_ARC
(2,24),-5.1822 # DEPENDENCYPART_ARC
(2,25),-4.09874 # DEPENDENCYPART_ARC
(2,26),-9.4048 # DEPENDENCYPART_ARC
(3,1),-0.752053 # DEPENDENCYPART_ARC
(3,2),-1.85287 # DEPENDENCYPART_ARC
(3,4),-1.11786 # DEPENDENCYPART_ARC
(3,5),-1.26116 # DEPENDENCYPART_ARC
(3,6),-2.25432 # DEPENDENCYPART_ARC
(3,7),-2.46143 # DEPENDENCYPART_ARC
(3,8),-2.58189 # DEPENDENCYPART_ARC
(3,9),-0.934412 # DEPENDENCYPART_ARC
(3,10),-0.872301 # DEPENDENCYPART_ARC
(3,11),-3.1253 # DEPENDENCYPART_ARC
(3,12),-2.67145 # DEPENDENCYPART_ARC
(3,13),-1.44712 # DEPENDENCYPART_ARC
(3,14),-3.42563 # DEPENDENCYPART_ARC
(3,15),-3.2338 # DEPENDENCYPART_ARC
(3,16),-1.76467 # DEPENDENCYPART_ARC
(3,17),-1.39072 # DEPENDENCYPART_ARC
(3,18),-2.0608 # DEPENDENCYPART_ARC
(3,19),-1.91298 # DEPENDENCYPART_ARC
(3,20),-4.24824 # DEPENDENCYPART_ARC
(3,21),-3.86161 # DEPENDENCYPART_ARC
(3,22),-4.13044 # DEPENDENCYPART_ARC
(3,23),-4.34689 # DEPENDENCYPART_ARC
(3,24),-4.34725 # DEPENDENCYPART_ARC
(3,25),-5.28232 # DEPENDENCYPART_ARC
(3,26),-3.08352 # DEPENDENCYPART_ARC
(4,1),-0.265477 # DEPENDENCYPART_ARC
(4,2),-1.43591 # DEPENDENCYPART_ARC
(4,3),4.73531 # DEPENDENCYPART_ARC
(4,5),1.65288 # DEPENDENCYPART_ARC
(4,6),-0.572602 # DEPENDENCYPART_ARC
(4,7),-0.777378 # DEPENDENCYPART_ARC
(4,8),-1.12397 # DEPENDENCYPART_ARC
(4,9),-1.18155 # DEPENDENCYPART_ARC
(4,10),-0.458697 # DEPENDENCYPART_ARC
(4,11),-2.89655 # DEPENDENCYPART_ARC
(4,12),-1.39679 # DEPENDENCYPART_ARC
(4,13),-0.909108 # DEPENDENCYPART_ARC
(4,14),-2.75248 # DEPENDENCYPART_ARC
(4,15),-4.34136 # DEPENDENCYPART_ARC
(4,16),-1.13483 # DEPENDENCYPART_ARC
(4,17),-2.5999 # DEPENDENCYPART_ARC
(4,18),-2.49112 # DEPENDENCYPART_ARC
(4,19),-3.87835 # DEPENDENCYPART_ARC
(4,20),-6.58828 # DEPENDENCYPART_ARC
(4,21),-2.58603 # DEPENDENCYPART_ARC
(4,22),-3.52038 # DEPENDENCYPART_ARC
(4,23),-3.52087 # DEPENDENCYPART_ARC
(4,24),-6.18492 # DEPENDENCYPART_ARC
(4,25),-5.56565 # DEPENDENCYPART_ARC
(4,26),-9.09469 # DEPENDENCYPART_ARC
(5,1),-1.11675 # DEPENDENCYPART_ARC
(5,2),-1.87639 # DEPENDENCYPART_ARC
(5,3),-0.255152 # DEPENDENCYPART_ARC
(5,4),0.805943 # DEPENDENCYPART_ARC
(5,6),1.27342 # DEPENDENCYPART_ARC
(5,7),0.976117 # DEPENDENCYPART_ARC
(5,8),4.59216 # DEPENDENCYPART_ARC
(5,9),-1.62525 # DEPENDENCYPART_ARC
(5,10),-0.959997 # DEPENDENCYPART_ARC
(5,11),-1.59664 # DEPENDENCYPART_ARC
(5,12),-2.13044 # DEPENDENCYPART_ARC
(5,13),-0.518928 # DEPENDENCYPART_ARC
(5,14),-1.74579 # DEPENDENCYPART_ARC
(5,15),-4.6434 # DEPENDENCYPART_ARC
(5,16),-1.41336 # DEPENDENCYPART_ARC
(5,17),-2.53873 # DEPENDENCYPART_ARC
(5,18),-2.00993 # DEPENDENCYPART_ARC
(5,19),-3.33551 # DEPENDENCYPART_ARC
(5,20),-5.04973 # DEPENDENCYPART_ARC
(5,21),-2.83269 # DEPENDENCYPART_ARC
(5,22),-3.16252 # DEPENDENCYPART_ARC
(5,23),-3.10602 # DEPENDENCYPART_ARC
(5,24),-8.94686 # DEPENDENCYPART_ARC
(5,25),-7.985 # DEPENDENCYPART_ARC
(5,26),-3.26118 # DEPENDENCYPART_ARC
(6,1),-1.35665 # DEPENDENCYPART_ARC
(6,2),-3.8051 # DEPENDENCYPART_ARC
(6,3),-0.892121 # DEPENDENCYPART_ARC
(6,4),-0.218911 # DEPENDENCYPART_ARC
(6,5),-0.223788 # DEPENDENCYPART_ARC
(6,7),0.440307 # DEPENDENCYPART_ARC
(6,8),0.604954 # DEPENDENCYPART_ARC
(6,9),-3.39368 # DEPENDENCYPART_ARC
(6,10),-0.487034 # DEPENDENCYPART_ARC
(6,11),-4.07051 # DEPENDENCYPART_ARC
(6,12),-1.99679 # DEPENDENCYPART_ARC
(6,13),-0.452138 # DEPENDENCYPART_ARC
(6,14),-3.6654 # DEPENDENCYPART_ARC
(6,15),-4.09666 # DEPENDENCYPART_ARC
(6,16),-1.1224 # DEPENDENCYPART_ARC
(6,17),-2.01665 # DEPENDENCYPART_ARC
(6,18),-2.06972 # DEPENDENCYPART_ARC
(6,19),-4.33939 # DEPENDENCYPART_ARC
(6,20),-5.88139 # DEPENDENCYPART_ARC
(6,21),-3.79143 # DEPENDENCYPART_ARC
(6,22),-4.7659 # DEPENDENCYPART_ARC
(6,23),-4.90418 # DEPENDENCYPART_ARC
(6,24),-6.61531 # DEPENDENCYPART_ARC
(6,25),-5.97331 # DEPENDENCYPART_ARC
(6,26),-4.06534 # DEPENDENCYPART_ARC
(7,1),-1.33507 # DEPENDENCYPART_ARC
(7,2),-3.63225 # DEPENDENCYPART_ARC
(7,3),-0.763193 # DEPENDENCYPART_ARC
(7,4),-0.366445 # DEPENDENCYPART_ARC
(7,5),-0.0405654 # DEPENDENCYPART_ARC
(7,6),-0.519115 # DEPENDENCYPART_ARC
(7,8),0.693316 # DEPENDENCYPART_ARC
(7,9),-3.30988 # DEPENDENCYPART_ARC
(7,10),-0.611506 # DEPENDENCYPART_ARC
(7,11),-4.11006 # DEPENDENCYPART_ARC
(7,12),-2.30056 # DEPENDENCYPART_ARC
(7,13),-0.669018 # DEPENDENCYPART_ARC
(7,14),-3.8997 # DEPENDENCYPART_ARC
(7,15),-4.65903 # DEPENDENCYPART_ARC
(7,16),-1.35348 # DEPENDENCYPART_ARC
(7,17),-2.18106 # DEPENDENCYPART_ARC
(7,18),-2.40949 # DEPENDENCYPART_ARC
(7,19),-4.589 # DEPENDENCYPART_ARC
(7,20),-6.37935 # DEPENDENCYPART_ARC
(7,21),-3.99812 # DEPENDENCYPART_ARC
(7,22),-4.93098 # DEPENDENCYPART_ARC
(7,23),-4.97908 # DEPENDENCYPART_ARC
(7,24),-7.22701 # DEPENDENCYPART_ARC
(7,25),-6.74909 # DEPENDENCYPART_ARC
(7,26),-4.09921 # DEPENDENCYPART_ARC
(8,1),-1.47736 # DEPENDENCYPART_ARC
(8,2),-3.0706 # DEPENDENCYPART_ARC
(8,3),0.0181137 # DEPENDENCYPART_ARC
(8,4),-1.83415 # DEPENDENCYPART_ARC
(8,5),-0.321834 # DEPENDENCYPART_ARC
(8,6),5.43336 # DEPENDENCYPART_ARC
(8,7),5.52075 # DEPENDENCYPART_ARC
(8,9),-1.72462 # DEPENDENCYPART_ARC
(8,10),-0.358387 # DEPENDENCYPART_ARC
(8,11),-3.31601 # DEPENDENCYPART_ARC
(8,12),-0.0633511 # DEPENDENCYPART_ARC
(8,13),-0.994264 # DEPENDENCYPART_ARC
(8,14),-3.08043 # DEPENDENCYPART_ARC
(8,15),-4.94249 # DEPENDENCYPART_ARC
(8,16),-1.18732 # DEPENDENCYPART_ARC
(8,17),-3.89587 # DEPENDENCYPART_ARC
(8,18),-2.22004 # DEPENDENCYPART_ARC
(8,19),-3.87473 # DEPENDENCYPART_ARC
(8,20),-6.3507 # DEPENDENCYPART_ARC
(8,21),-2.84642 # DEPENDENCYPART_ARC
(8,22),-4.81287 # DEPENDENCYPART_ARC
(8,23),-4.78091 # DEPENDENCYPART_ARC
(8,24),-6.22387 # DEPENDENCYPART_ARC
(8,25),-5.25594 # DEPENDENCYPART_ARC
(8,26),-7.47587 # DEPENDENCYPART_ARC
(9,1),1.52374 # DEPENDENCYPART_ARC
(9,2),3.03012 # DEPENDENCYPART_ARC
(9,3),1.01593 # DEPENDENCYPART_ARC
(9,4),2.30532 # DEPENDENCYPART_ARC
(9,5),1.29463 # DEPENDENCYPART_ARC
(9,6),-0.0539039 # DEPENDENCYPART_ARC
(9,7),0.0905506 # DEPENDENCYPART_ARC
(9,8),2.00878 # DEPENDENCYPART_ARC
(9,10),3.0879 # DEPENDENCYPART_ARC
(9,11),-4.01566 # DEPENDENCYPART_ARC
(9,12),-0.1006 # DEPENDENCYPART_ARC
(9,13),0.85018 # DEPENDENCYPART_ARC
(9,14),-1.26056 # DEPENDENCYPART_ARC
(9,15),0.595325 # DEPENDENCYPART_ARC
(9,16),-0.00873358 # DEPENDENCYPART_ARC
(9,17),-1.4257 # DEPENDENCYPART_ARC
(9,18),0.283739 # DEPENDENCYPART_ARC
(9,19),-6.20192 # DEPENDENCYPART_ARC
(9,20),-1.34841 # DEPENDENCYPART_ARC
(9,21),-3.20047 # DEPENDENCYPART_ARC
(9,22),-4.7303 # DEPENDENCYPART_ARC
(9,23),-5.43698 # DEPENDENCYPART_ARC
(9,24),-1.62067 # DEPENDENCYPART_ARC
(9,25),-4.29752 # DEPENDENCYPART_ARC
(9,26),-1.36241 # DEPENDENCYPART_ARC
(10,1),-2.33929 # DEPENDENCYPART_ARC
(10,2),-4.21568 # DEPENDENCYPART_ARC
(10,3),-2.48727 # DEPENDENCYPART_ARC
(10,4),-2.62899 # DEPENDENCYPART_ARC
(10,5),-2.56735 # DEPENDENCYPART_ARC
(10,6),-2.70115 # DEPENDENCYPART_ARC
(10,7),-2.48286 # DEPENDENCYPART_ARC
(10,8),-2.49758 # DEPENDENCYPART_ARC
(10,9),-1.79968 # DEPENDENCYPART_ARC
(10,11),1.28748 # DEPENDENCYPART_ARC
(10,12),4.15201 # DEPENDENCYPART_ARC
(10,13),0.00200123 # DEPENDENCYPART_ARC
