# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,20,20,16,17,18,0,22,24,24,20,0,
(0,1),-0.541191 # DEPENDENCYPART_ARC
(0,2),-1.39063 # DEPENDENCYPART_ARC
(0,3),-1.20203 # DEPENDENCYPART_ARC
(0,4),-1.03232 # DEPENDENCYPART_ARC
(0,5),-0.334591 # DEPENDENCYPART_ARC
(0,6),-1.44526 # DEPENDENCYPART_ARC
(0,7),-1.28453 # DEPENDENCYPART_ARC
(0,8),-1.40416 # DEPENDENCYPART_ARC
(0,9),-2.33591 # DEPENDENCYPART_ARC
(0,10),-2.25184 # DEPENDENCYPART_ARC
(0,11),-3.03597 # DEPENDENCYPART_ARC
(0,12),-3.71564 # DEPENDENCYPART_ARC
(0,13),-1.68664 # DEPENDENCYPART_ARC
(0,14),-0.375912 # DEPENDENCYPART_ARC
(0,15),-0.738663 # DEPENDENCYPART_ARC
(0,16),-4.23586 # DEPENDENCYPART_ARC
(0,17),-3.36622 # DEPENDENCYPART_ARC
(0,18),-2.34306 # DEPENDENCYPART_ARC
(0,19),-3.43438 # DEPENDENCYPART_ARC
(0,20),0.0270636 # DEPENDENCYPART_ARC
(0,21),-3.53899 # DEPENDENCYPART_ARC
(0,22),-3.18571 # DEPENDENCYPART_ARC
(0,23),-3.40039 # DEPENDENCYPART_ARC
(0,24),-2.98106 # DEPENDENCYPART_ARC
(0,25),3.94553 # DEPENDENCYPART_ARC
(1,2),3.64381 # DEPENDENCYPART_ARC
(1,3),1.90854 # DEPENDENCYPART_ARC
(1,4),0.702477 # DEPENDENCYPART_ARC
(1,5),0.542013 # DEPENDENCYPART_ARC
(1,6),-1.27516 # DEPENDENCYPART_ARC
(1,7),-5.03106 # DEPENDENCYPART_ARC
(1,8),-2.02161 # DEPENDENCYPART_ARC
(1,9),-1.53556 # DEPENDENCYPART_ARC
