# _root_ V rámci pomoci Spojenců byl na území Slovenska přepravován vojenský , zdravotnický , spojovací a technický materiál .
#goldHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
#predictedHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
(0,1),-0.68713 # DEPENDENCYPART_ARC
(0,2),-1.07944 # DEPENDENCYPART_ARC
(0,3),-0.95008 # DEPENDENCYPART_ARC
(0,4),-2.12961 # DEPENDENCYPART_ARC
(0,5),0.277006 # DEPENDENCYPART_ARC
(0,6),-1.93415 # DEPENDENCYPART_ARC
(0,7),-2.18428 # DEPENDENCYPART_ARC
(0,8),-2.19864 # DEPENDENCYPART_ARC
(0,9),0.0271513 # DEPENDENCYPART_ARC
(0,10),-2.25758 # DEPENDENCYPART_ARC
(0,11),-0.708555 # DEPENDENCYPART_ARC
(0,12),-2.4342 # DEPENDENCYPART_ARC
(0,13),-0.897636 # DEPENDENCYPART_ARC
(0,14),-2.64749 # DEPENDENCYPART_ARC
(0,15),-1.09651 # DEPENDENCYPART_ARC
(0,16),-2.97242 # DEPENDENCYPART_ARC
(0,17),-3.05339 # DEPENDENCYPART_ARC
(0,18),4.04105 # DEPENDENCYPART_ARC
(1,2),1.72868 # DEPENDENCYPART_ARC
(1,3),-2.73963 # DEPENDENCYPART_ARC
(1,4),-4.45782 # DEPENDENCYPART_ARC
(1,5),-3.35586 # DEPENDENCYPART_ARC
(1,6),-2.9803 # DEPENDENCYPART_ARC
(1,7),-7.14621 # DEPENDENCYPART_ARC
(1,8),-8.04379 # DEPENDENCYPART_ARC
(1,9),-3.92451 # DEPENDENCYPART_ARC
(1,10),-4.69179 # DEPENDENCYPART_ARC
(1,11),-2.73473 # DEPENDENCYPART_ARC
(1,12),-4.85575 # DEPENDENCYPART_ARC
(1,13),-2.80784 # DEPENDENCYPART_ARC
(1,14),-4.90613 # DEPENDENCYPART_ARC
(1,15),-4.1174 # DEPENDENCYPART_ARC
(1,16),-5.31643 # DEPENDENCYPART_ARC
(1,17),-11.8131 # DEPENDENCYPART_ARC
(1,18),-4.60874 # DEPENDENCYPART_ARC
(2,1),3.69594 # DEPENDENCYPART_ARC
(2,3),3.32233 # DEPENDENCYPART_ARC
(2,4),2.20282 # DEPENDENCYPART_ARC
(2,5),-0.687891 # DEPENDENCYPART_ARC
(2,6),-0.671284 # DEPENDENCYPART_ARC
(2,7),-4.61808 # DEPENDENCYPART_ARC
(2,8),0.886707 # DEPENDENCYPART_ARC
(2,9),-1.13214 # DEPENDENCYPART_ARC
(2,10),-2.75548 # DEPENDENCYPART_ARC
(2,11),-0.979513 # DEPENDENCYPART_ARC
(2,12),-2.67039 # DEPENDENCYPART_ARC
(2,13),-1.09853 # DEPENDENCYPART_ARC
(2,14),-2.91339 # DEPENDENCYPART_ARC
(2,15),-1.33824 # DEPENDENCYPART_ARC
(2,16),-4.05162 # DEPENDENCYPART_ARC
(2,17),-3.81497 # DEPENDENCYPART_ARC
(2,18),-7.09841 # DEPENDENCYPART_ARC
(3,1),0.408921 # DEPENDENCYPART_ARC
(3,2),-1.21388 # DEPENDENCYPART_ARC
(3,4),4.50131 # DEPENDENCYPART_ARC
(3,5),-0.829469 # DEPENDENCYPART_ARC
(3,6),-0.0680877 # DEPENDENCYPART_ARC
(3,7),-4.49227 # DEPENDENCYPART_ARC
(3,8),1.78043 # DEPENDENCYPART_ARC
(3,9),-1.31281 # DEPENDENCYPART_ARC
(3,10),-3.75119 # DEPENDENCYPART_ARC
(3,11),-0.757789 # DEPENDENCYPART_ARC
(3,12),-3.61385 # DEPENDENCYPART_ARC
(3,13),-0.748287 # DEPENDENCYPART_ARC
(3,14),-3.83945 # DEPENDENCYPART_ARC
(3,15),-0.691956 # DEPENDENCYPART_ARC
(3,16),-5.06834 # DEPENDENCYPART_ARC
(3,17),-3.12618 # DEPENDENCYPART_ARC
(3,18),-6.08876 # DEPENDENCYPART_ARC
(4,1),-0.570417 # DEPENDENCYPART_ARC
(4,2),-1.63713 # DEPENDENCYPART_ARC
(4,3),-0.345688 # DEPENDENCYPART_ARC
(4,5),-1.40813 # DEPENDENCYPART_ARC
(4,6),-0.884303 # DEPENDENCYPART_ARC
(4,7),-4.63715 # DEPENDENCYPART_ARC
(4,8),0.589817 # DEPENDENCYPART_ARC
(4,9),-1.57765 # DEPENDENCYPART_ARC
(4,10),-5.37817 # DEPENDENCYPART_ARC
(4,11),-1.09173 # DEPENDENCYPART_ARC
(4,12),-5.265 # DEPENDENCYPART_ARC
(4,13),-1.06522 # DEPENDENCYPART_ARC
(4,14),-5.3729 # DEPENDENCYPART_ARC
(4,15),-1.00309 # DEPENDENCYPART_ARC
(4,16),-6.75003 # DEPENDENCYPART_ARC
(4,17),-4.16261 # DEPENDENCYPART_ARC
(4,18),-5.67788 # DEPENDENCYPART_ARC
(5,1),1.74814 # DEPENDENCYPART_ARC
(5,2),0.238754 # DEPENDENCYPART_ARC
(5,3),-1.42529 # DEPENDENCYPART_ARC
(5,4),-1.39515 # DEPENDENCYPART_ARC
(5,6),2.22757 # DEPENDENCYPART_ARC
(5,7),1.57853 # DEPENDENCYPART_ARC
(5,8),-0.706128 # DEPENDENCYPART_ARC
(5,9),0.235606 # DEPENDENCYPART_ARC
(5,10),1.76727 # DEPENDENCYPART_ARC
(5,11),-0.133841 # DEPENDENCYPART_ARC
(5,12),-0.0536713 # DEPENDENCYPART_ARC
(5,13),-0.425505 # DEPENDENCYPART_ARC
(5,14),-0.966997 # DEPENDENCYPART_ARC
(5,15),-0.607318 # DEPENDENCYPART_ARC
(5,16),-2.50935 # DEPENDENCYPART_ARC
(5,17),-1.01867 # DEPENDENCYPART_ARC
(5,18),-1.39259 # DEPENDENCYPART_ARC
(6,1),-1.32518 # DEPENDENCYPART_ARC
(6,2),-0.698336 # DEPENDENCYPART_ARC
(6,3),-1.87523 # DEPENDENCYPART_ARC
(6,4),-1.8592 # DEPENDENCYPART_ARC
(6,5),-1.29092 # DEPENDENCYPART_ARC
(6,7),4.1712 # DEPENDENCYPART_ARC
(6,8),-0.816796 # DEPENDENCYPART_ARC
(6,9),-1.41103 # DEPENDENCYPART_ARC
(6,10),-2.50055 # DEPENDENCYPART_ARC
(6,11),-0.385216 # DEPENDENCYPART_ARC
(6,12),-3.06487 # DEPENDENCYPART_ARC
(6,13),-0.307027 # DEPENDENCYPART_ARC
(6,14),-3.04339 # DEPENDENCYPART_ARC
(6,15),-0.975993 # DEPENDENCYPART_ARC
(6,16),-3.48445 # DEPENDENCYPART_ARC
(6,17),-5.31338 # DEPENDENCYPART_ARC
(6,18),-1.56709 # DEPENDENCYPART_ARC
(7,1),-1.83414 # DEPENDENCYPART_ARC
(7,2),-4.10136 # DEPENDENCYPART_ARC
(7,3),-4.81127 # DEPENDENCYPART_ARC
(7,4),-3.92345 # DEPENDENCYPART_ARC
(7,5),-3.52294 # DEPENDENCYPART_ARC
(7,6),0.994803 # DEPENDENCYPART_ARC
(7,8),4.82492 # DEPENDENCYPART_ARC
(7,9),0.0068227 # DEPENDENCYPART_ARC
(7,10),-2.50063 # DEPENDENCYPART_ARC
(7,11),-0.6445 # DEPENDENCYPART_ARC
(7,12),-2.58313 # DEPENDENCYPART_ARC
(7,13),-0.656737 # DEPENDENCYPART_ARC
(7,14),-3.06383 # DEPENDENCYPART_ARC
(7,15),0.156262 # DEPENDENCYPART_ARC
(7,16),-4.17412 # DEPENDENCYPART_ARC
(7,17),-2.97034 # DEPENDENCYPART_ARC
(7,18),-4.35127 # DEPENDENCYPART_ARC
(8,1),-3.23644 # DEPENDENCYPART_ARC
(8,2),-4.00402 # DEPENDENCYPART_ARC
(8,3),-3.2615 # DEPENDENCYPART_ARC
(8,4),-1.83317 # DEPENDENCYPART_ARC
(8,5),-4.96109 # DEPENDENCYPART_ARC
(8,6),-0.547566 # DEPENDENCYPART_ARC
(8,7),-0.156233 # DEPENDENCYPART_ARC
(8,9),-1.19633 # DEPENDENCYPART_ARC
(8,10),-3.54714 # DEPENDENCYPART_ARC
(8,11),-1.47214 # DEPENDENCYPART_ARC
