# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(0,1),-0.58285 # DEPENDENCYPART_ARC
(0,2),-0.502487 # DEPENDENCYPART_ARC
(0,3),0.677441 # DEPENDENCYPART_ARC
(0,4),-0.937908 # DEPENDENCYPART_ARC
(0,5),-0.301134 # DEPENDENCYPART_ARC
(0,6),-1.88302 # DEPENDENCYPART_ARC
(0,7),-1.84455 # DEPENDENCYPART_ARC
(0,8),-1.84001 # DEPENDENCYPART_ARC
(0,9),-2.14519 # DEPENDENCYPART_ARC
(0,10),-0.391697 # DEPENDENCYPART_ARC
(0,11),0.436432 # DEPENDENCYPART_ARC
(0,12),-1.79049 # DEPENDENCYPART_ARC
(0,13),-1.39633 # DEPENDENCYPART_ARC
(0,14),-0.754703 # DEPENDENCYPART_ARC
(0,15),-5.23441 # DEPENDENCYPART_ARC
(0,16),-2.5336 # DEPENDENCYPART_ARC
(0,17),-5.05552 # DEPENDENCYPART_ARC
(0,18),-3.86208 # DEPENDENCYPART_ARC
(0,19),-1.12124 # DEPENDENCYPART_ARC
(0,20),-4.49259 # DEPENDENCYPART_ARC
(0,21),-4.88391 # DEPENDENCYPART_ARC
(0,22),4.86113 # DEPENDENCYPART_ARC
(1,2),5.1491 # DEPENDENCYPART_ARC
(1,3),-0.812449 # DEPENDENCYPART_ARC
(1,4),-0.694434 # DEPENDENCYPART_ARC
(1,5),-1.82844 # DEPENDENCYPART_ARC
(1,6),-1.81683 # DEPENDENCYPART_ARC
(1,7),-2.14944 # DEPENDENCYPART_ARC
(1,8),-2.79747 # DEPENDENCYPART_ARC
(1,9),-4.95336 # DEPENDENCYPART_ARC
(1,10),-1.26792 # DEPENDENCYPART_ARC
(1,11),-1.84217 # DEPENDENCYPART_ARC
(1,12),-2.75447 # DEPENDENCYPART_ARC
(1,13),-2.28326 # DEPENDENCYPART_ARC
(1,14),-2.31359 # DEPENDENCYPART_ARC
(1,15),-3.48382 # DEPENDENCYPART_ARC
(1,16),-3.76243 # DEPENDENCYPART_ARC
(1,17),-2.55814 # DEPENDENCYPART_ARC
(1,18),-3.48363 # DEPENDENCYPART_ARC
(1,19),-2.82871 # DEPENDENCYPART_ARC
(1,20),-2.87573 # DEPENDENCYPART_ARC
(1,21),-8.97329 # DEPENDENCYPART_ARC
(1,22),-3.73057 # DEPENDENCYPART_ARC
(2,1),0.122559 # DEPENDENCYPART_ARC
(2,3),-0.427323 # DEPENDENCYPART_ARC
(2,4),-0.374331 # DEPENDENCYPART_ARC
(2,5),-2.32969 # DEPENDENCYPART_ARC
(2,6),-2.25422 # DEPENDENCYPART_ARC
(2,7),-2.07856 # DEPENDENCYPART_ARC
(2,8),-4.10346 # DEPENDENCYPART_ARC
(2,9),-5.46846 # DEPENDENCYPART_ARC
(2,10),-1.01114 # DEPENDENCYPART_ARC
(2,11),-1.60749 # DEPENDENCYPART_ARC
(2,12),-2.34163 # DEPENDENCYPART_ARC
(2,13),-4.46537 # DEPENDENCYPART_ARC
(2,14),-1.45725 # DEPENDENCYPART_ARC
(2,15),-3.47534 # DEPENDENCYPART_ARC
(2,16),-2.66505 # DEPENDENCYPART_ARC
(2,17),-3.36039 # DEPENDENCYPART_ARC
(2,18),-5.4102 # DEPENDENCYPART_ARC
(2,19),-7.0463 # DEPENDENCYPART_ARC
(2,20),-5.10689 # DEPENDENCYPART_ARC
(2,21),-7.05372 # DEPENDENCYPART_ARC
(2,22),-7.13032 # DEPENDENCYPART_ARC
(3,1),0.732989 # DEPENDENCYPART_ARC
(3,2),-1.1683 # DEPENDENCYPART_ARC
(3,4),1.2951 # DEPENDENCYPART_ARC
(3,5),-1.47772 # DEPENDENCYPART_ARC
(3,6),-0.110437 # DEPENDENCYPART_ARC
(3,7),-2.98361 # DEPENDENCYPART_ARC
(3,8),-3.25271 # DEPENDENCYPART_ARC
(3,9),-0.437064 # DEPENDENCYPART_ARC
(3,10),-0.113915 # DEPENDENCYPART_ARC
(3,11),-0.28715 # DEPENDENCYPART_ARC
(3,12),-3.30983 # DEPENDENCYPART_ARC
(3,13),-3.50454 # DEPENDENCYPART_ARC
(3,14),-0.772708 # DEPENDENCYPART_ARC
(3,15),-2.28321 # DEPENDENCYPART_ARC
(3,16),-1.91232 # DEPENDENCYPART_ARC
(3,17),-3.66627 # DEPENDENCYPART_ARC
(3,18),-7.70972 # DEPENDENCYPART_ARC
(3,19),-5.98175 # DEPENDENCYPART_ARC
(3,20),-3.62965 # DEPENDENCYPART_ARC
(3,21),-9.70146 # DEPENDENCYPART_ARC
(3,22),-0.591006 # DEPENDENCYPART_ARC
(4,1),-0.785111 # DEPENDENCYPART_ARC
(4,2),-1.30802 # DEPENDENCYPART_ARC
(4,3),-0.805217 # DEPENDENCYPART_ARC
(4,5),-0.641808 # DEPENDENCYPART_ARC
(4,6),-0.831357 # DEPENDENCYPART_ARC
(4,7),-2.30834 # DEPENDENCYPART_ARC
(4,8),-1.32536 # DEPENDENCYPART_ARC
(4,9),-2.69354 # DEPENDENCYPART_ARC
(4,10),-1.17917 # DEPENDENCYPART_ARC
(4,11),-1.22637 # DEPENDENCYPART_ARC
(4,12),-2.49222 # DEPENDENCYPART_ARC
(4,13),-1.92849 # DEPENDENCYPART_ARC
(4,14),-1.61525 # DEPENDENCYPART_ARC
(4,15),-2.19672 # DEPENDENCYPART_ARC
(4,16),-2.17441 # DEPENDENCYPART_ARC
(4,17),-2.9543 # DEPENDENCYPART_ARC
(4,18),-4.21672 # DEPENDENCYPART_ARC
(4,19),-3.01064 # DEPENDENCYPART_ARC
(4,20),-3.07598 # DEPENDENCYPART_ARC
(4,21),-4.69497 # DEPENDENCYPART_ARC
(4,22),-3.65498 # DEPENDENCYPART_ARC
(5,1),1.97054 # DEPENDENCYPART_ARC
(5,2),1.03604 # DEPENDENCYPART_ARC
(5,3),3.10162 # DEPENDENCYPART_ARC
(5,4),2.93794 # DEPENDENCYPART_ARC
(5,6),2.89483 # DEPENDENCYPART_ARC
(5,7),-0.394094 # DEPENDENCYPART_ARC
(5,8),-1.6381 # DEPENDENCYPART_ARC
(5,9),1.8865 # DEPENDENCYPART_ARC
(5,10),0.602814 # DEPENDENCYPART_ARC
(5,11),1.17139 # DEPENDENCYPART_ARC
(5,12),-0.707818 # DEPENDENCYPART_ARC
(5,13),0.767377 # DEPENDENCYPART_ARC
(5,14),0.327214 # DEPENDENCYPART_ARC
(5,15),-0.182449 # DEPENDENCYPART_ARC
(5,16),-0.101666 # DEPENDENCYPART_ARC
(5,17),-1.25143 # DEPENDENCYPART_ARC
(5,18),-5.28631 # DEPENDENCYPART_ARC
(5,19),-2.52841 # DEPENDENCYPART_ARC
(5,20),-1.23393 # DEPENDENCYPART_ARC
(5,21),-7.50785 # DEPENDENCYPART_ARC
(5,22),-0.804603 # DEPENDENCYPART_ARC
(6,1),-1.8997 # DEPENDENCYPART_ARC
(6,2),-2.04017 # DEPENDENCYPART_ARC
(6,3),-2.33204 # DEPENDENCYPART_ARC
(6,4),-1.01495 # DEPENDENCYPART_ARC
(6,5),-1.24654 # DEPENDENCYPART_ARC
(6,7),4.39062 # DEPENDENCYPART_ARC
(6,8),-1.48864 # DEPENDENCYPART_ARC
(6,9),-2.15679 # DEPENDENCYPART_ARC
(6,10),-0.122816 # DEPENDENCYPART_ARC
(6,11),-1.01201 # DEPENDENCYPART_ARC
(6,12),-1.87886 # DEPENDENCYPART_ARC
(6,13),-1.57527 # DEPENDENCYPART_ARC
(6,14),-1.22267 # DEPENDENCYPART_ARC
(6,15),-2.6116 # DEPENDENCYPART_ARC
(6,16),-2.98341 # DEPENDENCYPART_ARC
(6,17),-1.90056 # DEPENDENCYPART_ARC
(6,18),-4.06794 # DEPENDENCYPART_ARC
(6,19),-2.2097 # DEPENDENCYPART_ARC
(6,20),-2.47952 # DEPENDENCYPART_ARC
(6,21),-8.23274 # DEPENDENCYPART_ARC
(6,22),-3.39816 # DEPENDENCYPART_ARC
(7,1),-0.755605 # DEPENDENCYPART_ARC
(7,2),-2.26608 # DEPENDENCYPART_ARC
(7,3),-2.22213 # DEPENDENCYPART_ARC
(7,4),-0.344431 # DEPENDENCYPART_ARC
(7,5),-4.26743 # DEPENDENCYPART_ARC
(7,6),1.2627 # DEPENDENCYPART_ARC
(7,8),-0.454605 # DEPENDENCYPART_ARC
(7,9),-2.39541 # DEPENDENCYPART_ARC
(7,10),-0.554357 # DEPENDENCYPART_ARC
(7,11),-0.517977 # DEPENDENCYPART_ARC
(7,12),-2.02457 # DEPENDENCYPART_ARC
(7,13),-1.5141 # DEPENDENCYPART_ARC
(7,14),-0.94353 # DEPENDENCYPART_ARC
(7,15),-1.21934 # DEPENDENCYPART_ARC
(7,16),-1.93003 # DEPENDENCYPART_ARC
(7,17),-2.51957 # DEPENDENCYPART_ARC
(7,18),-2.91582 # DEPENDENCYPART_ARC
(7,19),-5.09025 # DEPENDENCYPART_ARC
(7,20),-4.22591 # DEPENDENCYPART_ARC
(7,21),-4.73719 # DEPENDENCYPART_ARC
(7,22),-5.36506 # DEPENDENCYPART_ARC
(8,1),-0.0449225 # DEPENDENCYPART_ARC
(8,2),-0.544385 # DEPENDENCYPART_ARC
(8,3),-2.10273 # DEPENDENCYPART_ARC
(8,4),-0.584937 # DEPENDENCYPART_ARC
(8,5),-2.34018 # DEPENDENCYPART_ARC
(8,6),0.70791 # DEPENDENCYPART_ARC
(8,7),-0.890477 # DEPENDENCYPART_ARC
(8,9),0.492471 # DEPENDENCYPART_ARC
(8,10),-0.604087 # DEPENDENCYPART_ARC
(8,11),-0.171979 # DEPENDENCYPART_ARC
(8,12),-0.341506 # DEPENDENCYPART_ARC
(8,13),-1.98034 # DEPENDENCYPART_ARC
(8,14),-1.1771 # DEPENDENCYPART_ARC
(8,15),-0.783069 # DEPENDENCYPART_ARC
(8,16),-1.06561 # DEPENDENCYPART_ARC
(8,17),-2.52817 # DEPENDENCYPART_ARC
(8,18),-1.49592 # DEPENDENCYPART_ARC
(8,19),-3.47727 # DEPENDENCYPART_ARC
(8,20),-2.7813 # DEPENDENCYPART_ARC
(8,21),-4.68825 # DEPENDENCYPART_ARC
(8,22),-2.79251 # DEPENDENCYPART_ARC
(9,1),0.0586668 # DEPENDENCYPART_ARC
(9,2),-3.21171 # DEPENDENCYPART_ARC
(9,3),-1.45404 # DEPENDENCYPART_ARC
(9,4),-0.288548 # DEPENDENCYPART_ARC
(9,5),-1.94921 # DEPENDENCYPART_ARC
(9,6),0.268238 # DEPENDENCYPART_ARC
(9,7),-0.533982 # DEPENDENCYPART_ARC
(9,8),5.72126 # DEPENDENCYPART_ARC
(9,10),-0.0172992 # DEPENDENCYPART_ARC
(9,11),0.29476 # DEPENDENCYPART_ARC
(9,12),-1.7083 # DEPENDENCYPART_ARC
(9,13),0.301803 # DEPENDENCYPART_ARC
(9,14),-0.635865 # DEPENDENCYPART_ARC
(9,15),-0.526008 # DEPENDENCYPART_ARC
(9,16),-1.43236 # DEPENDENCYPART_ARC
(9,17),-1.59518 # DEPENDENCYPART_ARC
(9,18),-2.9089 # DEPENDENCYPART_ARC
(9,19),-2.7941 # DEPENDENCYPART_ARC
(9,20),-3.51961 # DEPENDENCYPART_ARC
(9,21),-2.93783 # DEPENDENCYPART_ARC
(9,22),-4.30238 # DEPENDENCYPART_ARC
(10,1),-1.39095 # DEPENDENCYPART_ARC
(10,2),-1.2088 # DEPENDENCYPART_ARC
(10,3),-0.579526 # DEPENDENCYPART_ARC
(10,4),-0.566151 # DEPENDENCYPART_ARC
(10,5),-0.380325 # DEPENDENCYPART_ARC
(10,6),-0.351184 # DEPENDENCYPART_ARC
(10,7),0.36781 # DEPENDENCYPART_ARC
(10,8),-0.415584 # DEPENDENCYPART_ARC
(10,9),-0.407466 # DEPENDENCYPART_ARC
(10,11),0.145742 # DEPENDENCYPART_ARC
(10,12),-0.159511 # DEPENDENCYPART_ARC
(10,13),0.389991 # DEPENDENCYPART_ARC
(10,14),-0.157049 # DEPENDENCYPART_ARC
(10,15),-0.216072 # DEPENDENCYPART_ARC
(10,16),-0.790751 # DEPENDENCYPART_ARC
(10,17),-1.86298 # DEPENDENCYPART_ARC
(10,18),-2.13965 # DEPENDENCYPART_ARC
(10,19),-0.755221 # DEPENDENCYPART_ARC
(10,20),-1.77175 # DEPENDENCYPART_ARC
(10,21),-2.67667 # DEPENDENCYPART_ARC
(10,22),-0.447279 # DEPENDENCYPART_ARC
(11,1),-1.01343 # DEPENDENCYPART_ARC
(11,2),-0.283035 # DEPENDENCYPART_ARC
(11,3),1.42617 # DEPENDENCYPART_ARC
(11,4),0.548467 # DEPENDENCYPART_ARC
(11,5),1.91895 # DEPENDENCYPART_ARC
(11,6),-0.130827 # DEPENDENCYPART_ARC
(11,7),0.990166 # DEPENDENCYPART_ARC
(11,8),0.237326 # DEPENDENCYPART_ARC
(11,9),0.455598 # DEPENDENCYPART_ARC
(11,10),2.58488 # DEPENDENCYPART_ARC
(11,12),-0.424354 # DEPENDENCYPART_ARC
(11,13),1.89858 # DEPENDENCYPART_ARC
(11,14),0.711055 # DEPENDENCYPART_ARC
(11,15),-0.950999 # DEPENDENCYPART_ARC
(11,16),-1.41027 # DEPENDENCYPART_ARC
(11,17),-1.3248 # DEPENDENCYPART_ARC
(11,18),-2.8486 # DEPENDENCYPART_ARC
(11,19),-0.263037 # DEPENDENCYPART_ARC
(11,20),-2.28801 # DEPENDENCYPART_ARC
(11,21),-2.81686 # DEPENDENCYPART_ARC
(11,22),-0.109088 # DEPENDENCYPART_ARC
(12,1),-1.73431 # DEPENDENCYPART_ARC
(12,2),-2.93011 # DEPENDENCYPART_ARC
(12,3),-2.35571 # DEPENDENCYPART_ARC
(12,4),-1.07088 # DEPENDENCYPART_ARC
(12,5),-2.8368 # DEPENDENCYPART_ARC
(12,6),-1.59805 # DEPENDENCYPART_ARC
(12,7),-2.05342 # DEPENDENCYPART_ARC
(12,8),-2.54278 # DEPENDENCYPART_ARC
(12,9),-1.52328 # DEPENDENCYPART_ARC
(12,10),-0.289114 # DEPENDENCYPART_ARC
(12,11),-0.331266 # DEPENDENCYPART_ARC
(12,13),-2.94936 # DEPENDENCYPART_ARC
(12,14),-1.86193 # DEPENDENCYPART_ARC
(12,15),-1.52803 # DEPENDENCYPART_ARC
(12,16),-2.7793 # DEPENDENCYPART_ARC
(12,17),-2.89695 # DEPENDENCYPART_ARC
(12,18),-3.74868 # DEPENDENCYPART_ARC
(12,19),-6.51681 # DEPENDENCYPART_ARC
(12,20),-2.96722 # DEPENDENCYPART_ARC
(12,21),-3.60451 # DEPENDENCYPART_ARC
(12,22),-2.23527 # DEPENDENCYPART_ARC
(13,1),-0.526566 # DEPENDENCYPART_ARC
(13,2),-1.79322 # DEPENDENCYPART_ARC
(13,3),-2.1169 # DEPENDENCYPART_ARC
(13,4),-0.188771 # DEPENDENCYPART_ARC
(13,5),-2.50466 # DEPENDENCYPART_ARC
(13,6),-0.386675 # DEPENDENCYPART_ARC
(13,7),-2.49319 # DEPENDENCYPART_ARC
(13,8),-3.27955 # DEPENDENCYPART_ARC
(13,9),-1.1193 # DEPENDENCYPART_ARC
(13,10),0.326519 # DEPENDENCYPART_ARC
(13,11),-0.0885718 # DEPENDENCYPART_ARC
(13,12),4.00075 # DEPENDENCYPART_ARC
(13,14),0.927875 # DEPENDENCYPART_ARC
(13,15),2.50889 # DEPENDENCYPART_ARC
(13,16),0.31127 # DEPENDENCYPART_ARC
(13,17),-1.07453 # DEPENDENCYPART_ARC
(13,18),-4.08335 # DEPENDENCYPART_ARC
(13,19),-2.01038 # DEPENDENCYPART_ARC
(13,20),-1.32226 # DEPENDENCYPART_ARC
(13,21),-6.14021 # DEPENDENCYPART_ARC
(13,22),-0.546445 # DEPENDENCYPART_ARC
(14,1),-1.6223 # DEPENDENCYPART_ARC
(14,2),-1.72977 # DEPENDENCYPART_ARC
(14,3),-0.987502 # DEPENDENCYPART_ARC
(14,4),-1.26283 # DEPENDENCYPART_ARC
(14,5),-0.634196 # DEPENDENCYPART_ARC
(14,6),-0.975828 # DEPENDENCYPART_ARC
(14,7),-0.33399 # DEPENDENCYPART_ARC
(14,8),-1.07835 # DEPENDENCYPART_ARC
(14,9),-0.676882 # DEPENDENCYPART_ARC
(14,10),0.0453772 # DEPENDENCYPART_ARC
(14,11),0.421797 # DEPENDENCYPART_ARC
(14,12),-0.05061 # DEPENDENCYPART_ARC
(14,13),-0.590723 # DEPENDENCYPART_ARC
(14,15),0.328226 # DEPENDENCYPART_ARC
(14,16),-1.1185 # DEPENDENCYPART_ARC
(14,17),-1.4519 # DEPENDENCYPART_ARC
(14,18),-1.85249 # DEPENDENCYPART_ARC
(14,19),-0.695459 # DEPENDENCYPART_ARC
(14,20),-1.5428 # DEPENDENCYPART_ARC
(14,21),-2.80394 # DEPENDENCYPART_ARC
(14,22),-1.24593 # DEPENDENCYPART_ARC
(15,1),-2.13215 # DEPENDENCYPART_ARC
(15,2),-2.5962 # DEPENDENCYPART_ARC
(15,3),-2.89142 # DEPENDENCYPART_ARC
(15,4),-1.15023 # DEPENDENCYPART_ARC
(15,5),-2.54153 # DEPENDENCYPART_ARC
(15,6),-1.51123 # DEPENDENCYPART_ARC
(15,7),-1.56808 # DEPENDENCYPART_ARC
(15,8),-1.96611 # DEPENDENCYPART_ARC
(15,9),-1.8024 # DEPENDENCYPART_ARC
(15,10),0.770601 # DEPENDENCYPART_ARC
(15,11),1.22183 # DEPENDENCYPART_ARC
(15,12),-0.750936 # DEPENDENCYPART_ARC
(15,13),-1.3213 # DEPENDENCYPART_ARC
(15,14),3.77667 # DEPENDENCYPART_ARC
(15,16),0.551267 # DEPENDENCYPART_ARC
(15,17),0.519903 # DEPENDENCYPART_ARC
(15,18),-1.58944 # DEPENDENCYPART_ARC
(15,19),2.27729 # DEPENDENCYPART_ARC
(15,20),-1.09572 # DEPENDENCYPART_ARC
(15,21),-1.97232 # DEPENDENCYPART_ARC
(15,22),-0.194877 # DEPENDENCYPART_ARC
(16,1),-0.894654 # DEPENDENCYPART_ARC
(16,2),-2.45117 # DEPENDENCYPART_ARC
(16,3),-2.19053 # DEPENDENCYPART_ARC
(16,4),-2.09096 # DEPENDENCYPART_ARC
(16,5),-2.1409 # DEPENDENCYPART_ARC
(16,6),-0.647054 # DEPENDENCYPART_ARC
(16,7),-1.51652 # DEPENDENCYPART_ARC
(16,8),-2.65725 # DEPENDENCYPART_ARC
(16,9),-2.092 # DEPENDENCYPART_ARC
(16,10),-0.412784 # DEPENDENCYPART_ARC
(16,11),-0.940124 # DEPENDENCYPART_ARC
(16,12),-1.57852 # DEPENDENCYPART_ARC
