# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,0,2,3,2,2,14,7,12,14,12,10,12,2,14,15,21,21,21,21,16,0,
(0,1),-0.690859 # DEPENDENCYPART_ARC
(0,2),-0.103314 # DEPENDENCYPART_ARC
(0,3),-1.09285 # DEPENDENCYPART_ARC
(0,4),-1.58125 # DEPENDENCYPART_ARC
(0,5),-1.26651 # DEPENDENCYPART_ARC
(0,6),-0.193012 # DEPENDENCYPART_ARC
(0,7),0.943892 # DEPENDENCYPART_ARC
(0,8),-2.89167 # DEPENDENCYPART_ARC
(0,9),-2.31363 # DEPENDENCYPART_ARC
(0,10),-2.14584 # DEPENDENCYPART_ARC
(0,11),-2.71232 # DEPENDENCYPART_ARC
(0,12),-2.97872 # DEPENDENCYPART_ARC
(0,13),-3.49148 # DEPENDENCYPART_ARC
(0,14),-1.07042 # DEPENDENCYPART_ARC
(0,15),-3.0704 # DEPENDENCYPART_ARC
(0,16),-3.23466 # DEPENDENCYPART_ARC
(0,17),-0.92155 # DEPENDENCYPART_ARC
(0,18),-2.13133 # DEPENDENCYPART_ARC
(0,19),-2.07011 # DEPENDENCYPART_ARC
(0,20),-4.82502 # DEPENDENCYPART_ARC
(0,21),-1.0904 # DEPENDENCYPART_ARC
(0,22),4.40195 # DEPENDENCYPART_ARC
(1,2),-0.691222 # DEPENDENCYPART_ARC
(1,3),-0.610877 # DEPENDENCYPART_ARC
(1,4),-1.43501 # DEPENDENCYPART_ARC
(1,5),-1.16248 # DEPENDENCYPART_ARC
(1,6),-1.15609 # DEPENDENCYPART_ARC
(1,7),-2.82117 # DEPENDENCYPART_ARC
(1,8),-2.12456 # DEPENDENCYPART_ARC
(1,9),-1.93824 # DEPENDENCYPART_ARC
(1,10),-1.357 # DEPENDENCYPART_ARC
(1,11),-1.43822 # DEPENDENCYPART_ARC
(1,12),-2.09664 # DEPENDENCYPART_ARC
(1,13),-1.55841 # DEPENDENCYPART_ARC
(1,14),-1.748 # DEPENDENCYPART_ARC
(1,15),-1.66126 # DEPENDENCYPART_ARC
(1,16),-2.01627 # DEPENDENCYPART_ARC
(1,17),-1.84814 # DEPENDENCYPART_ARC
(1,18),-2.17144 # DEPENDENCYPART_ARC
(1,19),-6.22546 # DEPENDENCYPART_ARC
(1,20),-2.27582 # DEPENDENCYPART_ARC
(1,21),-6.96454 # DEPENDENCYPART_ARC
(1,22),-2.71175 # DEPENDENCYPART_ARC
(2,1),3.39255 # DEPENDENCYPART_ARC
(2,3),2.77689 # DEPENDENCYPART_ARC
(2,4),1.362 # DEPENDENCYPART_ARC
(2,5),3.16204 # DEPENDENCYPART_ARC
(2,6),1.9519 # DEPENDENCYPART_ARC
(2,7),-1.06149 # DEPENDENCYPART_ARC
(2,8),1.16 # DEPENDENCYPART_ARC
(2,9),0.504207 # DEPENDENCYPART_ARC
(2,10),-0.126562 # DEPENDENCYPART_ARC
(2,11),-3.96917 # DEPENDENCYPART_ARC
(2,12),0.00507409 # DEPENDENCYPART_ARC
(2,13),-1.28625 # DEPENDENCYPART_ARC
(2,14),0.566554 # DEPENDENCYPART_ARC
(2,15),-0.990235 # DEPENDENCYPART_ARC
(2,16),-1.68332 # DEPENDENCYPART_ARC
(2,17),0.786973 # DEPENDENCYPART_ARC
(2,18),-3.32219 # DEPENDENCYPART_ARC
(2,19),-0.813056 # DEPENDENCYPART_ARC
(2,20),-2.86456 # DEPENDENCYPART_ARC
