# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,15,12,15,6,0,20,18,20,21,22,0,
(0,1),-0.192837 # DEPENDENCYPART_ARC
(0,2),0.320515 # DEPENDENCYPART_ARC
(0,3),-0.892276 # DEPENDENCYPART_ARC
(0,4),-0.90042 # DEPENDENCYPART_ARC
(0,5),-0.139505 # DEPENDENCYPART_ARC
(0,6),-0.499734 # DEPENDENCYPART_ARC
(0,8),-0.928237 # DEPENDENCYPART_ARC
(0,9),-3.07917 # DEPENDENCYPART_ARC
(0,10),0.48523 # DEPENDENCYPART_ARC
(0,11),-2.16977 # DEPENDENCYPART_ARC
(0,12),-2.19125 # DEPENDENCYPART_ARC
(0,13),-3.04331 # DEPENDENCYPART_ARC
(0,14),-2.33859 # DEPENDENCYPART_ARC
(0,15),-2.04669 # DEPENDENCYPART_ARC
(0,16),-2.92516 # DEPENDENCYPART_ARC
(0,17),-0.627106 # DEPENDENCYPART_ARC
(0,18),0.433263 # DEPENDENCYPART_ARC
(0,19),-2.46798 # DEPENDENCYPART_ARC
(0,20),-3.06004 # DEPENDENCYPART_ARC
(0,21),-4.58058 # DEPENDENCYPART_ARC
(0,22),-3.70373 # DEPENDENCYPART_ARC
(0,23),-4.15761 # DEPENDENCYPART_ARC
(0,24),4.08971 # DEPENDENCYPART_ARC
(1,2),2.85222 # DEPENDENCYPART_ARC
(1,3),0.642848 # DEPENDENCYPART_ARC
(1,4),-0.469359 # DEPENDENCYPART_ARC
(1,5),0.112911 # DEPENDENCYPART_ARC
(1,6),0.410023 # DEPENDENCYPART_ARC
(1,7),-1.80414 # DEPENDENCYPART_ARC
(1,8),-0.241734 # DEPENDENCYPART_ARC
(1,9),-1.38313 # DEPENDENCYPART_ARC
(1,10),-0.666046 # DEPENDENCYPART_ARC
(1,11),-0.875712 # DEPENDENCYPART_ARC
(1,12),-1.8717 # DEPENDENCYPART_ARC
(1,13),-3.24389 # DEPENDENCYPART_ARC
(1,14),-2.07587 # DEPENDENCYPART_ARC
(1,15),-1.20089 # DEPENDENCYPART_ARC
(1,16),-1.86605 # DEPENDENCYPART_ARC
(1,17),-1.03308 # DEPENDENCYPART_ARC
(1,18),-3.30377 # DEPENDENCYPART_ARC
(1,19),-1.02422 # DEPENDENCYPART_ARC
(1,20),-1.6574 # DEPENDENCYPART_ARC
(1,21),-1.49292 # DEPENDENCYPART_ARC
(1,22),-2.18644 # DEPENDENCYPART_ARC
(1,23),-4.92658 # DEPENDENCYPART_ARC
(1,24),-8.46852 # DEPENDENCYPART_ARC
(2,1),-1.6247 # DEPENDENCYPART_ARC
(2,3),0.36034 # DEPENDENCYPART_ARC
(2,4),3.9382 # DEPENDENCYPART_ARC
(2,5),-0.543034 # DEPENDENCYPART_ARC
(2,6),-0.960658 # DEPENDENCYPART_ARC
(2,8),-2.39391 # DEPENDENCYPART_ARC
(2,9),0.719925 # DEPENDENCYPART_ARC
(2,10),-2.85954 # DEPENDENCYPART_ARC
(2,11),-3.55097 # DEPENDENCYPART_ARC
(2,12),-6.16663 # DEPENDENCYPART_ARC
(2,13),-4.17563 # DEPENDENCYPART_ARC
(2,14),-2.24361 # DEPENDENCYPART_ARC
(2,15),-6.7053 # DEPENDENCYPART_ARC
(2,16),-7.9476 # DEPENDENCYPART_ARC
(2,17),-2.64306 # DEPENDENCYPART_ARC
(2,18),-2.6364 # DEPENDENCYPART_ARC
(2,19),-3.09881 # DEPENDENCYPART_ARC
(2,20),-4.41646 # DEPENDENCYPART_ARC
(2,21),-5.80373 # DEPENDENCYPART_ARC
(2,22),-3.45119 # DEPENDENCYPART_ARC
(2,23),-10.1515 # DEPENDENCYPART_ARC
(2,24),-4.10341 # DEPENDENCYPART_ARC
(3,1),-2.93744 # DEPENDENCYPART_ARC
(3,2),-0.857865 # DEPENDENCYPART_ARC
(3,4),0.0847373 # DEPENDENCYPART_ARC
(3,5),-0.828918 # DEPENDENCYPART_ARC
(3,6),-0.15182 # DEPENDENCYPART_ARC
(3,7),-2.57496 # DEPENDENCYPART_ARC
(3,8),-2.03226 # DEPENDENCYPART_ARC
(3,9),-3.48587 # DEPENDENCYPART_ARC
(3,10),-3.62098 # DEPENDENCYPART_ARC
(3,11),-2.38975 # DEPENDENCYPART_ARC
(3,12),-4.43398 # DEPENDENCYPART_ARC
(3,13),-5.5613 # DEPENDENCYPART_ARC
(3,14),-5.06936 # DEPENDENCYPART_ARC
(3,15),-4.41168 # DEPENDENCYPART_ARC
(3,16),-5.11896 # DEPENDENCYPART_ARC
(3,17),-1.42565 # DEPENDENCYPART_ARC
(3,18),-4.76952 # DEPENDENCYPART_ARC
(3,19),-2.83244 # DEPENDENCYPART_ARC
(3,20),-5.86137 # DEPENDENCYPART_ARC
(3,21),-1.41499 # DEPENDENCYPART_ARC
(3,22),-3.40629 # DEPENDENCYPART_ARC
(3,23),-6.43672 # DEPENDENCYPART_ARC
(3,24),-4.38055 # DEPENDENCYPART_ARC
(4,1),-1.94615 # DEPENDENCYPART_ARC
(4,2),-0.106462 # DEPENDENCYPART_ARC
(4,3),4.93864 # DEPENDENCYPART_ARC
(4,5),-0.440677 # DEPENDENCYPART_ARC
(4,6),0.0637332 # DEPENDENCYPART_ARC
(4,7),-3.03327 # DEPENDENCYPART_ARC
(4,8),-1.72334 # DEPENDENCYPART_ARC
(4,9),-1.37608 # DEPENDENCYPART_ARC
(4,10),-0.878456 # DEPENDENCYPART_ARC
(4,11),-3.46054 # DEPENDENCYPART_ARC
(4,12),-3.66896 # DEPENDENCYPART_ARC
(4,13),-3.64521 # DEPENDENCYPART_ARC
(4,14),-3.08849 # DEPENDENCYPART_ARC
(4,15),-1.959 # DEPENDENCYPART_ARC
(4,16),-1.38363 # DEPENDENCYPART_ARC
(4,17),-1.58941 # DEPENDENCYPART_ARC
(4,18),-4.26715 # DEPENDENCYPART_ARC
(4,19),-2.0343 # DEPENDENCYPART_ARC
(4,20),-3.76854 # DEPENDENCYPART_ARC
(4,21),-3.03337 # DEPENDENCYPART_ARC
(4,22),-3.74619 # DEPENDENCYPART_ARC
(4,23),-4.57453 # DEPENDENCYPART_ARC
(4,24),-8.4899 # DEPENDENCYPART_ARC
(5,1),-0.671231 # DEPENDENCYPART_ARC
(5,2),-0.470579 # DEPENDENCYPART_ARC
(5,3),-0.310601 # DEPENDENCYPART_ARC
(5,4),-0.59459 # DEPENDENCYPART_ARC
(5,6),-0.00255586 # DEPENDENCYPART_ARC
(5,7),-0.64291 # DEPENDENCYPART_ARC
(5,8),-0.782003 # DEPENDENCYPART_ARC
(5,9),-1.11365 # DEPENDENCYPART_ARC
(5,10),0.395645 # DEPENDENCYPART_ARC
(5,11),-0.809204 # DEPENDENCYPART_ARC
(5,12),-1.97094 # DEPENDENCYPART_ARC
(5,13),-1.72685 # DEPENDENCYPART_ARC
(5,14),-1.73376 # DEPENDENCYPART_ARC
(5,15),-2.2026 # DEPENDENCYPART_ARC
(5,16),-1.90065 # DEPENDENCYPART_ARC
(5,17),-0.390147 # DEPENDENCYPART_ARC
(5,18),-1.08699 # DEPENDENCYPART_ARC
(5,19),-1.74836 # DEPENDENCYPART_ARC
(5,20),-2.80393 # DEPENDENCYPART_ARC
(5,21),-1.51625 # DEPENDENCYPART_ARC
(5,22),-2.72271 # DEPENDENCYPART_ARC
(5,23),-3.58441 # DEPENDENCYPART_ARC
(5,24),-1.43985 # DEPENDENCYPART_ARC
(6,1),-0.739068 # DEPENDENCYPART_ARC
(6,2),-1.49953 # DEPENDENCYPART_ARC
(6,3),-0.991565 # DEPENDENCYPART_ARC
(6,4),-0.825587 # DEPENDENCYPART_ARC
(6,5),1.49479 # DEPENDENCYPART_ARC
(6,8),-0.622885 # DEPENDENCYPART_ARC
(6,9),-0.7698 # DEPENDENCYPART_ARC
(6,10),1.89039 # DEPENDENCYPART_ARC
(6,11),-0.889568 # DEPENDENCYPART_ARC
(6,12),-1.31642 # DEPENDENCYPART_ARC
(6,13),-1.20508 # DEPENDENCYPART_ARC
(6,14),-1.24087 # DEPENDENCYPART_ARC
(6,15),-2.02902 # DEPENDENCYPART_ARC
(6,16),-1.6535 # DEPENDENCYPART_ARC
(6,17),2.01664 # DEPENDENCYPART_ARC
(6,18),-0.116754 # DEPENDENCYPART_ARC
(6,19),-1.41036 # DEPENDENCYPART_ARC
(6,20),-2.08081 # DEPENDENCYPART_ARC
(6,21),-0.987495 # DEPENDENCYPART_ARC
(6,22),-2.15451 # DEPENDENCYPART_ARC
(6,23),-3.6341 # DEPENDENCYPART_ARC
(6,24),-1.01312 # DEPENDENCYPART_ARC
(8,1),-4.44562 # DEPENDENCYPART_ARC
(8,2),-3.18151 # DEPENDENCYPART_ARC
(8,3),-2.59419 # DEPENDENCYPART_ARC
