# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,8,16,14,11,16,11,16,17,18,17,20,0,
(0,1),-1.45786 # DEPENDENCYPART_ARC
(0,2),-0.807511 # DEPENDENCYPART_ARC
(0,3),-1.26515 # DEPENDENCYPART_ARC
(0,4),2.02084 # DEPENDENCYPART_ARC
(0,5),-1.70748 # DEPENDENCYPART_ARC
(0,6),-0.682389 # DEPENDENCYPART_ARC
(0,7),-0.723501 # DEPENDENCYPART_ARC
(0,8),-2.6254 # DEPENDENCYPART_ARC
(0,9),-2.72366 # DEPENDENCYPART_ARC
(0,10),-4.34671 # DEPENDENCYPART_ARC
(0,11),-1.02521 # DEPENDENCYPART_ARC
(0,12),-2.57038 # DEPENDENCYPART_ARC
(0,13),-3.58755 # DEPENDENCYPART_ARC
(0,14),-4.71304 # DEPENDENCYPART_ARC
(0,15),-1.25905 # DEPENDENCYPART_ARC
(0,16),-1.94931 # DEPENDENCYPART_ARC
(0,17),-2.64313 # DEPENDENCYPART_ARC
(0,18),-5.58386 # DEPENDENCYPART_ARC
(0,19),-5.40979 # DEPENDENCYPART_ARC
(0,20),-5.58004 # DEPENDENCYPART_ARC
(0,21),-5.83926 # DEPENDENCYPART_ARC
(0,22),4.20689 # DEPENDENCYPART_ARC
(1,2),0.987564 # DEPENDENCYPART_ARC
(1,3),1.8435 # DEPENDENCYPART_ARC
(1,4),0.209076 # DEPENDENCYPART_ARC
(1,5),-0.823511 # DEPENDENCYPART_ARC
(1,6),-2.45903 # DEPENDENCYPART_ARC
(1,7),-0.472541 # DEPENDENCYPART_ARC
(1,8),-1.1699 # DEPENDENCYPART_ARC
(1,9),-1.11701 # DEPENDENCYPART_ARC
(1,10),-1.92473 # DEPENDENCYPART_ARC
(1,11),-5.63616 # DEPENDENCYPART_ARC
(1,12),-1.91939 # DEPENDENCYPART_ARC
(1,13),-5.16257 # DEPENDENCYPART_ARC
(1,14),-5.71286 # DEPENDENCYPART_ARC
(1,15),-0.962014 # DEPENDENCYPART_ARC
(1,16),-2.00905 # DEPENDENCYPART_ARC
(1,17),-9.24665 # DEPENDENCYPART_ARC
(1,18),-3.07427 # DEPENDENCYPART_ARC
(1,19),-4.53904 # DEPENDENCYPART_ARC
(1,20),-7.63737 # DEPENDENCYPART_ARC
(1,21),-5.03564 # DEPENDENCYPART_ARC
(1,22),-7.07288 # DEPENDENCYPART_ARC
(2,1),-0.906895 # DEPENDENCYPART_ARC
(2,3),0.00940467 # DEPENDENCYPART_ARC
(2,4),-1.34684 # DEPENDENCYPART_ARC
(2,5),-1.78053 # DEPENDENCYPART_ARC
(2,6),-2.44809 # DEPENDENCYPART_ARC
(2,7),-1.87384 # DEPENDENCYPART_ARC
(2,8),-0.724819 # DEPENDENCYPART_ARC
(2,9),-3.47694 # DEPENDENCYPART_ARC
(2,10),-5.67666 # DEPENDENCYPART_ARC
(2,11),-4.48568 # DEPENDENCYPART_ARC
(2,12),-3.02721 # DEPENDENCYPART_ARC
(2,13),-7.50666 # DEPENDENCYPART_ARC
(2,14),-5.82759 # DEPENDENCYPART_ARC
(2,15),-2.43379 # DEPENDENCYPART_ARC
(2,16),-2.90941 # DEPENDENCYPART_ARC
(2,17),-6.82109 # DEPENDENCYPART_ARC
(2,18),-5.36674 # DEPENDENCYPART_ARC
(2,19),-9.00388 # DEPENDENCYPART_ARC
(2,20),-8.21335 # DEPENDENCYPART_ARC
(2,21),-7.76042 # DEPENDENCYPART_ARC
(2,22),-3.24781 # DEPENDENCYPART_ARC
(3,1),-2.50717 # DEPENDENCYPART_ARC
(3,2),-1.00395 # DEPENDENCYPART_ARC
(3,4),-0.822022 # DEPENDENCYPART_ARC
(3,5),-2.15435 # DEPENDENCYPART_ARC
(3,6),-3.381 # DEPENDENCYPART_ARC
(3,7),-1.38048 # DEPENDENCYPART_ARC
(3,8),-2.4835 # DEPENDENCYPART_ARC
(3,9),-2.2075 # DEPENDENCYPART_ARC
(3,10),-2.19111 # DEPENDENCYPART_ARC
(3,11),-6.58891 # DEPENDENCYPART_ARC
(3,12),-2.94293 # DEPENDENCYPART_ARC
(3,13),-2.99305 # DEPENDENCYPART_ARC
(3,14),-1.51352 # DEPENDENCYPART_ARC
(3,15),-1.51791 # DEPENDENCYPART_ARC
(3,16),-3.62843 # DEPENDENCYPART_ARC
(3,17),-9.07413 # DEPENDENCYPART_ARC
(3,18),-3.40461 # DEPENDENCYPART_ARC
(3,19),-2.09819 # DEPENDENCYPART_ARC
(3,20),-1.74901 # DEPENDENCYPART_ARC
(3,21),-2.04838 # DEPENDENCYPART_ARC
(3,22),-2.53993 # DEPENDENCYPART_ARC
(4,1),1.13767 # DEPENDENCYPART_ARC
(4,2),2.22741 # DEPENDENCYPART_ARC
(4,3),0.281312 # DEPENDENCYPART_ARC
(4,5),1.398 # DEPENDENCYPART_ARC
(4,6),1.1814 # DEPENDENCYPART_ARC
(4,7),0.277383 # DEPENDENCYPART_ARC
(4,8),-0.298146 # DEPENDENCYPART_ARC
(4,9),-1.02218 # DEPENDENCYPART_ARC
(4,10),-2.92841 # DEPENDENCYPART_ARC
(4,11),-1.07397 # DEPENDENCYPART_ARC
(4,12),-0.60873 # DEPENDENCYPART_ARC
(4,13),-2.34958 # DEPENDENCYPART_ARC
(4,14),-4.08304 # DEPENDENCYPART_ARC
(4,15),-0.117915 # DEPENDENCYPART_ARC
(4,16),-0.816325 # DEPENDENCYPART_ARC
(4,17),-2.67738 # DEPENDENCYPART_ARC
(4,18),-2.37668 # DEPENDENCYPART_ARC
(4,19),-5.14678 # DEPENDENCYPART_ARC
(4,20),-5.03755 # DEPENDENCYPART_ARC
(4,21),-5.75374 # DEPENDENCYPART_ARC
(4,22),-1.0671 # DEPENDENCYPART_ARC
(5,1),0.765866 # DEPENDENCYPART_ARC
(5,2),2.63082 # DEPENDENCYPART_ARC
(5,3),2.47397 # DEPENDENCYPART_ARC
(5,4),1.37692 # DEPENDENCYPART_ARC
(5,6),1.70632 # DEPENDENCYPART_ARC
(5,7),-0.779735 # DEPENDENCYPART_ARC
(5,8),1.24169 # DEPENDENCYPART_ARC
(5,9),-1.76407 # DEPENDENCYPART_ARC
(5,10),-3.7151 # DEPENDENCYPART_ARC
(5,11),-2.48489 # DEPENDENCYPART_ARC
(5,12),-0.819976 # DEPENDENCYPART_ARC
(5,13),-5.31237 # DEPENDENCYPART_ARC
(5,14),-2.32031 # DEPENDENCYPART_ARC
(5,15),-1.2151 # DEPENDENCYPART_ARC
(5,16),0.100883 # DEPENDENCYPART_ARC
(5,17),-4.57229 # DEPENDENCYPART_ARC
(5,18),-2.61132 # DEPENDENCYPART_ARC
(5,19),-6.84187 # DEPENDENCYPART_ARC
(5,20),-4.05405 # DEPENDENCYPART_ARC
(5,21),-6.11236 # DEPENDENCYPART_ARC
(5,22),-2.01607 # DEPENDENCYPART_ARC
(6,1),2.52863 # DEPENDENCYPART_ARC
(6,2),2.69244 # DEPENDENCYPART_ARC
(6,3),3.5206 # DEPENDENCYPART_ARC
(6,4),1.7882 # DEPENDENCYPART_ARC
(6,5),3.6339 # DEPENDENCYPART_ARC
