# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=15,1,1,5,3,5,6,9,10,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
(0,1),-0.418114 # DEPENDENCYPART_ARC
(0,2),-0.556999 # DEPENDENCYPART_ARC
(0,3),-2.6354 # DEPENDENCYPART_ARC
(0,4),-0.547598 # DEPENDENCYPART_ARC
(0,5),-2.88828 # DEPENDENCYPART_ARC
(0,6),-1.98533 # DEPENDENCYPART_ARC
(0,7),-3.93547 # DEPENDENCYPART_ARC
(0,8),-4.8383 # DEPENDENCYPART_ARC
(0,9),-2.51954 # DEPENDENCYPART_ARC
(0,10),-0.865041 # DEPENDENCYPART_ARC
(0,11),-3.04278 # DEPENDENCYPART_ARC
(0,12),-4.31907 # DEPENDENCYPART_ARC
(0,13),-6.20056 # DEPENDENCYPART_ARC
(0,14),-1.40305 # DEPENDENCYPART_ARC
(0,15),-0.685806 # DEPENDENCYPART_ARC
(0,16),-7.54641 # DEPENDENCYPART_ARC
(0,17),-6.44572 # DEPENDENCYPART_ARC
(0,18),-7.37629 # DEPENDENCYPART_ARC
(0,19),-3.44479 # DEPENDENCYPART_ARC
(0,20),-3.13968 # DEPENDENCYPART_ARC
(0,21),-5.41049 # DEPENDENCYPART_ARC
(0,22),-7.08956 # DEPENDENCYPART_ARC
(0,23),4.27952 # DEPENDENCYPART_ARC
(1,2),3.87506 # DEPENDENCYPART_ARC
(1,3),3.65538 # DEPENDENCYPART_ARC
(1,4),0.422235 # DEPENDENCYPART_ARC
(1,5),1.0567 # DEPENDENCYPART_ARC
(1,6),-0.767355 # DEPENDENCYPART_ARC
(1,7),-0.697713 # DEPENDENCYPART_ARC
(1,8),-1.50482 # DEPENDENCYPART_ARC
(1,9),-1.51531 # DEPENDENCYPART_ARC
