# _root_ Jasně , přeháněli , ale vás to potěší a motivuje pokračovat . "
#goldHeads=3,3,5,5,0,9,9,9,5,9,10,0,5,
#predictedHeads=3,5,5,5,0,8,8,9,5,9,10,0,5,
(0,1),0.304848 # DEPENDENCYPART_ARC
(0,2),0.306352 # DEPENDENCYPART_ARC
(0,3),1.32827 # DEPENDENCYPART_ARC
(0,4),0.101065 # DEPENDENCYPART_ARC
(0,5),1.14775 # DEPENDENCYPART_ARC
(0,6),-1.12841 # DEPENDENCYPART_ARC
(0,7),-0.712689 # DEPENDENCYPART_ARC
(0,8),0.154485 # DEPENDENCYPART_ARC
(0,9),0.0181683 # DEPENDENCYPART_ARC
(0,10),-1.05525 # DEPENDENCYPART_ARC
(0,11),-1.05157 # DEPENDENCYPART_ARC
(0,12),2.59208 # DEPENDENCYPART_ARC
(0,13),-2.18937 # DEPENDENCYPART_ARC
(1,2),0.926804 # DEPENDENCYPART_ARC
(1,3),-1.23919 # DEPENDENCYPART_ARC
(1,4),-0.709055 # DEPENDENCYPART_ARC
(1,5),-0.859935 # DEPENDENCYPART_ARC
(1,6),-1.73994 # DEPENDENCYPART_ARC
(1,7),-1.34982 # DEPENDENCYPART_ARC
(1,8),-1.58928 # DEPENDENCYPART_ARC
(1,9),-2.20276 # DEPENDENCYPART_ARC
(1,10),-2.09242 # DEPENDENCYPART_ARC
(1,11),-1.57869 # DEPENDENCYPART_ARC
(1,12),-1.3856 # DEPENDENCYPART_ARC
(1,13),-2.23441 # DEPENDENCYPART_ARC
(2,1),0.602856 # DEPENDENCYPART_ARC
(2,3),0.85009 # DEPENDENCYPART_ARC
(2,4),0.111939 # DEPENDENCYPART_ARC
(2,5),-0.0141975 # DEPENDENCYPART_ARC
(2,6),-1.03164 # DEPENDENCYPART_ARC
(2,7),-0.56863 # DEPENDENCYPART_ARC
(2,8),-1.05795 # DEPENDENCYPART_ARC
(2,9),-0.775026 # DEPENDENCYPART_ARC
(2,10),-2.12295 # DEPENDENCYPART_ARC
(2,11),-2.57532 # DEPENDENCYPART_ARC
(2,12),0.52057 # DEPENDENCYPART_ARC
(2,13),0.679677 # DEPENDENCYPART_ARC
(3,1),1.72722 # DEPENDENCYPART_ARC
(3,2),1.12905 # DEPENDENCYPART_ARC
(3,4),0.955449 # DEPENDENCYPART_ARC
(3,5),1.18006 # DEPENDENCYPART_ARC
(3,6),-0.181759 # DEPENDENCYPART_ARC
(3,7),-0.430567 # DEPENDENCYPART_ARC
(3,8),-0.16449 # DEPENDENCYPART_ARC
(3,9),-0.0228575 # DEPENDENCYPART_ARC
(3,10),-2.08622 # DEPENDENCYPART_ARC
(3,11),-0.522437 # DEPENDENCYPART_ARC
(3,12),-0.54859 # DEPENDENCYPART_ARC
(3,13),0.174446 # DEPENDENCYPART_ARC
(4,1),-0.982453 # DEPENDENCYPART_ARC
(4,2),-0.570942 # DEPENDENCYPART_ARC
(4,3),-0.540184 # DEPENDENCYPART_ARC
(4,5),0.0877942 # DEPENDENCYPART_ARC
(4,6),-0.935167 # DEPENDENCYPART_ARC
(4,7),-0.602838 # DEPENDENCYPART_ARC
(4,8),-0.404554 # DEPENDENCYPART_ARC
(4,9),-0.890618 # DEPENDENCYPART_ARC
(4,10),-1.51916 # DEPENDENCYPART_ARC
(4,11),-1.92691 # DEPENDENCYPART_ARC
(4,12),-0.158212 # DEPENDENCYPART_ARC
(4,13),-0.144634 # DEPENDENCYPART_ARC
(5,1),0.766906 # DEPENDENCYPART_ARC
(5,2),1.94345 # DEPENDENCYPART_ARC
(5,3),2.0492 # DEPENDENCYPART_ARC
(5,4),2.91506 # DEPENDENCYPART_ARC
(5,6),0.439334 # DEPENDENCYPART_ARC
(5,7),-0.289994 # DEPENDENCYPART_ARC
(5,8),1.55335 # DEPENDENCYPART_ARC
(5,9),1.8726 # DEPENDENCYPART_ARC
(5,10),0.238542 # DEPENDENCYPART_ARC
(5,11),0.485088 # DEPENDENCYPART_ARC
(5,12),0.256698 # DEPENDENCYPART_ARC
(5,13),2.2435 # DEPENDENCYPART_ARC
(6,1),-0.791334 # DEPENDENCYPART_ARC
(6,2),-0.447092 # DEPENDENCYPART_ARC
(6,3),-0.968082 # DEPENDENCYPART_ARC
(6,4),0.252835 # DEPENDENCYPART_ARC
(6,5),0.384153 # DEPENDENCYPART_ARC
(6,7),1.09761 # DEPENDENCYPART_ARC
(6,8),-1.90825 # DEPENDENCYPART_ARC
(6,9),-0.395059 # DEPENDENCYPART_ARC
(6,10),-2.96123 # DEPENDENCYPART_ARC
(6,11),-2.11475 # DEPENDENCYPART_ARC
(6,12),-0.619686 # DEPENDENCYPART_ARC
(6,13),-1.09496 # DEPENDENCYPART_ARC
(7,1),-1.06365 # DEPENDENCYPART_ARC
(7,2),-0.660254 # DEPENDENCYPART_ARC
(7,3),-1.7292 # DEPENDENCYPART_ARC
(7,4),-0.202872 # DEPENDENCYPART_ARC
(7,5),-0.675069 # DEPENDENCYPART_ARC
(7,8),0.151095 # DEPENDENCYPART_ARC
(7,9),-0.142178 # DEPENDENCYPART_ARC
(7,10),-1.44568 # DEPENDENCYPART_ARC
(7,11),-2.05949 # DEPENDENCYPART_ARC
(7,12),-0.554803 # DEPENDENCYPART_ARC
(7,13),-0.844782 # DEPENDENCYPART_ARC
(8,1),-1.15972 # DEPENDENCYPART_ARC
(8,2),-1.40223 # DEPENDENCYPART_ARC
(8,3),-2.02949 # DEPENDENCYPART_ARC
(8,4),-0.585962 # DEPENDENCYPART_ARC
(8,5),-0.453854 # DEPENDENCYPART_ARC
(8,6),2.26178 # DEPENDENCYPART_ARC
(8,7),2.71869 # DEPENDENCYPART_ARC
(8,9),-0.262101 # DEPENDENCYPART_ARC
(8,10),-1.33008 # DEPENDENCYPART_ARC
(8,11),-0.0726635 # DEPENDENCYPART_ARC
(8,12),-1.24397 # DEPENDENCYPART_ARC
(8,13),-0.86518 # DEPENDENCYPART_ARC
(9,1),0.305646 # DEPENDENCYPART_ARC
(9,2),0.945459 # DEPENDENCYPART_ARC
(9,3),1.57931 # DEPENDENCYPART_ARC
(9,4),1.2099 # DEPENDENCYPART_ARC
(9,5),0.225369 # DEPENDENCYPART_ARC
(9,6),1.29559 # DEPENDENCYPART_ARC
(9,7),1.79606 # DEPENDENCYPART_ARC
(9,8),3.53971 # DEPENDENCYPART_ARC
(9,10),2.61478 # DEPENDENCYPART_ARC
(9,11),2.11432 # DEPENDENCYPART_ARC
(9,12),0.590729 # DEPENDENCYPART_ARC
(9,13),1.23401 # DEPENDENCYPART_ARC
(10,1),-1.63193 # DEPENDENCYPART_ARC
(10,2),-1.8825 # DEPENDENCYPART_ARC
(10,3),-3.1321 # DEPENDENCYPART_ARC
(10,4),-0.488006 # DEPENDENCYPART_ARC
(10,5),-0.666976 # DEPENDENCYPART_ARC
(10,6),0.681481 # DEPENDENCYPART_ARC
(10,7),1.1086 # DEPENDENCYPART_ARC
(10,8),-0.329279 # DEPENDENCYPART_ARC
(10,9),0.075641 # DEPENDENCYPART_ARC
(10,11),3.40208 # DEPENDENCYPART_ARC
(10,12),-0.702257 # DEPENDENCYPART_ARC
(10,13),-0.098485 # DEPENDENCYPART_ARC
(11,1),-1.55551 # DEPENDENCYPART_ARC
(11,2),-2.02626 # DEPENDENCYPART_ARC
(11,3),-3.81407 # DEPENDENCYPART_ARC
(11,4),-0.930281 # DEPENDENCYPART_ARC
(11,5),-0.194161 # DEPENDENCYPART_ARC
(11,6),2.09874 # DEPENDENCYPART_ARC
(11,7),0.914402 # DEPENDENCYPART_ARC
(11,8),-1.74133 # DEPENDENCYPART_ARC
(11,9),-0.151954 # DEPENDENCYPART_ARC
(11,10),0.936703 # DEPENDENCYPART_ARC
(11,12),0.176854 # DEPENDENCYPART_ARC
(11,13),0.372062 # DEPENDENCYPART_ARC
(12,1),-2.66258 # DEPENDENCYPART_ARC
(12,2),-2.58191 # DEPENDENCYPART_ARC
(12,3),-2.68607 # DEPENDENCYPART_ARC
(12,4),-2.11994 # DEPENDENCYPART_ARC
(12,5),-1.35705 # DEPENDENCYPART_ARC
(12,6),-1.57996 # DEPENDENCYPART_ARC
(12,7),-1.2608 # DEPENDENCYPART_ARC
(12,8),-2.08843 # DEPENDENCYPART_ARC
(12,9),-1.79302 # DEPENDENCYPART_ARC
(12,10),-2.10528 # DEPENDENCYPART_ARC
(12,11),-2.33987 # DEPENDENCYPART_ARC
(12,13),-1.34405 # DEPENDENCYPART_ARC
(13,1),-4.26159 # DEPENDENCYPART_ARC
(13,2),-3.36959 # DEPENDENCYPART_ARC
(13,3),-3.67139 # DEPENDENCYPART_ARC
(13,4),-2.78805 # DEPENDENCYPART_ARC
(13,5),-2.63133 # DEPENDENCYPART_ARC
(13,6),-2.95169 # DEPENDENCYPART_ARC
(13,7),-2.68168 # DEPENDENCYPART_ARC
(13,8),-3.32775 # DEPENDENCYPART_ARC
(13,9),-3.40645 # DEPENDENCYPART_ARC
(13,10),-2.91698 # DEPENDENCYPART_ARC
(13,11),-3.49318 # DEPENDENCYPART_ARC
(13,12),-2.11996 # DEPENDENCYPART_ARC
