# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(0,1),-6.7136 # DEPENDENCYPART_ARC
(0,2),-6.82059 # DEPENDENCYPART_ARC
(0,3),-6.33406 # DEPENDENCYPART_ARC
(0,4),-7.40395 # DEPENDENCYPART_ARC
(0,5),-7.19243 # DEPENDENCYPART_ARC
(0,6),-7.60124 # DEPENDENCYPART_ARC
(0,7),-8.06519 # DEPENDENCYPART_ARC
(0,8),-6.89546 # DEPENDENCYPART_ARC
(0,9),-7.02786 # DEPENDENCYPART_ARC
(0,10),-3.07093 # DEPENDENCYPART_ARC
(0,11),-7.97251 # DEPENDENCYPART_ARC
(0,12),-8.49334 # DEPENDENCYPART_ARC
(0,13),-8.61737 # DEPENDENCYPART_ARC
(0,14),-7.44613 # DEPENDENCYPART_ARC
(0,15),-8.00038 # DEPENDENCYPART_ARC
(0,16),-8.59131 # DEPENDENCYPART_ARC
(0,17),-8.99175 # DEPENDENCYPART_ARC
(0,18),-8.30675 # DEPENDENCYPART_ARC
(0,19),-6.37019 # DEPENDENCYPART_ARC
(0,20),-6.34464 # DEPENDENCYPART_ARC
(1,2),0.708436 # DEPENDENCYPART_ARC
(1,3),1.73817 # DEPENDENCYPART_ARC
(1,4),1.6155 # DEPENDENCYPART_ARC
(1,5),3.38544 # DEPENDENCYPART_ARC
(1,6),0.160383 # DEPENDENCYPART_ARC
(1,7),0.484638 # DEPENDENCYPART_ARC
(1,8),0.409314 # DEPENDENCYPART_ARC
(1,9),-0.377188 # DEPENDENCYPART_ARC
(1,10),-0.769987 # DEPENDENCYPART_ARC
(1,11),-2.79324 # DEPENDENCYPART_ARC
(1,12),-0.696253 # DEPENDENCYPART_ARC
(1,13),-0.654876 # DEPENDENCYPART_ARC
(1,14),-0.0483122 # DEPENDENCYPART_ARC
(1,15),-1.71345 # DEPENDENCYPART_ARC
(1,16),-4.57203 # DEPENDENCYPART_ARC
(1,17),-0.561589 # DEPENDENCYPART_ARC
(1,18),-3.12982 # DEPENDENCYPART_ARC
(1,19),-5.46687 # DEPENDENCYPART_ARC
(1,20),1.4081 # DEPENDENCYPART_ARC
(2,1),-1.96228 # DEPENDENCYPART_ARC
(2,3),-0.256081 # DEPENDENCYPART_ARC
(2,4),-0.819444 # DEPENDENCYPART_ARC
(2,5),-1.56807 # DEPENDENCYPART_ARC
(2,6),-1.37771 # DEPENDENCYPART_ARC
(2,7),-1.57426 # DEPENDENCYPART_ARC
(2,8),-1.14132 # DEPENDENCYPART_ARC
(2,9),-2.20967 # DEPENDENCYPART_ARC
(2,10),-2.40499 # DEPENDENCYPART_ARC
(2,11),-3.55461 # DEPENDENCYPART_ARC
(2,12),-2.39454 # DEPENDENCYPART_ARC
(2,13),-2.52451 # DEPENDENCYPART_ARC
(2,14),-2.07402 # DEPENDENCYPART_ARC
(2,15),-2.64573 # DEPENDENCYPART_ARC
(2,16),-4.18837 # DEPENDENCYPART_ARC
(2,17),-3.12004 # DEPENDENCYPART_ARC
(2,18),-4.02524 # DEPENDENCYPART_ARC
(2,19),-3.45632 # DEPENDENCYPART_ARC
(2,20),-2.55283 # DEPENDENCYPART_ARC
(3,1),0.348733 # DEPENDENCYPART_ARC
(3,2),1.97883 # DEPENDENCYPART_ARC
(3,4),1.88131 # DEPENDENCYPART_ARC
(3,5),0.957862 # DEPENDENCYPART_ARC
(3,6),0.697824 # DEPENDENCYPART_ARC
(3,7),0.0633447 # DEPENDENCYPART_ARC
(3,8),0.490192 # DEPENDENCYPART_ARC
(3,9),-0.0363204 # DEPENDENCYPART_ARC
(3,10),0.134062 # DEPENDENCYPART_ARC
(3,11),-1.00524 # DEPENDENCYPART_ARC
(3,12),-0.809422 # DEPENDENCYPART_ARC
(3,13),-0.439121 # DEPENDENCYPART_ARC
(3,14),-0.457893 # DEPENDENCYPART_ARC
(3,15),-0.518298 # DEPENDENCYPART_ARC
(3,16),-1.40574 # DEPENDENCYPART_ARC
(3,17),-1.38818 # DEPENDENCYPART_ARC
(3,18),-1.39198 # DEPENDENCYPART_ARC
(3,19),-1.36414 # DEPENDENCYPART_ARC
(3,20),0.0262372 # DEPENDENCYPART_ARC
(4,1),-0.0871754 # DEPENDENCYPART_ARC
(4,2),2.37361 # DEPENDENCYPART_ARC
(4,3),2.13635 # DEPENDENCYPART_ARC
(4,5),0.401318 # DEPENDENCYPART_ARC
(4,6),0.0858168 # DEPENDENCYPART_ARC
(4,7),-0.614059 # DEPENDENCYPART_ARC
(4,8),-0.306495 # DEPENDENCYPART_ARC
(4,9),-0.885857 # DEPENDENCYPART_ARC
(4,10),-0.588839 # DEPENDENCYPART_ARC
(4,11),-1.28811 # DEPENDENCYPART_ARC
(4,12),-1.37197 # DEPENDENCYPART_ARC
(4,13),-1.18253 # DEPENDENCYPART_ARC
(4,14),-0.708886 # DEPENDENCYPART_ARC
(4,15),-1.23244 # DEPENDENCYPART_ARC
(4,16),-1.94558 # DEPENDENCYPART_ARC
(4,17),-1.87567 # DEPENDENCYPART_ARC
(4,18),-2.07078 # DEPENDENCYPART_ARC
(4,19),-2.15192 # DEPENDENCYPART_ARC
(4,20),-0.842472 # DEPENDENCYPART_ARC
(5,1),0.296325 # DEPENDENCYPART_ARC
(5,2),4.85873 # DEPENDENCYPART_ARC
(5,3),4.6631 # DEPENDENCYPART_ARC
(5,4),4.11474 # DEPENDENCYPART_ARC
(5,6),2.67247 # DEPENDENCYPART_ARC
(5,7),0.63485 # DEPENDENCYPART_ARC
(5,8),0.584131 # DEPENDENCYPART_ARC
(5,9),0.387336 # DEPENDENCYPART_ARC
(5,10),0.31363 # DEPENDENCYPART_ARC
(5,11),-1.17522 # DEPENDENCYPART_ARC
(5,12),-0.77501 # DEPENDENCYPART_ARC
(5,13),-0.866506 # DEPENDENCYPART_ARC
(5,14),-0.239027 # DEPENDENCYPART_ARC
(5,15),-0.109893 # DEPENDENCYPART_ARC
(5,16),-1.74056 # DEPENDENCYPART_ARC
(5,17),-1.28537 # DEPENDENCYPART_ARC
(5,18),-0.786743 # DEPENDENCYPART_ARC
(5,19),-1.20051 # DEPENDENCYPART_ARC
(5,20),-0.37963 # DEPENDENCYPART_ARC
(6,1),-1.28729 # DEPENDENCYPART_ARC
(6,2),-0.798996 # DEPENDENCYPART_ARC
(6,3),-0.713513 # DEPENDENCYPART_ARC
(6,4),-0.33879 # DEPENDENCYPART_ARC
(6,5),0.443461 # DEPENDENCYPART_ARC
(6,7),2.91568 # DEPENDENCYPART_ARC
(6,8),-0.0861073 # DEPENDENCYPART_ARC
(6,9),-0.373743 # DEPENDENCYPART_ARC
(6,10),-0.677992 # DEPENDENCYPART_ARC
(6,11),-0.92609 # DEPENDENCYPART_ARC
(6,12),-1.48257 # DEPENDENCYPART_ARC
(6,13),-0.0419411 # DEPENDENCYPART_ARC
(6,14),-0.380829 # DEPENDENCYPART_ARC
(6,15),-2.8432 # DEPENDENCYPART_ARC
(6,16),-3.40983 # DEPENDENCYPART_ARC
(6,17),-1.10656 # DEPENDENCYPART_ARC
(6,18),-3.67136 # DEPENDENCYPART_ARC
(6,19),-4.4405 # DEPENDENCYPART_ARC
(6,20),0.228644 # DEPENDENCYPART_ARC
(7,1),-2.15389 # DEPENDENCYPART_ARC
(7,2),0.832312 # DEPENDENCYPART_ARC
(7,3),0.0166094 # DEPENDENCYPART_ARC
(7,4),-0.115329 # DEPENDENCYPART_ARC
(7,5),-0.143702 # DEPENDENCYPART_ARC
(7,6),0.422118 # DEPENDENCYPART_ARC
(7,8),1.14301 # DEPENDENCYPART_ARC
(7,9),0.869693 # DEPENDENCYPART_ARC
(7,10),1.32911 # DEPENDENCYPART_ARC
(7,11),0.138819 # DEPENDENCYPART_ARC
(7,12),-0.0691761 # DEPENDENCYPART_ARC
(7,13),0.139475 # DEPENDENCYPART_ARC
(7,14),0.759541 # DEPENDENCYPART_ARC
