# _root_ Jack W. Forrest , Environmental Systems president and chief executive officer , said the change increases the company 's effective tax rate to about 35 % from 20 % .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
(0,1),-6.17837 # DEPENDENCYPART_ARC
(0,2),-6.0244 # DEPENDENCYPART_ARC
(0,3),-6.89428 # DEPENDENCYPART_ARC
(0,4),-7.09652 # DEPENDENCYPART_ARC
(0,5),-7.95048 # DEPENDENCYPART_ARC
(0,6),-7.11437 # DEPENDENCYPART_ARC
(0,7),-8.8689 # DEPENDENCYPART_ARC
(0,8),-8.11377 # DEPENDENCYPART_ARC
(0,9),-6.49737 # DEPENDENCYPART_ARC
(0,10),-6.36926 # DEPENDENCYPART_ARC
(0,11),-8.73788 # DEPENDENCYPART_ARC
(0,12),-8.01667 # DEPENDENCYPART_ARC
(0,13),-0.170154 # DEPENDENCYPART_ARC
(0,14),-8.62716 # DEPENDENCYPART_ARC
(0,15),-9.30183 # DEPENDENCYPART_ARC
(0,16),-3.55127 # DEPENDENCYPART_ARC
(0,17),-9.03617 # DEPENDENCYPART_ARC
(0,18),-8.70008 # DEPENDENCYPART_ARC
(0,19),-11.3676 # DEPENDENCYPART_ARC
(0,20),-6.57494 # DEPENDENCYPART_ARC
(0,21),-9.13776 # DEPENDENCYPART_ARC
(0,22),-9.30974 # DEPENDENCYPART_ARC
(0,23),-9.03236 # DEPENDENCYPART_ARC
(0,24),-9.25839 # DEPENDENCYPART_ARC
(0,25),-9.95536 # DEPENDENCYPART_ARC
(0,26),-11.43 # DEPENDENCYPART_ARC
(0,27),-11.0487 # DEPENDENCYPART_ARC
(0,28),-10.455 # DEPENDENCYPART_ARC
(0,29),-11.4066 # DEPENDENCYPART_ARC
(0,30),-6.68747 # DEPENDENCYPART_ARC
(1,2),0.0761682 # DEPENDENCYPART_ARC
(1,3),0.64294 # DEPENDENCYPART_ARC
(1,4),0.911478 # DEPENDENCYPART_ARC
(1,5),-0.288956 # DEPENDENCYPART_ARC
(1,6),-1.21218 # DEPENDENCYPART_ARC
(1,7),-0.498476 # DEPENDENCYPART_ARC
(1,8),-1.60952 # DEPENDENCYPART_ARC
(1,9),-1.47164 # DEPENDENCYPART_ARC
(1,10),-1.71319 # DEPENDENCYPART_ARC
(1,11),-0.244385 # DEPENDENCYPART_ARC
(1,12),0.790052 # DEPENDENCYPART_ARC
(1,13),-2.12574 # DEPENDENCYPART_ARC
(1,14),-1.92239 # DEPENDENCYPART_ARC
(1,15),-3.24493 # DEPENDENCYPART_ARC
(1,16),-2.47535 # DEPENDENCYPART_ARC
(1,17),-2.12983 # DEPENDENCYPART_ARC
(1,18),-3.34086 # DEPENDENCYPART_ARC
(1,19),-4.34673 # DEPENDENCYPART_ARC
(1,20),-2.94867 # DEPENDENCYPART_ARC
(1,21),-4.59526 # DEPENDENCYPART_ARC
(1,22),-4.92932 # DEPENDENCYPART_ARC
(1,23),-3.21855 # DEPENDENCYPART_ARC
(1,24),-4.01837 # DEPENDENCYPART_ARC
(1,25),-4.22875 # DEPENDENCYPART_ARC
(1,26),-5.97873 # DEPENDENCYPART_ARC
(1,27),-5.15135 # DEPENDENCYPART_ARC
(1,28),-5.19693 # DEPENDENCYPART_ARC
(1,29),-7.19861 # DEPENDENCYPART_ARC
(1,30),-1.48118 # DEPENDENCYPART_ARC
(2,1),3.00111 # DEPENDENCYPART_ARC
(2,3),2.07106 # DEPENDENCYPART_ARC
(2,4),1.64827 # DEPENDENCYPART_ARC
(2,5),0.941523 # DEPENDENCYPART_ARC
(2,6),-0.141926 # DEPENDENCYPART_ARC
(2,7),0.599878 # DEPENDENCYPART_ARC
(2,8),-0.467642 # DEPENDENCYPART_ARC
(2,9),-0.539485 # DEPENDENCYPART_ARC
(2,10),-0.746431 # DEPENDENCYPART_ARC
(2,11),0.623041 # DEPENDENCYPART_ARC
(2,12),1.47134 # DEPENDENCYPART_ARC
(2,13),-1.40956 # DEPENDENCYPART_ARC
(2,14),-1.15103 # DEPENDENCYPART_ARC
(2,15),-2.70548 # DEPENDENCYPART_ARC
(2,16),-1.03752 # DEPENDENCYPART_ARC
(2,17),-1.3155 # DEPENDENCYPART_ARC
