# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
(0,1),-6.48142 # DEPENDENCYPART_ARC
(0,2),-6.64731 # DEPENDENCYPART_ARC
(0,3),-5.50832 # DEPENDENCYPART_ARC
(0,4),-6.58139 # DEPENDENCYPART_ARC
(0,5),-6.42404 # DEPENDENCYPART_ARC
(0,6),-5.83975 # DEPENDENCYPART_ARC
(0,7),-3.27147 # DEPENDENCYPART_ARC
(0,8),-5.67744 # DEPENDENCYPART_ARC
(0,9),-7.06164 # DEPENDENCYPART_ARC
(0,10),-6.48621 # DEPENDENCYPART_ARC
(0,11),-7.56193 # DEPENDENCYPART_ARC
(0,12),-6.01808 # DEPENDENCYPART_ARC
(0,13),-7.50884 # DEPENDENCYPART_ARC
(0,14),-7.43647 # DEPENDENCYPART_ARC
(0,15),-6.77625 # DEPENDENCYPART_ARC
(0,16),-7.81983 # DEPENDENCYPART_ARC
(0,17),-6.2888 # DEPENDENCYPART_ARC
(0,18),-7.48334 # DEPENDENCYPART_ARC
(0,19),-8.76822 # DEPENDENCYPART_ARC
(0,20),-6.62507 # DEPENDENCYPART_ARC
(0,21),-6.45843 # DEPENDENCYPART_ARC
(0,22),-8.604 # DEPENDENCYPART_ARC
(0,23),-6.8132 # DEPENDENCYPART_ARC
(0,24),-6.25761 # DEPENDENCYPART_ARC
(1,2),0.808061 # DEPENDENCYPART_ARC
(1,3),3.78357 # DEPENDENCYPART_ARC
(1,4),0.962245 # DEPENDENCYPART_ARC
(1,5),0.118403 # DEPENDENCYPART_ARC
(1,6),0.32413 # DEPENDENCYPART_ARC
(1,7),1.96678 # DEPENDENCYPART_ARC
(1,8),-3.92025 # DEPENDENCYPART_ARC
(1,9),-0.430175 # DEPENDENCYPART_ARC
(1,10),-1.20937 # DEPENDENCYPART_ARC
(1,11),0.521419 # DEPENDENCYPART_ARC
(1,12),-1.74689 # DEPENDENCYPART_ARC
(1,13),0.13247 # DEPENDENCYPART_ARC
(1,14),0.585051 # DEPENDENCYPART_ARC
(1,15),-0.904122 # DEPENDENCYPART_ARC
(1,16),-0.650492 # DEPENDENCYPART_ARC
(1,17),-1.8562 # DEPENDENCYPART_ARC
(1,18),-1.07323 # DEPENDENCYPART_ARC
(1,19),-3.45139 # DEPENDENCYPART_ARC
(1,20),-6.17886 # DEPENDENCYPART_ARC
(1,21),-4.72971 # DEPENDENCYPART_ARC
(1,22),-1.88701 # DEPENDENCYPART_ARC
(1,23),-7.43124 # DEPENDENCYPART_ARC
(1,24),0.590024 # DEPENDENCYPART_ARC
(2,1),-0.350452 # DEPENDENCYPART_ARC
(2,3),-0.493907 # DEPENDENCYPART_ARC
(2,4),-2.01507 # DEPENDENCYPART_ARC
(2,5),-1.99338 # DEPENDENCYPART_ARC
(2,6),-2.43003 # DEPENDENCYPART_ARC
(2,7),-2.28632 # DEPENDENCYPART_ARC
(2,8),-2.40425 # DEPENDENCYPART_ARC
(2,9),-3.26568 # DEPENDENCYPART_ARC
(2,10),-2.96515 # DEPENDENCYPART_ARC
