# _root_ `` The MMI has gone better , '' shouted one trader at about 3:15 London time , as the U.S. Major Markets Index contract suddenly indicated a turnabout .
#goldHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,16,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
#predictedHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,13,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74366 # DEPENDENCYPART_ARC
(0,3),-5.48367 # DEPENDENCYPART_ARC
(0,4),-3.39158 # DEPENDENCYPART_ARC
(0,5),-5.13956 # DEPENDENCYPART_ARC
(0,6),-5.91304 # DEPENDENCYPART_ARC
(0,7),-6.51434 # DEPENDENCYPART_ARC
(0,8),-6.36075 # DEPENDENCYPART_ARC
(0,9),-1.78044 # DEPENDENCYPART_ARC
(0,10),-8.05303 # DEPENDENCYPART_ARC
(0,11),-6.58679 # DEPENDENCYPART_ARC
(0,12),-7.97434 # DEPENDENCYPART_ARC
(0,13),-7.19024 # DEPENDENCYPART_ARC
(0,14),-8.3622 # DEPENDENCYPART_ARC
(0,15),-7.70932 # DEPENDENCYPART_ARC
(0,16),-7.01709 # DEPENDENCYPART_ARC
(0,17),-7.94405 # DEPENDENCYPART_ARC
(0,18),-7.60855 # DEPENDENCYPART_ARC
(0,19),-8.74267 # DEPENDENCYPART_ARC
(0,20),-8.74198 # DEPENDENCYPART_ARC
(0,21),-7.80519 # DEPENDENCYPART_ARC
(0,22),-8.60632 # DEPENDENCYPART_ARC
(0,23),-8.76228 # DEPENDENCYPART_ARC
(0,24),-8.82845 # DEPENDENCYPART_ARC
(0,25),-8.57072 # DEPENDENCYPART_ARC
(0,26),-1.45825 # DEPENDENCYPART_ARC
(0,27),-9.34926 # DEPENDENCYPART_ARC
(0,28),-8.51341 # DEPENDENCYPART_ARC
(0,29),-5.36346 # DEPENDENCYPART_ARC
(1,2),-1.77795 # DEPENDENCYPART_ARC
(1,3),-1.73483 # DEPENDENCYPART_ARC
(1,4),-1.89007 # DEPENDENCYPART_ARC
(1,5),-2.25105 # DEPENDENCYPART_ARC
(1,6),-2.39025 # DEPENDENCYPART_ARC
(1,7),-1.93502 # DEPENDENCYPART_ARC
(1,8),-1.40232 # DEPENDENCYPART_ARC
(1,9),-2.67429 # DEPENDENCYPART_ARC
(1,10),-3.39077 # DEPENDENCYPART_ARC
(1,11),-3.32333 # DEPENDENCYPART_ARC
(1,12),-3.17008 # DEPENDENCYPART_ARC
(1,13),-3.13116 # DEPENDENCYPART_ARC
(1,14),-3.7507 # DEPENDENCYPART_ARC
(1,15),-3.66754 # DEPENDENCYPART_ARC
(1,16),-3.52859 # DEPENDENCYPART_ARC
(1,17),-2.96313 # DEPENDENCYPART_ARC
(1,18),-3.67761 # DEPENDENCYPART_ARC
(1,19),-4.36995 # DEPENDENCYPART_ARC
(1,20),-4.18569 # DEPENDENCYPART_ARC
(1,21),-4.24602 # DEPENDENCYPART_ARC
(1,22),-4.32802 # DEPENDENCYPART_ARC
(1,23),-4.48562 # DEPENDENCYPART_ARC
(1,24),-4.22784 # DEPENDENCYPART_ARC
(1,25),-4.33622 # DEPENDENCYPART_ARC
(1,26),-4.24978 # DEPENDENCYPART_ARC
(1,27),-5.19758 # DEPENDENCYPART_ARC
(1,28),-4.63582 # DEPENDENCYPART_ARC
(1,29),-3.83941 # DEPENDENCYPART_ARC
(2,1),-1.0103 # DEPENDENCYPART_ARC
(2,3),-0.237893 # DEPENDENCYPART_ARC
(2,4),0.509054 # DEPENDENCYPART_ARC
(2,5),-0.55031 # DEPENDENCYPART_ARC
(2,6),-0.97096 # DEPENDENCYPART_ARC
(2,7),-0.725388 # DEPENDENCYPART_ARC
(2,8),-0.933001 # DEPENDENCYPART_ARC
(2,9),-0.791881 # DEPENDENCYPART_ARC
(2,10),-1.77202 # DEPENDENCYPART_ARC
(2,11),-1.69639 # DEPENDENCYPART_ARC
(2,12),-1.96278 # DEPENDENCYPART_ARC
(2,13),-1.97171 # DEPENDENCYPART_ARC
(2,14),-1.97676 # DEPENDENCYPART_ARC
(2,15),-2.5669 # DEPENDENCYPART_ARC
(2,16),-2.35884 # DEPENDENCYPART_ARC
(2,17),-1.54163 # DEPENDENCYPART_ARC
(2,18),-2.42552 # DEPENDENCYPART_ARC
(2,19),-3.24146 # DEPENDENCYPART_ARC
(2,20),-3.21502 # DEPENDENCYPART_ARC
(2,21),-3.07584 # DEPENDENCYPART_ARC
(2,22),-3.08724 # DEPENDENCYPART_ARC
(2,23),-3.2239 # DEPENDENCYPART_ARC
(2,24),-3.13657 # DEPENDENCYPART_ARC
(2,25),-3.15836 # DEPENDENCYPART_ARC
(2,26),-4.48001 # DEPENDENCYPART_ARC
(2,27),-4.07634 # DEPENDENCYPART_ARC
(2,28),-3.63529 # DEPENDENCYPART_ARC
(2,29),-3.01502 # DEPENDENCYPART_ARC
(3,1),1.16061 # DEPENDENCYPART_ARC
(3,2),4.42681 # DEPENDENCYPART_ARC
(3,4),0.954795 # DEPENDENCYPART_ARC
(3,5),0.25015 # DEPENDENCYPART_ARC
(3,6),-0.355489 # DEPENDENCYPART_ARC
(3,7),0.052944 # DEPENDENCYPART_ARC
(3,8),-0.15825 # DEPENDENCYPART_ARC
(3,9),-0.276355 # DEPENDENCYPART_ARC
(3,10),-1.37579 # DEPENDENCYPART_ARC
(3,11),-2.06336 # DEPENDENCYPART_ARC
(3,12),-1.67336 # DEPENDENCYPART_ARC
(3,13),-1.10607 # DEPENDENCYPART_ARC
(3,14),-1.84511 # DEPENDENCYPART_ARC
(3,15),-2.33478 # DEPENDENCYPART_ARC
(3,16),-3.87788 # DEPENDENCYPART_ARC
(3,17),-1.36723 # DEPENDENCYPART_ARC
(3,18),-1.78015 # DEPENDENCYPART_ARC
(3,19),-1.93607 # DEPENDENCYPART_ARC
(3,20),-3.28451 # DEPENDENCYPART_ARC
(3,21),-3.39666 # DEPENDENCYPART_ARC
(3,22),-3.32047 # DEPENDENCYPART_ARC
(3,23),-4.07648 # DEPENDENCYPART_ARC
(3,24),-5.20336 # DEPENDENCYPART_ARC
(3,25),-2.4758 # DEPENDENCYPART_ARC
(3,26),-2.41652 # DEPENDENCYPART_ARC
(3,27),-2.54316 # DEPENDENCYPART_ARC
(3,28),-6.23063 # DEPENDENCYPART_ARC
(3,29),-0.642517 # DEPENDENCYPART_ARC
(4,1),2.28541 # DEPENDENCYPART_ARC
(4,2),0.211627 # DEPENDENCYPART_ARC
(4,3),2.99462 # DEPENDENCYPART_ARC
(4,5),4.11884 # DEPENDENCYPART_ARC
(4,6),0.884104 # DEPENDENCYPART_ARC
(4,7),1.44531 # DEPENDENCYPART_ARC
(4,8),0.909473 # DEPENDENCYPART_ARC
(4,9),0.756626 # DEPENDENCYPART_ARC
(4,10),-0.9456 # DEPENDENCYPART_ARC
(4,11),-1.0372 # DEPENDENCYPART_ARC
(4,12),-0.365705 # DEPENDENCYPART_ARC
(4,13),-2.05599 # DEPENDENCYPART_ARC
(4,14),-0.978029 # DEPENDENCYPART_ARC
(4,15),-2.37645 # DEPENDENCYPART_ARC
(4,16),-1.19555 # DEPENDENCYPART_ARC
(4,17),0.635769 # DEPENDENCYPART_ARC
(4,18),-1.21408 # DEPENDENCYPART_ARC
(4,19),-2.46566 # DEPENDENCYPART_ARC
(4,20),-3.83814 # DEPENDENCYPART_ARC
(4,21),-3.80529 # DEPENDENCYPART_ARC
(4,22),-3.85227 # DEPENDENCYPART_ARC
(4,23),-3.39273 # DEPENDENCYPART_ARC
(4,24),-3.20949 # DEPENDENCYPART_ARC
(4,25),-1.69433 # DEPENDENCYPART_ARC
(4,26),-0.358496 # DEPENDENCYPART_ARC
(4,27),-2.39674 # DEPENDENCYPART_ARC
(4,28),-3.1243 # DEPENDENCYPART_ARC
(4,29),4.1743 # DEPENDENCYPART_ARC
(5,1),0.386215 # DEPENDENCYPART_ARC
(5,2),1.03985 # DEPENDENCYPART_ARC
(5,3),0.551251 # DEPENDENCYPART_ARC
(5,4),0.821584 # DEPENDENCYPART_ARC
(5,6),2.16954 # DEPENDENCYPART_ARC
(5,7),1.01215 # DEPENDENCYPART_ARC
(5,8),1.4629 # DEPENDENCYPART_ARC
(5,9),0.888799 # DEPENDENCYPART_ARC
(5,10),0.190606 # DEPENDENCYPART_ARC
(5,11),0.776946 # DEPENDENCYPART_ARC
(5,12),1.29365 # DEPENDENCYPART_ARC
(5,13),0.193575 # DEPENDENCYPART_ARC
(5,14),-0.287273 # DEPENDENCYPART_ARC
(5,15),-0.567308 # DEPENDENCYPART_ARC
(5,16),0.607749 # DEPENDENCYPART_ARC
(5,17),1.70147 # DEPENDENCYPART_ARC
(5,18),1.08774 # DEPENDENCYPART_ARC
(5,19),-1.19837 # DEPENDENCYPART_ARC
(5,20),-1.79393 # DEPENDENCYPART_ARC
(5,21),-1.73909 # DEPENDENCYPART_ARC
(5,22),-1.90736 # DEPENDENCYPART_ARC
(5,23),-1.72721 # DEPENDENCYPART_ARC
(5,24),-0.932398 # DEPENDENCYPART_ARC
(5,25),-0.55198 # DEPENDENCYPART_ARC
(5,26),-0.880478 # DEPENDENCYPART_ARC
(5,27),-1.73496 # DEPENDENCYPART_ARC
(5,28),-1.70657 # DEPENDENCYPART_ARC
(5,29),0.982033 # DEPENDENCYPART_ARC
(6,1),0.306593 # DEPENDENCYPART_ARC
(6,2),1.19456 # DEPENDENCYPART_ARC
(6,3),0.383794 # DEPENDENCYPART_ARC
(6,4),0.723126 # DEPENDENCYPART_ARC
(6,5),1.23128 # DEPENDENCYPART_ARC
(6,7),1.37786 # DEPENDENCYPART_ARC
(6,8),1.28608 # DEPENDENCYPART_ARC
(6,9),1.2984 # DEPENDENCYPART_ARC
(6,10),0.586995 # DEPENDENCYPART_ARC
(6,11),0.378403 # DEPENDENCYPART_ARC
(6,12),0.908395 # DEPENDENCYPART_ARC
(6,13),0.247193 # DEPENDENCYPART_ARC
(6,14),-0.216648 # DEPENDENCYPART_ARC
(6,15),-0.206155 # DEPENDENCYPART_ARC
(6,16),-0.469991 # DEPENDENCYPART_ARC
(6,17),-0.0344349 # DEPENDENCYPART_ARC
(6,18),-0.0506316 # DEPENDENCYPART_ARC
(6,19),-0.811734 # DEPENDENCYPART_ARC
(6,20),-0.72277 # DEPENDENCYPART_ARC
(6,21),-0.944695 # DEPENDENCYPART_ARC
(6,22),-1.08723 # DEPENDENCYPART_ARC
(6,23),-1.23296 # DEPENDENCYPART_ARC
(6,24),-1.31651 # DEPENDENCYPART_ARC
(6,25),-0.974604 # DEPENDENCYPART_ARC
(6,26),-0.480787 # DEPENDENCYPART_ARC
(6,27),-1.57013 # DEPENDENCYPART_ARC
(6,28),-1.87444 # DEPENDENCYPART_ARC
(6,29),1.29099 # DEPENDENCYPART_ARC
(7,1),-1.28524 # DEPENDENCYPART_ARC
(7,2),-1.13956 # DEPENDENCYPART_ARC
(7,3),-1.69049 # DEPENDENCYPART_ARC
(7,4),-1.14683 # DEPENDENCYPART_ARC
(7,5),-0.925631 # DEPENDENCYPART_ARC
(7,6),-0.162288 # DEPENDENCYPART_ARC
(7,8),0.668702 # DEPENDENCYPART_ARC
(7,9),0.261686 # DEPENDENCYPART_ARC
(7,10),-0.790432 # DEPENDENCYPART_ARC
(7,11),-1.00877 # DEPENDENCYPART_ARC
(7,12),-0.700046 # DEPENDENCYPART_ARC
(7,13),-1.07231 # DEPENDENCYPART_ARC
(7,14),-1.65764 # DEPENDENCYPART_ARC
(7,15),-1.45079 # DEPENDENCYPART_ARC
(7,16),-1.73054 # DEPENDENCYPART_ARC
(7,17),-0.00468554 # DEPENDENCYPART_ARC
(7,18),-1.08695 # DEPENDENCYPART_ARC
(7,19),-1.91748 # DEPENDENCYPART_ARC
(7,20),-1.9899 # DEPENDENCYPART_ARC
(7,21),-2.12542 # DEPENDENCYPART_ARC
(7,22),-2.20331 # DEPENDENCYPART_ARC
(7,23),-2.32153 # DEPENDENCYPART_ARC
(7,24),-2.57817 # DEPENDENCYPART_ARC
(7,25),-2.35327 # DEPENDENCYPART_ARC
(7,26),-2.05355 # DEPENDENCYPART_ARC
(7,27),-2.67952 # DEPENDENCYPART_ARC
(7,28),-3.02307 # DEPENDENCYPART_ARC
(7,29),-2.01377 # DEPENDENCYPART_ARC
(8,1),0.337542 # DEPENDENCYPART_ARC
(8,2),-0.581229 # DEPENDENCYPART_ARC
(8,3),-1.54149 # DEPENDENCYPART_ARC
(8,4),-0.9956 # DEPENDENCYPART_ARC
(8,5),-0.963927 # DEPENDENCYPART_ARC
(8,6),-0.3857 # DEPENDENCYPART_ARC
(8,7),0.368694 # DEPENDENCYPART_ARC
(8,9),0.10092 # DEPENDENCYPART_ARC
(8,10),-1.07459 # DEPENDENCYPART_ARC
(8,11),-1.21459 # DEPENDENCYPART_ARC
(8,12),-1.39232 # DEPENDENCYPART_ARC
(8,13),-1.79433 # DEPENDENCYPART_ARC
(8,14),-2.42066 # DEPENDENCYPART_ARC
(8,15),-2.28303 # DEPENDENCYPART_ARC
(8,16),-2.1745 # DEPENDENCYPART_ARC
(8,17),-1.51705 # DEPENDENCYPART_ARC
(8,18),-2.04014 # DEPENDENCYPART_ARC
(8,19),-2.71491 # DEPENDENCYPART_ARC
(8,20),-2.89816 # DEPENDENCYPART_ARC
(8,21),-3.00225 # DEPENDENCYPART_ARC
(8,22),-3.13921 # DEPENDENCYPART_ARC
(8,23),-3.20959 # DEPENDENCYPART_ARC
(8,24),-2.91232 # DEPENDENCYPART_ARC
(8,25),-3.01068 # DEPENDENCYPART_ARC
(8,26),-2.77286 # DEPENDENCYPART_ARC
