# _root_ `` There was a volatility in the market that I have never seen before , '' said Michel Vigier , a partner in brokerage firm Cholet Dupont .
#goldHeads=17,3,17,5,3,5,8,6,13,11,5,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
#predictedHeads=17,3,17,5,3,5,8,6,5,11,9,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-6.27057 # DEPENDENCYPART_ARC
(0,3),-3.2672 # DEPENDENCYPART_ARC
(0,4),-6.96498 # DEPENDENCYPART_ARC
(0,5),-6.45118 # DEPENDENCYPART_ARC
(0,6),-6.92406 # DEPENDENCYPART_ARC
(0,7),-7.37794 # DEPENDENCYPART_ARC
(0,8),-6.52956 # DEPENDENCYPART_ARC
(0,9),-6.56928 # DEPENDENCYPART_ARC
(0,10),-5.99453 # DEPENDENCYPART_ARC
(0,11),-4.41776 # DEPENDENCYPART_ARC
(0,12),-7.19395 # DEPENDENCYPART_ARC
(0,13),-6.13079 # DEPENDENCYPART_ARC
(0,14),-6.83277 # DEPENDENCYPART_ARC
(0,15),-7.70297 # DEPENDENCYPART_ARC
(0,16),-6.84653 # DEPENDENCYPART_ARC
(0,17),0.916109 # DEPENDENCYPART_ARC
(0,18),-6.76557 # DEPENDENCYPART_ARC
(0,19),-6.84203 # DEPENDENCYPART_ARC
(0,20),-8.33815 # DEPENDENCYPART_ARC
(0,21),-8.4865 # DEPENDENCYPART_ARC
(0,22),-6.68256 # DEPENDENCYPART_ARC
(0,23),-8.9943 # DEPENDENCYPART_ARC
(0,24),-6.65819 # DEPENDENCYPART_ARC
(0,25),-6.47758 # DEPENDENCYPART_ARC
(0,26),-7.84097 # DEPENDENCYPART_ARC
(0,27),-7.35832 # DEPENDENCYPART_ARC
(0,28),-5.26275 # DEPENDENCYPART_ARC
(1,2),-1.3785 # DEPENDENCYPART_ARC
(1,3),-1.5344 # DEPENDENCYPART_ARC
(1,4),-2.61318 # DEPENDENCYPART_ARC
(1,5),-2.60628 # DEPENDENCYPART_ARC
(1,6),-2.59271 # DEPENDENCYPART_ARC
(1,7),-2.99594 # DEPENDENCYPART_ARC
(1,8),-2.99404 # DEPENDENCYPART_ARC
(1,9),-2.79828 # DEPENDENCYPART_ARC
(1,10),-2.98706 # DEPENDENCYPART_ARC
(1,11),-3.32256 # DEPENDENCYPART_ARC
(1,12),-2.94238 # DEPENDENCYPART_ARC
(1,13),-3.04474 # DEPENDENCYPART_ARC
(1,14),-3.1594 # DEPENDENCYPART_ARC
(1,15),-2.74437 # DEPENDENCYPART_ARC
(1,16),-1.47509 # DEPENDENCYPART_ARC
(1,17),-3.39741 # DEPENDENCYPART_ARC
(1,18),-3.90838 # DEPENDENCYPART_ARC
(1,19),-4.04248 # DEPENDENCYPART_ARC
(1,20),-3.26252 # DEPENDENCYPART_ARC
(1,21),-4.47564 # DEPENDENCYPART_ARC
(1,22),-3.91267 # DEPENDENCYPART_ARC
(1,23),-4.35657 # DEPENDENCYPART_ARC
(1,24),-3.95476 # DEPENDENCYPART_ARC
(1,25),-3.92607 # DEPENDENCYPART_ARC
(1,26),-4.70591 # DEPENDENCYPART_ARC
(1,27),-4.92204 # DEPENDENCYPART_ARC
(1,28),-3.74906 # DEPENDENCYPART_ARC
(2,1),0.0729622 # DEPENDENCYPART_ARC
(2,3),0.317489 # DEPENDENCYPART_ARC
(2,4),-1.04453 # DEPENDENCYPART_ARC
(2,5),-0.926675 # DEPENDENCYPART_ARC
(2,6),-0.993963 # DEPENDENCYPART_ARC
(2,7),-1.91015 # DEPENDENCYPART_ARC
(2,8),-1.64126 # DEPENDENCYPART_ARC
(2,9),-1.35416 # DEPENDENCYPART_ARC
(2,10),-1.89061 # DEPENDENCYPART_ARC
(2,11),-1.67491 # DEPENDENCYPART_ARC
(2,12),-2.10156 # DEPENDENCYPART_ARC
(2,13),-1.96408 # DEPENDENCYPART_ARC
(2,14),-2.35788 # DEPENDENCYPART_ARC
(2,15),-1.79521 # DEPENDENCYPART_ARC
(2,16),-1.74079 # DEPENDENCYPART_ARC
(2,17),-2.19618 # DEPENDENCYPART_ARC
(2,18),-2.83342 # DEPENDENCYPART_ARC
(2,19),-2.94415 # DEPENDENCYPART_ARC
(2,20),-2.32739 # DEPENDENCYPART_ARC
(2,21),-3.34152 # DEPENDENCYPART_ARC
(2,22),-3.05638 # DEPENDENCYPART_ARC
(2,23),-2.86503 # DEPENDENCYPART_ARC
(2,24),-3.23946 # DEPENDENCYPART_ARC
(2,25),-3.34272 # DEPENDENCYPART_ARC
(2,26),-3.69085 # DEPENDENCYPART_ARC
(2,27),-3.75122 # DEPENDENCYPART_ARC
(2,28),-3.21678 # DEPENDENCYPART_ARC
(3,1),2.93271 # DEPENDENCYPART_ARC
(3,2),3.24755 # DEPENDENCYPART_ARC
(3,4),1.10292 # DEPENDENCYPART_ARC
(3,5),3.55579 # DEPENDENCYPART_ARC
(3,6),2.62303 # DEPENDENCYPART_ARC
(3,7),-0.493672 # DEPENDENCYPART_ARC
(3,8),1.72867 # DEPENDENCYPART_ARC
(3,9),-0.346224 # DEPENDENCYPART_ARC
(3,10),0.432519 # DEPENDENCYPART_ARC
(3,11),0.449409 # DEPENDENCYPART_ARC
(3,12),1.18182 # DEPENDENCYPART_ARC
(3,13),0.578145 # DEPENDENCYPART_ARC
(3,14),-0.0654198 # DEPENDENCYPART_ARC
(3,15),1.68794 # DEPENDENCYPART_ARC
(3,16),2.08102 # DEPENDENCYPART_ARC
(3,17),-0.046589 # DEPENDENCYPART_ARC
(3,18),-2.62145 # DEPENDENCYPART_ARC
(3,19),-2.01819 # DEPENDENCYPART_ARC
(3,20),0.0849617 # DEPENDENCYPART_ARC
