# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(0,1),-6.68413 # DEPENDENCYPART_ARC
(0,2),-6.90495 # DEPENDENCYPART_ARC
(0,3),-7.04421 # DEPENDENCYPART_ARC
(0,4),-7.53304 # DEPENDENCYPART_ARC
(0,5),-7.75661 # DEPENDENCYPART_ARC
(0,6),-6.77422 # DEPENDENCYPART_ARC
(0,7),-7.56184 # DEPENDENCYPART_ARC
(0,8),-7.21029 # DEPENDENCYPART_ARC
(0,9),-6.82776 # DEPENDENCYPART_ARC
(0,10),-7.91853 # DEPENDENCYPART_ARC
(0,11),-6.73509 # DEPENDENCYPART_ARC
(0,12),-6.8061 # DEPENDENCYPART_ARC
(0,13),-4.50402 # DEPENDENCYPART_ARC
(0,14),-7.57451 # DEPENDENCYPART_ARC
(0,15),-5.91192 # DEPENDENCYPART_ARC
(0,16),-3.09268 # DEPENDENCYPART_ARC
(0,17),-8.46847 # DEPENDENCYPART_ARC
(0,18),-9.1473 # DEPENDENCYPART_ARC
(0,19),-6.9754 # DEPENDENCYPART_ARC
(0,20),-8.69751 # DEPENDENCYPART_ARC
(0,21),-6.99386 # DEPENDENCYPART_ARC
(0,22),-8.94251 # DEPENDENCYPART_ARC
(0,23),-8.85801 # DEPENDENCYPART_ARC
(0,24),-7.51218 # DEPENDENCYPART_ARC
(0,25),0.243907 # DEPENDENCYPART_ARC
(0,26),-5.34544 # DEPENDENCYPART_ARC
(1,2),1.57705 # DEPENDENCYPART_ARC
(1,3),1.8097 # DEPENDENCYPART_ARC
(1,4),1.20045 # DEPENDENCYPART_ARC
(1,5),0.901791 # DEPENDENCYPART_ARC
(1,6),2.2133 # DEPENDENCYPART_ARC
(1,7),3.64009 # DEPENDENCYPART_ARC
(1,8),0.764534 # DEPENDENCYPART_ARC
(1,9),2.0328 # DEPENDENCYPART_ARC
(1,10),-0.561228 # DEPENDENCYPART_ARC
(1,11),1.16934 # DEPENDENCYPART_ARC
(1,12),0.169124 # DEPENDENCYPART_ARC
(1,13),0.507402 # DEPENDENCYPART_ARC
(1,14),0.693776 # DEPENDENCYPART_ARC
(1,15),-1.28384 # DEPENDENCYPART_ARC
(1,16),-0.0339763 # DEPENDENCYPART_ARC
(1,17),-0.691495 # DEPENDENCYPART_ARC
(1,18),-0.948482 # DEPENDENCYPART_ARC
(1,19),-1.48764 # DEPENDENCYPART_ARC
(1,20),-1.3145 # DEPENDENCYPART_ARC
(1,21),-1.58195 # DEPENDENCYPART_ARC
(1,22),-0.381777 # DEPENDENCYPART_ARC
(1,23),-2.44637 # DEPENDENCYPART_ARC
(1,24),-1.70971 # DEPENDENCYPART_ARC
(1,25),-1.48384 # DEPENDENCYPART_ARC
(1,26),2.42912 # DEPENDENCYPART_ARC
(2,1),-0.420765 # DEPENDENCYPART_ARC
(2,3),-0.885962 # DEPENDENCYPART_ARC
(2,4),0.0906849 # DEPENDENCYPART_ARC
(2,5),-0.183428 # DEPENDENCYPART_ARC
(2,6),-0.897947 # DEPENDENCYPART_ARC
(2,7),-0.723847 # DEPENDENCYPART_ARC
(2,8),-1.17999 # DEPENDENCYPART_ARC
(2,9),-0.852362 # DEPENDENCYPART_ARC
(2,10),-2.15868 # DEPENDENCYPART_ARC
(2,11),-1.81448 # DEPENDENCYPART_ARC
(2,12),-2.18403 # DEPENDENCYPART_ARC
(2,13),-1.76485 # DEPENDENCYPART_ARC
(2,14),-1.01333 # DEPENDENCYPART_ARC
(2,15),-2.2909 # DEPENDENCYPART_ARC
(2,16),-2.66327 # DEPENDENCYPART_ARC
(2,17),-2.48036 # DEPENDENCYPART_ARC
(2,18),-2.47168 # DEPENDENCYPART_ARC
(2,19),-2.6008 # DEPENDENCYPART_ARC
(2,20),-3.40854 # DEPENDENCYPART_ARC
(2,21),-2.76035 # DEPENDENCYPART_ARC
(2,22),-1.53134 # DEPENDENCYPART_ARC
(2,23),-3.34867 # DEPENDENCYPART_ARC
(2,24),-3.49013 # DEPENDENCYPART_ARC
(2,25),-4.29196 # DEPENDENCYPART_ARC
(2,26),-1.77373 # DEPENDENCYPART_ARC
(3,1),0.37011 # DEPENDENCYPART_ARC
(3,2),2.66985 # DEPENDENCYPART_ARC
(3,4),5.34315 # DEPENDENCYPART_ARC
(3,5),5.36083 # DEPENDENCYPART_ARC
(3,6),1.1845 # DEPENDENCYPART_ARC
(3,7),0.95111 # DEPENDENCYPART_ARC
(3,8),0.484372 # DEPENDENCYPART_ARC
(3,9),0.473144 # DEPENDENCYPART_ARC
(3,10),0.00361621 # DEPENDENCYPART_ARC
(3,11),-0.472964 # DEPENDENCYPART_ARC
(3,12),-0.558539 # DEPENDENCYPART_ARC
(3,13),0.9705 # DEPENDENCYPART_ARC
(3,14),-1.04515 # DEPENDENCYPART_ARC
(3,15),-1.12794 # DEPENDENCYPART_ARC
(3,16),-0.0435119 # DEPENDENCYPART_ARC
(3,17),-0.581662 # DEPENDENCYPART_ARC
