# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,15,27,27,24,14,
(0,1),-5.93931 # DEPENDENCYPART_ARC
(0,2),-6.32445 # DEPENDENCYPART_ARC
(0,3),-6.92362 # DEPENDENCYPART_ARC
(0,4),-5.77565 # DEPENDENCYPART_ARC
(0,5),-5.57483 # DEPENDENCYPART_ARC
(0,6),-6.51878 # DEPENDENCYPART_ARC
(0,7),-6.98092 # DEPENDENCYPART_ARC
(0,8),-7.40734 # DEPENDENCYPART_ARC
(0,9),-7.81404 # DEPENDENCYPART_ARC
(0,10),-8.14914 # DEPENDENCYPART_ARC
(0,11),-7.18873 # DEPENDENCYPART_ARC
(0,12),-6.63545 # DEPENDENCYPART_ARC
(0,13),-7.77085 # DEPENDENCYPART_ARC
(0,14),-1.78603 # DEPENDENCYPART_ARC
(0,15),-3.73664 # DEPENDENCYPART_ARC
(0,16),-7.57175 # DEPENDENCYPART_ARC
(0,17),-8.42213 # DEPENDENCYPART_ARC
(0,18),-6.37261 # DEPENDENCYPART_ARC
(0,19),-8.54788 # DEPENDENCYPART_ARC
(0,20),-9.01928 # DEPENDENCYPART_ARC
(0,21),-7.1928 # DEPENDENCYPART_ARC
(0,22),-8.86297 # DEPENDENCYPART_ARC
(0,23),-6.79958 # DEPENDENCYPART_ARC
(0,24),-8.40278 # DEPENDENCYPART_ARC
(0,25),-9.67604 # DEPENDENCYPART_ARC
(0,26),-8.30218 # DEPENDENCYPART_ARC
(0,27),-9.02676 # DEPENDENCYPART_ARC
(0,28),-6.7918 # DEPENDENCYPART_ARC
(1,2),1.02506 # DEPENDENCYPART_ARC
(1,3),-0.182037 # DEPENDENCYPART_ARC
(1,4),-0.516683 # DEPENDENCYPART_ARC
(1,5),-0.683395 # DEPENDENCYPART_ARC
(1,6),-0.896286 # DEPENDENCYPART_ARC
(1,7),-0.5906 # DEPENDENCYPART_ARC
(1,8),-1.43448 # DEPENDENCYPART_ARC
(1,9),-0.909063 # DEPENDENCYPART_ARC
(1,10),-1.63438 # DEPENDENCYPART_ARC
(1,11),-1.75997 # DEPENDENCYPART_ARC
(1,12),-1.85534 # DEPENDENCYPART_ARC
