# _root_ The program traders were in there , too , of course .
#goldHeads=3,3,4,0,4,5,4,4,4,4,10,4,
#predictedHeads=3,3,4,0,4,4,4,4,4,4,10,4,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.06871 # DEPENDENCYPART_ARC
(0,3),-5.57013 # DEPENDENCYPART_ARC
(0,4),-2.45149 # DEPENDENCYPART_ARC
(0,5),-7.17595 # DEPENDENCYPART_ARC
(0,6),-6.42398 # DEPENDENCYPART_ARC
(0,7),-6.8173 # DEPENDENCYPART_ARC
(0,8),-6.54218 # DEPENDENCYPART_ARC
(0,9),-7.13061 # DEPENDENCYPART_ARC
(0,10),-6.41136 # DEPENDENCYPART_ARC
(0,11),-5.88925 # DEPENDENCYPART_ARC
(0,12),-5.94045 # DEPENDENCYPART_ARC
(1,2),-0.160823 # DEPENDENCYPART_ARC
(1,3),-1.04375 # DEPENDENCYPART_ARC
(1,4),-0.572786 # DEPENDENCYPART_ARC
(1,5),-1.80982 # DEPENDENCYPART_ARC
(1,6),-1.88051 # DEPENDENCYPART_ARC
(1,7),-1.22534 # DEPENDENCYPART_ARC
(1,8),-1.88927 # DEPENDENCYPART_ARC
(1,9),-1.56633 # DEPENDENCYPART_ARC
(1,10),-2.06333 # DEPENDENCYPART_ARC
(1,11),-2.38312 # DEPENDENCYPART_ARC
(1,12),-1.60709 # DEPENDENCYPART_ARC
(2,1),2.46879 # DEPENDENCYPART_ARC
(2,3),1.25609 # DEPENDENCYPART_ARC
(2,4),1.19087 # DEPENDENCYPART_ARC
(2,5),-0.207021 # DEPENDENCYPART_ARC
(2,6),0.112206 # DEPENDENCYPART_ARC
(2,7),-0.00725337 # DEPENDENCYPART_ARC
(2,8),-0.552508 # DEPENDENCYPART_ARC
(2,9),-0.108343 # DEPENDENCYPART_ARC
(2,10),-1.05375 # DEPENDENCYPART_ARC
(2,11),-1.05497 # DEPENDENCYPART_ARC
(2,12),0.25737 # DEPENDENCYPART_ARC
(3,1),3.464 # DEPENDENCYPART_ARC
(3,2),3.15916 # DEPENDENCYPART_ARC
(3,4),0.935845 # DEPENDENCYPART_ARC
(3,5),-0.473065 # DEPENDENCYPART_ARC
(3,6),0.656573 # DEPENDENCYPART_ARC
(3,7),-0.0134125 # DEPENDENCYPART_ARC
(3,8),-0.995206 # DEPENDENCYPART_ARC
(3,9),-0.180384 # DEPENDENCYPART_ARC
(3,10),-1.9946 # DEPENDENCYPART_ARC
(3,11),-1.26879 # DEPENDENCYPART_ARC
(3,12),0.191948 # DEPENDENCYPART_ARC
(4,1),1.08095 # DEPENDENCYPART_ARC
(4,2),1.15359 # DEPENDENCYPART_ARC
(4,3),3.45973 # DEPENDENCYPART_ARC
(4,5),3.02225 # DEPENDENCYPART_ARC
(4,6),2.80987 # DEPENDENCYPART_ARC
(4,7),2.89148 # DEPENDENCYPART_ARC
(4,8),1.79462 # DEPENDENCYPART_ARC
(4,9),2.65897 # DEPENDENCYPART_ARC
(4,10),1.08803 # DEPENDENCYPART_ARC
(4,11),-0.0892828 # DEPENDENCYPART_ARC
