# _root_ Στο ένα κράτος μπορεί κανείς να οδηγεί με 90 χιλιόμετρα την ώρα , στο άλλο με 100 χιλιόμετρα την ώρα , ενώ στο επόμενο κράτος μέλος μόλις με 80 χιλιόμετρα την ώρα .
#goldHeads=4,3,1,22,4,7,4,7,10,8,12,10,22,22,14,22,18,16,20,18,22,0,22,25,23,25,28,22,30,28,32,30,0,
#predictedHeads=4,3,1,22,4,7,22,7,10,8,12,7,22,22,14,22,18,16,20,18,22,0,22,26,26,23,25,27,30,28,32,30,0,
(0,1),-0.663278 # DEPENDENCYPART_ARC
(0,2),-0.833264 # DEPENDENCYPART_ARC
(0,3),-0.391456 # DEPENDENCYPART_ARC
(0,4),1.44567 # DEPENDENCYPART_ARC
(0,5),-1.57671 # DEPENDENCYPART_ARC
(0,6),-1.07866 # DEPENDENCYPART_ARC
(0,7),-0.180169 # DEPENDENCYPART_ARC
(0,8),-1.672 # DEPENDENCYPART_ARC
(0,9),-1.20845 # DEPENDENCYPART_ARC
(0,10),-1.37289 # DEPENDENCYPART_ARC
(0,11),-1.64329 # DEPENDENCYPART_ARC
(0,12),-1.52302 # DEPENDENCYPART_ARC
(0,13),-0.531814 # DEPENDENCYPART_ARC
(0,14),-1.7736 # DEPENDENCYPART_ARC
(0,15),-1.69894 # DEPENDENCYPART_ARC
(0,16),-2.16944 # DEPENDENCYPART_ARC
(0,17),-1.34703 # DEPENDENCYPART_ARC
(0,18),-1.53332 # DEPENDENCYPART_ARC
(0,19),-1.80303 # DEPENDENCYPART_ARC
(0,20),-1.72376 # DEPENDENCYPART_ARC
(0,21),-0.995526 # DEPENDENCYPART_ARC
(0,22),1.60157 # DEPENDENCYPART_ARC
(0,23),-2.33934 # DEPENDENCYPART_ARC
(0,24),-1.92973 # DEPENDENCYPART_ARC
(0,25),-1.99551 # DEPENDENCYPART_ARC
(0,26),-1.92609 # DEPENDENCYPART_ARC
(0,27),-1.36637 # DEPENDENCYPART_ARC
(0,28),-2.6458 # DEPENDENCYPART_ARC
(0,29),-1.68007 # DEPENDENCYPART_ARC
(0,30),-1.93629 # DEPENDENCYPART_ARC
(0,31),-2.34718 # DEPENDENCYPART_ARC
(0,32),-2.31544 # DEPENDENCYPART_ARC
(0,33),4.014 # DEPENDENCYPART_ARC
(1,2),1.14482 # DEPENDENCYPART_ARC
(1,3),2.98351 # DEPENDENCYPART_ARC
(1,4),-1.55529 # DEPENDENCYPART_ARC
(1,5),-0.389493 # DEPENDENCYPART_ARC
(1,6),-1.20315 # DEPENDENCYPART_ARC
(1,7),-2.63124 # DEPENDENCYPART_ARC
(1,8),-1.23487 # DEPENDENCYPART_ARC
(1,9),-1.1132 # DEPENDENCYPART_ARC
(1,10),-1.5384 # DEPENDENCYPART_ARC
(1,11),-1.10698 # DEPENDENCYPART_ARC
(1,12),-2.32474 # DEPENDENCYPART_ARC
(1,13),-0.938633 # DEPENDENCYPART_ARC
(1,14),-1.46811 # DEPENDENCYPART_ARC
(1,15),-1.24665 # DEPENDENCYPART_ARC
