# _root_ Επίσης , η περιοχή έχει χαρακτηριστεί μόνιμο καταφύγιο άγριων ζώων , ενώ ανάλογης ποικιλότητας και σημασίας είναι και η πανίδα της .
#goldHeads=12,12,4,6,6,12,8,6,10,8,12,0,15,15,17,15,12,20,20,17,20,0,
#predictedHeads=6,6,4,6,6,12,8,6,10,8,12,0,14,15,17,15,12,17,20,17,20,0,
(0,1),-0.166188 # DEPENDENCYPART_ARC
(0,2),-0.231654 # DEPENDENCYPART_ARC
(0,4),-0.485025 # DEPENDENCYPART_ARC
(0,5),0.698219 # DEPENDENCYPART_ARC
(0,6),-0.175015 # DEPENDENCYPART_ARC
(0,7),-1.52183 # DEPENDENCYPART_ARC
(0,8),-1.44228 # DEPENDENCYPART_ARC
(0,9),-1.60785 # DEPENDENCYPART_ARC
(0,10),-1.71331 # DEPENDENCYPART_ARC
(0,11),-0.367565 # DEPENDENCYPART_ARC
(0,12),1.14702 # DEPENDENCYPART_ARC
(0,13),-1.61542 # DEPENDENCYPART_ARC
(0,14),-1.71516 # DEPENDENCYPART_ARC
(0,15),-0.743182 # DEPENDENCYPART_ARC
(0,16),-1.97847 # DEPENDENCYPART_ARC
(0,17),0.268228 # DEPENDENCYPART_ARC
(0,18),-0.876345 # DEPENDENCYPART_ARC
(0,20),-1.90119 # DEPENDENCYPART_ARC
(0,22),3.69135 # DEPENDENCYPART_ARC
(1,2),0.29016 # DEPENDENCYPART_ARC
(1,3),-0.667257 # DEPENDENCYPART_ARC
(1,4),-0.575399 # DEPENDENCYPART_ARC
(1,5),-0.241129 # DEPENDENCYPART_ARC
(1,6),-1.16762 # DEPENDENCYPART_ARC
(1,7),-1.64162 # DEPENDENCYPART_ARC
(1,8),-1.95933 # DEPENDENCYPART_ARC
(1,9),-1.21038 # DEPENDENCYPART_ARC
(1,10),-1.6589 # DEPENDENCYPART_ARC
(1,11),-0.886946 # DEPENDENCYPART_ARC
(1,12),-1.33531 # DEPENDENCYPART_ARC
(1,13),-1.92793 # DEPENDENCYPART_ARC
(1,14),-1.98764 # DEPENDENCYPART_ARC
(1,15),-1.19724 # DEPENDENCYPART_ARC
(1,16),-2.03926 # DEPENDENCYPART_ARC
(1,17),-1.16245 # DEPENDENCYPART_ARC
(1,18),-1.52347 # DEPENDENCYPART_ARC
(1,19),-2.4158 # DEPENDENCYPART_ARC
(1,20),-2.8552 # DEPENDENCYPART_ARC
(1,21),-2.42534 # DEPENDENCYPART_ARC
(1,22),-1.71155 # DEPENDENCYPART_ARC
(2,1),-0.237807 # DEPENDENCYPART_ARC
(2,4),-0.15278 # DEPENDENCYPART_ARC
(2,5),-0.216467 # DEPENDENCYPART_ARC
(2,6),-0.910997 # DEPENDENCYPART_ARC
(2,7),-1.14 # DEPENDENCYPART_ARC
(2,8),-1.43221 # DEPENDENCYPART_ARC
(2,9),-1.28289 # DEPENDENCYPART_ARC
(2,10),-1.42189 # DEPENDENCYPART_ARC
(2,11),-0.377292 # DEPENDENCYPART_ARC
(2,12),-0.0398552 # DEPENDENCYPART_ARC
(2,13),-1.30323 # DEPENDENCYPART_ARC
(2,14),-1.59171 # DEPENDENCYPART_ARC
(2,15),-0.91995 # DEPENDENCYPART_ARC
(2,16),-1.8259 # DEPENDENCYPART_ARC
(2,17),-0.92485 # DEPENDENCYPART_ARC
(2,18),-1.40333 # DEPENDENCYPART_ARC
(2,20),-2.06632 # DEPENDENCYPART_ARC
(2,22),-0.688434 # DEPENDENCYPART_ARC
(3,1),-0.724317 # DEPENDENCYPART_ARC
(3,4),-0.173277 # DEPENDENCYPART_ARC
(3,8),-1.72978 # DEPENDENCYPART_ARC
(3,10),-1.88761 # DEPENDENCYPART_ARC
(3,12),-0.669329 # DEPENDENCYPART_ARC
