# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,16,14,14,16,16,7,19,19,16,0,
(0,1),0.828185 # DEPENDENCYPART_ARC
(0,2),-0.99666 # DEPENDENCYPART_ARC
(0,3),-1.38157 # DEPENDENCYPART_ARC
(0,4),-1.06292 # DEPENDENCYPART_ARC
(0,5),-1.45153 # DEPENDENCYPART_ARC
(0,6),-1.26975 # DEPENDENCYPART_ARC
(0,7),-1.68138 # DEPENDENCYPART_ARC
(0,8),-1.84214 # DEPENDENCYPART_ARC
(0,9),-1.91184 # DEPENDENCYPART_ARC
(0,10),-0.497916 # DEPENDENCYPART_ARC
(0,11),-1.21421 # DEPENDENCYPART_ARC
(0,12),-1.87347 # DEPENDENCYPART_ARC
(0,13),-1.60406 # DEPENDENCYPART_ARC
(0,14),-1.72078 # DEPENDENCYPART_ARC
(0,15),-0.757186 # DEPENDENCYPART_ARC
(0,16),-0.652006 # DEPENDENCYPART_ARC
(0,17),-1.91785 # DEPENDENCYPART_ARC
(0,18),-1.54141 # DEPENDENCYPART_ARC
(0,19),-1.80402 # DEPENDENCYPART_ARC
(0,20),3.38572 # DEPENDENCYPART_ARC
(1,2),2.05496 # DEPENDENCYPART_ARC
(1,3),-1.60756 # DEPENDENCYPART_ARC
(1,4),0.159137 # DEPENDENCYPART_ARC
(1,5),1.3907 # DEPENDENCYPART_ARC
(1,6),0.716327 # DEPENDENCYPART_ARC
(1,7),-0.651815 # DEPENDENCYPART_ARC
(1,8),-2.28265 # DEPENDENCYPART_ARC
(1,9),-2.45584 # DEPENDENCYPART_ARC
(1,10),0.544501 # DEPENDENCYPART_ARC
(1,11),1.29065 # DEPENDENCYPART_ARC
(1,12),-2.8127 # DEPENDENCYPART_ARC
(1,13),-1.54361 # DEPENDENCYPART_ARC
(1,14),-1.29816 # DEPENDENCYPART_ARC
(1,15),0.434585 # DEPENDENCYPART_ARC
(1,16),-3.03209 # DEPENDENCYPART_ARC
(1,17),-2.23134 # DEPENDENCYPART_ARC
(1,18),-2.94312 # DEPENDENCYPART_ARC
(1,19),-1.77162 # DEPENDENCYPART_ARC
(1,20),-0.187789 # DEPENDENCYPART_ARC
(2,1),0.0978649 # DEPENDENCYPART_ARC
(2,3),0.418199 # DEPENDENCYPART_ARC
(2,4),0.0795172 # DEPENDENCYPART_ARC
(2,5),0.225099 # DEPENDENCYPART_ARC
(2,6),-0.00843636 # DEPENDENCYPART_ARC
(2,7),-0.674874 # DEPENDENCYPART_ARC
(2,8),-0.645304 # DEPENDENCYPART_ARC
(2,9),-0.758722 # DEPENDENCYPART_ARC
(2,10),-0.137629 # DEPENDENCYPART_ARC
(2,11),-0.425429 # DEPENDENCYPART_ARC
(2,12),-0.890979 # DEPENDENCYPART_ARC
(2,13),-1.23014 # DEPENDENCYPART_ARC
(2,14),-1.40647 # DEPENDENCYPART_ARC
(2,15),-0.374592 # DEPENDENCYPART_ARC
(2,16),-0.999123 # DEPENDENCYPART_ARC
(2,17),-1.54262 # DEPENDENCYPART_ARC
(2,18),-1.97241 # DEPENDENCYPART_ARC
(2,19),-2.35115 # DEPENDENCYPART_ARC
(2,20),-0.783031 # DEPENDENCYPART_ARC
(3,1),-2.45443 # DEPENDENCYPART_ARC
(3,2),-0.117743 # DEPENDENCYPART_ARC
(3,4),-0.727026 # DEPENDENCYPART_ARC
(3,5),-0.494466 # DEPENDENCYPART_ARC
(3,6),-0.266381 # DEPENDENCYPART_ARC
(3,7),-1.26861 # DEPENDENCYPART_ARC
(3,8),-1.13669 # DEPENDENCYPART_ARC
(3,9),-1.29055 # DEPENDENCYPART_ARC
(3,10),-0.393314 # DEPENDENCYPART_ARC
(3,11),-0.613647 # DEPENDENCYPART_ARC
(3,12),-1.46679 # DEPENDENCYPART_ARC
(3,13),-2.06205 # DEPENDENCYPART_ARC
(3,14),-1.88369 # DEPENDENCYPART_ARC
(3,15),-0.563845 # DEPENDENCYPART_ARC
(3,16),-2.59465 # DEPENDENCYPART_ARC
(3,17),-1.8266 # DEPENDENCYPART_ARC
(3,18),-2.79301 # DEPENDENCYPART_ARC
(3,19),-2.27921 # DEPENDENCYPART_ARC
(3,20),-1.01469 # DEPENDENCYPART_ARC
(4,1),-3.68453 # DEPENDENCYPART_ARC
(4,2),-0.105812 # DEPENDENCYPART_ARC
(4,3),1.17157 # DEPENDENCYPART_ARC
(4,5),0.063324 # DEPENDENCYPART_ARC
(4,6),-0.123815 # DEPENDENCYPART_ARC
(4,7),-1.02949 # DEPENDENCYPART_ARC
(4,8),-0.936908 # DEPENDENCYPART_ARC
(4,9),-0.597762 # DEPENDENCYPART_ARC
(4,10),-0.325662 # DEPENDENCYPART_ARC
(4,11),-0.867958 # DEPENDENCYPART_ARC
(4,12),-1.79114 # DEPENDENCYPART_ARC
(4,13),-1.78952 # DEPENDENCYPART_ARC
(4,14),-2.37793 # DEPENDENCYPART_ARC
(4,15),-0.585638 # DEPENDENCYPART_ARC
(4,16),-2.25749 # DEPENDENCYPART_ARC
(4,17),-2.20986 # DEPENDENCYPART_ARC
(4,18),-3.04493 # DEPENDENCYPART_ARC
(4,19),-2.97064 # DEPENDENCYPART_ARC
(4,20),-1.20457 # DEPENDENCYPART_ARC
(5,1),-1.7816 # DEPENDENCYPART_ARC
(5,2),0.215492 # DEPENDENCYPART_ARC
(5,3),3.64769 # DEPENDENCYPART_ARC
(5,4),3.74304 # DEPENDENCYPART_ARC
(5,6),2.02046 # DEPENDENCYPART_ARC
(5,7),0.0997163 # DEPENDENCYPART_ARC
(5,8),-0.493999 # DEPENDENCYPART_ARC
(5,9),0.676464 # DEPENDENCYPART_ARC
(5,10),0.27419 # DEPENDENCYPART_ARC
(5,11),-0.0602611 # DEPENDENCYPART_ARC
(5,12),-1.19013 # DEPENDENCYPART_ARC
(5,13),-1.01149 # DEPENDENCYPART_ARC
(5,14),-2.02849 # DEPENDENCYPART_ARC
(5,15),0.076641 # DEPENDENCYPART_ARC
(5,16),-0.677472 # DEPENDENCYPART_ARC
(5,17),-1.78328 # DEPENDENCYPART_ARC
(5,18),-2.49897 # DEPENDENCYPART_ARC
(5,19),-3.31306 # DEPENDENCYPART_ARC
(5,20),-0.165457 # DEPENDENCYPART_ARC
(6,1),-1.86951 # DEPENDENCYPART_ARC
(6,2),-0.386089 # DEPENDENCYPART_ARC
(6,3),-0.37976 # DEPENDENCYPART_ARC
(6,4),-0.593739 # DEPENDENCYPART_ARC
(6,5),-1.17822 # DEPENDENCYPART_ARC
(6,7),3.25297 # DEPENDENCYPART_ARC
(6,8),-0.457849 # DEPENDENCYPART_ARC
(6,9),-0.607057 # DEPENDENCYPART_ARC
(6,10),0.0498164 # DEPENDENCYPART_ARC
(6,11),-0.766913 # DEPENDENCYPART_ARC
(6,12),-1.55599 # DEPENDENCYPART_ARC
(6,13),-1.04377 # DEPENDENCYPART_ARC
(6,14),-2.47542 # DEPENDENCYPART_ARC
(6,15),-0.245708 # DEPENDENCYPART_ARC
(6,16),-3.26534 # DEPENDENCYPART_ARC
(6,17),-1.72146 # DEPENDENCYPART_ARC
(6,18),-1.70367 # DEPENDENCYPART_ARC
(6,19),-3.845 # DEPENDENCYPART_ARC
(6,20),-1.01237 # DEPENDENCYPART_ARC
(7,1),-3.091 # DEPENDENCYPART_ARC
(7,2),-1.26745 # DEPENDENCYPART_ARC
(7,3),0.179796 # DEPENDENCYPART_ARC
(7,4),-0.942805 # DEPENDENCYPART_ARC
(7,5),-0.81538 # DEPENDENCYPART_ARC
(7,6),-0.152521 # DEPENDENCYPART_ARC
(7,8),0.387732 # DEPENDENCYPART_ARC
(7,9),2.50326 # DEPENDENCYPART_ARC
(7,10),0.355795 # DEPENDENCYPART_ARC
(7,11),0.170061 # DEPENDENCYPART_ARC
(7,12),-0.884945 # DEPENDENCYPART_ARC
(7,13),-0.419438 # DEPENDENCYPART_ARC
(7,14),-0.637866 # DEPENDENCYPART_ARC
(7,15),-0.213609 # DEPENDENCYPART_ARC
(7,16),-0.161701 # DEPENDENCYPART_ARC
(7,17),-1.55272 # DEPENDENCYPART_ARC
(7,18),-1.18425 # DEPENDENCYPART_ARC
(7,19),-2.00824 # DEPENDENCYPART_ARC
(7,20),-0.579165 # DEPENDENCYPART_ARC
(8,1),-2.57698 # DEPENDENCYPART_ARC
(8,2),-1.10757 # DEPENDENCYPART_ARC
(8,3),-1.03908 # DEPENDENCYPART_ARC
(8,4),-2.05347 # DEPENDENCYPART_ARC
(8,5),-1.72909 # DEPENDENCYPART_ARC
(8,6),-1.07135 # DEPENDENCYPART_ARC
(8,7),-1.29843 # DEPENDENCYPART_ARC
(8,9),0.171295 # DEPENDENCYPART_ARC
(8,10),-0.468299 # DEPENDENCYPART_ARC
(8,11),-0.514623 # DEPENDENCYPART_ARC
(8,12),-1.22644 # DEPENDENCYPART_ARC
(8,13),-1.95004 # DEPENDENCYPART_ARC
(8,14),-1.90417 # DEPENDENCYPART_ARC
(8,15),-0.668033 # DEPENDENCYPART_ARC
(8,16),-2.59592 # DEPENDENCYPART_ARC
(8,17),-1.85941 # DEPENDENCYPART_ARC
