# _root_ Πιστεύω , κύριε Πρόεδρε , ότι το Κοινοβούλιο μπορεί να θεωρήσει γενικά ικανοποιητικό το παρόν κείμενο .
#goldHeads=0,4,4,1,4,1,8,9,6,11,9,11,11,16,16,11,0,
#predictedHeads=0,4,4,1,4,1,8,9,6,11,9,13,15,15,16,11,0,
(0,1),0.897509 # DEPENDENCYPART_ARC
(0,2),-0.121387 # DEPENDENCYPART_ARC
(0,3),-0.515566 # DEPENDENCYPART_ARC
(0,4),-0.527181 # DEPENDENCYPART_ARC
(0,5),-0.286233 # DEPENDENCYPART_ARC
(0,6),-0.699641 # DEPENDENCYPART_ARC
(0,7),-1.87786 # DEPENDENCYPART_ARC
(0,8),-1.64184 # DEPENDENCYPART_ARC
(0,9),0.116408 # DEPENDENCYPART_ARC
(0,10),-1.45942 # DEPENDENCYPART_ARC
(0,11),-1.2105 # DEPENDENCYPART_ARC
(0,12),-1.18592 # DEPENDENCYPART_ARC
(0,13),-2.02635 # DEPENDENCYPART_ARC
(0,14),-2.21492 # DEPENDENCYPART_ARC
(0,15),-1.79282 # DEPENDENCYPART_ARC
(0,16),-1.72481 # DEPENDENCYPART_ARC
(0,17),3.19968 # DEPENDENCYPART_ARC
(1,2),0.669347 # DEPENDENCYPART_ARC
(1,3),1.51486 # DEPENDENCYPART_ARC
(1,4),0.766992 # DEPENDENCYPART_ARC
(1,5),0.226206 # DEPENDENCYPART_ARC
(1,6),1.09443 # DEPENDENCYPART_ARC
(1,7),-3.34526 # DEPENDENCYPART_ARC
(1,8),-1.62767 # DEPENDENCYPART_ARC
(1,9),-3.08427 # DEPENDENCYPART_ARC
(1,10),-1.0118 # DEPENDENCYPART_ARC
(1,11),-1.51355 # DEPENDENCYPART_ARC
(1,12),-0.606366 # DEPENDENCYPART_ARC
(1,13),-1.5811 # DEPENDENCYPART_ARC
(1,14),-4.08588 # DEPENDENCYPART_ARC
(1,15),-2.61544 # DEPENDENCYPART_ARC
(1,16),-2.57608 # DEPENDENCYPART_ARC
(1,17),-0.469035 # DEPENDENCYPART_ARC
(2,1),0.19192 # DEPENDENCYPART_ARC
(2,3),0.249291 # DEPENDENCYPART_ARC
(2,4),-0.102233 # DEPENDENCYPART_ARC
(2,5),0.405444 # DEPENDENCYPART_ARC
(2,6),-0.625744 # DEPENDENCYPART_ARC
(2,7),-1.1378 # DEPENDENCYPART_ARC
(2,8),-1.10513 # DEPENDENCYPART_ARC
(2,9),-0.432553 # DEPENDENCYPART_ARC
(2,10),-1.39419 # DEPENDENCYPART_ARC
(2,11),-1.17219 # DEPENDENCYPART_ARC
(2,12),-1.08015 # DEPENDENCYPART_ARC
