# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,7,4,7,10,7,12,3,14,15,12,15,16,21,20,24,15,21,24,22,24,25,26,0,
(0,1),-0.546066 # DEPENDENCYPART_ARC
(0,2),-0.693092 # DEPENDENCYPART_ARC
(0,3),1.08513 # DEPENDENCYPART_ARC
(0,4),-1.14084 # DEPENDENCYPART_ARC
(0,5),-1.50797 # DEPENDENCYPART_ARC
(0,6),-0.867254 # DEPENDENCYPART_ARC
(0,7),-0.605778 # DEPENDENCYPART_ARC
(0,8),-1.03549 # DEPENDENCYPART_ARC
(0,9),-1.64791 # DEPENDENCYPART_ARC
(0,10),-1.55829 # DEPENDENCYPART_ARC
(0,11),-0.390627 # DEPENDENCYPART_ARC
(0,12),-0.176941 # DEPENDENCYPART_ARC
(0,13),-1.83578 # DEPENDENCYPART_ARC
(0,14),-1.97071 # DEPENDENCYPART_ARC
(0,15),-0.0417284 # DEPENDENCYPART_ARC
(0,16),-2.84027 # DEPENDENCYPART_ARC
(0,17),-1.5578 # DEPENDENCYPART_ARC
(0,18),-0.758735 # DEPENDENCYPART_ARC
(0,19),-1.95969 # DEPENDENCYPART_ARC
(0,20),-2.22016 # DEPENDENCYPART_ARC
(0,21),-0.618065 # DEPENDENCYPART_ARC
(0,22),-2.34082 # DEPENDENCYPART_ARC
(0,23),-1.84082 # DEPENDENCYPART_ARC
(0,24),-1.0524 # DEPENDENCYPART_ARC
(0,25),-1.70298 # DEPENDENCYPART_ARC
(0,26),-1.46024 # DEPENDENCYPART_ARC
(0,27),-2.06273 # DEPENDENCYPART_ARC
(0,28),4.53259 # DEPENDENCYPART_ARC
(1,2),0.210927 # DEPENDENCYPART_ARC
(1,3),-2.10273 # DEPENDENCYPART_ARC
(1,4),-0.830112 # DEPENDENCYPART_ARC
(1,5),-1.79554 # DEPENDENCYPART_ARC
(1,6),-1.33822 # DEPENDENCYPART_ARC
(1,7),-0.813601 # DEPENDENCYPART_ARC
(1,8),-1.43289 # DEPENDENCYPART_ARC
(1,9),-1.80721 # DEPENDENCYPART_ARC
(1,10),-1.85636 # DEPENDENCYPART_ARC
(1,11),-0.993972 # DEPENDENCYPART_ARC
(1,12),-1.05192 # DEPENDENCYPART_ARC
(1,13),-2.19877 # DEPENDENCYPART_ARC
(1,14),-2.71897 # DEPENDENCYPART_ARC
(1,15),-3.70754 # DEPENDENCYPART_ARC
(1,16),-1.4069 # DEPENDENCYPART_ARC
(1,17),-2.09816 # DEPENDENCYPART_ARC
(1,18),-1.26365 # DEPENDENCYPART_ARC
(1,19),-2.19533 # DEPENDENCYPART_ARC
(1,20),-2.51621 # DEPENDENCYPART_ARC
(1,21),-1.47428 # DEPENDENCYPART_ARC
(1,22),-1.71384 # DEPENDENCYPART_ARC
(1,23),-2.1426 # DEPENDENCYPART_ARC
(1,24),-1.66321 # DEPENDENCYPART_ARC
(1,25),-2.80027 # DEPENDENCYPART_ARC
(1,26),-1.46639 # DEPENDENCYPART_ARC
(1,27),-2.34675 # DEPENDENCYPART_ARC
(1,28),-1.56148 # DEPENDENCYPART_ARC
(2,1),3.44748 # DEPENDENCYPART_ARC
(2,3),-0.336913 # DEPENDENCYPART_ARC
(2,4),-0.281956 # DEPENDENCYPART_ARC
(2,5),-1.34029 # DEPENDENCYPART_ARC
(2,6),-0.275573 # DEPENDENCYPART_ARC
(2,7),-0.00569064 # DEPENDENCYPART_ARC
(2,8),-0.521947 # DEPENDENCYPART_ARC
(2,9),-2.10623 # DEPENDENCYPART_ARC
(2,10),-1.83168 # DEPENDENCYPART_ARC
(2,11),-0.862552 # DEPENDENCYPART_ARC
(2,12),-0.459091 # DEPENDENCYPART_ARC
(2,13),-1.95909 # DEPENDENCYPART_ARC
(2,14),-1.29623 # DEPENDENCYPART_ARC
(2,15),-2.9339 # DEPENDENCYPART_ARC
(2,16),-0.811226 # DEPENDENCYPART_ARC
(2,17),-2.88065 # DEPENDENCYPART_ARC
(2,18),-1.30845 # DEPENDENCYPART_ARC
(2,19),-2.4313 # DEPENDENCYPART_ARC
(2,20),-3.14891 # DEPENDENCYPART_ARC
(2,21),-0.768832 # DEPENDENCYPART_ARC
