# _root_ Εκτός από την σωρεία καταχρήσεων μεγάλης κλίμακας , διαπράττονται και πολλές καταχρήσεις σε μικρή κλίμακα , διότι ο τομέας των μεταφορών χαρακτηρίζεται σε μεγάλο βαθμό από καταχρήσεις .
#goldHeads=9,1,5,5,2,7,5,9,0,12,12,9,9,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
#predictedHeads=9,1,4,2,4,7,5,9,0,12,12,9,12,15,13,17,9,19,22,21,19,17,22,25,23,22,26,0,
(0,1),-0.635953 # DEPENDENCYPART_ARC
(0,2),-0.889037 # DEPENDENCYPART_ARC
(0,4),-0.351712 # DEPENDENCYPART_ARC
(0,5),-0.544385 # DEPENDENCYPART_ARC
(0,6),-0.75398 # DEPENDENCYPART_ARC
(0,7),-1.05141 # DEPENDENCYPART_ARC
(0,8),-0.337443 # DEPENDENCYPART_ARC
(0,9),1.66695 # DEPENDENCYPART_ARC
(0,10),-0.363623 # DEPENDENCYPART_ARC
(0,11),-1.00673 # DEPENDENCYPART_ARC
(0,12),-1.42689 # DEPENDENCYPART_ARC
(0,13),-1.53907 # DEPENDENCYPART_ARC
(0,14),-1.16784 # DEPENDENCYPART_ARC
(0,15),-1.28374 # DEPENDENCYPART_ARC
(0,16),-0.968928 # DEPENDENCYPART_ARC
(0,17),-0.987585 # DEPENDENCYPART_ARC
(0,19),-1.66476 # DEPENDENCYPART_ARC
(0,21),-2.03088 # DEPENDENCYPART_ARC
(0,22),0.679737 # DEPENDENCYPART_ARC
(0,23),-2.46062 # DEPENDENCYPART_ARC
(0,24),-2.08441 # DEPENDENCYPART_ARC
(0,25),-2.07446 # DEPENDENCYPART_ARC
(0,26),-1.4479 # DEPENDENCYPART_ARC
(0,27),-1.5773 # DEPENDENCYPART_ARC
(0,28),4.16825 # DEPENDENCYPART_ARC
(1,2),1.59242 # DEPENDENCYPART_ARC
(1,3),-0.293345 # DEPENDENCYPART_ARC
(1,4),-0.243081 # DEPENDENCYPART_ARC
(1,5),-0.0835868 # DEPENDENCYPART_ARC
(1,6),-0.4556 # DEPENDENCYPART_ARC
(1,7),-0.617997 # DEPENDENCYPART_ARC
(1,8),0.221377 # DEPENDENCYPART_ARC
(1,9),-0.450175 # DEPENDENCYPART_ARC
(1,10),-0.537013 # DEPENDENCYPART_ARC
