# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=5,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,15,15,22,22,19,15,23,26,24,0,
(0,1),-0.333579 # DEPENDENCYPART_ARC
(0,2),-0.762822 # DEPENDENCYPART_ARC
(0,3),-0.913603 # DEPENDENCYPART_ARC
(0,4),-0.591575 # DEPENDENCYPART_ARC
(0,5),1.01463 # DEPENDENCYPART_ARC
(0,6),-1.0266 # DEPENDENCYPART_ARC
(0,7),-1.62085 # DEPENDENCYPART_ARC
(0,8),-0.977586 # DEPENDENCYPART_ARC
(0,9),-0.464014 # DEPENDENCYPART_ARC
(0,10),-1.68243 # DEPENDENCYPART_ARC
(0,11),-1.76239 # DEPENDENCYPART_ARC
(0,12),-1.63214 # DEPENDENCYPART_ARC
(0,13),-0.605493 # DEPENDENCYPART_ARC
(0,14),-0.558252 # DEPENDENCYPART_ARC
(0,15),-1.34932 # DEPENDENCYPART_ARC
(0,16),-2.05171 # DEPENDENCYPART_ARC
(0,17),-2.03131 # DEPENDENCYPART_ARC
(0,18),-1.70749 # DEPENDENCYPART_ARC
(0,19),-0.841727 # DEPENDENCYPART_ARC
(0,20),-1.9499 # DEPENDENCYPART_ARC
(0,21),-1.5916 # DEPENDENCYPART_ARC
(0,22),-1.80936 # DEPENDENCYPART_ARC
(0,23),-1.53543 # DEPENDENCYPART_ARC
(0,24),-2.31648 # DEPENDENCYPART_ARC
(0,25),-1.45785 # DEPENDENCYPART_ARC
(0,26),-1.76969 # DEPENDENCYPART_ARC
(0,27),4.70435 # DEPENDENCYPART_ARC
(1,2),0.50622 # DEPENDENCYPART_ARC
(1,3),-0.303824 # DEPENDENCYPART_ARC
(1,4),-0.52374 # DEPENDENCYPART_ARC
(1,5),-0.0256301 # DEPENDENCYPART_ARC
(1,6),-1.16549 # DEPENDENCYPART_ARC
(1,7),-0.782895 # DEPENDENCYPART_ARC
(1,8),-1.9963 # DEPENDENCYPART_ARC
(1,9),-0.648235 # DEPENDENCYPART_ARC
(1,10),-1.69182 # DEPENDENCYPART_ARC
(1,11),-1.94709 # DEPENDENCYPART_ARC
(1,12),-1.08292 # DEPENDENCYPART_ARC
(1,13),-1.55453 # DEPENDENCYPART_ARC
(1,14),-0.92803 # DEPENDENCYPART_ARC
(1,15),-1.7163 # DEPENDENCYPART_ARC
(1,16),-1.91538 # DEPENDENCYPART_ARC
(1,17),-2.30275 # DEPENDENCYPART_ARC
(1,18),-2.78211 # DEPENDENCYPART_ARC
(1,19),-1.65986 # DEPENDENCYPART_ARC
(1,20),-2.18372 # DEPENDENCYPART_ARC
(1,21),-2.38165 # DEPENDENCYPART_ARC
(1,22),-2.98347 # DEPENDENCYPART_ARC
(1,23),-2.06575 # DEPENDENCYPART_ARC
(1,24),-2.12796 # DEPENDENCYPART_ARC
(1,25),-2.27253 # DEPENDENCYPART_ARC
(1,26),-3.24741 # DEPENDENCYPART_ARC
(1,27),-1.54821 # DEPENDENCYPART_ARC
(2,1),0.540057 # DEPENDENCYPART_ARC
(2,3),0.191137 # DEPENDENCYPART_ARC
(2,4),0.836476 # DEPENDENCYPART_ARC
(2,5),2.17318 # DEPENDENCYPART_ARC
(2,6),-0.324326 # DEPENDENCYPART_ARC
(2,7),-0.494601 # DEPENDENCYPART_ARC
(2,8),-1.30978 # DEPENDENCYPART_ARC
(2,9),0.27966 # DEPENDENCYPART_ARC
(2,10),-1.24094 # DEPENDENCYPART_ARC
(2,11),-2.03118 # DEPENDENCYPART_ARC
(2,12),-0.813807 # DEPENDENCYPART_ARC
(2,13),0.160649 # DEPENDENCYPART_ARC
(2,14),0.195497 # DEPENDENCYPART_ARC
(2,15),-0.623101 # DEPENDENCYPART_ARC
(2,16),-1.52149 # DEPENDENCYPART_ARC
(2,17),-1.21699 # DEPENDENCYPART_ARC
(2,18),-2.49617 # DEPENDENCYPART_ARC
(2,19),-0.596305 # DEPENDENCYPART_ARC
(2,20),-1.66105 # DEPENDENCYPART_ARC
(2,21),-1.47429 # DEPENDENCYPART_ARC
(2,22),-2.81862 # DEPENDENCYPART_ARC
(2,23),-0.839072 # DEPENDENCYPART_ARC
(2,24),-1.03013 # DEPENDENCYPART_ARC
(2,25),-1.81342 # DEPENDENCYPART_ARC
(2,26),-3.27274 # DEPENDENCYPART_ARC
(2,27),-0.717264 # DEPENDENCYPART_ARC
(3,1),-1.22807 # DEPENDENCYPART_ARC
(3,2),-0.825523 # DEPENDENCYPART_ARC
(3,4),-0.0911875 # DEPENDENCYPART_ARC
(3,5),-1.56776 # DEPENDENCYPART_ARC
(3,6),-0.902408 # DEPENDENCYPART_ARC
(3,7),-1.00497 # DEPENDENCYPART_ARC
(3,8),-1.89773 # DEPENDENCYPART_ARC
(3,9),-0.90237 # DEPENDENCYPART_ARC
(3,10),-2.28759 # DEPENDENCYPART_ARC
(3,11),-2.20083 # DEPENDENCYPART_ARC
(3,12),-2.28103 # DEPENDENCYPART_ARC
(3,13),-3.48794 # DEPENDENCYPART_ARC
(3,14),-1.18081 # DEPENDENCYPART_ARC
(3,15),-3.00749 # DEPENDENCYPART_ARC
(3,16),-2.57958 # DEPENDENCYPART_ARC
(3,17),-2.72939 # DEPENDENCYPART_ARC
(3,18),-2.39496 # DEPENDENCYPART_ARC
(3,19),-1.43513 # DEPENDENCYPART_ARC
(3,20),-2.61284 # DEPENDENCYPART_ARC
(3,21),-2.85171 # DEPENDENCYPART_ARC
(3,22),-2.67463 # DEPENDENCYPART_ARC
(3,23),-1.43279 # DEPENDENCYPART_ARC
(3,24),-3.29717 # DEPENDENCYPART_ARC
(3,25),-2.96321 # DEPENDENCYPART_ARC
(3,26),-2.75629 # DEPENDENCYPART_ARC
(3,27),-1.48714 # DEPENDENCYPART_ARC
(4,1),-0.0946361 # DEPENDENCYPART_ARC
(4,2),0.247703 # DEPENDENCYPART_ARC
(4,3),3.2953 # DEPENDENCYPART_ARC
(4,5),-0.039834 # DEPENDENCYPART_ARC
(4,6),-0.163582 # DEPENDENCYPART_ARC
(4,7),-0.769531 # DEPENDENCYPART_ARC
(4,8),-2.07814 # DEPENDENCYPART_ARC
(4,9),-0.915018 # DEPENDENCYPART_ARC
(4,10),-2.69674 # DEPENDENCYPART_ARC
(4,11),-2.464 # DEPENDENCYPART_ARC
(4,12),-1.23525 # DEPENDENCYPART_ARC
(4,13),-2.16351 # DEPENDENCYPART_ARC
(4,14),-1.15303 # DEPENDENCYPART_ARC
(4,15),-2.61169 # DEPENDENCYPART_ARC
(4,16),-3.16542 # DEPENDENCYPART_ARC
(4,17),-2.79896 # DEPENDENCYPART_ARC
(4,18),-3.25318 # DEPENDENCYPART_ARC
(4,19),-1.03246 # DEPENDENCYPART_ARC
(4,20),-3.36506 # DEPENDENCYPART_ARC
(4,21),-2.84167 # DEPENDENCYPART_ARC
(4,22),-3.96039 # DEPENDENCYPART_ARC
(4,23),-1.41119 # DEPENDENCYPART_ARC
(4,24),-3.81269 # DEPENDENCYPART_ARC
(4,25),-2.74341 # DEPENDENCYPART_ARC
(4,26),-5.1677 # DEPENDENCYPART_ARC
(4,27),-1.17671 # DEPENDENCYPART_ARC
(5,1),1.12623 # DEPENDENCYPART_ARC
(5,2),0.99761 # DEPENDENCYPART_ARC
(5,3),-0.347914 # DEPENDENCYPART_ARC
(5,4),2.45751 # DEPENDENCYPART_ARC
(5,6),1.94878 # DEPENDENCYPART_ARC
(5,7),1.37128 # DEPENDENCYPART_ARC
(5,8),0.144518 # DEPENDENCYPART_ARC
(5,9),0.214537 # DEPENDENCYPART_ARC
(5,10),-3.4557 # DEPENDENCYPART_ARC
(5,11),-0.954898 # DEPENDENCYPART_ARC
(5,12),-3.51013 # DEPENDENCYPART_ARC
(5,13),-2.83633 # DEPENDENCYPART_ARC
(5,14),-0.143541 # DEPENDENCYPART_ARC
(5,15),0.705624 # DEPENDENCYPART_ARC
(5,16),-3.59991 # DEPENDENCYPART_ARC
(5,17),-3.37764 # DEPENDENCYPART_ARC
(5,18),-2.39116 # DEPENDENCYPART_ARC
(5,19),0.089937 # DEPENDENCYPART_ARC
(5,20),-3.07353 # DEPENDENCYPART_ARC
(5,21),-3.90954 # DEPENDENCYPART_ARC
(5,22),-2.35562 # DEPENDENCYPART_ARC
(5,23),-0.509795 # DEPENDENCYPART_ARC
(5,24),-1.53282 # DEPENDENCYPART_ARC
(5,25),-3.30089 # DEPENDENCYPART_ARC
(5,26),-2.46141 # DEPENDENCYPART_ARC
(5,27),-0.539078 # DEPENDENCYPART_ARC
(6,1),-0.136347 # DEPENDENCYPART_ARC
(6,2),-0.387488 # DEPENDENCYPART_ARC
(6,3),0.363495 # DEPENDENCYPART_ARC
(6,4),-0.419735 # DEPENDENCYPART_ARC
(6,5),0.0662342 # DEPENDENCYPART_ARC
(6,7),1.28495 # DEPENDENCYPART_ARC
(6,8),0.378341 # DEPENDENCYPART_ARC
(6,9),0.449085 # DEPENDENCYPART_ARC
(6,10),-0.521316 # DEPENDENCYPART_ARC
(6,11),-0.587179 # DEPENDENCYPART_ARC
(6,12),-0.0272975 # DEPENDENCYPART_ARC
(6,13),-0.906442 # DEPENDENCYPART_ARC
(6,14),-0.171362 # DEPENDENCYPART_ARC
(6,15),-1.56842 # DEPENDENCYPART_ARC
(6,16),-1.37727 # DEPENDENCYPART_ARC
(6,17),-1.68247 # DEPENDENCYPART_ARC
(6,18),-2.18218 # DEPENDENCYPART_ARC
(6,19),-0.885821 # DEPENDENCYPART_ARC
(6,20),-1.60553 # DEPENDENCYPART_ARC
(6,21),-1.73244 # DEPENDENCYPART_ARC
(6,22),-2.48566 # DEPENDENCYPART_ARC
(6,23),-1.11998 # DEPENDENCYPART_ARC
(6,24),-1.56834 # DEPENDENCYPART_ARC
(6,25),-1.88453 # DEPENDENCYPART_ARC
(6,26),-2.7733 # DEPENDENCYPART_ARC
(6,27),-1.13441 # DEPENDENCYPART_ARC
(7,1),-0.821409 # DEPENDENCYPART_ARC
(7,2),-0.7047 # DEPENDENCYPART_ARC
(7,3),-0.715314 # DEPENDENCYPART_ARC
(7,4),-1.18871 # DEPENDENCYPART_ARC
(7,5),-0.515305 # DEPENDENCYPART_ARC
(7,6),0.174502 # DEPENDENCYPART_ARC
(7,8),3.45347 # DEPENDENCYPART_ARC
(7,9),0.718069 # DEPENDENCYPART_ARC
(7,10),-0.678114 # DEPENDENCYPART_ARC
(7,11),0.127367 # DEPENDENCYPART_ARC
(7,12),-0.716443 # DEPENDENCYPART_ARC
(7,13),-0.864411 # DEPENDENCYPART_ARC
(7,14),-0.378699 # DEPENDENCYPART_ARC
(7,15),-1.74438 # DEPENDENCYPART_ARC
